,Model,Wrapper_Estimator,Feature_Selection,Prefilter_n_features_CV,Wrapper_n_features_CV,Wrapper_best_score_CV,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,rf_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,46.2400 ± 5.0742,0.7250 ± 0.0122,0.6924 ± 0.0566,0.6355 ± 0.0378,0.8462 ± 0.0319,0.6327 ± 0.0374,0.6429 ± 0.0413,0.7686 ± 0.0234,0.8490 ± 0.0292,0.8462 ± 0.0319,0.8469 ± 0.0302,0.8505 ± 0.0271,0.8528 ± 0.0224,0.6955 ± 0.0552,0.6904 ± 0.0590,0.7925 ± 0.0364,0.8515 ± 0.0230,0.8528 ± 0.0224,0.8521 ± 0.0227,0.8526 ± 0.0227
1,decision_tree,et_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,46.4000 ± 5.1069,0.7356 ± 0.0160,0.6793 ± 0.0174,0.6369 ± 0.0490,0.8469 ± 0.0387,0.6354 ± 0.0489,0.6443 ± 0.0537,0.7696 ± 0.0320,0.8493 ± 0.0333,0.8469 ± 0.0387,0.8471 ± 0.0354,0.8518 ± 0.0353,0.8516 ± 0.0082,0.6798 ± 0.0177,0.6792 ± 0.0176,0.7871 ± 0.0112,0.8514 ± 0.0071,0.8516 ± 0.0082,0.8514 ± 0.0076,0.8528 ± 0.0086
2,decision_tree,xgb_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,28.0400 ± 14.3718,0.7549 ± 0.0172,0.6703 ± 0.0420,0.6459 ± 0.0105,0.8527 ± 0.0297,0.6491 ± 0.0202,0.6482 ± 0.0082,0.7731 ± 0.0104,0.8531 ± 0.0243,0.8527 ± 0.0297,0.8519 ± 0.0264,0.8559 ± 0.0270,0.8588 ± 0.0085,0.6749 ± 0.0466,0.6676 ± 0.0385,0.7857 ± 0.0224,0.8575 ± 0.0095,0.8588 ± 0.0085,0.8575 ± 0.0085,0.8588 ± 0.0095
3,random_forest,rf_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,46.2400 ± 5.0742,0.7250 ± 0.0122,0.6338 ± 0.0269,0.6383 ± 0.0499,0.8960 ± 0.0161,0.7309 ± 0.1863,0.6323 ± 0.0309,0.9245 ± 0.0091,0.8843 ± 0.0237,0.8960 ± 0.0161,0.8863 ± 0.0165,0.9520 ± 0.0059,0.8918 ± 0.0050,0.6889 ± 0.0850,0.6301 ± 0.0146,0.9489 ± 0.0058,0.8760 ± 0.0064,0.8918 ± 0.0050,0.8815 ± 0.0031,0.9597 ± 0.0040
4,random_forest,et_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,46.4000 ± 5.1069,0.7356 ± 0.0160,0.6637 ± 0.0251,0.6575 ± 0.0466,0.9004 ± 0.0150,0.8001 ± 0.1833,0.6444 ± 0.0281,0.9295 ± 0.0133,0.8933 ± 0.0215,0.9004 ± 0.0150,0.8912 ± 0.0150,0.9521 ± 0.0074,0.8969 ± 0.0029,0.8484 ± 0.0919,0.6477 ± 0.0156,0.9419 ± 0.0112,0.8936 ± 0.0079,0.8969 ± 0.0029,0.8878 ± 0.0037,0.9571 ± 0.0071
5,random_forest,xgb_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,28.0400 ± 14.3718,0.7549 ± 0.0172,0.6606 ± 0.0197,0.6463 ± 0.0633,0.8930 ± 0.0120,0.7073 ± 0.1621,0.6391 ± 0.0420,0.9214 ± 0.0208,0.8803 ± 0.0208,0.8930 ± 0.0120,0.8841 ± 0.0126,0.9481 ± 0.0043,0.8827 ± 0.0140,0.7714 ± 0.1144,0.6450 ± 0.0133,0.9317 ± 0.0205,0.8776 ± 0.0181,0.8827 ± 0.0140,0.8759 ± 0.0131,0.9492 ± 0.0085
6,extra_trees,rf_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,46.2400 ± 5.0742,0.7250 ± 0.0122,0.6669 ± 0.0490,0.6364 ± 0.0399,0.8930 ± 0.0125,0.7290 ± 0.1769,0.6304 ± 0.0209,0.9306 ± 0.0099,0.8816 ± 0.0106,0.8930 ± 0.0125,0.8834 ± 0.0105,0.9497 ± 0.0098,0.8918 ± 0.0065,0.7659 ± 0.0763,0.6510 ± 0.0351,0.9497 ± 0.0056,0.8831 ± 0.0109,0.8918 ± 0.0065,0.8838 ± 0.0084,0.9574 ± 0.0042
7,extra_trees,et_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,46.4000 ± 5.1069,0.7356 ± 0.0160,0.6751 ± 0.0221,0.6540 ± 0.0466,0.8945 ± 0.0128,0.7971 ± 0.1829,0.6404 ± 0.0282,0.9284 ± 0.0139,0.8888 ± 0.0196,0.8945 ± 0.0128,0.8860 ± 0.0129,0.9506 ± 0.0061,0.8925 ± 0.0050,0.7963 ± 0.0316,0.6548 ± 0.0162,0.9463 ± 0.0052,0.8860 ± 0.0061,0.8925 ± 0.0050,0.8848 ± 0.0051,0.9539 ± 0.0086
8,extra_trees,xgb_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,28.0400 ± 14.3718,0.7549 ± 0.0172,0.6704 ± 0.0329,0.6313 ± 0.0399,0.8879 ± 0.0157,0.6930 ± 0.1482,0.6262 ± 0.0233,0.9255 ± 0.0137,0.8745 ± 0.0178,0.8879 ± 0.0157,0.8786 ± 0.0140,0.9401 ± 0.0066,0.8830 ± 0.0084,0.7481 ± 0.0707,0.6521 ± 0.0238,0.9221 ± 0.0223,0.8751 ± 0.0101,0.8830 ± 0.0084,0.8763 ± 0.0091,0.9390 ± 0.0147
9,xgboost,rf_wrapper,Chi2MIUnionTopK + RFECV(wrapper) + FinalModel,75.9200 ± 1.3828,46.2400 ± 5.0742,0.7250 ± 0.0122,0.6934 ± 0.0415,0.6532 ± 0.0372,0.8835 ± 0.0165,0.6986 ± 0.0734,0.6421 ± 0.0283,0.8990 ± 0.0318,0.8756 ± 0.0178,0.8835 ± 0.0165,0.8777 ± 0.0163,0.9380 ± 0.0051,0.8840 ± 0.0083,0.7432 ± 0.0623,0.6736 ± 0.0316,0.9279 ± 0.0087,0.8773 ± 0.0098,0.8840 ± 0.0083,0.8792 ± 0.0085,0.9394 ± 0.0036
