Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,spearman_corr,0.5747 ± 0.0208,0.4041 ± 0.0257,0.4068 ± 0.0325,0.4038 ± 0.0268,0.5703 ± 0.0216,0.5523 ± 0.0200,0.3930 ± 0.0272,0.3933 ± 0.0286,0.3927 ± 0.0277,0.5548 ± 0.0199
decision_tree,mutual_info,0.5544 ± 0.0239,0.4187 ± 0.0705,0.4046 ± 0.0454,0.4085 ± 0.0544,0.5611 ± 0.0239,0.5673 ± 0.0125,0.4057 ± 0.0158,0.4066 ± 0.0174,0.4059 ± 0.0165,0.5666 ± 0.0114
decision_tree,chi2,0.5709 ± 0.0283,0.4097 ± 0.0430,0.4032 ± 0.0351,0.4053 ± 0.0380,0.5656 ± 0.0236,0.5553 ± 0.0229,0.3977 ± 0.0236,0.3999 ± 0.0253,0.3986 ± 0.0242,0.5580 ± 0.0181
random_forest,spearman_corr,0.6549 ± 0.0298,0.4387 ± 0.0214,0.4454 ± 0.0201,0.4394 ± 0.0201,0.7167 ± 0.0413,0.6569 ± 0.0161,0.4396 ± 0.0107,0.4457 ± 0.0116,0.4401 ± 0.0118,0.7289 ± 0.0210
random_forest,mutual_info,0.6742 ± 0.0286,0.4513 ± 0.0203,0.4596 ± 0.0189,0.4534 ± 0.0192,0.7234 ± 0.0383,0.6608 ± 0.0161,0.4408 ± 0.0108,0.4498 ± 0.0114,0.4443 ± 0.0113,0.7405 ± 0.0197
random_forest,chi2,0.6571 ± 0.0359,0.4385 ± 0.0237,0.4481 ± 0.0250,0.4418 ± 0.0251,0.7378 ± 0.0416,0.6453 ± 0.0180,0.4299 ± 0.0123,0.4390 ± 0.0127,0.4333 ± 0.0127,0.7380 ± 0.0204
extra_trees,spearman_corr,0.6549 ± 0.0325,0.4391 ± 0.0228,0.4443 ± 0.0232,0.4379 ± 0.0232,0.7198 ± 0.0346,0.6523 ± 0.0153,0.4368 ± 0.0108,0.4419 ± 0.0106,0.4361 ± 0.0107,0.7345 ± 0.0193
extra_trees,mutual_info,0.6654 ± 0.0235,0.4456 ± 0.0163,0.4534 ± 0.0164,0.4469 ± 0.0162,0.7339 ± 0.0474,0.6578 ± 0.0148,0.4394 ± 0.0102,0.4471 ± 0.0103,0.4416 ± 0.0103,0.7518 ± 0.0155
extra_trees,chi2,0.6599 ± 0.0315,0.4410 ± 0.0210,0.4491 ± 0.0226,0.4429 ± 0.0227,0.7565 ± 0.0440,0.6407 ± 0.0178,0.4274 ± 0.0124,0.4352 ± 0.0122,0.4297 ± 0.0121,0.7355 ± 0.0209
xgboost,spearman_corr,0.6764 ± 0.0412,0.4519 ± 0.0283,0.4618 ± 0.0278,0.4556 ± 0.0279,0.7309 ± 0.0444,0.6597 ± 0.0173,0.4401 ± 0.0120,0.4504 ± 0.0117,0.4449 ± 0.0117,0.7373 ± 0.0261
