Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.6375 ± 0.0313,0.6188 ± 0.0332,0.8201 ± 0.0156,0.6183 ± 0.0337,0.6253 ± 0.0344,0.7579 ± 0.0198,0.8258 ± 0.0116,0.8201 ± 0.0156,0.8219 ± 0.0130,0.8356 ± 0.0131,0.8258 ± 0.0090,0.6392 ± 0.0326,0.6383 ± 0.0315,0.7654 ± 0.0165,0.8268 ± 0.0113,0.8258 ± 0.0090,0.8261 ± 0.0098,0.8387 ± 0.0100
decision_tree,spearman_sulov,0.6233 ± 0.0210,0.6287 ± 0.0457,0.8333 ± 0.0105,0.6300 ± 0.0464,0.6298 ± 0.0478,0.7639 ± 0.0261,0.8359 ± 0.0096,0.8333 ± 0.0105,0.8341 ± 0.0097,0.8470 ± 0.0100,0.8182 ± 0.0132,0.6227 ± 0.0215,0.6244 ± 0.0210,0.7562 ± 0.0134,0.8198 ± 0.0129,0.8182 ± 0.0132,0.8189 ± 0.0130,0.8318 ± 0.0123
decision_tree,mutual_info,0.6424 ± 0.0316,0.6003 ± 0.0292,0.8238 ± 0.0196,0.6053 ± 0.0404,0.6007 ± 0.0252,0.7464 ± 0.0167,0.8263 ± 0.0149,0.8238 ± 0.0196,0.8245 ± 0.0169,0.8382 ± 0.0154,0.8255 ± 0.0121,0.6439 ± 0.0318,0.6433 ± 0.0329,0.7675 ± 0.0165,0.8254 ± 0.0100,0.8255 ± 0.0121,0.8252 ± 0.0109,0.8376 ± 0.0110
decision_tree,chi2,0.6541 ± 0.0267,0.5904 ± 0.0292,0.8198 ± 0.0226,0.5921 ± 0.0331,0.5934 ± 0.0296,0.7418 ± 0.0171,0.8236 ± 0.0157,0.8198 ± 0.0226,0.8210 ± 0.0187,0.8351 ± 0.0179,0.8308 ± 0.0144,0.6572 ± 0.0251,0.6536 ± 0.0307,0.7739 ± 0.0127,0.8300 ± 0.0123,0.8308 ± 0.0144,0.8301 ± 0.0132,0.8415 ± 0.0138
decision_tree,chi2_mi_union_topk,0.6600 ± 0.0362,0.6367 ± 0.0521,0.8293 ± 0.0306,0.6481 ± 0.0629,0.6406 ± 0.0642,0.7652 ± 0.0381,0.8309 ± 0.0309,0.8293 ± 0.0306,0.8289 ± 0.0296,0.8382 ± 0.0275,0.8335 ± 0.0127,0.6595 ± 0.0311,0.6624 ± 0.0416,0.7782 ± 0.0230,0.8342 ± 0.0145,0.8335 ± 0.0127,0.8335 ± 0.0136,0.8429 ± 0.0133
random_forest,spearman_corr,0.6074 ± 0.0035,0.6073 ± 0.0092,0.8989 ± 0.0135,0.5994 ± 0.0088,0.6163 ± 0.0097,0.9400 ± 0.0159,0.8766 ± 0.0132,0.8989 ± 0.0135,0.8871 ± 0.0133,0.9572 ± 0.0056,0.8976 ± 0.0052,0.5987 ± 0.0035,0.6164 ± 0.0036,0.9509 ± 0.0080,0.8722 ± 0.0050,0.8976 ± 0.0052,0.8847 ± 0.0051,0.9601 ± 0.0024
random_forest,spearman_sulov,0.6071 ± 0.0042,0.6068 ± 0.0073,0.8982 ± 0.0108,0.5989 ± 0.0070,0.6157 ± 0.0077,0.9329 ± 0.0167,0.8758 ± 0.0105,0.8982 ± 0.0108,0.8864 ± 0.0106,0.9559 ± 0.0052,0.8972 ± 0.0061,0.5984 ± 0.0043,0.6160 ± 0.0040,0.9500 ± 0.0076,0.8718 ± 0.0060,0.8972 ± 0.0061,0.8843 ± 0.0061,0.9592 ± 0.0030
random_forest,mutual_info,0.6076 ± 0.0030,0.6086 ± 0.0095,0.9007 ± 0.0140,0.6005 ± 0.0093,0.6174 ± 0.0096,0.9420 ± 0.0161,0.8781 ± 0.0136,0.9007 ± 0.0140,0.8889 ± 0.0138,0.9582 ± 0.0071,0.8980 ± 0.0044,0.5989 ± 0.0030,0.6167 ± 0.0029,0.9525 ± 0.0070,0.8726 ± 0.0043,0.8980 ± 0.0044,0.8850 ± 0.0043,0.9602 ± 0.0036
random_forest,chi2,0.6096 ± 0.0120,0.6160 ± 0.0274,0.8996 ± 0.0117,0.6331 ± 0.1061,0.6214 ± 0.0171,0.9440 ± 0.0112,0.8798 ± 0.0146,0.8996 ± 0.0117,0.8882 ± 0.0117,0.9574 ± 0.0076,0.8958 ± 0.0054,0.6308 ± 0.1059,0.6168 ± 0.0070,0.9502 ± 0.0093,0.8732 ± 0.0109,0.8958 ± 0.0054,0.8831 ± 0.0055,0.9595 ± 0.0035
random_forest,chi2_mi_union_topk,0.6506 ± 0.0447,0.6591 ± 0.0428,0.9026 ± 0.0078,0.8018 ± 0.1722,0.6463 ± 0.0247,0.9376 ± 0.0193,0.8961 ± 0.0159,0.9026 ± 0.0078,0.8935 ± 0.0082,0.9544 ± 0.0075,0.8976 ± 0.0081,0.7575 ± 0.1510,0.6412 ± 0.0269,0.9492 ± 0.0099,0.8861 ± 0.0178,0.8976 ± 0.0081,0.8875 ± 0.0091,0.9581 ± 0.0036
