Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,spearman_corr,0.8346 ± 0.0291,0.6360 ± 0.0638,0.6292 ± 0.0631,0.6288 ± 0.0591,0.7635 ± 0.0403,0.8287 ± 0.0126,0.6597 ± 0.0382,0.6594 ± 0.0358,0.6577 ± 0.0325,0.7766 ± 0.0209
decision_tree,mutual_info,0.8407 ± 0.0187,0.6636 ± 0.1090,0.6396 ± 0.0758,0.6396 ± 0.0710,0.7697 ± 0.0434,0.8311 ± 0.0127,0.6558 ± 0.0417,0.6579 ± 0.0380,0.6563 ± 0.0399,0.7767 ± 0.0218
decision_tree,chi2,0.8242 ± 0.0317,0.6028 ± 0.0608,0.5966 ± 0.0481,0.5978 ± 0.0518,0.7436 ± 0.0325,0.8308 ± 0.0188,0.6538 ± 0.0486,0.6529 ± 0.0454,0.6524 ± 0.0469,0.7740 ± 0.0272
random_forest,spearman_corr,0.9011 ± 0.0153,0.6014 ± 0.0108,0.6191 ± 0.0107,0.6098 ± 0.0106,0.9493 ± 0.0111,0.8988 ± 0.0071,0.7004 ± 0.0752,0.6315 ± 0.0152,0.6341 ± 0.0235,0.9534 ± 0.0073
random_forest,mutual_info,0.9033 ± 0.0138,0.6862 ± 0.1426,0.6395 ± 0.0334,0.6424 ± 0.0527,0.9455 ± 0.0176,0.9000 ± 0.0044,0.8117 ± 0.0609,0.6558 ± 0.0216,0.6743 ± 0.0338,0.9543 ± 0.0053
random_forest,chi2,0.9000 ± 0.0126,0.6345 ± 0.1067,0.6244 ± 0.0232,0.6201 ± 0.0369,0.9423 ± 0.0210,0.9004 ± 0.0050,0.7777 ± 0.0927,0.6577 ± 0.0245,0.6754 ± 0.0388,0.9559 ± 0.0050
extra_trees,spearman_corr,0.9000 ± 0.0146,0.6340 ± 0.1018,0.6244 ± 0.0186,0.6200 ± 0.0321,0.9471 ± 0.0151,0.9001 ± 0.0047,0.6985 ± 0.0715,0.6309 ± 0.0083,0.6324 ± 0.0158,0.9555 ± 0.0046
extra_trees,mutual_info,0.9033 ± 0.0122,0.7362 ± 0.1732,0.6454 ± 0.0356,0.6549 ± 0.0584,0.9380 ± 0.0192,0.8992 ± 0.0060,0.8017 ± 0.0909,0.6535 ± 0.0221,0.6709 ± 0.0365,0.9539 ± 0.0044
extra_trees,chi2,0.8989 ± 0.0151,0.6664 ± 0.1411,0.6298 ± 0.0294,0.6299 ± 0.0478,0.9442 ± 0.0150,0.8970 ± 0.0047,0.7824 ± 0.0661,0.6488 ± 0.0203,0.6644 ± 0.0317,0.9571 ± 0.0036
xgboost,spearman_corr,0.8940 ± 0.0162,0.7211 ± 0.1527,0.6517 ± 0.0479,0.6629 ± 0.0692,0.9047 ± 0.0175,0.8906 ± 0.0064,0.7731 ± 0.0262,0.6885 ± 0.0185,0.7129 ± 0.0220,0.9378 ± 0.0070
