Model,Sampler,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,RandomOverSampler,0.8264 ± 0.0281,0.6371 ± 0.0471,0.6434 ± 0.0357,0.6381 ± 0.0419,0.7683 ± 0.0208,0.8278 ± 0.0203,0.8264 ± 0.0281,0.8264 ± 0.0244,0.8397 ± 0.0226,0.8217 ± 0.0113,0.6558 ± 0.0416,0.6492 ± 0.0421,0.6503 ± 0.0394,0.7690 ± 0.0209,0.8217 ± 0.0106,0.8217 ± 0.0113,0.8213 ± 0.0108,0.8331 ± 0.0114
decision_tree,SMOTE,0.8242 ± 0.0205,0.6459 ± 0.0360,0.6737 ± 0.0553,0.6500 ± 0.0328,0.7840 ± 0.0249,0.8332 ± 0.0124,0.8242 ± 0.0205,0.8273 ± 0.0164,0.8416 ± 0.0143,0.8222 ± 0.0110,0.6524 ± 0.0318,0.6548 ± 0.0299,0.6510 ± 0.0257,0.7725 ± 0.0153,0.8251 ± 0.0095,0.8222 ± 0.0110,0.8232 ± 0.0099,0.8353 ± 0.0094
decision_tree,ADASYN,0.8231 ± 0.0230,0.6503 ± 0.0329,0.6864 ± 0.0588,0.6586 ± 0.0314,0.7900 ± 0.0279,0.8321 ± 0.0168,0.8231 ± 0.0230,0.8262 ± 0.0201,0.8405 ± 0.0180,0.8212 ± 0.0162,0.6523 ± 0.0408,0.6523 ± 0.0319,0.6514 ± 0.0360,0.7707 ± 0.0173,0.8231 ± 0.0146,0.8212 ± 0.0162,0.8219 ± 0.0153,0.8336 ± 0.0146
decision_tree,SMOTEENN,0.7711 ± 0.0257,0.6217 ± 0.0215,0.7037 ± 0.0479,0.6074 ± 0.0288,0.7937 ± 0.0295,0.8527 ± 0.0228,0.7711 ± 0.0257,0.7852 ± 0.0232,0.8255 ± 0.0202,0.7717 ± 0.0267,0.6277 ± 0.0153,0.7200 ± 0.0315,0.6177 ± 0.0261,0.8023 ± 0.0181,0.8504 ± 0.0106,0.7717 ± 0.0267,0.7857 ± 0.0240,0.8268 ± 0.0166
random_forest,RandomOverSampler,0.8978 ± 0.0124,0.6653 ± 0.1417,0.6242 ± 0.0220,0.6230 ± 0.0367,0.9456 ± 0.0118,0.8803 ± 0.0171,0.8978 ± 0.0124,0.8869 ± 0.0126,0.9591 ± 0.0058,0.8965 ± 0.0060,0.7647 ± 0.1755,0.6277 ± 0.0142,0.6301 ± 0.0267,0.9544 ± 0.0064,0.8852 ± 0.0159,0.8965 ± 0.0060,0.8851 ± 0.0058,0.9606 ± 0.0033
random_forest,SMOTE,0.8967 ± 0.0123,0.6645 ± 0.1422,0.6237 ± 0.0228,0.6222 ± 0.0370,0.9447 ± 0.0157,0.8793 ± 0.0180,0.8967 ± 0.0123,0.8858 ± 0.0126,0.9585 ± 0.0065,0.8975 ± 0.0037,0.7238 ± 0.1635,0.6267 ± 0.0171,0.6266 ± 0.0297,0.9549 ± 0.0058,0.8829 ± 0.0148,0.8975 ± 0.0037,0.8859 ± 0.0041,0.9618 ± 0.0036
random_forest,ADASYN,0.8963 ± 0.0141,0.5977 ± 0.0093,0.6143 ± 0.0099,0.6056 ± 0.0096,0.9456 ± 0.0162,0.8739 ± 0.0137,0.8963 ± 0.0141,0.8846 ± 0.0139,0.9593 ± 0.0070,0.8970 ± 0.0070,0.7583 ± 0.1684,0.6333 ± 0.0254,0.6380 ± 0.0420,0.9545 ± 0.0067,0.8852 ± 0.0142,0.8970 ± 0.0070,0.8860 ± 0.0074,0.9610 ± 0.0029
random_forest,SMOTEENN,0.7802 ± 0.0462,0.6537 ± 0.0222,0.7695 ± 0.0287,0.6419 ± 0.0404,0.9454 ± 0.0130,0.8627 ± 0.0181,0.7802 ± 0.0462,0.7837 ± 0.0510,0.9568 ± 0.0084,0.7769 ± 0.0473,0.6581 ± 0.0245,0.7738 ± 0.0169,0.6509 ± 0.0442,0.9545 ± 0.0062,0.8556 ± 0.0178,0.7769 ± 0.0473,0.7777 ± 0.0510,0.9592 ± 0.0045
extra_trees,RandomOverSampler,0.8952 ± 0.0137,0.5971 ± 0.0091,0.6131 ± 0.0097,0.6049 ± 0.0093,0.9496 ± 0.0169,0.8727 ± 0.0134,0.8952 ± 0.0137,0.8835 ± 0.0135,0.9593 ± 0.0067,0.8976 ± 0.0045,0.5989 ± 0.0032,0.6162 ± 0.0031,0.6075 ± 0.0031,0.9528 ± 0.0078,0.8724 ± 0.0046,0.8976 ± 0.0045,0.8848 ± 0.0045,0.9598 ± 0.0033
extra_trees,SMOTE,0.9000 ± 0.0105,0.6671 ± 0.1394,0.6258 ± 0.0198,0.6246 ± 0.0343,0.9459 ± 0.0143,0.8829 ± 0.0138,0.9000 ± 0.0105,0.8893 ± 0.0102,0.9589 ± 0.0065,0.8945 ± 0.0057,0.6807 ± 0.1405,0.6192 ± 0.0083,0.6157 ± 0.0158,0.9564 ± 0.0063,0.8770 ± 0.0115,0.8945 ± 0.0057,0.8827 ± 0.0053,0.9613 ± 0.0036
