Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.8473 ± 0.0224,0.6320 ± 0.0590,0.6383 ± 0.0614,0.6334 ± 0.0582,0.7724 ± 0.0350,0.8341 ± 0.0131,0.6644 ± 0.0313,0.6664 ± 0.0255,0.6647 ± 0.0283,0.7818 ± 0.0154
0.9055 ± 0.0096,0.7042 ± 0.1601,0.6411 ± 0.0309,0.6455 ± 0.0525,0.9455 ± 0.0200,0.9011 ± 0.0047,0.8026 ± 0.0686,0.6519 ± 0.0172,0.6680 ± 0.0273,0.9546 ± 0.0051
0.9011 ± 0.0116,0.7019 ± 0.1617,0.6375 ± 0.0334,0.6427 ± 0.0545,0.9436 ± 0.0149,0.8961 ± 0.0047,0.7838 ± 0.1095,0.6450 ± 0.0182,0.6595 ± 0.0312,0.9571 ± 0.0080
0.8984 ± 0.0172,0.7750 ± 0.1720,0.6610 ± 0.0478,0.6777 ± 0.0709,0.8975 ± 0.0246,0.8905 ± 0.0058,0.7798 ± 0.0364,0.6901 ± 0.0271,0.7150 ± 0.0313,0.9409 ± 0.0053
0.8692 ± 0.0364,0.6867 ± 0.1119,0.6532 ± 0.0624,0.6590 ± 0.0661,0.9096 ± 0.0182,0.8737 ± 0.0100,0.7346 ± 0.0459,0.7266 ± 0.0323,0.7291 ± 0.0364,0.9259 ± 0.0079
0.8484 ± 0.0298,0.6684 ± 0.0719,0.6518 ± 0.0469,0.6564 ± 0.0565,0.8674 ± 0.0274,0.8583 ± 0.0136,0.7114 ± 0.0393,0.6975 ± 0.0291,0.7029 ± 0.0318,0.9053 ± 0.0168
0.8527 ± 0.0230,0.6801 ± 0.0804,0.6411 ± 0.0393,0.6514 ± 0.0519,0.8590 ± 0.0252,0.8536 ± 0.0116,0.7304 ± 0.0367,0.6912 ± 0.0232,0.7062 ± 0.0260,0.8846 ± 0.0108
0.8995 ± 0.0217,0.5997 ± 0.0145,0.6177 ± 0.0149,0.6083 ± 0.0147,nan ± nan,0.8974 ± 0.0057,0.5981 ± 0.0038,0.6164 ± 0.0040,0.6069 ± 0.0039,nan ± nan
0.8505 ± 0.0257,0.6066 ± 0.1101,0.5946 ± 0.0296,0.5856 ± 0.0434,0.8360 ± 0.0285,0.8558 ± 0.0053,0.7627 ± 0.0743,0.6235 ± 0.0202,0.6334 ± 0.0325,0.8621 ± 0.0129
0.8038 ± 0.0242,0.6505 ± 0.0236,0.7582 ± 0.0789,0.6444 ± 0.0345,0.8806 ± 0.0699,0.8139 ± 0.0123,0.6643 ± 0.0098,0.8185 ± 0.0229,0.6685 ± 0.0146,0.9005 ± 0.0175
