Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.5195 ± 0.0200,0.5346 ± 0.0302,0.7278 ± 0.0237,0.5347 ± 0.0308,0.5397 ± 0.0294,0.7204 ± 0.0166,0.7448 ± 0.0134,0.7278 ± 0.0237,0.7348 ± 0.0193,0.8023 ± 0.0149,0.7237 ± 0.0114,0.5231 ± 0.0210,0.5187 ± 0.0210,0.7087 ± 0.0114,0.7356 ± 0.0084,0.7237 ± 0.0114,0.7292 ± 0.0097,0.7975 ± 0.0085
decision_tree,spearman_sulov,0.5164 ± 0.0329,0.5242 ± 0.0550,0.7319 ± 0.0304,0.5281 ± 0.0558,0.5286 ± 0.0558,0.7155 ± 0.0308,0.7462 ± 0.0219,0.7319 ± 0.0304,0.7371 ± 0.0256,0.8048 ± 0.0192,0.7220 ± 0.0205,0.5169 ± 0.0342,0.5183 ± 0.0327,0.7084 ± 0.0191,0.7356 ± 0.0163,0.7220 ± 0.0205,0.7282 ± 0.0183,0.7969 ± 0.0147
decision_tree,mutual_info,0.5221 ± 0.0231,0.5233 ± 0.0374,0.7330 ± 0.0262,0.5253 ± 0.0387,0.5256 ± 0.0369,0.7140 ± 0.0217,0.7444 ± 0.0179,0.7330 ± 0.0262,0.7376 ± 0.0215,0.8046 ± 0.0169,0.7222 ± 0.0121,0.5220 ± 0.0234,0.5247 ± 0.0246,0.7115 ± 0.0136,0.7350 ± 0.0108,0.7222 ± 0.0121,0.7280 ± 0.0109,0.7967 ± 0.0087
decision_tree,chi2,0.5195 ± 0.0201,0.5189 ± 0.0442,0.7315 ± 0.0281,0.5293 ± 0.0501,0.5171 ± 0.0468,0.7090 ± 0.0275,0.7387 ± 0.0196,0.7315 ± 0.0281,0.7336 ± 0.0240,0.8018 ± 0.0188,0.7220 ± 0.0112,0.5182 ± 0.0171,0.5232 ± 0.0246,0.7109 ± 0.0119,0.7358 ± 0.0120,0.7220 ± 0.0112,0.7283 ± 0.0110,0.7971 ± 0.0095
decision_tree,chi2_mi_union_topk,0.5311 ± 0.0323,0.5257 ± 0.0445,0.7282 ± 0.0304,0.5258 ± 0.0410,0.5329 ± 0.0498,0.7138 ± 0.0302,0.7467 ± 0.0184,0.7282 ± 0.0304,0.7356 ± 0.0239,0.7976 ± 0.0214,0.7281 ± 0.0114,0.5314 ± 0.0348,0.5327 ± 0.0307,0.7137 ± 0.0174,0.7406 ± 0.0136,0.7281 ± 0.0114,0.7339 ± 0.0122,0.7963 ± 0.0104
random_forest,spearman_corr,0.4715 ± 0.0150,0.4855 ± 0.0173,0.8432 ± 0.0084,0.6613 ± 0.1016,0.5024 ± 0.0100,0.8961 ± 0.0067,0.8274 ± 0.0253,0.8432 ± 0.0084,0.7929 ± 0.0087,0.9312 ± 0.0085,0.8338 ± 0.0037,0.6457 ± 0.0720,0.4937 ± 0.0087,0.8921 ± 0.0085,0.8080 ± 0.0195,0.8338 ± 0.0037,0.7802 ± 0.0052,0.9274 ± 0.0045
random_forest,spearman_sulov,0.4707 ± 0.0171,0.4803 ± 0.0243,0.8410 ± 0.0122,0.6372 ± 0.1004,0.4994 ± 0.0149,0.8900 ± 0.0125,0.8152 ± 0.0392,0.8410 ± 0.0122,0.7893 ± 0.0145,0.9293 ± 0.0082,0.8335 ± 0.0047,0.6935 ± 0.1494,0.4930 ± 0.0094,0.8929 ± 0.0083,0.8178 ± 0.0312,0.8335 ± 0.0047,0.7795 ± 0.0062,0.9278 ± 0.0049
random_forest,mutual_info,0.4974 ± 0.0264,0.5066 ± 0.0358,0.8458 ± 0.0106,0.6985 ± 0.1350,0.5144 ± 0.0212,0.8973 ± 0.0122,0.8286 ± 0.0278,0.8458 ± 0.0106,0.7988 ± 0.0142,0.9317 ± 0.0095,0.8358 ± 0.0058,0.7370 ± 0.1362,0.5075 ± 0.0164,0.8913 ± 0.0101,0.8243 ± 0.0267,0.8358 ± 0.0058,0.7870 ± 0.0081,0.9271 ± 0.0060
random_forest,chi2,0.4826 ± 0.0134,0.5193 ± 0.0392,0.8476 ± 0.0095,0.7374 ± 0.1258,0.5228 ± 0.0247,0.8907 ± 0.0141,0.8422 ± 0.0238,0.8476 ± 0.0095,0.8015 ± 0.0100,0.9292 ± 0.0080,0.8319 ± 0.0047,0.6771 ± 0.1037,0.4982 ± 0.0078,0.8918 ± 0.0079,0.8040 ± 0.0170,0.8319 ± 0.0047,0.7818 ± 0.0052,0.9270 ± 0.0047
random_forest,chi2_mi_union_topk,0.5231 ± 0.0303,0.5500 ± 0.0482,0.8473 ± 0.0091,0.7273 ± 0.1200,0.5425 ± 0.0333,0.8853 ± 0.0125,0.8257 ± 0.0268,0.8473 ± 0.0091,0.8064 ± 0.0104,0.9258 ± 0.0099,0.8374 ± 0.0043,0.7408 ± 0.0846,0.5221 ± 0.0194,0.8883 ± 0.0069,0.8158 ± 0.0097,0.8374 ± 0.0043,0.7945 ± 0.0042,0.9257 ± 0.0046
extra_trees,spearman_corr,0.4738 ± 0.0175,0.4905 ± 0.0356,0.8381 ± 0.0099,0.6468 ± 0.1630,0.5059 ± 0.0205,0.8991 ± 0.0065,0.8073 ± 0.0508,0.8381 ± 0.0099,0.7868 ± 0.0106,0.9313 ± 0.0059,0.8277 ± 0.0046,0.6024 ± 0.0618,0.4932 ± 0.0114,0.8924 ± 0.0057,0.7874 ± 0.0227,0.8277 ± 0.0046,0.7764 ± 0.0055,0.9261 ± 0.0032
extra_trees,spearman_sulov,0.4725 ± 0.0173,0.4968 ± 0.0344,0.8403 ± 0.0104,0.6493 ± 0.1388,0.5081 ± 0.0216,0.8940 ± 0.0093,0.8085 ± 0.0462,0.8403 ± 0.0104,0.7919 ± 0.0134,0.9299 ± 0.0061,0.8311 ± 0.0055,0.6321 ± 0.0745,0.4932 ± 0.0102,0.8948 ± 0.0063,0.8067 ± 0.0203,0.8311 ± 0.0055,0.7792 ± 0.0070,0.9272 ± 0.0030
extra_trees,mutual_info,0.5126 ± 0.0380,0.5239 ± 0.0380,0.8418 ± 0.0113,0.6719 ± 0.1225,0.5246 ± 0.0272,0.8944 ± 0.0096,0.8151 ± 0.0296,0.8418 ± 0.0113,0.7992 ± 0.0097,0.9282 ± 0.0084,0.8336 ± 0.0070,0.6942 ± 0.1224,0.5159 ± 0.0233,0.8975 ± 0.0086,0.8059 ± 0.0289,0.8336 ± 0.0070,0.7885 ± 0.0112,0.9295 ± 0.0052
extra_trees,chi2,0.5175 ± 0.0338,0.5331 ± 0.0404,0.8447 ± 0.0105,0.7549 ± 0.1327,0.5297 ± 0.0266,0.8979 ± 0.0108,0.8349 ± 0.0278,0.8447 ± 0.0105,0.8015 ± 0.0125,0.9296 ± 0.0091,0.8338 ± 0.0079,0.7286 ± 0.0897,0.5188 ± 0.0222,0.8945 ± 0.0070,0.8145 ± 0.0244,0.8338 ± 0.0079,0.7883 ± 0.0103,0.9274 ± 0.0038
extra_trees,chi2_mi_union_topk,0.5274 ± 0.0314,0.5319 ± 0.0393,0.8396 ± 0.0113,0.6764 ± 0.1099,0.5298 ± 0.0260,0.8915 ± 0.0098,0.8137 ± 0.0265,0.8396 ± 0.0113,0.7999 ± 0.0092,0.9261 ± 0.0091,0.8302 ± 0.0065,0.6924 ± 0.0961,0.5235 ± 0.0203,0.8940 ± 0.0079,0.8018 ± 0.0177,0.8302 ± 0.0065,0.7898 ± 0.0087,0.9267 ± 0.0057
xgboost,spearman_corr,0.5573 ± 0.0266,0.5847 ± 0.0490,0.8308 ± 0.0157,0.6887 ± 0.0861,0.5758 ± 0.0442,0.8730 ± 0.0158,0.8011 ± 0.0201,0.8308 ± 0.0157,0.8012 ± 0.0143,0.9183 ± 0.0093,0.8142 ± 0.0094,0.6348 ± 0.0352,0.5427 ± 0.0217,0.8686 ± 0.0129,0.7769 ± 0.0115,0.8142 ± 0.0094,0.7858 ± 0.0090,0.9154 ± 0.0077
xgboost,spearman_sulov,0.5499 ± 0.0312,0.5827 ± 0.0499,0.8293 ± 0.0145,0.6738 ± 0.1059,0.5692 ± 0.0427,0.8748 ± 0.0163,0.8004 ± 0.0226,0.8293 ± 0.0145,0.8020 ± 0.0123,0.9182 ± 0.0102,0.8140 ± 0.0115,0.6323 ± 0.0505,0.5365 ± 0.0241,0.8668 ± 0.0144,0.7779 ± 0.0161,0.8140 ± 0.0115,0.7854 ± 0.0118,0.9146 ± 0.0066
xgboost,mutual_info,0.5522 ± 0.0391,0.5743 ± 0.0365,0.8253 ± 0.0179,0.6939 ± 0.0961,0.5619 ± 0.0362,0.8723 ± 0.0162,0.7962 ± 0.0244,0.8253 ± 0.0179,0.7967 ± 0.0160,0.9167 ± 0.0110,0.8126 ± 0.0112,0.6238 ± 0.0582,0.5394 ± 0.0303,0.8679 ± 0.0154,0.7741 ± 0.0174,0.8126 ± 0.0112,0.7841 ± 0.0132,0.9148 ± 0.0093
xgboost,chi2,0.5627 ± 0.0263,0.5827 ± 0.0387,0.8245 ± 0.0146,0.6674 ± 0.0634,0.5721 ± 0.0387,0.8684 ± 0.0166,0.7921 ± 0.0166,0.8245 ± 0.0146,0.7972 ± 0.0136,0.9154 ± 0.0103,0.8171 ± 0.0076,0.6444 ± 0.0382,0.5466 ± 0.0214,0.8647 ± 0.0157,0.7836 ± 0.0103,0.8171 ± 0.0076,0.7903 ± 0.0087,0.9139 ± 0.0081
xgboost,chi2_mi_union_topk,0.5623 ± 0.0400,0.5779 ± 0.0440,0.8176 ± 0.0194,0.6446 ± 0.0570,0.5722 ± 0.0448,0.8589 ± 0.0157,0.7854 ± 0.0163,0.8176 ± 0.0194,0.7919 ± 0.0150,0.9077 ± 0.0099,0.8083 ± 0.0100,0.6161 ± 0.0507,0.5482 ± 0.0334,0.8538 ± 0.0168,0.7755 ± 0.0140,0.8083 ± 0.0100,0.7858 ± 0.0119,0.9055 ± 0.0088
adaboost,spearman_corr,0.5514 ± 0.0285,0.5557 ± 0.0434,0.7875 ± 0.0137,0.5893 ± 0.0637,0.5502 ± 0.0458,0.8545 ± 0.0105,0.7646 ± 0.0154,0.7875 ± 0.0137,0.7733 ± 0.0128,0.9034 ± 0.0121,0.7715 ± 0.0074,0.5842 ± 0.0471,0.5390 ± 0.0230,0.8477 ± 0.0070,0.7516 ± 0.0130,0.7715 ± 0.0074,0.7592 ± 0.0095,0.8963 ± 0.0062
