Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,spearman_corr,0.7038 ± 0.0287,0.4975 ± 0.0413,0.5018 ± 0.0457,0.4966 ± 0.0427,0.6975 ± 0.0265,0.7191 ± 0.0116,0.5202 ± 0.0235,0.5227 ± 0.0267,0.5202 ± 0.0243,0.7098 ± 0.0143
decision_tree,mutual_info,0.7088 ± 0.0277,0.5269 ± 0.0426,0.5366 ± 0.0449,0.5277 ± 0.0414,0.7158 ± 0.0264,0.7234 ± 0.0169,0.5209 ± 0.0170,0.5223 ± 0.0215,0.5208 ± 0.0186,0.7101 ± 0.0132
decision_tree,chi2,0.7022 ± 0.0404,0.4895 ± 0.0401,0.4955 ± 0.0497,0.4886 ± 0.0434,0.6945 ± 0.0299,0.7210 ± 0.0158,0.5176 ± 0.0231,0.5226 ± 0.0272,0.5186 ± 0.0248,0.7103 ± 0.0149
random_forest,spearman_corr,0.8280 ± 0.0170,0.4407 ± 0.0780,0.4807 ± 0.0102,0.4471 ± 0.0108,0.8877 ± 0.0245,0.8305 ± 0.0039,0.5536 ± 0.1245,0.4822 ± 0.0028,0.4498 ± 0.0043,0.8845 ± 0.0088
random_forest,mutual_info,0.8357 ± 0.0180,0.6194 ± 0.1633,0.5076 ± 0.0297,0.4938 ± 0.0458,0.8981 ± 0.0160,0.8329 ± 0.0034,0.7619 ± 0.1043,0.5056 ± 0.0129,0.4930 ± 0.0206,0.8896 ± 0.0052
random_forest,chi2,0.8396 ± 0.0171,0.7277 ± 0.1588,0.5303 ± 0.0332,0.5343 ± 0.0525,0.8992 ± 0.0170,0.8355 ± 0.0047,0.7298 ± 0.0718,0.5099 ± 0.0130,0.5009 ± 0.0217,0.8901 ± 0.0082
extra_trees,spearman_corr,0.8286 ± 0.0112,0.4153 ± 0.0058,0.4802 ± 0.0067,0.4447 ± 0.0061,0.8925 ± 0.0145,0.8297 ± 0.0038,0.4655 ± 0.1057,0.4805 ± 0.0027,0.4463 ± 0.0035,0.8814 ± 0.0058
extra_trees,mutual_info,0.8302 ± 0.0148,0.5917 ± 0.1404,0.4933 ± 0.0229,0.4717 ± 0.0362,0.8982 ± 0.0165,0.8308 ± 0.0048,0.7185 ± 0.1104,0.4955 ± 0.0141,0.4749 ± 0.0242,0.8890 ± 0.0085
extra_trees,chi2,0.8308 ± 0.0121,0.6218 ± 0.1441,0.4991 ± 0.0200,0.4824 ± 0.0339,0.8990 ± 0.0182,0.8334 ± 0.0044,0.7094 ± 0.1024,0.5017 ± 0.0123,0.4870 ± 0.0222,0.8855 ± 0.0071
xgboost,spearman_corr,0.8297 ± 0.0172,0.6753 ± 0.1500,0.5449 ± 0.0494,0.5517 ± 0.0670,0.8778 ± 0.0281,0.8227 ± 0.0064,0.6397 ± 0.0516,0.5196 ± 0.0218,0.5211 ± 0.0301,0.8620 ± 0.0130
xgboost,mutual_info,0.8291 ± 0.0223,0.6621 ± 0.1120,0.5474 ± 0.0414,0.5567 ± 0.0552,0.8814 ± 0.0244,0.8213 ± 0.0059,0.6369 ± 0.0515,0.5308 ± 0.0330,0.5350 ± 0.0420,0.8648 ± 0.0131
xgboost,chi2,0.8236 ± 0.0193,0.6223 ± 0.1111,0.5367 ± 0.0532,0.5392 ± 0.0632,0.8780 ± 0.0228,0.8180 ± 0.0085,0.6176 ± 0.0595,0.5273 ± 0.0279,0.5319 ± 0.0355,0.8614 ± 0.0138
adaboost,spearman_corr,0.7698 ± 0.0206,0.5881 ± 0.0846,0.5410 ± 0.0546,0.5449 ± 0.0495,0.8524 ± 0.0193,0.7744 ± 0.0128,0.5747 ± 0.0329,0.5443 ± 0.0242,0.5535 ± 0.0266,0.8465 ± 0.0082
adaboost,mutual_info,0.7720 ± 0.0199,0.5938 ± 0.0772,0.5482 ± 0.0389,0.5536 ± 0.0393,0.8617 ± 0.0156,0.7695 ± 0.0156,0.5804 ± 0.0356,0.5438 ± 0.0209,0.5549 ± 0.0234,0.8495 ± 0.0075
adaboost,chi2,0.7835 ± 0.0226,0.6229 ± 0.0848,0.5718 ± 0.0489,0.5823 ± 0.0570,0.8613 ± 0.0217,0.7724 ± 0.0108,0.5810 ± 0.0345,0.5468 ± 0.0235,0.5572 ± 0.0272,0.8488 ± 0.0102
logistic_regression,spearman_corr,0.7527 ± 0.0207,0.5656 ± 0.0668,0.5342 ± 0.0503,0.5394 ± 0.0494,0.8004 ± 0.0344,0.7576 ± 0.0095,0.5443 ± 0.0266,0.5208 ± 0.0234,0.5289 ± 0.0246,0.8042 ± 0.0140
logistic_regression,mutual_info,0.7522 ± 0.0186,0.5708 ± 0.0633,0.5469 ± 0.0350,0.5511 ± 0.0373,0.8179 ± 0.0260,0.7545 ± 0.0115,0.5566 ± 0.0287,0.5353 ± 0.0211,0.5437 ± 0.0238,0.8141 ± 0.0105
logistic_regression,chi2,0.7484 ± 0.0237,0.5472 ± 0.0705,0.5529 ± 0.0595,0.5429 ± 0.0519,0.8091 ± 0.0324,0.7440 ± 0.0079,0.5475 ± 0.0233,0.5322 ± 0.0194,0.5385 ± 0.0205,0.8051 ± 0.0154
sgd,spearman_corr,0.7621 ± 0.0233,0.5777 ± 0.0868,0.5200 ± 0.0356,0.5297 ± 0.0452,0.8079 ± 0.0357,0.7706 ± 0.0046,0.5737 ± 0.0409,0.5231 ± 0.0193,0.5349 ± 0.0245,0.7864 ± 0.0099
sgd,mutual_info,0.7555 ± 0.0142,0.5623 ± 0.0823,0.5199 ± 0.0424,0.5277 ± 0.0491,0.8047 ± 0.0243,0.7696 ± 0.0101,0.5799 ± 0.0278,0.5383 ± 0.0188,0.5504 ± 0.0199,0.7916 ± 0.0071
sgd,chi2,0.7544 ± 0.0247,0.5537 ± 0.0893,0.5423 ± 0.0642,0.5390 ± 0.0631,0.8132 ± 0.0226,0.7465 ± 0.0104,0.5463 ± 0.0294,0.5232 ± 0.0243,0.5313 ± 0.0261,0.7857 ± 0.0089
svc,spearman_corr,0.8192 ± 0.0133,0.4108 ± 0.0069,0.4748 ± 0.0078,0.4397 ± 0.0072,nan ± nan,0.8220 ± 0.0044,0.4114 ± 0.0024,0.4757 ± 0.0026,0.4409 ± 0.0024,nan ± nan
svc,mutual_info,0.8275 ± 0.0127,0.4529 ± 0.0863,0.4814 ± 0.0093,0.4489 ± 0.0131,nan ± nan,0.8253 ± 0.0052,0.4632 ± 0.1067,0.4781 ± 0.0036,0.4439 ± 0.0045,nan ± nan
