Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.4676 ± 0.0453,0.3073 ± 0.0496,0.3025 ± 0.0374,0.3026 ± 0.0388,0.5447 ± 0.0256,0.4492 ± 0.0129,0.2982 ± 0.0100,0.2985 ± 0.0091,0.2980 ± 0.0096,0.5392 ± 0.0056
0.5978 ± 0.0357,0.2985 ± 0.0183,0.3458 ± 0.0210,0.3200 ± 0.0195,0.6905 ± 0.0328,0.6062 ± 0.0155,0.3025 ± 0.0079,0.3502 ± 0.0091,0.3246 ± 0.0084,0.6809 ± 0.0139
0.5995 ± 0.0338,0.3000 ± 0.0170,0.3472 ± 0.0197,0.3214 ± 0.0182,0.6962 ± 0.0287,0.6069 ± 0.0160,0.3029 ± 0.0080,0.3506 ± 0.0093,0.3250 ± 0.0086,0.6796 ± 0.0128
0.6044 ± 0.0235,0.3329 ± 0.0449,0.3535 ± 0.0139,0.3339 ± 0.0162,0.6882 ± 0.0229,0.5950 ± 0.0091,0.3487 ± 0.0538,0.3487 ± 0.0053,0.3315 ± 0.0085,0.6654 ± 0.0189
0.5648 ± 0.0339,0.3022 ± 0.0488,0.3285 ± 0.0187,0.3079 ± 0.0187,0.6750 ± 0.0249,0.5655 ± 0.0148,0.3296 ± 0.0359,0.3321 ± 0.0072,0.3165 ± 0.0067,0.6492 ± 0.0249
0.5033 ± 0.0332,0.3544 ± 0.0617,0.3504 ± 0.0504,0.3480 ± 0.0508,0.6194 ± 0.0260,0.5102 ± 0.0187,0.3564 ± 0.0260,0.3417 ± 0.0232,0.3464 ± 0.0239,0.6192 ± 0.0195
0.4995 ± 0.0318,0.3122 ± 0.0356,0.3156 ± 0.0303,0.3123 ± 0.0326,0.6011 ± 0.0267,0.5232 ± 0.0148,0.3428 ± 0.0320,0.3289 ± 0.0170,0.3296 ± 0.0208,0.6006 ± 0.0146
0.5918 ± 0.0288,0.2954 ± 0.0148,0.3423 ± 0.0169,0.3169 ± 0.0157,nan ± nan,0.5990 ± 0.0130,0.2991 ± 0.0064,0.3462 ± 0.0074,0.3209 ± 0.0068,nan ± nan
0.4907 ± 0.0299,0.3049 ± 0.0470,0.2902 ± 0.0182,0.2663 ± 0.0242,0.5573 ± 0.0198,0.4854 ± 0.0112,0.2875 ± 0.0147,0.2847 ± 0.0089,0.2589 ± 0.0112,0.5654 ± 0.0116
0.1110 ± 0.0307,0.2700 ± 0.0515,0.2477 ± 0.0757,0.1088 ± 0.0271,0.5272 ± 0.0500,0.1241 ± 0.0182,0.2618 ± 0.0226,0.2768 ± 0.0454,0.1181 ± 0.0130,0.5288 ± 0.0262
