Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.7055 ± 0.0242,0.5088 ± 0.0280,0.5067 ± 0.0377,0.5032 ± 0.0304,0.7004 ± 0.0216,0.7142 ± 0.0147,0.5067 ± 0.0224,0.5131 ± 0.0254,0.5090 ± 0.0238,0.7042 ± 0.0142
0.8335 ± 0.0132,0.5307 ± 0.1244,0.4913 ± 0.0131,0.4648 ± 0.0231,0.8911 ± 0.0151,0.8304 ± 0.0047,0.5540 ± 0.1243,0.4835 ± 0.0056,0.4528 ± 0.0096,0.8854 ± 0.0081
0.8291 ± 0.0148,0.4785 ± 0.1064,0.4832 ± 0.0099,0.4519 ± 0.0136,0.8877 ± 0.0206,0.8292 ± 0.0052,0.5658 ± 0.1423,0.4833 ± 0.0070,0.4528 ± 0.0118,0.8825 ± 0.0046
0.8308 ± 0.0173,0.6931 ± 0.1337,0.5456 ± 0.0409,0.5535 ± 0.0559,0.8854 ± 0.0270,0.8228 ± 0.0058,0.6521 ± 0.0580,0.5256 ± 0.0251,0.5299 ± 0.0354,0.8657 ± 0.0132
0.7775 ± 0.0297,0.6311 ± 0.0813,0.5441 ± 0.0385,0.5568 ± 0.0394,0.8559 ± 0.0240,0.7744 ± 0.0097,0.5855 ± 0.0282,0.5494 ± 0.0264,0.5606 ± 0.0270,0.8499 ± 0.0087
0.7571 ± 0.0305,0.5503 ± 0.0758,0.5376 ± 0.0634,0.5367 ± 0.0650,0.8087 ± 0.0331,0.7565 ± 0.0120,0.5503 ± 0.0368,0.5273 ± 0.0306,0.5353 ± 0.0324,0.8030 ± 0.0145
0.7753 ± 0.0161,0.6143 ± 0.1023,0.5450 ± 0.0499,0.5554 ± 0.0558,0.8116 ± 0.0224,0.7730 ± 0.0077,0.5670 ± 0.0370,0.5240 ± 0.0188,0.5331 ± 0.0243,nan ± nan
0.8187 ± 0.0119,0.4105 ± 0.0062,0.4745 ± 0.0070,0.4394 ± 0.0064,nan ± nan,0.8220 ± 0.0055,0.4115 ± 0.0027,0.4757 ± 0.0032,0.4409 ± 0.0029,nan ± nan
0.6615 ± 0.0225,0.3760 ± 0.0331,0.3827 ± 0.0176,0.3582 ± 0.0231,0.7219 ± 0.0293,0.6644 ± 0.0074,0.4232 ± 0.0390,0.3911 ± 0.0064,0.3733 ± 0.0098,0.7128 ± 0.0076
0.4654 ± 0.0511,0.4394 ± 0.0332,0.4808 ± 0.0751,0.3609 ± 0.0409,0.7269 ± 0.0464,0.4717 ± 0.0380,0.4514 ± 0.0164,0.4663 ± 0.0341,0.3668 ± 0.0255,0.7205 ± 0.0257
