Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,spearman_corr,0.4159 ± 0.0381,0.3438 ± 0.0422,0.3431 ± 0.0415,0.3425 ± 0.0415,0.5090 ± 0.0319,0.4193 ± 0.0202,0.3575 ± 0.0210,0.3568 ± 0.0198,0.3567 ± 0.0203,0.5191 ± 0.0147
decision_tree,mutual_info,0.4154 ± 0.0378,0.3470 ± 0.0445,0.3486 ± 0.0430,0.3468 ± 0.0444,0.5141 ± 0.0291,0.4129 ± 0.0271,0.3493 ± 0.0286,0.3493 ± 0.0290,0.3489 ± 0.0288,0.5145 ± 0.0220
decision_tree,chi2,0.3984 ± 0.0350,0.3291 ± 0.0365,0.3280 ± 0.0375,0.3275 ± 0.0365,0.4978 ± 0.0278,0.4154 ± 0.0124,0.3502 ± 0.0097,0.3490 ± 0.0107,0.3493 ± 0.0103,0.5096 ± 0.0085
random_forest,spearman_corr,0.5275 ± 0.0139,0.3554 ± 0.1193,0.3535 ± 0.0151,0.2998 ± 0.0231,0.5781 ± 0.0252,0.5272 ± 0.0109,0.3486 ± 0.0693,0.3541 ± 0.0126,0.3040 ± 0.0178,0.5786 ± 0.0148
random_forest,mutual_info,0.5308 ± 0.0209,0.3151 ± 0.0294,0.3599 ± 0.0186,0.3093 ± 0.0226,0.5806 ± 0.0332,0.5248 ± 0.0112,0.3520 ± 0.0533,0.3550 ± 0.0127,0.3080 ± 0.0158,0.5787 ± 0.0095
random_forest,chi2,0.5038 ± 0.0292,0.3621 ± 0.0545,0.3606 ± 0.0233,0.3345 ± 0.0267,0.5555 ± 0.0205,0.5014 ± 0.0179,0.3707 ± 0.0240,0.3685 ± 0.0143,0.3513 ± 0.0146,0.5476 ± 0.0188
extra_trees,spearman_corr,0.5357 ± 0.0204,0.3723 ± 0.1112,0.3642 ± 0.0200,0.3156 ± 0.0272,0.5683 ± 0.0365,0.5367 ± 0.0105,0.4024 ± 0.0530,0.3638 ± 0.0114,0.3172 ± 0.0159,0.5840 ± 0.0140
extra_trees,mutual_info,0.5379 ± 0.0188,0.4193 ± 0.1336,0.3662 ± 0.0149,0.3190 ± 0.0184,0.5722 ± 0.0253,0.5334 ± 0.0078,0.3963 ± 0.0688,0.3648 ± 0.0114,0.3212 ± 0.0165,0.5811 ± 0.0108
extra_trees,chi2,0.4808 ± 0.0292,0.3570 ± 0.0538,0.3532 ± 0.0266,0.3372 ± 0.0318,0.5401 ± 0.0191,0.4747 ± 0.0160,0.3518 ± 0.0146,0.3544 ± 0.0110,0.3428 ± 0.0110,0.5363 ± 0.0170
xgboost,spearman_corr,0.5088 ± 0.0322,0.3724 ± 0.0491,0.3731 ± 0.0276,0.3545 ± 0.0335,0.5686 ± 0.0291,0.5017 ± 0.0135,0.3706 ± 0.0262,0.3673 ± 0.0130,0.3506 ± 0.0154,0.5631 ± 0.0187
xgboost,mutual_info,0.4879 ± 0.0298,0.3421 ± 0.0394,0.3526 ± 0.0189,0.3303 ± 0.0229,0.5575 ± 0.0263,0.4960 ± 0.0132,0.3667 ± 0.0134,0.3657 ± 0.0119,0.3513 ± 0.0136,0.5679 ± 0.0174
xgboost,chi2,0.4709 ± 0.0207,0.3591 ± 0.0275,0.3594 ± 0.0191,0.3508 ± 0.0226,0.5313 ± 0.0268,0.4624 ± 0.0101,0.3527 ± 0.0132,0.3544 ± 0.0107,0.3484 ± 0.0116,0.5156 ± 0.0158
adaboost,spearman_corr,0.5148 ± 0.0233,0.3108 ± 0.0452,0.3564 ± 0.0174,0.3120 ± 0.0227,0.5512 ± 0.0295,0.5263 ± 0.0142,0.3738 ± 0.0446,0.3704 ± 0.0153,0.3353 ± 0.0177,0.5556 ± 0.0203
adaboost,mutual_info,0.5264 ± 0.0283,0.3284 ± 0.0377,0.3639 ± 0.0179,0.3202 ± 0.0180,0.5616 ± 0.0382,0.5254 ± 0.0134,0.3696 ± 0.0236,0.3717 ± 0.0143,0.3380 ± 0.0158,0.5533 ± 0.0219
adaboost,chi2,0.5302 ± 0.0216,0.3276 ± 0.0486,0.3691 ± 0.0178,0.3256 ± 0.0236,0.5444 ± 0.0265,0.5292 ± 0.0164,0.3536 ± 0.0618,0.3734 ± 0.0179,0.3351 ± 0.0202,0.5522 ± 0.0163
logistic_regression,spearman_corr,0.4346 ± 0.0244,0.3761 ± 0.0173,0.3749 ± 0.0180,0.3739 ± 0.0178,0.5497 ± 0.0230,0.4316 ± 0.0157,0.3694 ± 0.0139,0.3694 ± 0.0140,0.3689 ± 0.0140,0.5435 ± 0.0154
logistic_regression,mutual_info,0.4571 ± 0.0279,0.3856 ± 0.0304,0.3820 ± 0.0249,0.3816 ± 0.0260,0.5507 ± 0.0388,0.4565 ± 0.0201,0.3824 ± 0.0198,0.3817 ± 0.0200,0.3816 ± 0.0199,0.5529 ± 0.0158
logistic_regression,chi2,0.4918 ± 0.0228,0.3479 ± 0.0423,0.3497 ± 0.0185,0.3272 ± 0.0231,0.5375 ± 0.0400,0.5017 ± 0.0127,0.3626 ± 0.0185,0.3626 ± 0.0105,0.3443 ± 0.0135,0.5481 ± 0.0231
sgd,spearman_corr,0.4297 ± 0.0353,0.3645 ± 0.0204,0.3635 ± 0.0215,0.3621 ± 0.0204,0.5419 ± 0.0216,0.4406 ± 0.0166,0.3745 ± 0.0134,0.3748 ± 0.0136,0.3744 ± 0.0136,0.5425 ± 0.0181
sgd,mutual_info,0.4505 ± 0.0292,0.3781 ± 0.0337,0.3763 ± 0.0261,0.3752 ± 0.0282,0.5433 ± 0.0367,0.4469 ± 0.0171,0.3743 ± 0.0193,0.3743 ± 0.0200,0.3740 ± 0.0196,0.5458 ± 0.0135
sgd,chi2,0.4192 ± 0.0557,0.3409 ± 0.0422,0.3362 ± 0.0418,0.3322 ± 0.0389,0.5111 ± 0.0422,0.4360 ± 0.0103,0.3486 ± 0.0124,0.3494 ± 0.0111,0.3477 ± 0.0123,0.5206 ± 0.0165
svc,spearman_corr,0.5374 ± 0.0124,0.3337 ± 0.0620,0.3516 ± 0.0119,0.2833 ± 0.0218,nan ± nan,0.5389 ± 0.0081,0.3148 ± 0.0306,0.3503 ± 0.0117,0.2827 ± 0.0211,nan ± nan
svc,mutual_info,0.5324 ± 0.0131,0.3138 ± 0.0377,0.3510 ± 0.0113,0.2879 ± 0.0176,nan ± nan,0.5385 ± 0.0101,0.3139 ± 0.0226,0.3545 ± 0.0141,0.2933 ± 0.0231,nan ± nan
svc,chi2,0.5308 ± 0.0174,0.3074 ± 0.0268,0.3580 ± 0.0146,0.3050 ± 0.0185,nan ± nan,0.5311 ± 0.0133,0.3677 ± 0.1075,0.3617 ± 0.0137,0.3152 ± 0.0166,nan ± nan
knn,spearman_corr,0.5209 ± 0.0241,0.4094 ± 0.0602,0.3783 ± 0.0316,0.3574 ± 0.0423,0.5630 ± 0.0258,0.5184 ± 0.0134,0.4056 ± 0.0192,0.3779 ± 0.0120,0.3616 ± 0.0136,0.5663 ± 0.0125
knn,mutual_info,0.5005 ± 0.0378,0.3851 ± 0.0677,0.3659 ± 0.0370,0.3465 ± 0.0451,0.5577 ± 0.0234,0.5048 ± 0.0112,0.3886 ± 0.0252,0.3698 ± 0.0171,0.3535 ± 0.0223,0.5516 ± 0.0107
knn,chi2,0.4780 ± 0.0393,0.3691 ± 0.0599,0.3535 ± 0.0327,0.3354 ± 0.0356,0.5198 ± 0.0162,0.4773 ± 0.0123,0.3643 ± 0.0182,0.3569 ± 0.0143,0.3429 ± 0.0173,0.5294 ± 0.0148
gaussian_nb,spearman_corr,0.2764 ± 0.0670,0.3783 ± 0.0388,0.3492 ± 0.0345,0.2528 ± 0.0614,0.5573 ± 0.0245,0.2824 ± 0.0384,0.3934 ± 0.0198,0.3555 ± 0.0135,0.2741 ± 0.0391,0.5591 ± 0.0110
gaussian_nb,mutual_info,0.3588 ± 0.1223,0.3823 ± 0.0515,0.3668 ± 0.0343,0.2963 ± 0.1048,0.5573 ± 0.0204,0.2908 ± 0.0541,0.4025 ± 0.0327,0.3576 ± 0.0113,0.2750 ± 0.0529,0.5475 ± 0.0092
gaussian_nb,chi2,0.2995 ± 0.1356,0.3684 ± 0.0841,0.3222 ± 0.0288,0.2013 ± 0.0910,0.5218 ± 0.0353,0.3140 ± 0.1040,0.3627 ± 0.0443,0.3391 ± 0.0140,0.2481 ± 0.0749,0.5211 ± 0.0161
