Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.4160 ± 0.0201,0.3961 ± 0.0343,0.4692 ± 0.0310,0.3972 ± 0.0348,0.3969 ± 0.0331,0.5554 ± 0.0235,0.4737 ± 0.0280,0.4692 ± 0.0310,0.4706 ± 0.0291,0.5708 ± 0.0217,0.4893 ± 0.0176,0.4165 ± 0.0202,0.4161 ± 0.0201,0.5703 ± 0.0153,0.4931 ± 0.0200,0.4893 ± 0.0176,0.4910 ± 0.0186,0.5868 ± 0.0174
decision_tree,spearman_sulov,0.4148 ± 0.0252,0.3893 ± 0.0370,0.4685 ± 0.0318,0.3901 ± 0.0375,0.3903 ± 0.0369,0.5509 ± 0.0276,0.4681 ± 0.0348,0.4685 ± 0.0318,0.4675 ± 0.0327,0.5672 ± 0.0284,0.4869 ± 0.0242,0.4150 ± 0.0251,0.4151 ± 0.0254,0.5689 ± 0.0186,0.4904 ± 0.0221,0.4869 ± 0.0242,0.4884 ± 0.0230,0.5841 ± 0.0193
decision_tree,mutual_info,0.4086 ± 0.0166,0.4147 ± 0.0270,0.4916 ± 0.0297,0.4170 ± 0.0283,0.4157 ± 0.0273,0.5691 ± 0.0201,0.4896 ± 0.0246,0.4916 ± 0.0297,0.4892 ± 0.0255,0.5838 ± 0.0200,0.4808 ± 0.0141,0.4091 ± 0.0163,0.4094 ± 0.0168,0.5644 ± 0.0123,0.4848 ± 0.0148,0.4808 ± 0.0141,0.4823 ± 0.0140,0.5791 ± 0.0123
decision_tree,chi2,0.3938 ± 0.0234,0.3958 ± 0.0258,0.4784 ± 0.0282,0.3959 ± 0.0264,0.3971 ± 0.0259,0.5560 ± 0.0195,0.4733 ± 0.0228,0.4784 ± 0.0282,0.4751 ± 0.0248,0.5728 ± 0.0210,0.4697 ± 0.0177,0.3940 ± 0.0234,0.3941 ± 0.0234,0.5534 ± 0.0165,0.4719 ± 0.0188,0.4697 ± 0.0177,0.4706 ± 0.0181,0.5692 ± 0.0151
decision_tree,chi2_mi_union_topk,0.4107 ± 0.0174,0.4047 ± 0.0220,0.4868 ± 0.0208,0.4059 ± 0.0223,0.4057 ± 0.0221,0.5636 ± 0.0170,0.4848 ± 0.0229,0.4868 ± 0.0208,0.4849 ± 0.0206,0.5822 ± 0.0199,0.4811 ± 0.0199,0.4113 ± 0.0173,0.4111 ± 0.0174,0.5660 ± 0.0134,0.4880 ± 0.0167,0.4811 ± 0.0199,0.4841 ± 0.0180,0.5814 ± 0.0145
random_forest,spearman_corr,0.4130 ± 0.0155,0.4175 ± 0.0298,0.5799 ± 0.0167,0.4367 ± 0.0626,0.4421 ± 0.0189,0.7155 ± 0.0186,0.5114 ± 0.0391,0.5799 ± 0.0167,0.5287 ± 0.0207,0.7371 ± 0.0192,0.5708 ± 0.0092,0.4546 ± 0.0338,0.4332 ± 0.0115,0.7081 ± 0.0090,0.5159 ± 0.0196,0.5708 ± 0.0092,0.5213 ± 0.0113,0.7264 ± 0.0085
random_forest,spearman_sulov,0.4018 ± 0.0190,0.4151 ± 0.0243,0.5773 ± 0.0202,0.4653 ± 0.0711,0.4390 ± 0.0210,0.7219 ± 0.0180,0.5260 ± 0.0454,0.5773 ± 0.0202,0.5263 ± 0.0205,0.7427 ± 0.0194,0.5665 ± 0.0160,0.4436 ± 0.0468,0.4258 ± 0.0183,0.7048 ± 0.0093,0.5072 ± 0.0293,0.5665 ± 0.0160,0.5133 ± 0.0160,0.7240 ± 0.0091
random_forest,mutual_info,0.4170 ± 0.0178,0.4372 ± 0.0231,0.5861 ± 0.0121,0.4703 ± 0.0392,0.4572 ± 0.0160,0.7150 ± 0.0130,0.5375 ± 0.0246,0.5861 ± 0.0121,0.5440 ± 0.0165,0.7371 ± 0.0156,0.5717 ± 0.0128,0.4400 ± 0.0270,0.4380 ± 0.0156,0.7045 ± 0.0104,0.5133 ± 0.0186,0.5717 ± 0.0128,0.5269 ± 0.0146,0.7240 ± 0.0100
random_forest,chi2,0.4233 ± 0.0198,0.4287 ± 0.0195,0.5784 ± 0.0182,0.4414 ± 0.0254,0.4504 ± 0.0166,0.7056 ± 0.0189,0.5229 ± 0.0200,0.5784 ± 0.0182,0.5386 ± 0.0174,0.7298 ± 0.0197,0.5704 ± 0.0148,0.4406 ± 0.0308,0.4412 ± 0.0175,0.6941 ± 0.0126,0.5163 ± 0.0208,0.5704 ± 0.0148,0.5308 ± 0.0158,0.7161 ± 0.0107
random_forest,chi2_mi_union_topk,0.4360 ± 0.0205,0.4356 ± 0.0327,0.5835 ± 0.0181,0.4539 ± 0.0498,0.4560 ± 0.0255,0.7089 ± 0.0133,0.5301 ± 0.0348,0.5835 ± 0.0181,0.5434 ± 0.0236,0.7316 ± 0.0139,0.5736 ± 0.0110,0.4564 ± 0.0306,0.4512 ± 0.0182,0.6963 ± 0.0113,0.5288 ± 0.0201,0.5736 ± 0.0110,0.5392 ± 0.0142,0.7174 ± 0.0103
extra_trees,spearman_corr,0.4312 ± 0.0165,0.4215 ± 0.0243,0.5868 ± 0.0189,0.4376 ± 0.0563,0.4537 ± 0.0216,0.7118 ± 0.0196,0.5204 ± 0.0362,0.5868 ± 0.0189,0.5370 ± 0.0196,0.7340 ± 0.0207,0.5814 ± 0.0119,0.4639 ± 0.0321,0.4536 ± 0.0154,0.7055 ± 0.0111,0.5321 ± 0.0229,0.5814 ± 0.0119,0.5387 ± 0.0135,0.7251 ± 0.0114
