Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,spearman_corr,0.4896 ± 0.0433,0.4135 ± 0.0489,0.4120 ± 0.0469,0.4115 ± 0.0473,0.5669 ± 0.0337,0.4905 ± 0.0181,0.4171 ± 0.0260,0.4175 ± 0.0257,0.4170 ± 0.0258,0.5713 ± 0.0177
decision_tree,mutual_info,0.4879 ± 0.0173,0.4134 ± 0.0283,0.4124 ± 0.0290,0.4112 ± 0.0279,0.5694 ± 0.0196,0.4889 ± 0.0137,0.4137 ± 0.0191,0.4140 ± 0.0193,0.4135 ± 0.0191,0.5702 ± 0.0137
decision_tree,chi2,0.4720 ± 0.0380,0.4042 ± 0.0452,0.4048 ± 0.0454,0.4025 ± 0.0444,0.5574 ± 0.0337,0.4825 ± 0.0165,0.4124 ± 0.0153,0.4125 ± 0.0156,0.4120 ± 0.0154,0.5629 ± 0.0133
random_forest,spearman_corr,0.5681 ± 0.0267,0.4309 ± 0.0511,0.4452 ± 0.0277,0.4221 ± 0.0329,0.6983 ± 0.0239,0.5743 ± 0.0125,0.4480 ± 0.0277,0.4522 ± 0.0137,0.4282 ± 0.0152,0.7001 ± 0.0105
random_forest,mutual_info,0.5929 ± 0.0357,0.5047 ± 0.0669,0.4783 ± 0.0353,0.4633 ± 0.0389,0.7083 ± 0.0259,0.5682 ± 0.0078,0.4466 ± 0.0213,0.4508 ± 0.0093,0.4318 ± 0.0131,0.6934 ± 0.0062
random_forest,chi2,0.5835 ± 0.0293,0.4683 ± 0.0380,0.4668 ± 0.0276,0.4503 ± 0.0324,0.7024 ± 0.0185,0.5667 ± 0.0137,0.4529 ± 0.0339,0.4516 ± 0.0178,0.4357 ± 0.0227,0.6912 ± 0.0100
extra_trees,spearman_corr,0.5692 ± 0.0278,0.4240 ± 0.0480,0.4477 ± 0.0279,0.4225 ± 0.0307,0.7019 ± 0.0212,0.5640 ± 0.0128,0.4343 ± 0.0268,0.4441 ± 0.0148,0.4237 ± 0.0181,0.6883 ± 0.0109
extra_trees,mutual_info,0.5731 ± 0.0396,0.4552 ± 0.0600,0.4562 ± 0.0380,0.4375 ± 0.0409,0.6983 ± 0.0206,0.5630 ± 0.0170,0.4476 ± 0.0299,0.4491 ± 0.0199,0.4321 ± 0.0228,0.6899 ± 0.0091
extra_trees,chi2,0.5643 ± 0.0247,0.4580 ± 0.0750,0.4489 ± 0.0269,0.4327 ± 0.0309,0.6919 ± 0.0223,0.5585 ± 0.0186,0.4498 ± 0.0249,0.4476 ± 0.0185,0.4328 ± 0.0177,0.6834 ± 0.0106
xgboost,spearman_corr,0.5423 ± 0.0284,0.4388 ± 0.0386,0.4334 ± 0.0255,0.4295 ± 0.0281,0.6634 ± 0.0219,0.5406 ± 0.0152,0.4290 ± 0.0178,0.4319 ± 0.0162,0.4257 ± 0.0166,0.6707 ± 0.0086
