Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.4841 ± 0.0346,0.4011 ± 0.0363,0.4034 ± 0.0358,0.4013 ± 0.0360,0.5629 ± 0.0275,0.4784 ± 0.0160,0.4002 ± 0.0168,0.3999 ± 0.0170,0.3998 ± 0.0169,0.5582 ± 0.0130
0.5819 ± 0.0344,0.4621 ± 0.0366,0.4566 ± 0.0289,0.4311 ± 0.0271,0.7143 ± 0.0304,0.5773 ± 0.0117,0.4622 ± 0.0202,0.4517 ± 0.0132,0.4285 ± 0.0136,0.7070 ± 0.0111
0.5775 ± 0.0208,0.4678 ± 0.0444,0.4517 ± 0.0229,0.4289 ± 0.0209,0.7124 ± 0.0232,0.5795 ± 0.0125,0.4373 ± 0.0227,0.4528 ± 0.0140,0.4256 ± 0.0142,0.7056 ± 0.0096
0.5621 ± 0.0350,0.4445 ± 0.0515,0.4439 ± 0.0368,0.4337 ± 0.0402,0.6939 ± 0.0277,0.5594 ± 0.0131,0.4448 ± 0.0276,0.4421 ± 0.0178,0.4343 ± 0.0208,0.6912 ± 0.0137
0.5604 ± 0.0230,0.4588 ± 0.0473,0.4517 ± 0.0313,0.4403 ± 0.0309,0.6823 ± 0.0290,0.5510 ± 0.0087,0.4350 ± 0.0178,0.4366 ± 0.0110,0.4260 ± 0.0128,0.6652 ± 0.0105
0.4995 ± 0.0330,0.4242 ± 0.0299,0.4234 ± 0.0308,0.4226 ± 0.0307,0.6039 ± 0.0381,0.4988 ± 0.0187,0.4211 ± 0.0215,0.4208 ± 0.0219,0.4208 ± 0.0217,0.6063 ± 0.0215
0.5187 ± 0.0372,0.4235 ± 0.0352,0.4180 ± 0.0321,0.4165 ± 0.0327,0.5982 ± 0.0291,0.5139 ± 0.0157,0.4122 ± 0.0162,0.4104 ± 0.0148,0.4085 ± 0.0151,0.5960 ± 0.0132
0.5945 ± 0.0387,0.4433 ± 0.1372,0.4559 ± 0.0296,0.4142 ± 0.0278,nan ± nan,0.5836 ± 0.0134,0.4060 ± 0.0574,0.4445 ± 0.0193,0.4046 ± 0.0204,nan ± nan
0.5604 ± 0.0206,0.4545 ± 0.0294,0.4150 ± 0.0123,0.3985 ± 0.0152,0.6438 ± 0.0289,0.5549 ± 0.0112,0.4547 ± 0.0283,0.4111 ± 0.0134,0.3967 ± 0.0179,0.6396 ± 0.0139
0.4527 ± 0.0786,0.4664 ± 0.0441,0.4425 ± 0.0514,0.4031 ± 0.0676,0.6512 ± 0.0361,0.4503 ± 0.0487,0.4787 ± 0.0129,0.4484 ± 0.0184,0.4084 ± 0.0331,0.6527 ± 0.0121
