Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.4918 ± 0.0301,0.4204 ± 0.0412,0.4190 ± 0.0426,0.4170 ± 0.0414,0.5725 ± 0.0296,0.4812 ± 0.0119,0.4055 ± 0.0115,0.4061 ± 0.0116,0.4054 ± 0.0115,0.5638 ± 0.0091
0.5775 ± 0.0292,0.4625 ± 0.0675,0.4554 ± 0.0323,0.4313 ± 0.0296,0.7027 ± 0.0212,0.5722 ± 0.0132,0.4562 ± 0.0302,0.4532 ± 0.0152,0.4316 ± 0.0185,0.6950 ± 0.0069
0.5725 ± 0.0228,0.4566 ± 0.0498,0.4536 ± 0.0237,0.4312 ± 0.0262,0.6997 ± 0.0182,0.5611 ± 0.0111,0.4413 ± 0.0243,0.4458 ± 0.0131,0.4272 ± 0.0152,0.6884 ± 0.0107
0.5418 ± 0.0321,0.4286 ± 0.0533,0.4301 ± 0.0373,0.4241 ± 0.0426,0.6716 ± 0.0265,0.5338 ± 0.0086,0.4211 ± 0.0139,0.4245 ± 0.0104,0.4184 ± 0.0115,0.6729 ± 0.0084
0.5571 ± 0.0253,0.4566 ± 0.0456,0.4484 ± 0.0305,0.4389 ± 0.0295,0.6950 ± 0.0283,0.5538 ± 0.0090,0.4463 ± 0.0159,0.4454 ± 0.0095,0.4372 ± 0.0122,0.6786 ± 0.0121
0.5132 ± 0.0286,0.4207 ± 0.0276,0.4200 ± 0.0250,0.4187 ± 0.0262,0.5708 ± 0.0398,0.5061 ± 0.0185,0.4188 ± 0.0205,0.4173 ± 0.0198,0.4175 ± 0.0202,0.5741 ± 0.0257
0.4885 ± 0.0453,0.4069 ± 0.0445,0.4061 ± 0.0432,0.4043 ± 0.0430,0.5474 ± 0.0460,0.4882 ± 0.0188,0.4051 ± 0.0222,0.4051 ± 0.0217,0.4049 ± 0.0219,0.5648 ± 0.0245
0.5852 ± 0.0307,0.3840 ± 0.0522,0.4537 ± 0.0266,0.4100 ± 0.0274,nan ± nan,0.5754 ± 0.0140,0.4047 ± 0.0358,0.4491 ± 0.0136,0.4067 ± 0.0118,nan ± nan
0.5456 ± 0.0312,0.4401 ± 0.0518,0.4212 ± 0.0316,0.4109 ± 0.0367,0.6644 ± 0.0205,0.5451 ± 0.0130,0.4363 ± 0.0199,0.4171 ± 0.0163,0.4093 ± 0.0189,0.6516 ± 0.0085
0.5418 ± 0.0436,0.4774 ± 0.0469,0.4717 ± 0.0384,0.4580 ± 0.0379,0.6902 ± 0.0307,0.5409 ± 0.0131,0.4788 ± 0.0160,0.4744 ± 0.0155,0.4636 ± 0.0161,0.6905 ± 0.0083
