,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
0,decision_tree,spearman_corr,0.8330 ± 0.0104,0.8399 ± 0.0258,0.7497 ± 0.0369,0.8598 ± 0.0184,0.8215 ± 0.0388,0.6407 ± 0.0448,0.7357 ± 0.0173,0.8458 ± 0.0184,0.8210 ± 0.0169,0.6047 ± 0.0426
1,decision_tree,mutual_info,0.8345 ± 0.0093,0.8498 ± 0.0153,0.7656 ± 0.0217,0.8726 ± 0.0168,0.8289 ± 0.0292,0.6695 ± 0.0354,0.7377 ± 0.0152,0.8457 ± 0.0129,0.8238 ± 0.0118,0.6054 ± 0.0307
2,decision_tree,spearman_sulov,0.8416 ± 0.0132,0.8427 ± 0.0192,0.7536 ± 0.0293,0.8626 ± 0.0197,0.8240 ± 0.0243,0.6470 ± 0.0461,0.7471 ± 0.0196,0.8461 ± 0.0107,0.8374 ± 0.0196,0.6085 ± 0.0268
3,decision_tree,chi2,0.8359 ± 0.0131,0.8422 ± 0.0126,0.7523 ± 0.0172,0.8602 ± 0.0164,0.8256 ± 0.0274,0.6406 ± 0.0356,0.7394 ± 0.0194,0.8451 ± 0.0112,0.8270 ± 0.0190,0.6041 ± 0.0259
4,decision_tree,chi2_mi_union_topk,0.8454 ± 0.0156,0.8382 ± 0.0129,0.7470 ± 0.0184,0.8596 ± 0.0134,0.8182 ± 0.0230,0.6391 ± 0.0294,0.7540 ± 0.0234,0.8528 ± 0.0142,0.8384 ± 0.0224,0.6243 ± 0.0344
5,random_forest,spearman_corr,0.9061 ± 0.0052,0.9148 ± 0.0077,0.8536 ± 0.0134,0.8571 ± 0.0094,0.9810 ± 0.0103,0.8374 ± 0.0261,0.8380 ± 0.0089,0.8476 ± 0.0056,0.9733 ± 0.0081,0.7833 ± 0.0225
6,random_forest,mutual_info,0.9053 ± 0.0044,0.9120 ± 0.0096,0.8490 ± 0.0165,0.8561 ± 0.0139,0.9760 ± 0.0176,0.8283 ± 0.0184,0.8374 ± 0.0077,0.8501 ± 0.0052,0.9683 ± 0.0059,0.7851 ± 0.0140
7,random_forest,spearman_sulov,0.9043 ± 0.0037,0.9142 ± 0.0091,0.8523 ± 0.0162,0.8560 ± 0.0131,0.9810 ± 0.0117,0.8395 ± 0.0285,0.8349 ± 0.0061,0.8453 ± 0.0039,0.9722 ± 0.0065,0.7831 ± 0.0179
8,random_forest,chi2,0.8989 ± 0.0063,0.9045 ± 0.0064,0.8371 ± 0.0109,0.8530 ± 0.0101,0.9628 ± 0.0142,0.8103 ± 0.0307,0.8277 ± 0.0108,0.8496 ± 0.0081,0.9544 ± 0.0107,0.7696 ± 0.0270
9,random_forest,chi2_mi_union_topk,0.9059 ± 0.0065,0.9147 ± 0.0086,0.8536 ± 0.0151,0.8582 ± 0.0117,0.9793 ± 0.0118,0.8360 ± 0.0252,0.8386 ± 0.0111,0.8514 ± 0.0074,0.9680 ± 0.0093,0.7841 ± 0.0194
10,extra_trees,spearman_corr,0.9054 ± 0.0054,0.9101 ± 0.0082,0.8450 ± 0.0147,0.8507 ± 0.0124,0.9785 ± 0.0112,0.8315 ± 0.0316,0.8366 ± 0.0094,0.8456 ± 0.0065,0.9744 ± 0.0067,0.7771 ± 0.0170
11,extra_trees,mutual_info,0.9054 ± 0.0050,0.9154 ± 0.0083,0.8550 ± 0.0148,0.8600 ± 0.0128,0.9785 ± 0.0112,0.8389 ± 0.0164,0.8374 ± 0.0086,0.8498 ± 0.0054,0.9687 ± 0.0071,0.7812 ± 0.0193
12,extra_trees,spearman_sulov,0.9060 ± 0.0038,0.9122 ± 0.0073,0.8490 ± 0.0132,0.8544 ± 0.0113,0.9785 ± 0.0097,0.8197 ± 0.0394,0.8377 ± 0.0068,0.8469 ± 0.0054,0.9740 ± 0.0045,0.7845 ± 0.0187
13,extra_trees,chi2,0.8992 ± 0.0103,0.9108 ± 0.0082,0.8490 ± 0.0128,0.8644 ± 0.0098,0.9628 ± 0.0200,0.8117 ± 0.0310,0.8289 ± 0.0179,0.8532 ± 0.0134,0.9505 ± 0.0124,0.7617 ± 0.0303
14,extra_trees,chi2_mi_union_topk,0.9081 ± 0.0055,0.9182 ± 0.0076,0.8603 ± 0.0134,0.8650 ± 0.0116,0.9785 ± 0.0097,0.8368 ± 0.0239,0.8426 ± 0.0097,0.8549 ± 0.0064,0.9683 ± 0.0057,0.7870 ± 0.0138
15,xgboost,spearman_corr,0.8894 ± 0.0098,0.8973 ± 0.0097,0.8285 ± 0.0157,0.8623 ± 0.0122,0.9355 ± 0.0182,0.8111 ± 0.0304,0.8151 ± 0.0155,0.8552 ± 0.0073,0.9267 ± 0.0168,0.7544 ± 0.0169
16,xgboost,mutual_info,0.8841 ± 0.0096,0.9000 ± 0.0152,0.8338 ± 0.0237,0.8680 ± 0.0100,0.9347 ± 0.0251,0.8087 ± 0.0224,0.8066 ± 0.0150,0.8514 ± 0.0070,0.9196 ± 0.0158,0.7395 ± 0.0188
17,xgboost,spearman_sulov,0.8890 ± 0.0086,0.9019 ± 0.0124,0.8358 ± 0.0194,0.8645 ± 0.0117,0.9430 ± 0.0225,0.8192 ± 0.0359,0.8140 ± 0.0137,0.8531 ± 0.0063,0.9281 ± 0.0141,0.7553 ± 0.0236
18,xgboost,chi2,0.8781 ± 0.0119,0.8907 ± 0.0140,0.8185 ± 0.0226,0.8608 ± 0.0150,0.9231 ± 0.0240,0.7820 ± 0.0287,0.7980 ± 0.0193,0.8513 ± 0.0111,0.9068 ± 0.0152,0.7367 ± 0.0353
