,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
0,decision_tree,spearman_corr,0.8851 ± 0.0091,0.8988 ± 0.0210,0.8875 ± 0.0242,0.8913 ± 0.0340,0.9073 ± 0.0266,0.8854 ± 0.0256,0.8730 ± 0.0102,0.8835 ± 0.0124,0.8869 ± 0.0117,0.8713 ± 0.0106
1,decision_tree,mutual_info,0.8823 ± 0.0092,0.9033 ± 0.0111,0.8923 ± 0.0131,0.8926 ± 0.0219,0.9147 ± 0.0157,0.8899 ± 0.0142,0.8703 ± 0.0110,0.8844 ± 0.0163,0.8803 ± 0.0082,0.8691 ± 0.0119
2,decision_tree,spearman_sulov,0.8780 ± 0.0106,0.8978 ± 0.0229,0.8864 ± 0.0271,0.8908 ± 0.0339,0.9053 ± 0.0174,0.8844 ± 0.0287,0.8651 ± 0.0120,0.8767 ± 0.0147,0.8795 ± 0.0117,0.8634 ± 0.0125
3,decision_tree,chi2,0.8812 ± 0.0096,0.8935 ± 0.0131,0.8810 ± 0.0154,0.8793 ± 0.0218,0.9087 ± 0.0172,0.8779 ± 0.0164,0.8682 ± 0.0106,0.8774 ± 0.0131,0.8852 ± 0.0154,0.8663 ± 0.0108
4,decision_tree,chi2_mi_union_topk,0.8854 ± 0.0147,0.8980 ± 0.0155,0.8875 ± 0.0173,0.8959 ± 0.0233,0.9007 ± 0.0223,0.8835 ± 0.0188,0.8736 ± 0.0171,0.8871 ± 0.0215,0.8838 ± 0.0111,0.8692 ± 0.0186
5,random_forest,spearman_corr,0.9279 ± 0.0066,0.9407 ± 0.0113,0.9363 ± 0.0116,0.9615 ± 0.0161,0.9213 ± 0.0235,0.9797 ± 0.0063,0.9225 ± 0.0070,0.9526 ± 0.0062,0.9046 ± 0.0082,0.9687 ± 0.0034
6,random_forest,mutual_info,0.9275 ± 0.0054,0.9401 ± 0.0113,0.9355 ± 0.0119,0.9604 ± 0.0212,0.9213 ± 0.0243,0.9778 ± 0.0062,0.9217 ± 0.0059,0.9488 ± 0.0082,0.9071 ± 0.0054,0.9683 ± 0.0027
7,random_forest,spearman_sulov,0.9300 ± 0.0055,0.9416 ± 0.0112,0.9374 ± 0.0113,0.9635 ± 0.0158,0.9213 ± 0.0239,0.9784 ± 0.0060,0.9247 ± 0.0058,0.9542 ± 0.0056,0.9071 ± 0.0082,0.9690 ± 0.0026
8,random_forest,chi2,0.9268 ± 0.0070,0.9415 ± 0.0136,0.9370 ± 0.0144,0.9611 ± 0.0225,0.9233 ± 0.0244,0.9784 ± 0.0067,0.9211 ± 0.0076,0.9487 ± 0.0080,0.9060 ± 0.0076,0.9673 ± 0.0027
9,random_forest,chi2_mi_union_topk,0.9240 ± 0.0059,0.9384 ± 0.0119,0.9337 ± 0.0124,0.9582 ± 0.0197,0.9200 ± 0.0231,0.9771 ± 0.0053,0.9181 ± 0.0061,0.9465 ± 0.0054,0.9026 ± 0.0087,0.9652 ± 0.0034
10,extra_trees,spearman_corr,0.9282 ± 0.0043,0.9373 ± 0.0139,0.9326 ± 0.0142,0.9570 ± 0.0202,0.9193 ± 0.0285,0.9797 ± 0.0059,0.9226 ± 0.0045,0.9516 ± 0.0050,0.9060 ± 0.0081,0.9697 ± 0.0026
11,extra_trees,mutual_info,0.9278 ± 0.0043,0.9350 ± 0.0105,0.9297 ± 0.0113,0.9498 ± 0.0207,0.9213 ± 0.0217,0.9782 ± 0.0062,0.9219 ± 0.0045,0.9464 ± 0.0047,0.9100 ± 0.0067,0.9685 ± 0.0028
12,extra_trees,spearman_sulov,0.9291 ± 0.0070,0.9420 ± 0.0124,0.9377 ± 0.0125,0.9628 ± 0.0146,0.9227 ± 0.0263,0.9784 ± 0.0063,0.9234 ± 0.0075,0.9502 ± 0.0058,0.9088 ± 0.0091,0.9698 ± 0.0027
13,extra_trees,chi2,0.9248 ± 0.0051,0.9353 ± 0.0138,0.9300 ± 0.0150,0.9519 ± 0.0245,0.9200 ± 0.0249,0.9768 ± 0.0068,0.9187 ± 0.0056,0.9448 ± 0.0076,0.9057 ± 0.0061,0.9675 ± 0.0029
14,extra_trees,chi2_mi_union_topk,0.9205 ± 0.0072,0.9341 ± 0.0137,0.9286 ± 0.0145,0.9471 ± 0.0188,0.9220 ± 0.0241,0.9729 ± 0.0073,0.9138 ± 0.0080,0.9375 ± 0.0114,0.9043 ± 0.0085,0.9632 ± 0.0033
15,xgboost,spearman_corr,0.9213 ± 0.0064,0.9334 ± 0.0115,0.9282 ± 0.0121,0.9513 ± 0.0178,0.9167 ± 0.0199,0.9745 ± 0.0063,0.9148 ± 0.0069,0.9391 ± 0.0090,0.9043 ± 0.0091,0.9664 ± 0.0036
16,xgboost,mutual_info,0.9228 ± 0.0077,0.9309 ± 0.0086,0.9253 ± 0.0090,0.9462 ± 0.0180,0.9167 ± 0.0211,0.9738 ± 0.0055,0.9162 ± 0.0084,0.9390 ± 0.0103,0.9071 ± 0.0088,0.9664 ± 0.0039
17,xgboost,spearman_sulov,0.9191 ± 0.0056,0.9321 ± 0.0099,0.9267 ± 0.0104,0.9495 ± 0.0191,0.9160 ± 0.0214,0.9741 ± 0.0062,0.9124 ± 0.0062,0.9378 ± 0.0076,0.9011 ± 0.0052,0.9650 ± 0.0033
18,xgboost,chi2,0.9185 ± 0.0056,0.9321 ± 0.0121,0.9267 ± 0.0128,0.9493 ± 0.0170,0.9160 ± 0.0216,0.9712 ± 0.0069,0.9113 ± 0.0061,0.9315 ± 0.0077,0.9060 ± 0.0079,0.9632 ± 0.0041
