,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
0,decision_tree,spearman_corr,0.8819 ± 0.0135,0.9014 ± 0.0139,0.8908 ± 0.0157,0.8959 ± 0.0214,0.9073 ± 0.0182,0.8890 ± 0.0164,0.8690 ± 0.0159,0.8783 ± 0.0200,0.8858 ± 0.0105,0.8671 ± 0.0169
1,decision_tree,mutual_info,0.8791 ± 0.0119,0.8990 ± 0.0175,0.8872 ± 0.0199,0.8853 ± 0.0219,0.9133 ± 0.0206,0.8843 ± 0.0204,0.8656 ± 0.0133,0.8728 ± 0.0152,0.8858 ± 0.0152,0.8632 ± 0.0137
2,decision_tree,spearman_sulov,0.8783 ± 0.0122,0.8935 ± 0.0135,0.8817 ± 0.0156,0.8851 ± 0.0242,0.9027 ± 0.0204,0.8794 ± 0.0167,0.8643 ± 0.0143,0.8701 ± 0.0182,0.8869 ± 0.0123,0.8617 ± 0.0152
3,decision_tree,chi2,0.8836 ± 0.0117,0.9005 ± 0.0177,0.8894 ± 0.0198,0.8909 ± 0.0225,0.9107 ± 0.0236,0.8870 ± 0.0202,0.8704 ± 0.0127,0.8764 ± 0.0138,0.8912 ± 0.0178,0.8680 ± 0.0128
4,decision_tree,chi2_mi_union_topk,0.8861 ± 0.0146,0.9002 ± 0.0147,0.8901 ± 0.0158,0.8979 ± 0.0200,0.9033 ± 0.0274,0.8852 ± 0.0175,0.8742 ± 0.0164,0.8861 ± 0.0171,0.8860 ± 0.0130,0.8678 ± 0.0175
5,random_forest,spearman_corr,0.9286 ± 0.0065,0.9377 ± 0.0118,0.9330 ± 0.0121,0.9568 ± 0.0161,0.9200 ± 0.0241,0.9783 ± 0.0058,0.9233 ± 0.0068,0.9546 ± 0.0064,0.9040 ± 0.0096,0.9682 ± 0.0029
6,random_forest,mutual_info,0.9258 ± 0.0060,0.9361 ± 0.0124,0.9311 ± 0.0129,0.9547 ± 0.0165,0.9187 ± 0.0222,0.9779 ± 0.0060,0.9198 ± 0.0062,0.9462 ± 0.0052,0.9063 ± 0.0092,0.9675 ± 0.0032
7,random_forest,spearman_sulov,0.9279 ± 0.0048,0.9391 ± 0.0134,0.9348 ± 0.0134,0.9630 ± 0.0107,0.9167 ± 0.0250,0.9784 ± 0.0059,0.9225 ± 0.0050,0.9526 ± 0.0041,0.9046 ± 0.0075,0.9681 ± 0.0029
8,random_forest,chi2,0.9261 ± 0.0055,0.9387 ± 0.0118,0.9341 ± 0.0120,0.9587 ± 0.0158,0.9200 ± 0.0243,0.9774 ± 0.0069,0.9203 ± 0.0058,0.9478 ± 0.0058,0.9054 ± 0.0088,0.9675 ± 0.0029
9,random_forest,chi2_mi_union_topk,0.9266 ± 0.0043,0.9390 ± 0.0126,0.9344 ± 0.0131,0.9595 ± 0.0186,0.9200 ± 0.0229,0.9756 ± 0.0062,0.9209 ± 0.0046,0.9500 ± 0.0054,0.9043 ± 0.0067,0.9659 ± 0.0025
10,extra_trees,spearman_corr,0.9272 ± 0.0048,0.9376 ± 0.0109,0.9330 ± 0.0108,0.9581 ± 0.0165,0.9187 ± 0.0255,0.9786 ± 0.0053,0.9215 ± 0.0052,0.9504 ± 0.0050,0.9051 ± 0.0059,0.9684 ± 0.0025
11,extra_trees,mutual_info,0.9221 ± 0.0054,0.9334 ± 0.0142,0.9278 ± 0.0153,0.9472 ± 0.0218,0.9207 ± 0.0242,0.9764 ± 0.0061,0.9156 ± 0.0059,0.9389 ± 0.0068,0.9060 ± 0.0074,0.9670 ± 0.0030
12,extra_trees,spearman_sulov,0.9242 ± 0.0056,0.9367 ± 0.0124,0.9315 ± 0.0129,0.9512 ± 0.0205,0.9233 ± 0.0254,0.9781 ± 0.0056,0.9182 ± 0.0058,0.9463 ± 0.0045,0.9031 ± 0.0086,0.9676 ± 0.0034
