,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
0,decision_tree,spearman_corr,0.8745 ± 0.0094,0.8828 ± 0.0124,0.8722 ± 0.0140,0.8902 ± 0.0212,0.8760 ± 0.0197,0.8717 ± 0.0147,0.8621 ± 0.0107,0.8787 ± 0.0149,0.8707 ± 0.0125,0.8611 ± 0.0113
1,decision_tree,mutual_info,0.8747 ± 0.0110,0.8844 ± 0.0136,0.8733 ± 0.0148,0.8870 ± 0.0239,0.8827 ± 0.0263,0.8722 ± 0.0154,0.8634 ± 0.0116,0.8851 ± 0.0100,0.8647 ± 0.0146,0.8632 ± 0.0114
2,decision_tree,spearman_sulov,0.8744 ± 0.0094,0.8828 ± 0.0124,0.8722 ± 0.0140,0.8902 ± 0.0212,0.8760 ± 0.0197,0.8717 ± 0.0147,0.8619 ± 0.0108,0.8786 ± 0.0149,0.8704 ± 0.0119,0.8610 ± 0.0114
3,decision_tree,chi2,0.8836 ± 0.0109,0.8909 ± 0.0142,0.8788 ± 0.0160,0.8816 ± 0.0247,0.9013 ± 0.0259,0.8742 ± 0.0171,0.8712 ± 0.0123,0.8816 ± 0.0139,0.8858 ± 0.0120,0.8671 ± 0.0126
4,decision_tree,chi2_mi_union_topk,0.8753 ± 0.0099,0.8857 ± 0.0189,0.8755 ± 0.0210,0.8940 ± 0.0266,0.8780 ± 0.0211,0.8752 ± 0.0218,0.8638 ± 0.0106,0.8850 ± 0.0099,0.8658 ± 0.0132,0.8636 ± 0.0105
5,random_forest,spearman_corr,0.9264 ± 0.0056,0.9381 ± 0.0115,0.9330 ± 0.0118,0.9509 ± 0.0124,0.9260 ± 0.0207,0.9772 ± 0.0064,0.9195 ± 0.0061,0.9350 ± 0.0056,0.9179 ± 0.0078,0.9678 ± 0.0030
6,random_forest,mutual_info,0.9282 ± 0.0069,0.9362 ± 0.0133,0.9308 ± 0.0139,0.9476 ± 0.0130,0.9253 ± 0.0208,0.9776 ± 0.0059,0.9217 ± 0.0074,0.9391 ± 0.0070,0.9177 ± 0.0084,0.9678 ± 0.0030
7,random_forest,spearman_sulov,0.9262 ± 0.0056,0.9381 ± 0.0115,0.9330 ± 0.0118,0.9509 ± 0.0124,0.9260 ± 0.0207,0.9772 ± 0.0064,0.9193 ± 0.0061,0.9350 ± 0.0056,0.9177 ± 0.0077,0.9678 ± 0.0030
8,random_forest,chi2,0.9244 ± 0.0067,0.9314 ± 0.0093,0.9253 ± 0.0098,0.9399 ± 0.0143,0.9233 ± 0.0187,0.9730 ± 0.0068,0.9176 ± 0.0072,0.9368 ± 0.0057,0.9123 ± 0.0085,0.9641 ± 0.0033
9,random_forest,chi2_mi_union_topk,0.9266 ± 0.0051,0.9366 ± 0.0102,0.9311 ± 0.0109,0.9478 ± 0.0161,0.9260 ± 0.0168,0.9761 ± 0.0066,0.9201 ± 0.0054,0.9397 ± 0.0055,0.9140 ± 0.0079,0.9674 ± 0.0032
10,extra_trees,spearman_corr,0.9271 ± 0.0047,0.9347 ± 0.0108,0.9289 ± 0.0115,0.9441 ± 0.0181,0.9260 ± 0.0202,0.9765 ± 0.0074,0.9203 ± 0.0051,0.9361 ± 0.0055,0.9182 ± 0.0066,0.9684 ± 0.0036
11,extra_trees,mutual_info,0.9268 ± 0.0068,0.9357 ± 0.0114,0.9304 ± 0.0116,0.9489 ± 0.0142,0.9233 ± 0.0221,0.9761 ± 0.0066,0.9201 ± 0.0073,0.9371 ± 0.0065,0.9168 ± 0.0094,0.9690 ± 0.0037
12,extra_trees,spearman_sulov,0.9272 ± 0.0048,0.9347 ± 0.0108,0.9289 ± 0.0115,0.9441 ± 0.0181,0.9260 ± 0.0202,0.9765 ± 0.0074,0.9204 ± 0.0052,0.9364 ± 0.0057,0.9182 ± 0.0066,0.9683 ± 0.0036
13,extra_trees,chi2,0.9207 ± 0.0060,0.9307 ± 0.0098,0.9242 ± 0.0102,0.9341 ± 0.0167,0.9280 ± 0.0215,0.9677 ± 0.0081,0.9131 ± 0.0064,0.9267 ± 0.0062,0.9148 ± 0.0089,0.9631 ± 0.0052
14,extra_trees,chi2_mi_union_topk,0.9272 ± 0.0048,0.9366 ± 0.0147,0.9311 ± 0.0154,0.9478 ± 0.0174,0.9260 ± 0.0225,0.9763 ± 0.0065,0.9208 ± 0.0053,0.9405 ± 0.0066,0.9142 ± 0.0068,0.9691 ± 0.0036
15,xgboost,spearman_corr,0.9238 ± 0.0076,0.9342 ± 0.0094,0.9286 ± 0.0095,0.9446 ± 0.0144,0.9247 ± 0.0222,0.9739 ± 0.0071,0.9173 ± 0.0084,0.9402 ± 0.0105,0.9080 ± 0.0081,0.9656 ± 0.0027
16,xgboost,mutual_info,0.9245 ± 0.0045,0.9330 ± 0.0088,0.9267 ± 0.0098,0.9386 ± 0.0197,0.9280 ± 0.0169,0.9729 ± 0.0050,0.9178 ± 0.0051,0.9366 ± 0.0083,0.9128 ± 0.0057,0.9652 ± 0.0030
17,xgboost,spearman_sulov,0.9238 ± 0.0076,0.9342 ± 0.0094,0.9286 ± 0.0095,0.9446 ± 0.0144,0.9247 ± 0.0222,0.9739 ± 0.0071,0.9173 ± 0.0084,0.9402 ± 0.0105,0.9080 ± 0.0081,0.9656 ± 0.0027
18,xgboost,chi2,0.9121 ± 0.0053,0.9232 ± 0.0084,0.9161 ± 0.0100,0.9296 ± 0.0202,0.9173 ± 0.0105,0.9681 ± 0.0054,0.9038 ± 0.0059,0.9200 ± 0.0079,0.9043 ± 0.0049,0.9582 ± 0.0052
19,xgboost,chi2_mi_union_topk,0.9194 ± 0.0056,0.9250 ± 0.0133,0.9176 ± 0.0152,0.9272 ± 0.0265,0.9233 ± 0.0178,0.9723 ± 0.0035,0.9118 ± 0.0065,0.9281 ± 0.0101,0.9108 ± 0.0045,0.9658 ± 0.0021
20,adaboost,spearman_corr,0.9205 ± 0.0068,0.9284 ± 0.0136,0.9227 ± 0.0146,0.9457 ± 0.0181,0.9120 ± 0.0191,0.9725 ± 0.0057,0.9138 ± 0.0072,0.9379 ± 0.0072,0.9037 ± 0.0088,0.9650 ± 0.0040
21,adaboost,mutual_info,0.9220 ± 0.0086,0.9331 ± 0.0075,0.9278 ± 0.0077,0.9503 ± 0.0079,0.9167 ± 0.0145,0.9743 ± 0.0047,0.9154 ± 0.0093,0.9389 ± 0.0094,0.9057 ± 0.0084,0.9663 ± 0.0047
22,adaboost,spearman_sulov,0.9205 ± 0.0068,0.9284 ± 0.0136,0.9227 ± 0.0146,0.9457 ± 0.0181,0.9120 ± 0.0191,0.9725 ± 0.0057,0.9138 ± 0.0072,0.9379 ± 0.0072,0.9037 ± 0.0088,0.9650 ± 0.0040
23,adaboost,chi2,0.9157 ± 0.0084,0.9255 ± 0.0086,0.9194 ± 0.0095,0.9412 ± 0.0181,0.9107 ± 0.0167,0.9738 ± 0.0048,0.9088 ± 0.0090,0.9345 ± 0.0106,0.8977 ± 0.0102,0.9660 ± 0.0033
24,adaboost,chi2_mi_union_topk,0.9214 ± 0.0075,0.9292 ± 0.0101,0.9238 ± 0.0106,0.9494 ± 0.0137,0.9100 ± 0.0161,0.9734 ± 0.0072,0.9148 ± 0.0082,0.9381 ± 0.0108,0.9054 ± 0.0077,0.9661 ± 0.0027
25,svm,spearman_corr,0.9279 ± 0.0066,0.9376 ± 0.0153,0.9341 ± 0.0154,0.9757 ± 0.0151,0.9027 ± 0.0240,0.9754 ± 0.0073,0.9233 ± 0.0067,0.9641 ± 0.0058,0.8943 ± 0.0105,0.9678 ± 0.0035
26,svm,mutual_info,0.9266 ± 0.0076,0.9394 ± 0.0116,0.9359 ± 0.0117,0.9771 ± 0.0125,0.9047 ± 0.0191,0.9763 ± 0.0066,0.9219 ± 0.0077,0.9617 ± 0.0053,0.8940 ± 0.0127,0.9683 ± 0.0037
27,svm,spearman_sulov,0.9279 ± 0.0066,0.9376 ± 0.0153,0.9341 ± 0.0154,0.9757 ± 0.0151,0.9027 ± 0.0240,0.9754 ± 0.0073,0.9233 ± 0.0067,0.9641 ± 0.0058,0.8943 ± 0.0105,0.9678 ± 0.0035
28,svm,chi2,0.9173 ± 0.0069,0.9294 ± 0.0139,0.9256 ± 0.0136,0.9693 ± 0.0149,0.8933 ± 0.0263,0.9724 ± 0.0092,0.9121 ± 0.0070,0.9542 ± 0.0066,0.8832 ± 0.0105,0.9642 ± 0.0039
29,svm,chi2_mi_union_topk,0.9256 ± 0.0056,0.9372 ± 0.0139,0.9337 ± 0.0140,0.9764 ± 0.0153,0.9013 ± 0.0235,0.9750 ± 0.0075,0.9212 ± 0.0056,0.9660 ± 0.0061,0.8886 ± 0.0101,0.9687 ± 0.0028
30,logistic_regression,spearman_corr,0.9196 ± 0.0054,0.9307 ± 0.0138,0.9271 ± 0.0135,0.9721 ± 0.0157,0.8933 ± 0.0259,0.9727 ± 0.0073,0.9146 ± 0.0055,0.9566 ± 0.0041,0.8855 ± 0.0086,0.9683 ± 0.0039
31,logistic_regression,mutual_info,0.9225 ± 0.0054,0.9338 ± 0.0116,0.9300 ± 0.0115,0.9708 ± 0.0134,0.9000 ± 0.0229,0.9744 ± 0.0070,0.9176 ± 0.0055,0.9591 ± 0.0037,0.8886 ± 0.0088,0.9696 ± 0.0040
32,logistic_regression,spearman_sulov,0.9196 ± 0.0054,0.9307 ± 0.0138,0.9271 ± 0.0135,0.9721 ± 0.0157,0.8933 ± 0.0259,0.9727 ± 0.0073,0.9146 ± 0.0055,0.9566 ± 0.0041,0.8855 ± 0.0086,0.9683 ± 0.0039
33,logistic_regression,chi2,0.9148 ± 0.0058,0.9282 ± 0.0124,0.9245 ± 0.0122,0.9712 ± 0.0154,0.8893 ± 0.0223,0.9731 ± 0.0068,0.9096 ± 0.0058,0.9531 ± 0.0034,0.8795 ± 0.0100,0.9684 ± 0.0031
34,logistic_regression,chi2_mi_union_topk,0.9210 ± 0.0045,0.9310 ± 0.0120,0.9271 ± 0.0121,0.9692 ± 0.0127,0.8960 ± 0.0209,0.9726 ± 0.0068,0.9160 ± 0.0046,0.9582 ± 0.0062,0.8866 ± 0.0084,0.9702 ± 0.0031
35,knn,spearman_corr,0.7351 ± 0.0153,0.7483 ± 0.0290,0.7788 ± 0.0207,0.9945 ± 0.0079,0.6007 ± 0.0376,0.8854 ± 0.0206,0.7679 ± 0.0105,0.9923 ± 0.0052,0.5840 ± 0.0197,0.8832 ± 0.0086
36,knn,mutual_info,0.7742 ± 0.0101,0.7855 ± 0.0301,0.8059 ± 0.0226,0.9959 ± 0.0053,0.6493 ± 0.0410,0.8969 ± 0.0237,0.7956 ± 0.0072,0.9912 ± 0.0061,0.6353 ± 0.0147,0.8967 ± 0.0051
37,knn,spearman_sulov,0.7351 ± 0.0153,0.7483 ± 0.0290,0.7788 ± 0.0207,0.9945 ± 0.0079,0.6007 ± 0.0376,0.8854 ± 0.0206,0.7679 ± 0.0105,0.9923 ± 0.0052,0.5840 ± 0.0197,0.8832 ± 0.0086
38,knn,chi2,0.8833 ± 0.0083,0.8911 ± 0.0202,0.8905 ± 0.0182,0.9795 ± 0.0137,0.8180 ± 0.0337,0.9391 ± 0.0123,0.8825 ± 0.0080,0.9772 ± 0.0059,0.8060 ± 0.0110,0.9322 ± 0.0062
39,knn,chi2_mi_union_topk,0.7850 ± 0.0108,0.7955 ± 0.0309,0.8132 ± 0.0237,0.9940 ± 0.0052,0.6640 ± 0.0425,0.8970 ± 0.0197,0.8036 ± 0.0080,0.9913 ± 0.0041,0.6499 ± 0.0152,0.8952 ± 0.0062
40,gaussian_nb,spearman_corr,0.9125 ± 0.0066,0.9270 ± 0.0087,0.9209 ± 0.0087,0.9396 ± 0.0150,0.9153 ± 0.0220,0.9505 ± 0.0102,0.9047 ± 0.0074,0.9252 ± 0.0106,0.9003 ± 0.0075,0.9356 ± 0.0062
41,gaussian_nb,mutual_info,0.9146 ± 0.0074,0.9273 ± 0.0107,0.9205 ± 0.0115,0.9320 ± 0.0208,0.9233 ± 0.0221,0.9493 ± 0.0122,0.9061 ± 0.0084,0.9190 ± 0.0109,0.9103 ± 0.0079,0.9349 ± 0.0074
42,gaussian_nb,spearman_sulov,0.9125 ± 0.0066,0.9270 ± 0.0087,0.9209 ± 0.0087,0.9396 ± 0.0150,0.9153 ± 0.0220,0.9505 ± 0.0102,0.9047 ± 0.0074,0.9252 ± 0.0106,0.9003 ± 0.0075,0.9356 ± 0.0062
43,gaussian_nb,chi2,0.9115 ± 0.0068,0.9248 ± 0.0151,0.9190 ± 0.0162,0.9447 ± 0.0259,0.9067 ± 0.0257,0.9593 ± 0.0096,0.9041 ± 0.0071,0.9283 ± 0.0089,0.8954 ± 0.0122,0.9432 ± 0.0044
44,gaussian_nb,chi2_mi_union_topk,0.9162 ± 0.0046,0.9300 ± 0.0119,0.9231 ± 0.0135,0.9314 ± 0.0242,0.9293 ± 0.0202,0.9487 ± 0.0117,0.9074 ± 0.0051,0.9153 ± 0.0063,0.9171 ± 0.0074,0.9344 ± 0.0053
