,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
0,decision_tree,spearman_corr,0.8755 ± 0.0094,0.8763 ± 0.0114,0.8652 ± 0.0118,0.8839 ± 0.0167,0.8693 ± 0.0220,0.8647 ± 0.0119,0.8638 ± 0.0104,0.8837 ± 0.0113,0.8675 ± 0.0102,0.8634 ± 0.0107
1,decision_tree,mutual_info,0.8732 ± 0.0104,0.8769 ± 0.0142,0.8659 ± 0.0157,0.8852 ± 0.0209,0.8693 ± 0.0211,0.8656 ± 0.0162,0.8608 ± 0.0107,0.8780 ± 0.0097,0.8687 ± 0.0169,0.8599 ± 0.0104
2,decision_tree,spearman_sulov,0.8758 ± 0.0091,0.8763 ± 0.0114,0.8652 ± 0.0118,0.8839 ± 0.0167,0.8693 ± 0.0220,0.8647 ± 0.0119,0.8642 ± 0.0101,0.8840 ± 0.0109,0.8678 ± 0.0102,0.8637 ± 0.0103
3,decision_tree,chi2,0.8866 ± 0.0080,0.9047 ± 0.0141,0.8960 ± 0.0149,0.9109 ± 0.0205,0.8993 ± 0.0267,0.8823 ± 0.0156,0.8770 ± 0.0081,0.9027 ± 0.0096,0.8712 ± 0.0149,0.8634 ± 0.0111
4,decision_tree,chi2_mi_union_topk,0.8749 ± 0.0080,0.8794 ± 0.0140,0.8678 ± 0.0153,0.8819 ± 0.0199,0.8773 ± 0.0216,0.8663 ± 0.0157,0.8631 ± 0.0087,0.8820 ± 0.0109,0.8681 ± 0.0123,0.8620 ± 0.0086
5,random_forest,spearman_corr,0.9264 ± 0.0058,0.9361 ± 0.0118,0.9308 ± 0.0120,0.9496 ± 0.0146,0.9233 ± 0.0221,0.9766 ± 0.0071,0.9197 ± 0.0062,0.9371 ± 0.0069,0.9160 ± 0.0094,0.9667 ± 0.0029
6,random_forest,mutual_info,0.9287 ± 0.0059,0.9351 ± 0.0137,0.9297 ± 0.0143,0.9482 ± 0.0151,0.9227 ± 0.0225,0.9765 ± 0.0082,0.9225 ± 0.0062,0.9425 ± 0.0052,0.9154 ± 0.0091,0.9678 ± 0.0031
7,random_forest,spearman_sulov,0.9264 ± 0.0058,0.9361 ± 0.0118,0.9308 ± 0.0120,0.9496 ± 0.0146,0.9233 ± 0.0221,0.9766 ± 0.0071,0.9197 ± 0.0062,0.9371 ± 0.0069,0.9160 ± 0.0094,0.9667 ± 0.0028
8,random_forest,chi2,0.9226 ± 0.0064,0.9372 ± 0.0107,0.9319 ± 0.0113,0.9492 ± 0.0169,0.9260 ± 0.0205,0.9726 ± 0.0089,0.9160 ± 0.0069,0.9384 ± 0.0060,0.9074 ± 0.0074,0.9623 ± 0.0041
9,random_forest,chi2_mi_union_topk,0.9259 ± 0.0056,0.9367 ± 0.0110,0.9315 ± 0.0115,0.9516 ± 0.0164,0.9227 ± 0.0199,0.9761 ± 0.0066,0.9195 ± 0.0061,0.9404 ± 0.0069,0.9120 ± 0.0064,0.9666 ± 0.0041
10,extra_trees,spearman_corr,0.9229 ± 0.0048,0.9323 ± 0.0107,0.9264 ± 0.0111,0.9420 ± 0.0182,0.9233 ± 0.0218,0.9760 ± 0.0068,0.9159 ± 0.0053,0.9336 ± 0.0070,0.9125 ± 0.0062,0.9678 ± 0.0037
11,extra_trees,mutual_info,0.9259 ± 0.0039,0.9356 ± 0.0111,0.9300 ± 0.0115,0.9465 ± 0.0156,0.9253 ± 0.0206,0.9763 ± 0.0069,0.9192 ± 0.0041,0.9375 ± 0.0037,0.9145 ± 0.0070,0.9676 ± 0.0032
12,extra_trees,spearman_sulov,0.9228 ± 0.0049,0.9323 ± 0.0107,0.9264 ± 0.0111,0.9420 ± 0.0182,0.9233 ± 0.0218,0.9760 ± 0.0068,0.9157 ± 0.0054,0.9333 ± 0.0074,0.9125 ± 0.0062,0.9677 ± 0.0036
13,extra_trees,chi2,0.9197 ± 0.0069,0.9362 ± 0.0078,0.9304 ± 0.0086,0.9444 ± 0.0193,0.9287 ± 0.0183,0.9693 ± 0.0086,0.9124 ± 0.0074,0.9306 ± 0.0074,0.9091 ± 0.0095,0.9592 ± 0.0053
14,extra_trees,chi2_mi_union_topk,0.9230 ± 0.0059,0.9339 ± 0.0116,0.9286 ± 0.0120,0.9488 ± 0.0158,0.9200 ± 0.0215,0.9767 ± 0.0060,0.9164 ± 0.0063,0.9377 ± 0.0061,0.9088 ± 0.0081,0.9664 ± 0.0039
15,xgboost,spearman_corr,0.9212 ± 0.0048,0.9322 ± 0.0095,0.9260 ± 0.0099,0.9382 ± 0.0135,0.9267 ± 0.0191,0.9714 ± 0.0066,0.9135 ± 0.0054,0.9268 ± 0.0073,0.9157 ± 0.0060,0.9634 ± 0.0040
16,xgboost,mutual_info,0.9222 ± 0.0070,0.9298 ± 0.0107,0.9231 ± 0.0118,0.9333 ± 0.0196,0.9267 ± 0.0163,0.9734 ± 0.0067,0.9146 ± 0.0080,0.9280 ± 0.0115,0.9165 ± 0.0067,0.9635 ± 0.0049
17,xgboost,spearman_sulov,0.9212 ± 0.0048,0.9322 ± 0.0095,0.9260 ± 0.0099,0.9382 ± 0.0135,0.9267 ± 0.0191,0.9714 ± 0.0066,0.9135 ± 0.0054,0.9268 ± 0.0073,0.9157 ± 0.0060,0.9634 ± 0.0040
18,xgboost,chi2,0.9163 ± 0.0072,0.9235 ± 0.0085,0.9172 ± 0.0090,0.9379 ± 0.0163,0.9100 ± 0.0181,0.9642 ± 0.0060,0.9085 ± 0.0080,0.9256 ± 0.0095,0.9071 ± 0.0070,0.9519 ± 0.0065
