,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
0,decision_tree,spearman_corr,0.8803 ± 0.0103,0.8885 ± 0.0235,0.8777 ± 0.0262,0.8906 ± 0.0321,0.8873 ± 0.0317,0.8766 ± 0.0269,0.8678 ± 0.0113,0.8796 ± 0.0129,0.8812 ± 0.0148,0.8662 ± 0.0114
1,decision_tree,mutual_info,0.8788 ± 0.0107,0.8913 ± 0.0202,0.8795 ± 0.0232,0.8849 ± 0.0298,0.8987 ± 0.0277,0.8774 ± 0.0242,0.8656 ± 0.0123,0.8749 ± 0.0166,0.8829 ± 0.0126,0.8636 ± 0.0130
2,decision_tree,spearman_sulov,0.8811 ± 0.0141,0.8857 ± 0.0199,0.8744 ± 0.0209,0.8852 ± 0.0257,0.8873 ± 0.0348,0.8729 ± 0.0209,0.8689 ± 0.0157,0.8822 ± 0.0174,0.8801 ± 0.0159,0.8676 ± 0.0161
3,decision_tree,chi2,0.8789 ± 0.0100,0.8915 ± 0.0152,0.8799 ± 0.0172,0.8852 ± 0.0240,0.8987 ± 0.0241,0.8778 ± 0.0178,0.8659 ± 0.0115,0.8763 ± 0.0153,0.8818 ± 0.0125,0.8640 ± 0.0121
4,decision_tree,chi2_mi_union_topk,0.8838 ± 0.0103,0.9077 ± 0.0165,0.8982 ± 0.0187,0.9055 ± 0.0272,0.9107 ± 0.0248,0.8910 ± 0.0199,0.8712 ± 0.0118,0.8806 ± 0.0150,0.8872 ± 0.0119,0.8616 ± 0.0129
5,random_forest,spearman_corr,0.9298 ± 0.0038,0.9399 ± 0.0140,0.9355 ± 0.0148,0.9621 ± 0.0191,0.9193 ± 0.0240,0.9783 ± 0.0076,0.9245 ± 0.0041,0.9553 ± 0.0060,0.9057 ± 0.0061,0.9707 ± 0.0020
6,random_forest,mutual_info,0.9256 ± 0.0055,0.9350 ± 0.0152,0.9300 ± 0.0160,0.9538 ± 0.0166,0.9173 ± 0.0246,0.9783 ± 0.0067,0.9200 ± 0.0059,0.9499 ± 0.0057,0.9026 ± 0.0078,0.9686 ± 0.0026
7,random_forest,spearman_sulov,0.9293 ± 0.0064,0.9386 ± 0.0165,0.9341 ± 0.0173,0.9600 ± 0.0199,0.9187 ± 0.0266,0.9791 ± 0.0067,0.9241 ± 0.0066,0.9560 ± 0.0060,0.9040 ± 0.0097,0.9698 ± 0.0024
8,random_forest,chi2,0.9269 ± 0.0060,0.9346 ± 0.0169,0.9297 ± 0.0176,0.9539 ± 0.0185,0.9167 ± 0.0276,0.9785 ± 0.0072,0.9214 ± 0.0065,0.9520 ± 0.0073,0.9031 ± 0.0076,0.9685 ± 0.0028
9,random_forest,chi2_mi_union_topk,0.9279 ± 0.0067,0.9369 ± 0.0152,0.9319 ± 0.0160,0.9531 ± 0.0214,0.9220 ± 0.0269,0.9769 ± 0.0069,0.9226 ± 0.0073,0.9560 ± 0.0095,0.9014 ± 0.0081,0.9690 ± 0.0026
