,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6704 ± 0.0375,0.6834 ± 0.0513,0.8392 ± 0.0213,0.6886 ± 0.0562,0.6921 ± 0.0630,0.7962 ± 0.0331,0.8425 ± 0.0198,0.8392 ± 0.0213,0.8393 ± 0.0200,0.8504 ± 0.0198,0.8329 ± 0.0135,0.6703 ± 0.0378,0.6714 ± 0.0374,0.7840 ± 0.0198,0.8334 ± 0.0131,0.8329 ± 0.0135,0.8329 ± 0.0132,0.8449 ± 0.0137
1,decision_tree,mutual_info,0.6662 ± 0.0368,0.6450 ± 0.0531,0.8282 ± 0.0183,0.6452 ± 0.0553,0.6490 ± 0.0552,0.7711 ± 0.0292,0.8285 ± 0.0188,0.8282 ± 0.0183,0.8274 ± 0.0181,0.8400 ± 0.0191,0.8327 ± 0.0116,0.6667 ± 0.0355,0.6680 ± 0.0384,0.7824 ± 0.0200,0.8336 ± 0.0103,0.8327 ± 0.0116,0.8328 ± 0.0107,0.8452 ± 0.0108
2,decision_tree,spearman_sulov,0.6704 ± 0.0375,0.6834 ± 0.0513,0.8392 ± 0.0213,0.6886 ± 0.0562,0.6921 ± 0.0630,0.7962 ± 0.0331,0.8425 ± 0.0198,0.8392 ± 0.0213,0.8393 ± 0.0200,0.8504 ± 0.0198,0.8329 ± 0.0135,0.6703 ± 0.0378,0.6714 ± 0.0374,0.7840 ± 0.0198,0.8334 ± 0.0131,0.8329 ± 0.0135,0.8329 ± 0.0132,0.8449 ± 0.0137
3,decision_tree,chi2,0.7027 ± 0.0380,0.6606 ± 0.0375,0.8366 ± 0.0145,0.6660 ± 0.0397,0.6638 ± 0.0420,0.7802 ± 0.0191,0.8392 ± 0.0126,0.8366 ± 0.0145,0.8369 ± 0.0131,0.8469 ± 0.0131,0.8456 ± 0.0138,0.7053 ± 0.0368,0.7028 ± 0.0435,0.8023 ± 0.0231,0.8457 ± 0.0153,0.8456 ± 0.0138,0.8454 ± 0.0145,0.8544 ± 0.0148
4,decision_tree,chi2_mi_union_topk,0.6665 ± 0.0341,0.6431 ± 0.0441,0.8370 ± 0.0093,0.6415 ± 0.0431,0.6510 ± 0.0538,0.7752 ± 0.0270,0.8368 ± 0.0098,0.8370 ± 0.0093,0.8353 ± 0.0084,0.8490 ± 0.0084,0.8351 ± 0.0129,0.6667 ± 0.0337,0.6680 ± 0.0359,0.7831 ± 0.0165,0.8355 ± 0.0120,0.8351 ± 0.0129,0.8351 ± 0.0124,0.8474 ± 0.0130
5,random_forest,spearman_corr,0.6063 ± 0.0057,0.6173 ± 0.0270,0.9015 ± 0.0115,0.6345 ± 0.1054,0.6219 ± 0.0164,0.9480 ± 0.0087,0.8811 ± 0.0137,0.9015 ± 0.0115,0.8901 ± 0.0114,0.9580 ± 0.0077,0.8961 ± 0.0083,0.5980 ± 0.0055,0.6150 ± 0.0058,0.9555 ± 0.0051,0.8708 ± 0.0081,0.8961 ± 0.0083,0.8832 ± 0.0082,0.9594 ± 0.0033
6,random_forest,mutual_info,0.6196 ± 0.0173,0.6339 ± 0.0431,0.9018 ± 0.0103,0.7013 ± 0.1639,0.6314 ± 0.0259,0.9490 ± 0.0080,0.8867 ± 0.0190,0.9018 ± 0.0103,0.8914 ± 0.0113,0.9587 ± 0.0066,0.8953 ± 0.0054,0.7307 ± 0.1711,0.6214 ± 0.0090,0.9543 ± 0.0069,0.8813 ± 0.0142,0.8953 ± 0.0054,0.8833 ± 0.0051,0.9589 ± 0.0034
7,random_forest,spearman_sulov,0.6063 ± 0.0057,0.6173 ± 0.0270,0.9015 ± 0.0115,0.6345 ± 0.1054,0.6219 ± 0.0164,0.9480 ± 0.0087,0.8811 ± 0.0137,0.9015 ± 0.0115,0.8901 ± 0.0114,0.9580 ± 0.0077,0.8961 ± 0.0083,0.5980 ± 0.0055,0.6150 ± 0.0058,0.9555 ± 0.0051,0.8708 ± 0.0081,0.8961 ± 0.0083,0.8832 ± 0.0082,0.9594 ± 0.0033
8,random_forest,chi2,0.6630 ± 0.0236,0.6780 ± 0.0415,0.9015 ± 0.0121,0.8238 ± 0.1401,0.6584 ± 0.0270,0.9449 ± 0.0156,0.8967 ± 0.0192,0.9015 ± 0.0121,0.8937 ± 0.0123,0.9548 ± 0.0069,0.8945 ± 0.0075,0.8634 ± 0.1046,0.6455 ± 0.0132,0.9548 ± 0.0072,0.8920 ± 0.0083,0.8945 ± 0.0075,0.8853 ± 0.0072,0.9571 ± 0.0036
9,random_forest,chi2_mi_union_topk,0.6232 ± 0.0264,0.6339 ± 0.0448,0.9018 ± 0.0113,0.7013 ± 0.1656,0.6315 ± 0.0275,0.9432 ± 0.0114,0.8867 ± 0.0210,0.9018 ± 0.0113,0.8914 ± 0.0126,0.9569 ± 0.0068,0.8961 ± 0.0077,0.7311 ± 0.1744,0.6238 ± 0.0156,0.9558 ± 0.0048,0.8820 ± 0.0191,0.8961 ± 0.0077,0.8842 ± 0.0084,0.9589 ± 0.0031
10,extra_trees,spearman_corr,0.6323 ± 0.0301,0.6339 ± 0.0413,0.9018 ± 0.0129,0.7014 ± 0.1617,0.6312 ± 0.0246,0.9514 ± 0.0141,0.8867 ± 0.0183,0.9018 ± 0.0129,0.8914 ± 0.0131,0.9619 ± 0.0067,0.8953 ± 0.0039,0.7640 ± 0.1754,0.6284 ± 0.0162,0.9582 ± 0.0058,0.8841 ± 0.0152,0.8953 ± 0.0039,0.8841 ± 0.0041,0.9606 ± 0.0036
11,extra_trees,mutual_info,0.6499 ± 0.0248,0.6493 ± 0.0440,0.9004 ± 0.0125,0.7669 ± 0.1754,0.6394 ± 0.0257,0.9557 ± 0.0083,0.8904 ± 0.0182,0.9004 ± 0.0125,0.8908 ± 0.0126,0.9612 ± 0.0064,0.8967 ± 0.0070,0.8980 ± 0.1026,0.6382 ± 0.0142,0.9583 ± 0.0051,0.8966 ± 0.0072,0.8967 ± 0.0070,0.8865 ± 0.0067,0.9611 ± 0.0031
12,extra_trees,spearman_sulov,0.6323 ± 0.0301,0.6339 ± 0.0413,0.9018 ± 0.0129,0.7014 ± 0.1617,0.6312 ± 0.0246,0.9514 ± 0.0141,0.8867 ± 0.0183,0.9018 ± 0.0129,0.8914 ± 0.0131,0.9619 ± 0.0067,0.8953 ± 0.0039,0.7640 ± 0.1754,0.6284 ± 0.0162,0.9582 ± 0.0058,0.8841 ± 0.0152,0.8953 ± 0.0039,0.8841 ± 0.0041,0.9606 ± 0.0036
13,extra_trees,chi2,0.6880 ± 0.0351,0.6850 ± 0.0489,0.8993 ± 0.0139,0.8497 ± 0.1415,0.6615 ± 0.0313,0.9511 ± 0.0121,0.8963 ± 0.0177,0.8993 ± 0.0139,0.8917 ± 0.0139,0.9566 ± 0.0076,0.8948 ± 0.0035,0.8800 ± 0.1043,0.6613 ± 0.0207,0.9598 ± 0.0058,0.8934 ± 0.0081,0.8948 ± 0.0035,0.8869 ± 0.0031,0.9577 ± 0.0037
14,extra_trees,chi2_mi_union_topk,0.6553 ± 0.0321,0.6696 ± 0.0389,0.9062 ± 0.0081,0.8374 ± 0.1598,0.6528 ± 0.0220,0.9503 ± 0.0151,0.9014 ± 0.0134,0.9062 ± 0.0081,0.8974 ± 0.0079,0.9601 ± 0.0086,0.8964 ± 0.0046,0.8977 ± 0.1039,0.6415 ± 0.0195,0.9568 ± 0.0069,0.8963 ± 0.0078,0.8964 ± 0.0046,0.8865 ± 0.0049,0.9609 ± 0.0019
15,xgboost,spearman_corr,0.7153 ± 0.0297,0.7026 ± 0.0574,0.8982 ± 0.0166,0.8199 ± 0.1232,0.6788 ± 0.0451,0.9341 ± 0.0164,0.8950 ± 0.0209,0.8982 ± 0.0166,0.8923 ± 0.0177,0.9562 ± 0.0095,0.8961 ± 0.0086,0.8476 ± 0.0321,0.6833 ± 0.0229,0.9378 ± 0.0109,0.8931 ± 0.0094,0.8961 ± 0.0086,0.8902 ± 0.0089,0.9543 ± 0.0067
16,xgboost,mutual_info,0.7262 ± 0.0249,0.7089 ± 0.0493,0.8967 ± 0.0119,0.8380 ± 0.0725,0.6820 ± 0.0448,0.9380 ± 0.0133,0.8944 ± 0.0130,0.8967 ± 0.0119,0.8912 ± 0.0133,0.9573 ± 0.0068,0.8981 ± 0.0093,0.8447 ± 0.0516,0.6934 ± 0.0195,0.9383 ± 0.0091,0.8953 ± 0.0103,0.8981 ± 0.0093,0.8929 ± 0.0088,0.9545 ± 0.0068
17,xgboost,spearman_sulov,0.7153 ± 0.0297,0.7026 ± 0.0574,0.8982 ± 0.0166,0.8199 ± 0.1232,0.6788 ± 0.0451,0.9341 ± 0.0164,0.8950 ± 0.0209,0.8982 ± 0.0166,0.8923 ± 0.0177,0.9562 ± 0.0095,0.8961 ± 0.0086,0.8476 ± 0.0321,0.6833 ± 0.0229,0.9378 ± 0.0109,0.8931 ± 0.0094,0.8961 ± 0.0086,0.8902 ± 0.0089,0.9543 ± 0.0067
18,xgboost,chi2,0.7403 ± 0.0312,0.7318 ± 0.0579,0.8905 ± 0.0150,0.8102 ± 0.0939,0.7051 ± 0.0463,0.9449 ± 0.0146,0.8873 ± 0.0175,0.8905 ± 0.0150,0.8864 ± 0.0157,0.9522 ± 0.0073,0.8858 ± 0.0069,0.8057 ± 0.0463,0.7111 ± 0.0267,0.9432 ± 0.0110,0.8826 ± 0.0076,0.8858 ± 0.0069,0.8826 ± 0.0069,0.9484 ± 0.0063
19,xgboost,chi2_mi_union_topk,0.7171 ± 0.0370,0.7126 ± 0.0343,0.8941 ± 0.0149,0.8147 ± 0.0674,0.6850 ± 0.0289,0.9395 ± 0.0142,0.8913 ± 0.0159,0.8941 ± 0.0149,0.8893 ± 0.0154,0.9570 ± 0.0061,0.8969 ± 0.0087,0.8453 ± 0.0558,0.6855 ± 0.0276,0.9385 ± 0.0100,0.8937 ± 0.0103,0.8969 ± 0.0087,0.8911 ± 0.0085,0.9531 ± 0.0055
20,adaboost,spearman_corr,0.7341 ± 0.0340,0.7364 ± 0.0329,0.8696 ± 0.0171,0.7596 ± 0.0519,0.7262 ± 0.0355,0.9082 ± 0.0148,0.8699 ± 0.0165,0.8696 ± 0.0171,0.8686 ± 0.0172,0.8983 ± 0.0156,0.8695 ± 0.0093,0.7679 ± 0.0532,0.7149 ± 0.0316,0.9117 ± 0.0100,0.8675 ± 0.0102,0.8695 ± 0.0093,0.8677 ± 0.0097,0.9038 ± 0.0130
21,adaboost,mutual_info,0.7471 ± 0.0357,0.7284 ± 0.0288,0.8703 ± 0.0120,0.7333 ± 0.0481,0.7319 ± 0.0321,0.8998 ± 0.0234,0.8723 ± 0.0124,0.8703 ± 0.0120,0.8706 ± 0.0114,0.8865 ± 0.0267,0.8682 ± 0.0106,0.7765 ± 0.0485,0.7279 ± 0.0308,0.9118 ± 0.0094,0.8666 ± 0.0107,0.8682 ± 0.0106,0.8669 ± 0.0105,0.9019 ± 0.0145
22,adaboost,spearman_sulov,0.7341 ± 0.0340,0.7364 ± 0.0329,0.8696 ± 0.0171,0.7596 ± 0.0519,0.7262 ± 0.0355,0.9082 ± 0.0148,0.8699 ± 0.0165,0.8696 ± 0.0171,0.8686 ± 0.0172,0.8983 ± 0.0156,0.8695 ± 0.0093,0.7679 ± 0.0532,0.7149 ± 0.0316,0.9117 ± 0.0100,0.8675 ± 0.0102,0.8695 ± 0.0093,0.8677 ± 0.0097,0.9038 ± 0.0130
23,adaboost,chi2,0.7629 ± 0.0207,0.7233 ± 0.0519,0.8648 ± 0.0160,0.7203 ± 0.0623,0.7375 ± 0.0545,0.9125 ± 0.0183,0.8701 ± 0.0151,0.8648 ± 0.0160,0.8663 ± 0.0154,0.8995 ± 0.0181,0.8747 ± 0.0069,0.7656 ± 0.0335,0.7628 ± 0.0175,0.9157 ± 0.0113,0.8752 ± 0.0067,0.8747 ± 0.0069,0.8748 ± 0.0068,0.9041 ± 0.0158
24,adaboost,chi2_mi_union_topk,0.7405 ± 0.0340,0.7233 ± 0.0396,0.8670 ± 0.0069,0.7409 ± 0.0509,0.7202 ± 0.0476,0.9027 ± 0.0213,0.8679 ± 0.0090,0.8670 ± 0.0069,0.8663 ± 0.0076,0.8910 ± 0.0264,0.8660 ± 0.0096,0.7698 ± 0.0458,0.7211 ± 0.0293,0.9088 ± 0.0080,0.8642 ± 0.0099,0.8660 ± 0.0096,0.8646 ± 0.0097,0.8970 ± 0.0125
25,svm,spearman_corr,0.6090 ± 0.0045,0.6053 ± 0.0050,0.8960 ± 0.0074,0.5975 ± 0.0050,0.6152 ± 0.0052,0.9519 ± 0.0089,0.8749 ± 0.0074,0.8960 ± 0.0074,0.8840 ± 0.0073,0.9589 ± 0.0061,0.9000 ± 0.0066,0.5998 ± 0.0045,0.6193 ± 0.0044,0.9553 ± 0.0077,0.8752 ± 0.0063,0.9000 ± 0.0066,0.8868 ± 0.0066,0.9604 ± 0.0035
26,svm,mutual_info,0.6083 ± 0.0034,0.6155 ± 0.0301,0.8989 ± 0.0080,0.6328 ± 0.1095,0.6219 ± 0.0189,0.9539 ± 0.0067,0.8806 ± 0.0153,0.8989 ± 0.0080,0.8873 ± 0.0089,0.9604 ± 0.0055,0.8991 ± 0.0050,0.5992 ± 0.0034,0.6186 ± 0.0033,0.9561 ± 0.0056,0.8743 ± 0.0047,0.8991 ± 0.0050,0.8859 ± 0.0050,0.9607 ± 0.0026
27,svm,spearman_sulov,0.6090 ± 0.0045,0.6053 ± 0.0050,0.8960 ± 0.0074,0.5975 ± 0.0050,0.6152 ± 0.0052,0.9519 ± 0.0089,0.8749 ± 0.0074,0.8960 ± 0.0074,0.8840 ± 0.0073,0.9589 ± 0.0061,0.9000 ± 0.0066,0.5998 ± 0.0045,0.6193 ± 0.0044,0.9553 ± 0.0077,0.8752 ± 0.0063,0.9000 ± 0.0066,0.8868 ± 0.0066,0.9604 ± 0.0035
28,svm,chi2,0.6149 ± 0.0315,0.6368 ± 0.0457,0.8941 ± 0.0104,0.7296 ± 0.1753,0.6321 ± 0.0273,0.9537 ± 0.0082,0.8836 ± 0.0201,0.8941 ± 0.0104,0.8839 ± 0.0115,0.9563 ± 0.0073,0.8899 ± 0.0053,0.6597 ± 0.1410,0.6191 ± 0.0182,0.9559 ± 0.0049,0.8709 ± 0.0137,0.8899 ± 0.0053,0.8777 ± 0.0060,0.9569 ± 0.0038
29,svm,chi2_mi_union_topk,0.6143 ± 0.0211,0.6309 ± 0.0426,0.8974 ± 0.0077,0.6986 ± 0.1641,0.6301 ± 0.0254,0.9529 ± 0.0091,0.8846 ± 0.0184,0.8974 ± 0.0077,0.8867 ± 0.0089,0.9591 ± 0.0067,0.8983 ± 0.0037,0.6320 ± 0.1056,0.6216 ± 0.0116,0.9552 ± 0.0076,0.8764 ± 0.0099,0.8983 ± 0.0037,0.8855 ± 0.0040,0.9610 ± 0.0035
30,logistic_regression,spearman_corr,0.7587 ± 0.0366,0.7392 ± 0.0377,0.8861 ± 0.0143,0.7322 ± 0.0411,0.7630 ± 0.0518,0.9429 ± 0.0100,0.8959 ± 0.0119,0.8861 ± 0.0143,0.8874 ± 0.0131,0.9534 ± 0.0069,0.8884 ± 0.0084,0.7552 ± 0.0387,0.7672 ± 0.0395,0.9469 ± 0.0126,0.8918 ± 0.0074,0.8884 ± 0.0084,0.8885 ± 0.0080,0.9528 ± 0.0041
31,logistic_regression,mutual_info,0.7536 ± 0.0300,0.7415 ± 0.0387,0.8886 ± 0.0153,0.7294 ± 0.0341,0.7692 ± 0.0519,0.9446 ± 0.0076,0.8989 ± 0.0112,0.8886 ± 0.0153,0.8902 ± 0.0135,0.9555 ± 0.0065,0.8855 ± 0.0086,0.7407 ± 0.0309,0.7760 ± 0.0361,0.9476 ± 0.0105,0.8922 ± 0.0072,0.8855 ± 0.0086,0.8868 ± 0.0078,0.9547 ± 0.0025
