,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6643 ± 0.0455,0.6544 ± 0.0399,0.8308 ± 0.0187,0.6600 ± 0.0433,0.6547 ± 0.0443,0.7744 ± 0.0239,0.8307 ± 0.0179,0.8308 ± 0.0187,0.8299 ± 0.0179,0.8412 ± 0.0181,0.8321 ± 0.0101,0.6663 ± 0.0403,0.6657 ± 0.0536,0.7807 ± 0.0264,0.8311 ± 0.0081,0.8321 ± 0.0101,0.8313 ± 0.0089,0.8434 ± 0.0085
1,decision_tree,mutual_info,0.6492 ± 0.0513,0.6529 ± 0.0489,0.8264 ± 0.0192,0.6573 ± 0.0514,0.6519 ± 0.0483,0.7716 ± 0.0252,0.8261 ± 0.0187,0.8264 ± 0.0192,0.8254 ± 0.0186,0.8371 ± 0.0195,0.8305 ± 0.0146,0.6513 ± 0.0504,0.6487 ± 0.0525,0.7716 ± 0.0267,0.8292 ± 0.0118,0.8305 ± 0.0146,0.8297 ± 0.0131,0.8417 ± 0.0130
2,decision_tree,spearman_sulov,0.6643 ± 0.0455,0.6544 ± 0.0399,0.8308 ± 0.0187,0.6600 ± 0.0433,0.6547 ± 0.0443,0.7744 ± 0.0239,0.8307 ± 0.0179,0.8308 ± 0.0187,0.8299 ± 0.0179,0.8412 ± 0.0181,0.8321 ± 0.0101,0.6663 ± 0.0403,0.6657 ± 0.0536,0.7807 ± 0.0264,0.8311 ± 0.0081,0.8321 ± 0.0101,0.8313 ± 0.0089,0.8434 ± 0.0085
3,decision_tree,chi2,0.6878 ± 0.0275,0.6486 ± 0.0417,0.8421 ± 0.0149,0.6435 ± 0.0376,0.6593 ± 0.0510,0.7706 ± 0.0245,0.8446 ± 0.0137,0.8421 ± 0.0149,0.8421 ± 0.0136,0.8396 ± 0.0152,0.8456 ± 0.0107,0.6863 ± 0.0257,0.6913 ± 0.0312,0.7873 ± 0.0176,0.8464 ± 0.0108,0.8456 ± 0.0107,0.8456 ± 0.0106,0.8417 ± 0.0122
4,decision_tree,chi2_mi_union_topk,0.6546 ± 0.0394,0.6470 ± 0.0683,0.8267 ± 0.0138,0.6417 ± 0.0646,0.6616 ± 0.0855,0.7771 ± 0.0450,0.8285 ± 0.0167,0.8267 ± 0.0138,0.8262 ± 0.0144,0.8391 ± 0.0145,0.8280 ± 0.0202,0.6525 ± 0.0378,0.6579 ± 0.0422,0.7757 ± 0.0228,0.8291 ± 0.0188,0.8280 ± 0.0202,0.8283 ± 0.0195,0.8408 ± 0.0192
5,random_forest,spearman_corr,0.6160 ± 0.0181,0.6513 ± 0.0450,0.9033 ± 0.0126,0.7688 ± 0.1766,0.6414 ± 0.0266,0.9435 ± 0.0117,0.8931 ± 0.0193,0.9033 ± 0.0126,0.8937 ± 0.0129,0.9590 ± 0.0073,0.8951 ± 0.0062,0.6972 ± 0.1617,0.6196 ± 0.0106,0.9553 ± 0.0058,0.8783 ± 0.0161,0.8951 ± 0.0062,0.8829 ± 0.0065,0.9595 ± 0.0027
6,random_forest,mutual_info,0.6199 ± 0.0184,0.6329 ± 0.0419,0.9004 ± 0.0129,0.7004 ± 0.1625,0.6304 ± 0.0250,0.9445 ± 0.0135,0.8854 ± 0.0190,0.9004 ± 0.0129,0.8899 ± 0.0133,0.9588 ± 0.0074,0.8958 ± 0.0063,0.7308 ± 0.1721,0.6219 ± 0.0101,0.9537 ± 0.0060,0.8817 ± 0.0158,0.8958 ± 0.0063,0.8837 ± 0.0063,0.9579 ± 0.0036
7,random_forest,spearman_sulov,0.6160 ± 0.0181,0.6513 ± 0.0450,0.9033 ± 0.0126,0.7688 ± 0.1766,0.6414 ± 0.0266,0.9435 ± 0.0117,0.8931 ± 0.0193,0.9033 ± 0.0126,0.8937 ± 0.0129,0.9590 ± 0.0073,0.8951 ± 0.0062,0.6972 ± 0.1617,0.6196 ± 0.0106,0.9553 ± 0.0058,0.8783 ± 0.0161,0.8951 ± 0.0062,0.8829 ± 0.0065,0.9595 ± 0.0027
8,random_forest,chi2,0.6799 ± 0.0386,0.6737 ± 0.0438,0.8963 ± 0.0105,0.8039 ± 0.1346,0.6550 ± 0.0299,0.9474 ± 0.0134,0.8910 ± 0.0178,0.8963 ± 0.0105,0.8887 ± 0.0118,0.9539 ± 0.0087,0.8948 ± 0.0046,0.8217 ± 0.1020,0.6582 ± 0.0246,0.9546 ± 0.0107,0.8896 ± 0.0091,0.8948 ± 0.0046,0.8869 ± 0.0055,0.9551 ± 0.0054
9,random_forest,chi2_mi_union_topk,0.6236 ± 0.0187,0.6428 ± 0.0445,0.9029 ± 0.0111,0.7353 ± 0.1736,0.6368 ± 0.0261,0.9501 ± 0.0098,0.8904 ± 0.0187,0.9029 ± 0.0111,0.8929 ± 0.0116,0.9589 ± 0.0069,0.8961 ± 0.0081,0.7644 ± 0.1755,0.6238 ± 0.0104,0.9526 ± 0.0084,0.8848 ± 0.0164,0.8961 ± 0.0081,0.8843 ± 0.0080,0.9576 ± 0.0036
10,extra_trees,spearman_corr,0.6659 ± 0.0391,0.6698 ± 0.0599,0.9018 ± 0.0091,0.8013 ± 0.1705,0.6540 ± 0.0391,0.9504 ± 0.0106,0.8945 ± 0.0143,0.9018 ± 0.0091,0.8932 ± 0.0081,0.9596 ± 0.0062,0.8953 ± 0.0051,0.8636 ± 0.1395,0.6478 ± 0.0221,0.9587 ± 0.0068,0.8923 ± 0.0115,0.8953 ± 0.0051,0.8860 ± 0.0051,0.9601 ± 0.0029
11,extra_trees,mutual_info,0.6604 ± 0.0357,0.6646 ± 0.0517,0.9015 ± 0.0135,0.8009 ± 0.1737,0.6492 ± 0.0313,0.9522 ± 0.0107,0.8940 ± 0.0205,0.9015 ± 0.0135,0.8926 ± 0.0135,0.9599 ± 0.0073,0.8954 ± 0.0057,0.8636 ± 0.1397,0.6445 ± 0.0201,0.9576 ± 0.0056,0.8925 ± 0.0119,0.8954 ± 0.0057,0.8858 ± 0.0058,0.9593 ± 0.0033
12,extra_trees,spearman_sulov,0.6659 ± 0.0391,0.6698 ± 0.0599,0.9018 ± 0.0091,0.8013 ± 0.1705,0.6540 ± 0.0391,0.9504 ± 0.0106,0.8945 ± 0.0143,0.9018 ± 0.0091,0.8932 ± 0.0081,0.9596 ± 0.0062,0.8953 ± 0.0051,0.8636 ± 0.1395,0.6478 ± 0.0221,0.9587 ± 0.0068,0.8923 ± 0.0115,0.8953 ± 0.0051,0.8860 ± 0.0051,0.9601 ± 0.0029
13,extra_trees,chi2,0.7079 ± 0.0459,0.6805 ± 0.0465,0.8945 ± 0.0059,0.8358 ± 0.1376,0.6582 ± 0.0309,0.9475 ± 0.0116,0.8914 ± 0.0117,0.8945 ± 0.0059,0.8872 ± 0.0063,0.9507 ± 0.0078,0.8928 ± 0.0053,0.8688 ± 0.1011,0.6756 ± 0.0302,0.9568 ± 0.0057,0.8908 ± 0.0096,0.8928 ± 0.0053,0.8862 ± 0.0065,0.9537 ± 0.0045
14,extra_trees,chi2_mi_union_topk,0.6720 ± 0.0360,0.6811 ± 0.0564,0.9044 ± 0.0100,0.8363 ± 0.1622,0.6603 ± 0.0359,0.9537 ± 0.0091,0.8996 ± 0.0174,0.9044 ± 0.0100,0.8963 ± 0.0108,0.9592 ± 0.0069,0.8954 ± 0.0055,0.8969 ± 0.1033,0.6514 ± 0.0212,0.9563 ± 0.0057,0.8953 ± 0.0074,0.8954 ± 0.0055,0.8865 ± 0.0049,0.9584 ± 0.0039
15,xgboost,spearman_corr,0.7079 ± 0.0384,0.7204 ± 0.0354,0.8934 ± 0.0150,0.8360 ± 0.0703,0.6885 ± 0.0285,0.9461 ± 0.0135,0.8911 ± 0.0154,0.8934 ± 0.0150,0.8888 ± 0.0155,0.9574 ± 0.0069,0.8879 ± 0.0117,0.8093 ± 0.0625,0.6791 ± 0.0288,0.9400 ± 0.0076,0.8833 ± 0.0127,0.8879 ± 0.0117,0.8824 ± 0.0113,0.9514 ± 0.0068
16,xgboost,mutual_info,0.7257 ± 0.0306,0.7291 ± 0.0489,0.8960 ± 0.0172,0.8335 ± 0.0702,0.6993 ± 0.0436,0.9474 ± 0.0130,0.8937 ± 0.0171,0.8960 ± 0.0172,0.8916 ± 0.0175,0.9573 ± 0.0071,0.8903 ± 0.0126,0.8295 ± 0.0463,0.6929 ± 0.0238,0.9397 ± 0.0085,0.8870 ± 0.0128,0.8903 ± 0.0126,0.8855 ± 0.0120,0.9510 ± 0.0066
17,xgboost,spearman_sulov,0.7079 ± 0.0384,0.7204 ± 0.0354,0.8934 ± 0.0150,0.8360 ± 0.0703,0.6885 ± 0.0285,0.9461 ± 0.0135,0.8911 ± 0.0154,0.8934 ± 0.0150,0.8888 ± 0.0155,0.9574 ± 0.0069,0.8879 ± 0.0117,0.8093 ± 0.0625,0.6791 ± 0.0288,0.9400 ± 0.0076,0.8833 ± 0.0127,0.8879 ± 0.0117,0.8824 ± 0.0113,0.9514 ± 0.0068
18,xgboost,chi2,0.7330 ± 0.0249,0.7175 ± 0.0602,0.8912 ± 0.0118,0.7962 ± 0.1071,0.6923 ± 0.0485,0.9406 ± 0.0170,0.8876 ± 0.0171,0.8912 ± 0.0118,0.8867 ± 0.0134,0.9455 ± 0.0062,0.8829 ± 0.0083,0.8149 ± 0.0433,0.7006 ± 0.0198,0.9396 ± 0.0093,0.8798 ± 0.0086,0.8829 ± 0.0083,0.8791 ± 0.0084,0.9413 ± 0.0060
19,xgboost,chi2_mi_union_topk,0.7312 ± 0.0389,0.7111 ± 0.0594,0.8941 ± 0.0191,0.8142 ± 0.1236,0.6845 ± 0.0451,0.9446 ± 0.0153,0.8907 ± 0.0229,0.8941 ± 0.0191,0.8891 ± 0.0194,0.9549 ± 0.0053,0.8895 ± 0.0090,0.8273 ± 0.0549,0.6977 ± 0.0302,0.9381 ± 0.0083,0.8862 ± 0.0104,0.8895 ± 0.0090,0.8851 ± 0.0092,0.9504 ± 0.0052
20,adaboost,spearman_corr,0.7392 ± 0.0223,0.7390 ± 0.0347,0.8747 ± 0.0123,0.7529 ± 0.0555,0.7350 ± 0.0357,0.9056 ± 0.0175,0.8762 ± 0.0133,0.8747 ± 0.0123,0.8743 ± 0.0121,0.8949 ± 0.0215,0.8684 ± 0.0076,0.7670 ± 0.0412,0.7228 ± 0.0224,0.9093 ± 0.0096,0.8669 ± 0.0071,0.8684 ± 0.0076,0.8670 ± 0.0070,0.8970 ± 0.0138
21,adaboost,mutual_info,0.7464 ± 0.0210,0.7357 ± 0.0338,0.8718 ± 0.0130,0.7477 ± 0.0537,0.7326 ± 0.0355,0.9067 ± 0.0181,0.8737 ± 0.0142,0.8718 ± 0.0130,0.8714 ± 0.0128,0.8967 ± 0.0219,0.8711 ± 0.0067,0.7795 ± 0.0389,0.7265 ± 0.0184,0.9091 ± 0.0079,0.8695 ± 0.0067,0.8711 ± 0.0067,0.8695 ± 0.0064,0.8967 ± 0.0135
22,adaboost,spearman_sulov,0.7392 ± 0.0223,0.7390 ± 0.0347,0.8747 ± 0.0123,0.7529 ± 0.0555,0.7350 ± 0.0357,0.9056 ± 0.0175,0.8762 ± 0.0133,0.8747 ± 0.0123,0.8743 ± 0.0121,0.8949 ± 0.0215,0.8684 ± 0.0076,0.7670 ± 0.0412,0.7228 ± 0.0224,0.9093 ± 0.0096,0.8669 ± 0.0071,0.8684 ± 0.0076,0.8670 ± 0.0070,0.8970 ± 0.0138
23,adaboost,chi2,0.7568 ± 0.0179,0.7291 ± 0.0442,0.8685 ± 0.0134,0.7257 ± 0.0598,0.7445 ± 0.0393,0.9114 ± 0.0148,0.8753 ± 0.0099,0.8685 ± 0.0134,0.8700 ± 0.0123,0.8980 ± 0.0150,0.8736 ± 0.0057,0.7649 ± 0.0366,0.7534 ± 0.0160,0.9136 ± 0.0088,0.8738 ± 0.0053,0.8736 ± 0.0057,0.8734 ± 0.0055,0.9010 ± 0.0144
24,adaboost,chi2_mi_union_topk,0.7434 ± 0.0275,0.7167 ± 0.0265,0.8670 ± 0.0065,0.7238 ± 0.0425,0.7206 ± 0.0344,0.9037 ± 0.0157,0.8694 ± 0.0066,0.8670 ± 0.0065,0.8672 ± 0.0059,0.8882 ± 0.0195,0.8701 ± 0.0096,0.7764 ± 0.0367,0.7239 ± 0.0287,0.9082 ± 0.0083,0.8685 ± 0.0103,0.8701 ± 0.0096,0.8685 ± 0.0100,0.8951 ± 0.0140
25,svm,spearman_corr,0.6098 ± 0.0114,0.6224 ± 0.0389,0.8971 ± 0.0090,0.6648 ± 0.1446,0.6250 ± 0.0237,0.9545 ± 0.0060,0.8811 ± 0.0184,0.8971 ± 0.0090,0.8860 ± 0.0102,0.9591 ± 0.0068,0.8962 ± 0.0065,0.6306 ± 0.1051,0.6182 ± 0.0067,0.9536 ± 0.0050,0.8743 ± 0.0104,0.8962 ± 0.0065,0.8834 ± 0.0064,0.9585 ± 0.0023
26,svm,mutual_info,0.6127 ± 0.0212,0.6304 ± 0.0430,0.8967 ± 0.0081,0.6980 ± 0.1643,0.6294 ± 0.0257,0.9540 ± 0.0063,0.8836 ± 0.0189,0.8967 ± 0.0081,0.8860 ± 0.0093,0.9590 ± 0.0063,0.8959 ± 0.0064,0.6304 ± 0.1055,0.6197 ± 0.0120,0.9534 ± 0.0052,0.8739 ± 0.0109,0.8959 ± 0.0064,0.8832 ± 0.0064,0.9582 ± 0.0023
27,svm,spearman_sulov,0.6098 ± 0.0114,0.6224 ± 0.0389,0.8971 ± 0.0090,0.6648 ± 0.1446,0.6250 ± 0.0237,0.9545 ± 0.0060,0.8811 ± 0.0184,0.8971 ± 0.0090,0.8860 ± 0.0102,0.9591 ± 0.0068,0.8962 ± 0.0065,0.6306 ± 0.1051,0.6182 ± 0.0067,0.9536 ± 0.0050,0.8743 ± 0.0104,0.8962 ± 0.0065,0.8834 ± 0.0064,0.9585 ± 0.0023
28,svm,chi2,0.6269 ± 0.0327,0.6495 ± 0.0471,0.8886 ± 0.0102,0.7925 ± 0.1768,0.6372 ± 0.0289,0.9544 ± 0.0077,0.8832 ± 0.0220,0.8886 ± 0.0102,0.8794 ± 0.0116,0.9552 ± 0.0082,0.8877 ± 0.0045,0.7582 ± 0.1747,0.6245 ± 0.0182,0.9559 ± 0.0046,0.8772 ± 0.0143,0.8877 ± 0.0045,0.8764 ± 0.0046,0.9557 ± 0.0046
29,svm,chi2_mi_union_topk,0.6192 ± 0.0234,0.6378 ± 0.0443,0.8956 ± 0.0090,0.7307 ± 0.1741,0.6332 ± 0.0262,0.9542 ± 0.0069,0.8854 ± 0.0190,0.8956 ± 0.0090,0.8854 ± 0.0097,0.9582 ± 0.0073,0.8953 ± 0.0051,0.6966 ± 0.1607,0.6228 ± 0.0125,0.9530 ± 0.0056,0.8790 ± 0.0139,0.8953 ± 0.0051,0.8830 ± 0.0052,0.9582 ± 0.0024
30,logistic_regression,spearman_corr,0.7558 ± 0.0334,0.7458 ± 0.0384,0.8853 ± 0.0140,0.7323 ± 0.0359,0.7807 ± 0.0533,0.9431 ± 0.0075,0.8978 ± 0.0099,0.8853 ± 0.0140,0.8874 ± 0.0118,0.9534 ± 0.0057,0.8844 ± 0.0079,0.7433 ± 0.0336,0.7771 ± 0.0375,0.9443 ± 0.0091,0.8910 ± 0.0063,0.8844 ± 0.0079,0.8855 ± 0.0073,0.9515 ± 0.0023
31,logistic_regression,mutual_info,0.7530 ± 0.0311,0.7456 ± 0.0290,0.8850 ± 0.0135,0.7268 ± 0.0255,0.7895 ± 0.0479,0.9440 ± 0.0088,0.8988 ± 0.0101,0.8850 ± 0.0135,0.8875 ± 0.0119,0.9535 ± 0.0067,0.8827 ± 0.0089,0.7369 ± 0.0285,0.7796 ± 0.0366,0.9450 ± 0.0085,0.8905 ± 0.0077,0.8827 ± 0.0089,0.8841 ± 0.0085,0.9515 ± 0.0024
32,logistic_regression,spearman_sulov,0.7558 ± 0.0334,0.7458 ± 0.0384,0.8853 ± 0.0140,0.7323 ± 0.0359,0.7807 ± 0.0533,0.9431 ± 0.0075,0.8978 ± 0.0099,0.8853 ± 0.0140,0.8874 ± 0.0118,0.9534 ± 0.0057,0.8844 ± 0.0079,0.7433 ± 0.0336,0.7771 ± 0.0375,0.9443 ± 0.0091,0.8910 ± 0.0063,0.8844 ± 0.0079,0.8855 ± 0.0073,0.9515 ± 0.0023
33,logistic_regression,chi2,0.7438 ± 0.0192,0.7224 ± 0.0285,0.8663 ± 0.0200,0.7006 ± 0.0250,0.8002 ± 0.0486,0.9455 ± 0.0074,0.8935 ± 0.0112,0.8663 ± 0.0200,0.8726 ± 0.0176,0.9475 ± 0.0049,0.8723 ± 0.0068,0.7175 ± 0.0159,0.8044 ± 0.0246,0.9518 ± 0.0064,0.8897 ± 0.0059,0.8723 ± 0.0068,0.8767 ± 0.0062,0.9510 ± 0.0029
34,logistic_regression,chi2_mi_union_topk,0.7489 ± 0.0250,0.7334 ± 0.0359,0.8824 ± 0.0162,0.7189 ± 0.0346,0.7743 ± 0.0515,0.9459 ± 0.0076,0.8971 ± 0.0097,0.8824 ± 0.0162,0.8854 ± 0.0131,0.9531 ± 0.0058,0.8830 ± 0.0091,0.7316 ± 0.0279,0.7798 ± 0.0238,0.9469 ± 0.0087,0.8924 ± 0.0068,0.8830 ± 0.0091,0.8852 ± 0.0083,0.9518 ± 0.0028
35,knn,spearman_corr,0.5775 ± 0.0252,0.5748 ± 0.0466,0.7766 ± 0.0196,0.7137 ± 0.1549,0.5723 ± 0.0308,0.8148 ± 0.0327,0.8133 ± 0.0140,0.7766 ± 0.0196,0.7625 ± 0.0207,0.8680 ± 0.0115,0.7731 ± 0.0104,0.7820 ± 0.1099,0.5715 ± 0.0138,0.8234 ± 0.0135,0.8128 ± 0.0087,0.7731 ± 0.0104,0.7588 ± 0.0107,0.8735 ± 0.0067
36,knn,mutual_info,0.5951 ± 0.0360,0.5871 ± 0.0392,0.7890 ± 0.0176,0.7623 ± 0.1571,0.5801 ± 0.0231,0.8299 ± 0.0256,0.8223 ± 0.0154,0.7890 ± 0.0176,0.7762 ± 0.0188,0.8801 ± 0.0127,0.7869 ± 0.0125,0.7885 ± 0.1097,0.5855 ± 0.0221,0.8287 ± 0.0151,0.8219 ± 0.0097,0.7869 ± 0.0125,0.7740 ± 0.0129,0.8802 ± 0.0098
37,knn,spearman_sulov,0.5775 ± 0.0252,0.5748 ± 0.0466,0.7766 ± 0.0196,0.7137 ± 0.1549,0.5723 ± 0.0308,0.8148 ± 0.0327,0.8133 ± 0.0140,0.7766 ± 0.0196,0.7625 ± 0.0207,0.8680 ± 0.0115,0.7731 ± 0.0104,0.7820 ± 0.1099,0.5715 ± 0.0138,0.8234 ± 0.0135,0.8128 ± 0.0087,0.7731 ± 0.0104,0.7588 ± 0.0107,0.8735 ± 0.0067
38,knn,chi2,0.6661 ± 0.0284,0.6551 ± 0.0458,0.8777 ± 0.0063,0.8099 ± 0.1576,0.6405 ± 0.0291,0.8729 ± 0.0286,0.8798 ± 0.0143,0.8777 ± 0.0063,0.8688 ± 0.0068,0.9221 ± 0.0126,0.8775 ± 0.0079,0.8254 ± 0.0980,0.6476 ± 0.0175,0.8780 ± 0.0144,0.8793 ± 0.0077,0.8775 ± 0.0079,0.8690 ± 0.0073,0.9215 ± 0.0076
39,knn,chi2_mi_union_topk,0.6221 ± 0.0359,0.6188 ± 0.0489,0.8062 ± 0.0170,0.7935 ± 0.1385,0.6048 ± 0.0332,0.8342 ± 0.0254,0.8367 ± 0.0159,0.8062 ± 0.0170,0.7955 ± 0.0183,0.8805 ± 0.0113,0.8090 ± 0.0084,0.8150 ± 0.1034,0.6065 ± 0.0226,0.8345 ± 0.0188,0.8369 ± 0.0098,0.8090 ± 0.0084,0.7981 ± 0.0090,0.8853 ± 0.0106
40,gaussian_nb,spearman_corr,0.6859 ± 0.0114,0.6806 ± 0.0454,0.8440 ± 0.0326,0.6662 ± 0.0332,0.7569 ± 0.0720,0.8803 ± 0.0733,0.8815 ± 0.0215,0.8440 ± 0.0326,0.8576 ± 0.0267,0.9233 ± 0.0178,0.8377 ± 0.0099,0.6669 ± 0.0086,0.7660 ± 0.0253,0.8901 ± 0.0156,0.8707 ± 0.0078,0.8377 ± 0.0099,0.8501 ± 0.0078,0.9216 ± 0.0036
41,gaussian_nb,mutual_info,0.7013 ± 0.0161,0.6720 ± 0.0405,0.8407 ± 0.0281,0.6596 ± 0.0313,0.7406 ± 0.0624,0.8829 ± 0.0751,0.8763 ± 0.0180,0.8407 ± 0.0281,0.8541 ± 0.0226,0.9236 ± 0.0181,0.8462 ± 0.0089,0.6783 ± 0.0122,0.7779 ± 0.0267,0.9038 ± 0.0198,0.8728 ± 0.0077,0.8462 ± 0.0089,0.8565 ± 0.0079,0.9225 ± 0.0030
42,gaussian_nb,spearman_sulov,0.6859 ± 0.0114,0.6806 ± 0.0454,0.8440 ± 0.0326,0.6662 ± 0.0332,0.7569 ± 0.0720,0.8803 ± 0.0733,0.8815 ± 0.0215,0.8440 ± 0.0326,0.8576 ± 0.0267,0.9233 ± 0.0178,0.8377 ± 0.0099,0.6669 ± 0.0086,0.7660 ± 0.0253,0.8901 ± 0.0156,0.8707 ± 0.0078,0.8377 ± 0.0099,0.8501 ± 0.0078,0.9216 ± 0.0036
43,gaussian_nb,chi2,0.6895 ± 0.0201,0.6694 ± 0.0367,0.8183 ± 0.0315,0.6595 ± 0.0233,0.7907 ± 0.0390,0.9223 ± 0.0242,0.8763 ± 0.0129,0.8183 ± 0.0315,0.8364 ± 0.0241,0.9324 ± 0.0077,0.8231 ± 0.0194,0.6708 ± 0.0126,0.8221 ± 0.0200,0.9281 ± 0.0110,0.8733 ± 0.0055,0.8231 ± 0.0194,0.8392 ± 0.0145,0.9293 ± 0.0033
44,gaussian_nb,chi2_mi_union_topk,0.6951 ± 0.0198,0.6773 ± 0.0372,0.8392 ± 0.0301,0.6634 ± 0.0277,0.7620 ± 0.0587,0.9031 ± 0.0460,0.8787 ± 0.0187,0.8392 ± 0.0301,0.8542 ± 0.0242,0.9286 ± 0.0126,0.8374 ± 0.0158,0.6743 ± 0.0158,0.7913 ± 0.0322,0.9153 ± 0.0172,0.8732 ± 0.0096,0.8374 ± 0.0158,0.8511 ± 0.0123,0.9254 ± 0.0060
