,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6494 ± 0.0284,0.6458 ± 0.0354,0.8436 ± 0.0197,0.6553 ± 0.0462,0.6500 ± 0.0433,0.7770 ± 0.0258,0.8465 ± 0.0179,0.8436 ± 0.0197,0.8440 ± 0.0183,0.8561 ± 0.0174,0.8330 ± 0.0133,0.6553 ± 0.0327,0.6467 ± 0.0257,0.7715 ± 0.0144,0.8328 ± 0.0119,0.8330 ± 0.0133,0.8326 ± 0.0123,0.8443 ± 0.0119
1,decision_tree,mutual_info,RandomOverSampler,0.6665 ± 0.0278,0.6527 ± 0.0305,0.8278 ± 0.0234,0.6522 ± 0.0263,0.6665 ± 0.0493,0.7805 ± 0.0289,0.8331 ± 0.0216,0.8278 ± 0.0234,0.8288 ± 0.0223,0.8417 ± 0.0223,0.8352 ± 0.0123,0.6751 ± 0.0254,0.6621 ± 0.0318,0.7795 ± 0.0164,0.8336 ± 0.0131,0.8352 ± 0.0123,0.8341 ± 0.0124,0.8452 ± 0.0126
2,decision_tree,spearman_sulov,RandomOverSampler,0.6529 ± 0.0364,0.6550 ± 0.0387,0.8348 ± 0.0217,0.6541 ± 0.0409,0.6672 ± 0.0515,0.7833 ± 0.0290,0.8395 ± 0.0205,0.8348 ± 0.0217,0.8360 ± 0.0202,0.8492 ± 0.0198,0.8319 ± 0.0097,0.6495 ± 0.0327,0.6585 ± 0.0414,0.7776 ± 0.0215,0.8332 ± 0.0092,0.8319 ± 0.0097,0.8324 ± 0.0092,0.8449 ± 0.0090
3,decision_tree,chi2,RandomOverSampler,0.6484 ± 0.0447,0.6386 ± 0.0323,0.8293 ± 0.0192,0.6525 ± 0.0459,0.6403 ± 0.0403,0.7671 ± 0.0235,0.8306 ± 0.0197,0.8293 ± 0.0192,0.8286 ± 0.0183,0.8410 ± 0.0176,0.8277 ± 0.0107,0.6519 ± 0.0439,0.6481 ± 0.0511,0.7703 ± 0.0274,0.8268 ± 0.0108,0.8277 ± 0.0107,0.8270 ± 0.0105,0.8387 ± 0.0091
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6685 ± 0.0497,0.6530 ± 0.0323,0.8341 ± 0.0154,0.6565 ± 0.0379,0.6622 ± 0.0484,0.7783 ± 0.0275,0.8378 ± 0.0152,0.8341 ± 0.0154,0.8344 ± 0.0142,0.8447 ± 0.0134,0.8368 ± 0.0211,0.6698 ± 0.0472,0.6682 ± 0.0531,0.7821 ± 0.0324,0.8364 ± 0.0216,0.8368 ± 0.0211,0.8364 ± 0.0213,0.8456 ± 0.0206
5,random_forest,spearman_corr,RandomOverSampler,0.6362 ± 0.0377,0.6495 ± 0.0435,0.9018 ± 0.0105,0.7513 ± 0.1660,0.6410 ± 0.0255,0.9444 ± 0.0125,0.8912 ± 0.0167,0.9018 ± 0.0105,0.8923 ± 0.0108,0.9611 ± 0.0059,0.8984 ± 0.0059,0.7162 ± 0.1438,0.6329 ± 0.0221,0.9509 ± 0.0070,0.8837 ± 0.0146,0.8984 ± 0.0059,0.8876 ± 0.0066,0.9620 ± 0.0030
6,random_forest,mutual_info,RandomOverSampler,0.6584 ± 0.0394,0.6445 ± 0.0508,0.8989 ± 0.0115,0.7056 ± 0.1456,0.6390 ± 0.0328,0.9360 ± 0.0175,0.8859 ± 0.0170,0.8989 ± 0.0115,0.8896 ± 0.0119,0.9586 ± 0.0062,0.8983 ± 0.0041,0.7556 ± 0.1022,0.6467 ± 0.0255,0.9511 ± 0.0077,0.8878 ± 0.0112,0.8983 ± 0.0041,0.8892 ± 0.0054,0.9609 ± 0.0032
7,random_forest,spearman_sulov,RandomOverSampler,0.6396 ± 0.0407,0.6333 ± 0.0385,0.9033 ± 0.0121,0.6692 ± 0.1175,0.6332 ± 0.0241,0.9398 ± 0.0122,0.8867 ± 0.0156,0.9033 ± 0.0121,0.8929 ± 0.0124,0.9594 ± 0.0049,0.8994 ± 0.0051,0.7223 ± 0.1410,0.6353 ± 0.0241,0.9485 ± 0.0087,0.8850 ± 0.0135,0.8994 ± 0.0051,0.8886 ± 0.0059,0.9604 ± 0.0034
8,random_forest,chi2,RandomOverSampler,0.6718 ± 0.0564,0.7115 ± 0.0502,0.9037 ± 0.0135,0.8587 ± 0.1171,0.6829 ± 0.0360,0.9429 ± 0.0135,0.9022 ± 0.0175,0.9037 ± 0.0135,0.8977 ± 0.0141,0.9599 ± 0.0079,0.8967 ± 0.0054,0.7401 ± 0.1153,0.6578 ± 0.0395,0.9528 ± 0.0077,0.8855 ± 0.0134,0.8967 ± 0.0054,0.8886 ± 0.0074,0.9602 ± 0.0034
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6885 ± 0.0555,0.7098 ± 0.0643,0.9004 ± 0.0129,0.8018 ± 0.1249,0.6855 ± 0.0462,0.9384 ± 0.0157,0.8963 ± 0.0181,0.9004 ± 0.0129,0.8947 ± 0.0137,0.9566 ± 0.0083,0.8970 ± 0.0089,0.7571 ± 0.0733,0.6704 ± 0.0432,0.9473 ± 0.0097,0.8880 ± 0.0110,0.8970 ± 0.0089,0.8902 ± 0.0098,0.9575 ± 0.0037
