,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6485 ± 0.0443,0.6249 ± 0.0300,0.8297 ± 0.0189,0.6298 ± 0.0486,0.6320 ± 0.0360,0.7643 ± 0.0193,0.8351 ± 0.0169,0.8297 ± 0.0189,0.8310 ± 0.0172,0.8448 ± 0.0158,0.8325 ± 0.0174,0.6503 ± 0.0448,0.6492 ± 0.0445,0.7724 ± 0.0247,0.8333 ± 0.0171,0.8325 ± 0.0174,0.8325 ± 0.0170,0.8435 ± 0.0164
1,decision_tree,mutual_info,RandomOverSampler,0.6537 ± 0.0372,0.6577 ± 0.0317,0.8319 ± 0.0154,0.6692 ± 0.0409,0.6651 ± 0.0486,0.7810 ± 0.0252,0.8365 ± 0.0129,0.8319 ± 0.0154,0.8326 ± 0.0126,0.8453 ± 0.0116,0.8340 ± 0.0100,0.6573 ± 0.0325,0.6540 ± 0.0434,0.7751 ± 0.0213,0.8326 ± 0.0082,0.8340 ± 0.0100,0.8329 ± 0.0088,0.8442 ± 0.0084
2,decision_tree,spearman_sulov,RandomOverSampler,0.6553 ± 0.0361,0.6420 ± 0.0275,0.8344 ± 0.0158,0.6574 ± 0.0399,0.6440 ± 0.0441,0.7705 ± 0.0242,0.8345 ± 0.0146,0.8344 ± 0.0158,0.8332 ± 0.0141,0.8455 ± 0.0137,0.8253 ± 0.0101,0.6541 ± 0.0346,0.6589 ± 0.0402,0.7752 ± 0.0207,0.8261 ± 0.0090,0.8253 ± 0.0101,0.8255 ± 0.0092,0.8374 ± 0.0095
3,decision_tree,chi2,RandomOverSampler,0.6508 ± 0.0427,0.6467 ± 0.0313,0.8286 ± 0.0194,0.6506 ± 0.0416,0.6538 ± 0.0379,0.7744 ± 0.0203,0.8328 ± 0.0161,0.8286 ± 0.0194,0.8293 ± 0.0177,0.8424 ± 0.0150,0.8327 ± 0.0137,0.6551 ± 0.0485,0.6497 ± 0.0418,0.7726 ± 0.0220,0.8317 ± 0.0128,0.8327 ± 0.0137,0.8318 ± 0.0127,0.8432 ± 0.0112
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6620 ± 0.0481,0.6653 ± 0.0320,0.8366 ± 0.0204,0.6686 ± 0.0505,0.6774 ± 0.0427,0.7865 ± 0.0223,0.8423 ± 0.0181,0.8366 ± 0.0204,0.8380 ± 0.0186,0.8472 ± 0.0142,0.8363 ± 0.0156,0.6640 ± 0.0471,0.6610 ± 0.0494,0.7773 ± 0.0290,0.8354 ± 0.0167,0.8363 ± 0.0156,0.8357 ± 0.0161,0.8437 ± 0.0155
5,random_forest,spearman_corr,RandomOverSampler,0.6600 ± 0.0390,0.6832 ± 0.0548,0.9007 ± 0.0094,0.8178 ± 0.1393,0.6632 ± 0.0383,0.9412 ± 0.0125,0.8967 ± 0.0169,0.9007 ± 0.0094,0.8933 ± 0.0100,0.9601 ± 0.0059,0.8986 ± 0.0051,0.7713 ± 0.1217,0.6490 ± 0.0263,0.9514 ± 0.0082,0.8901 ± 0.0123,0.8986 ± 0.0051,0.8898 ± 0.0047,0.9605 ± 0.0032
6,random_forest,mutual_info,RandomOverSampler,0.6848 ± 0.0455,0.6949 ± 0.0584,0.9022 ± 0.0085,0.8166 ± 0.1316,0.6730 ± 0.0437,0.9483 ± 0.0087,0.8984 ± 0.0138,0.9022 ± 0.0085,0.8957 ± 0.0089,0.9603 ± 0.0066,0.8973 ± 0.0065,0.7761 ± 0.0764,0.6653 ± 0.0326,0.9550 ± 0.0049,0.8891 ± 0.0097,0.8973 ± 0.0065,0.8900 ± 0.0074,0.9604 ± 0.0035
7,random_forest,spearman_sulov,RandomOverSampler,0.6574 ± 0.0404,0.6529 ± 0.0511,0.9007 ± 0.0103,0.7233 ± 0.1440,0.6451 ± 0.0331,0.9471 ± 0.0092,0.8891 ± 0.0180,0.9007 ± 0.0103,0.8915 ± 0.0109,0.9596 ± 0.0059,0.8987 ± 0.0067,0.7721 ± 0.1385,0.6454 ± 0.0235,0.9530 ± 0.0046,0.8891 ± 0.0145,0.8987 ± 0.0067,0.8893 ± 0.0066,0.9604 ± 0.0027
8,random_forest,chi2,RandomOverSampler,0.6813 ± 0.0465,0.7013 ± 0.0604,0.9033 ± 0.0121,0.8227 ± 0.1314,0.6784 ± 0.0455,0.9403 ± 0.0138,0.8999 ± 0.0170,0.9033 ± 0.0121,0.8969 ± 0.0126,0.9588 ± 0.0068,0.8972 ± 0.0056,0.7678 ± 0.0791,0.6634 ± 0.0344,0.9533 ± 0.0047,0.8885 ± 0.0081,0.8972 ± 0.0056,0.8898 ± 0.0056,0.9603 ± 0.0029
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6986 ± 0.0458,0.7034 ± 0.0447,0.9011 ± 0.0120,0.8058 ± 0.0938,0.6815 ± 0.0364,0.9374 ± 0.0221,0.8976 ± 0.0127,0.9011 ± 0.0120,0.8952 ± 0.0113,0.9560 ± 0.0091,0.8991 ± 0.0061,0.7833 ± 0.0622,0.6771 ± 0.0354,0.9486 ± 0.0075,0.8923 ± 0.0086,0.8991 ± 0.0061,0.8928 ± 0.0068,0.9582 ± 0.0041
