,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6512 ± 0.0213,0.6535 ± 0.0435,0.8344 ± 0.0091,0.6522 ± 0.0443,0.6622 ± 0.0531,0.7805 ± 0.0277,0.8383 ± 0.0122,0.8344 ± 0.0091,0.8356 ± 0.0100,0.8480 ± 0.0113,0.8247 ± 0.0136,0.6485 ± 0.0167,0.6562 ± 0.0289,0.7738 ± 0.0159,0.8270 ± 0.0138,0.8247 ± 0.0136,0.8255 ± 0.0135,0.8370 ± 0.0134
1,decision_tree,mutual_info,SMOTE,0.6765 ± 0.0274,0.6313 ± 0.0330,0.8315 ± 0.0105,0.6260 ± 0.0291,0.6421 ± 0.0430,0.7697 ± 0.0226,0.8354 ± 0.0121,0.8315 ± 0.0105,0.8327 ± 0.0103,0.8459 ± 0.0105,0.8346 ± 0.0124,0.6754 ± 0.0270,0.6805 ± 0.0314,0.7890 ± 0.0185,0.8366 ± 0.0117,0.8346 ± 0.0124,0.8353 ± 0.0120,0.8461 ± 0.0119
2,decision_tree,spearman_sulov,SMOTE,0.6568 ± 0.0431,0.6605 ± 0.0357,0.8333 ± 0.0112,0.6660 ± 0.0404,0.6660 ± 0.0461,0.7813 ± 0.0231,0.8350 ± 0.0115,0.8333 ± 0.0112,0.8328 ± 0.0104,0.8450 ± 0.0116,0.8255 ± 0.0140,0.6509 ± 0.0375,0.6660 ± 0.0532,0.7794 ± 0.0293,0.8290 ± 0.0147,0.8255 ± 0.0140,0.8269 ± 0.0141,0.8391 ± 0.0138
3,decision_tree,chi2,SMOTE,0.6792 ± 0.0371,0.6373 ± 0.0537,0.8308 ± 0.0157,0.6476 ± 0.0665,0.6415 ± 0.0588,0.7686 ± 0.0311,0.8332 ± 0.0136,0.8308 ± 0.0157,0.8308 ± 0.0143,0.8434 ± 0.0116,0.8324 ± 0.0127,0.6744 ± 0.0360,0.6879 ± 0.0421,0.7922 ± 0.0230,0.8354 ± 0.0126,0.8324 ± 0.0127,0.8335 ± 0.0124,0.8448 ± 0.0115
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6710 ± 0.0407,0.6523 ± 0.0540,0.8344 ± 0.0190,0.6464 ± 0.0493,0.6672 ± 0.0680,0.7806 ± 0.0363,0.8395 ± 0.0214,0.8344 ± 0.0190,0.8357 ± 0.0195,0.8452 ± 0.0179,0.8354 ± 0.0134,0.6659 ± 0.0373,0.6779 ± 0.0458,0.7861 ± 0.0264,0.8375 ± 0.0135,0.8354 ± 0.0134,0.8363 ± 0.0135,0.8447 ± 0.0136
5,random_forest,spearman_corr,SMOTE,0.6556 ± 0.0382,0.6619 ± 0.0628,0.9015 ± 0.0111,0.7511 ± 0.1682,0.6500 ± 0.0394,0.9379 ± 0.0199,0.8913 ± 0.0196,0.9015 ± 0.0111,0.8924 ± 0.0122,0.9592 ± 0.0046,0.8981 ± 0.0075,0.7878 ± 0.1002,0.6451 ± 0.0266,0.9512 ± 0.0067,0.8900 ± 0.0123,0.8981 ± 0.0075,0.8886 ± 0.0082,0.9606 ± 0.0030
6,random_forest,mutual_info,SMOTE,0.6685 ± 0.0390,0.6891 ± 0.0410,0.9026 ± 0.0138,0.8103 ± 0.1260,0.6690 ± 0.0276,0.9436 ± 0.0158,0.8994 ± 0.0177,0.9026 ± 0.0138,0.8962 ± 0.0130,0.9603 ± 0.0067,0.8981 ± 0.0071,0.7927 ± 0.1079,0.6536 ± 0.0273,0.9554 ± 0.0057,0.8911 ± 0.0135,0.8981 ± 0.0071,0.8898 ± 0.0078,0.9605 ± 0.0033
7,random_forest,spearman_sulov,SMOTE,0.6493 ± 0.0304,0.6538 ± 0.0457,0.9026 ± 0.0120,0.7356 ± 0.1518,0.6463 ± 0.0294,0.9394 ± 0.0162,0.8917 ± 0.0149,0.9026 ± 0.0120,0.8933 ± 0.0110,0.9585 ± 0.0062,0.8987 ± 0.0062,0.7748 ± 0.1389,0.6402 ± 0.0167,0.9519 ± 0.0068,0.8892 ± 0.0104,0.8987 ± 0.0062,0.8888 ± 0.0053,0.9602 ± 0.0027
8,random_forest,chi2,SMOTE,0.6732 ± 0.0549,0.6893 ± 0.0540,0.9022 ± 0.0116,0.8082 ± 0.1368,0.6685 ± 0.0377,0.9433 ± 0.0143,0.8976 ± 0.0175,0.9022 ± 0.0116,0.8953 ± 0.0122,0.9590 ± 0.0067,0.8978 ± 0.0085,0.7915 ± 0.1239,0.6569 ± 0.0393,0.9572 ± 0.0056,0.8901 ± 0.0151,0.8978 ± 0.0085,0.8894 ± 0.0098,0.9608 ± 0.0030
9,random_forest,chi2_mi_union_topk,SMOTE,0.6776 ± 0.0499,0.6866 ± 0.0475,0.9007 ± 0.0132,0.7964 ± 0.1259,0.6677 ± 0.0343,0.9449 ± 0.0078,0.8960 ± 0.0170,0.9007 ± 0.0132,0.8940 ± 0.0126,0.9557 ± 0.0075,0.8976 ± 0.0062,0.7714 ± 0.0799,0.6604 ± 0.0344,0.9527 ± 0.0083,0.8891 ± 0.0090,0.8976 ± 0.0062,0.8899 ± 0.0073,0.9589 ± 0.0045
10,extra_trees,spearman_corr,SMOTE,0.6645 ± 0.0237,0.6556 ± 0.0531,0.9022 ± 0.0127,0.7358 ± 0.1533,0.6460 ± 0.0335,0.9467 ± 0.0190,0.8919 ± 0.0171,0.9022 ± 0.0127,0.8935 ± 0.0127,0.9606 ± 0.0052,0.8992 ± 0.0055,0.8092 ± 0.0760,0.6494 ± 0.0153,0.9561 ± 0.0051,0.8930 ± 0.0067,0.8992 ± 0.0055,0.8903 ± 0.0061,0.9615 ± 0.0028
11,extra_trees,mutual_info,SMOTE,0.6805 ± 0.0356,0.6871 ± 0.0393,0.8978 ± 0.0139,0.8249 ± 0.1276,0.6653 ± 0.0277,0.9496 ± 0.0079,0.8950 ± 0.0187,0.8978 ± 0.0139,0.8914 ± 0.0135,0.9598 ± 0.0062,0.8970 ± 0.0057,0.8212 ± 0.0719,0.6597 ± 0.0242,0.9561 ± 0.0059,0.8919 ± 0.0092,0.8970 ± 0.0057,0.8892 ± 0.0059,0.9607 ± 0.0029
12,extra_trees,spearman_sulov,SMOTE,0.6603 ± 0.0290,0.6627 ± 0.0431,0.8985 ± 0.0107,0.7948 ± 0.1592,0.6479 ± 0.0276,0.9468 ± 0.0114,0.8933 ± 0.0190,0.8985 ± 0.0107,0.8907 ± 0.0112,0.9606 ± 0.0063,0.8998 ± 0.0050,0.8502 ± 0.1158,0.6462 ± 0.0165,0.9557 ± 0.0069,0.8961 ± 0.0084,0.8998 ± 0.0050,0.8903 ± 0.0050,0.9619 ± 0.0034
13,extra_trees,chi2,SMOTE,0.6695 ± 0.0343,0.6836 ± 0.0483,0.9011 ± 0.0096,0.8183 ± 0.1413,0.6630 ± 0.0325,0.9500 ± 0.0150,0.8969 ± 0.0166,0.9011 ± 0.0096,0.8939 ± 0.0102,0.9600 ± 0.0076,0.8964 ± 0.0058,0.7900 ± 0.0865,0.6522 ± 0.0218,0.9597 ± 0.0042,0.8889 ± 0.0095,0.8964 ± 0.0058,0.8881 ± 0.0061,0.9615 ± 0.0032
