,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6728 ± 0.0297,0.6595 ± 0.0415,0.8260 ± 0.0210,0.6759 ± 0.0703,0.6561 ± 0.0322,0.7739 ± 0.0183,0.8291 ± 0.0182,0.8260 ± 0.0210,0.8263 ± 0.0192,0.8376 ± 0.0174,0.8318 ± 0.0112,0.6754 ± 0.0321,0.6724 ± 0.0316,0.7839 ± 0.0161,0.8317 ± 0.0105,0.8318 ± 0.0112,0.8316 ± 0.0108,0.8431 ± 0.0107
1,decision_tree,mutual_info,RandomOverSampler,0.6497 ± 0.0385,0.6255 ± 0.0460,0.8253 ± 0.0180,0.6278 ± 0.0525,0.6285 ± 0.0502,0.7602 ± 0.0250,0.8270 ± 0.0156,0.8253 ± 0.0180,0.8252 ± 0.0168,0.8377 ± 0.0164,0.8253 ± 0.0192,0.6536 ± 0.0418,0.6488 ± 0.0392,0.7702 ± 0.0237,0.8257 ± 0.0168,0.8253 ± 0.0192,0.8253 ± 0.0179,0.8375 ± 0.0166
2,decision_tree,spearman_sulov,RandomOverSampler,0.6728 ± 0.0297,0.6595 ± 0.0415,0.8260 ± 0.0210,0.6759 ± 0.0703,0.6561 ± 0.0322,0.7739 ± 0.0183,0.8291 ± 0.0182,0.8260 ± 0.0210,0.8263 ± 0.0192,0.8376 ± 0.0174,0.8318 ± 0.0112,0.6754 ± 0.0321,0.6724 ± 0.0316,0.7839 ± 0.0161,0.8317 ± 0.0105,0.8318 ± 0.0112,0.8316 ± 0.0108,0.8431 ± 0.0107
3,decision_tree,chi2,RandomOverSampler,0.6903 ± 0.0300,0.6360 ± 0.0248,0.8403 ± 0.0183,0.6419 ± 0.0374,0.6447 ± 0.0428,0.7627 ± 0.0194,0.8441 ± 0.0140,0.8403 ± 0.0183,0.8405 ± 0.0156,0.8383 ± 0.0158,0.8467 ± 0.0163,0.6964 ± 0.0348,0.6867 ± 0.0278,0.7850 ± 0.0184,0.8461 ± 0.0146,0.8467 ± 0.0163,0.8460 ± 0.0155,0.8416 ± 0.0172
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6667 ± 0.0450,0.6409 ± 0.0526,0.8275 ± 0.0159,0.6401 ± 0.0480,0.6485 ± 0.0679,0.7707 ± 0.0357,0.8298 ± 0.0156,0.8275 ± 0.0159,0.8272 ± 0.0157,0.8397 ± 0.0163,0.8300 ± 0.0205,0.6710 ± 0.0492,0.6643 ± 0.0432,0.7791 ± 0.0254,0.8300 ± 0.0197,0.8300 ± 0.0205,0.8298 ± 0.0201,0.8412 ± 0.0196
5,random_forest,spearman_corr,RandomOverSampler,0.6641 ± 0.0404,0.6495 ± 0.0474,0.9018 ± 0.0137,0.7514 ± 0.1704,0.6405 ± 0.0294,0.9476 ± 0.0102,0.8907 ± 0.0226,0.9018 ± 0.0137,0.8924 ± 0.0147,0.9598 ± 0.0070,0.8987 ± 0.0063,0.8363 ± 0.1369,0.6483 ± 0.0237,0.9552 ± 0.0059,0.8936 ± 0.0099,0.8987 ± 0.0063,0.8894 ± 0.0059,0.9593 ± 0.0037
6,random_forest,mutual_info,RandomOverSampler,0.6595 ± 0.0338,0.6570 ± 0.0480,0.8996 ± 0.0136,0.7998 ± 0.1768,0.6434 ± 0.0298,0.9501 ± 0.0064,0.8922 ± 0.0231,0.8996 ± 0.0136,0.8905 ± 0.0148,0.9590 ± 0.0075,0.8951 ± 0.0062,0.8517 ± 0.1180,0.6442 ± 0.0210,0.9547 ± 0.0052,0.8917 ± 0.0083,0.8951 ± 0.0062,0.8857 ± 0.0063,0.9583 ± 0.0028
7,random_forest,spearman_sulov,RandomOverSampler,0.6641 ± 0.0404,0.6495 ± 0.0474,0.9018 ± 0.0137,0.7514 ± 0.1704,0.6405 ± 0.0294,0.9476 ± 0.0102,0.8907 ± 0.0226,0.9018 ± 0.0137,0.8924 ± 0.0147,0.9598 ± 0.0070,0.8987 ± 0.0063,0.8363 ± 0.1369,0.6483 ± 0.0237,0.9552 ± 0.0059,0.8936 ± 0.0099,0.8987 ± 0.0063,0.8894 ± 0.0059,0.9593 ± 0.0037
8,random_forest,chi2,RandomOverSampler,0.7308 ± 0.0311,0.7077 ± 0.0587,0.8993 ± 0.0103,0.8164 ± 0.1079,0.6841 ± 0.0490,0.9497 ± 0.0077,0.8954 ± 0.0150,0.8993 ± 0.0103,0.8934 ± 0.0107,0.9536 ± 0.0081,0.8981 ± 0.0035,0.8622 ± 0.0633,0.6952 ± 0.0214,0.9561 ± 0.0059,0.8961 ± 0.0048,0.8981 ± 0.0035,0.8929 ± 0.0035,0.9553 ± 0.0040
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6809 ± 0.0379,0.6582 ± 0.0425,0.9026 ± 0.0131,0.7853 ± 0.1660,0.6456 ± 0.0253,0.9521 ± 0.0066,0.8944 ± 0.0184,0.9026 ± 0.0131,0.8935 ± 0.0130,0.9597 ± 0.0074,0.8972 ± 0.0066,0.8623 ± 0.1066,0.6579 ± 0.0219,0.9544 ± 0.0084,0.8944 ± 0.0056,0.8972 ± 0.0066,0.8889 ± 0.0060,0.9585 ± 0.0040
