,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6595 ± 0.0345,0.6379 ± 0.0465,0.8322 ± 0.0259,0.6371 ± 0.0505,0.6479 ± 0.0543,0.7728 ± 0.0290,0.8344 ± 0.0225,0.8322 ± 0.0259,0.8322 ± 0.0240,0.8465 ± 0.0226,0.8332 ± 0.0124,0.6593 ± 0.0345,0.6611 ± 0.0365,0.7789 ± 0.0186,0.8328 ± 0.0123,0.8332 ± 0.0124,0.8328 ± 0.0122,0.8450 ± 0.0124
1,decision_tree,mutual_info,SMOTE,0.6806 ± 0.0467,0.6425 ± 0.0437,0.8315 ± 0.0200,0.6398 ± 0.0433,0.6516 ± 0.0511,0.7743 ± 0.0229,0.8345 ± 0.0162,0.8315 ± 0.0200,0.8321 ± 0.0181,0.8456 ± 0.0177,0.8393 ± 0.0143,0.6785 ± 0.0407,0.6864 ± 0.0578,0.7936 ± 0.0323,0.8400 ± 0.0154,0.8393 ± 0.0143,0.8393 ± 0.0146,0.8512 ± 0.0141
2,decision_tree,spearman_sulov,SMOTE,0.6788 ± 0.0389,0.6691 ± 0.0362,0.8293 ± 0.0286,0.6662 ± 0.0415,0.6862 ± 0.0540,0.7911 ± 0.0228,0.8345 ± 0.0242,0.8293 ± 0.0286,0.8307 ± 0.0268,0.8440 ± 0.0253,0.8340 ± 0.0129,0.6743 ± 0.0371,0.6862 ± 0.0417,0.7919 ± 0.0225,0.8354 ± 0.0140,0.8340 ± 0.0129,0.8344 ± 0.0133,0.8465 ± 0.0131
3,decision_tree,chi2,SMOTE,0.6870 ± 0.0237,0.6438 ± 0.0427,0.8352 ± 0.0180,0.6479 ± 0.0486,0.6494 ± 0.0496,0.7742 ± 0.0272,0.8374 ± 0.0152,0.8352 ± 0.0180,0.8354 ± 0.0159,0.8484 ± 0.0160,0.8362 ± 0.0108,0.6853 ± 0.0231,0.6927 ± 0.0332,0.7957 ± 0.0182,0.8378 ± 0.0121,0.8362 ± 0.0108,0.8367 ± 0.0112,0.8480 ± 0.0119
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6869 ± 0.0483,0.6648 ± 0.0401,0.8374 ± 0.0257,0.6818 ± 0.0817,0.6778 ± 0.0578,0.7846 ± 0.0338,0.8425 ± 0.0247,0.8374 ± 0.0257,0.8383 ± 0.0250,0.8439 ± 0.0245,0.8385 ± 0.0106,0.6835 ± 0.0484,0.6928 ± 0.0497,0.7941 ± 0.0256,0.8406 ± 0.0099,0.8385 ± 0.0106,0.8393 ± 0.0101,0.8470 ± 0.0096
5,random_forest,spearman_corr,SMOTE,0.6268 ± 0.0308,0.6167 ± 0.0249,0.9026 ± 0.0125,0.6134 ± 0.0394,0.6237 ± 0.0188,0.9470 ± 0.0141,0.8821 ± 0.0140,0.9026 ± 0.0125,0.8914 ± 0.0129,0.9608 ± 0.0067,0.9024 ± 0.0040,0.6635 ± 0.1127,0.6288 ± 0.0176,0.9611 ± 0.0048,0.8832 ± 0.0106,0.9024 ± 0.0040,0.8909 ± 0.0045,0.9647 ± 0.0028
6,random_forest,mutual_info,SMOTE,0.6360 ± 0.0373,0.6223 ± 0.0339,0.8978 ± 0.0092,0.6489 ± 0.1129,0.6248 ± 0.0207,0.9525 ± 0.0082,0.8801 ± 0.0130,0.8978 ± 0.0092,0.8871 ± 0.0095,0.9599 ± 0.0071,0.8980 ± 0.0055,0.6992 ± 0.1327,0.6328 ± 0.0211,0.9603 ± 0.0029,0.8820 ± 0.0121,0.8980 ± 0.0055,0.8871 ± 0.0057,0.9629 ± 0.0030
7,random_forest,spearman_sulov,SMOTE,0.6287 ± 0.0228,0.6245 ± 0.0364,0.9018 ± 0.0117,0.6465 ± 0.1110,0.6278 ± 0.0245,0.9465 ± 0.0145,0.8844 ± 0.0170,0.9018 ± 0.0117,0.8913 ± 0.0126,0.9616 ± 0.0050,0.8995 ± 0.0037,0.7089 ± 0.1361,0.6287 ± 0.0123,0.9579 ± 0.0069,0.8846 ± 0.0118,0.8995 ± 0.0037,0.8884 ± 0.0036,0.9636 ± 0.0032
8,random_forest,chi2,SMOTE,0.6453 ± 0.0265,0.6223 ± 0.0331,0.8982 ± 0.0132,0.6446 ± 0.1081,0.6252 ± 0.0216,0.9541 ± 0.0061,0.8815 ± 0.0159,0.8982 ± 0.0132,0.8880 ± 0.0133,0.9606 ± 0.0071,0.8975 ± 0.0042,0.7636 ± 0.1145,0.6376 ± 0.0158,0.9595 ± 0.0038,0.8873 ± 0.0084,0.8975 ± 0.0042,0.8874 ± 0.0041,0.9632 ± 0.0023
9,random_forest,chi2_mi_union_topk,SMOTE,0.6591 ± 0.0256,0.6686 ± 0.0428,0.8996 ± 0.0088,0.7894 ± 0.1431,0.6534 ± 0.0274,0.9474 ± 0.0146,0.8934 ± 0.0105,0.8996 ± 0.0088,0.8915 ± 0.0083,0.9589 ± 0.0069,0.8984 ± 0.0041,0.7535 ± 0.0679,0.6472 ± 0.0157,0.9601 ± 0.0052,0.8882 ± 0.0053,0.8984 ± 0.0041,0.8895 ± 0.0040,0.9633 ± 0.0025
10,extra_trees,spearman_corr,SMOTE,0.6463 ± 0.0227,0.6321 ± 0.0407,0.9004 ± 0.0138,0.6838 ± 0.1419,0.6307 ± 0.0252,0.9449 ± 0.0132,0.8845 ± 0.0177,0.9004 ± 0.0138,0.8900 ± 0.0143,0.9601 ± 0.0064,0.9020 ± 0.0051,0.7797 ± 0.1112,0.6390 ± 0.0127,0.9589 ± 0.0058,0.8925 ± 0.0076,0.9020 ± 0.0051,0.8917 ± 0.0049,0.9641 ± 0.0024
11,extra_trees,mutual_info,SMOTE,0.6644 ± 0.0388,0.6307 ± 0.0405,0.8967 ± 0.0113,0.6982 ± 0.1610,0.6284 ± 0.0240,0.9476 ± 0.0112,0.8827 ± 0.0169,0.8967 ± 0.0113,0.8865 ± 0.0113,0.9596 ± 0.0084,0.8998 ± 0.0050,0.8094 ± 0.1364,0.6496 ± 0.0232,0.9585 ± 0.0074,0.8932 ± 0.0128,0.8998 ± 0.0050,0.8907 ± 0.0050,0.9633 ± 0.0028
12,extra_trees,spearman_sulov,SMOTE,0.6578 ± 0.0266,0.6338 ± 0.0420,0.9026 ± 0.0115,0.6856 ± 0.1441,0.6327 ± 0.0262,0.9487 ± 0.0116,0.8877 ± 0.0181,0.9026 ± 0.0115,0.8924 ± 0.0126,0.9613 ± 0.0058,0.9041 ± 0.0027,0.8696 ± 0.1168,0.6457 ± 0.0151,0.9585 ± 0.0073,0.9016 ± 0.0105,0.9041 ± 0.0027,0.8941 ± 0.0031,0.9640 ± 0.0032
