,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6822 ± 0.0429,0.6480 ± 0.0558,0.8260 ± 0.0175,0.6556 ± 0.0637,0.6521 ± 0.0637,0.7723 ± 0.0338,0.8285 ± 0.0181,0.8260 ± 0.0175,0.8262 ± 0.0178,0.8388 ± 0.0185,0.8409 ± 0.0130,0.6823 ± 0.0415,0.6839 ± 0.0454,0.7926 ± 0.0235,0.8403 ± 0.0115,0.8409 ± 0.0130,0.8405 ± 0.0121,0.8519 ± 0.0118
1,decision_tree,mutual_info,RandomOverSampler,0.6735 ± 0.0322,0.6296 ± 0.0498,0.8260 ± 0.0217,0.6267 ± 0.0470,0.6384 ± 0.0581,0.7659 ± 0.0312,0.8289 ± 0.0183,0.8260 ± 0.0217,0.8269 ± 0.0199,0.8400 ± 0.0187,0.8396 ± 0.0122,0.6739 ± 0.0304,0.6739 ± 0.0347,0.7871 ± 0.0190,0.8394 ± 0.0119,0.8396 ± 0.0122,0.8394 ± 0.0120,0.8505 ± 0.0119
2,decision_tree,spearman_sulov,RandomOverSampler,0.6784 ± 0.0271,0.6384 ± 0.0469,0.8326 ± 0.0163,0.6405 ± 0.0492,0.6430 ± 0.0536,0.7698 ± 0.0283,0.8332 ± 0.0134,0.8326 ± 0.0163,0.8322 ± 0.0148,0.8449 ± 0.0137,0.8395 ± 0.0105,0.6787 ± 0.0242,0.6792 ± 0.0308,0.7897 ± 0.0160,0.8393 ± 0.0100,0.8395 ± 0.0105,0.8393 ± 0.0102,0.8504 ± 0.0101
3,decision_tree,chi2,RandomOverSampler,0.6730 ± 0.0494,0.6526 ± 0.0590,0.8341 ± 0.0214,0.6563 ± 0.0641,0.6574 ± 0.0624,0.7774 ± 0.0309,0.8360 ± 0.0181,0.8341 ± 0.0214,0.8340 ± 0.0196,0.8463 ± 0.0181,0.8409 ± 0.0081,0.6756 ± 0.0529,0.6713 ± 0.0470,0.7861 ± 0.0241,0.8399 ± 0.0084,0.8409 ± 0.0081,0.8402 ± 0.0081,0.8512 ± 0.0075
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6768 ± 0.0442,0.6627 ± 0.0681,0.8385 ± 0.0272,0.6679 ± 0.0693,0.6696 ± 0.0756,0.7789 ± 0.0420,0.8416 ± 0.0257,0.8385 ± 0.0272,0.8389 ± 0.0263,0.8418 ± 0.0229,0.8443 ± 0.0095,0.6820 ± 0.0444,0.6734 ± 0.0439,0.7842 ± 0.0228,0.8428 ± 0.0090,0.8443 ± 0.0095,0.8434 ± 0.0091,0.8482 ± 0.0115
5,random_forest,spearman_corr,RandomOverSampler,0.6557 ± 0.0360,0.6736 ± 0.0534,0.9018 ± 0.0146,0.7579 ± 0.1309,0.6593 ± 0.0373,0.9521 ± 0.0092,0.8935 ± 0.0197,0.9018 ± 0.0146,0.8941 ± 0.0155,0.9619 ± 0.0066,0.9009 ± 0.0058,0.7551 ± 0.1155,0.6452 ± 0.0212,0.9589 ± 0.0056,0.8902 ± 0.0086,0.9009 ± 0.0058,0.8916 ± 0.0053,0.9631 ± 0.0025
6,random_forest,mutual_info,RandomOverSampler,0.6689 ± 0.0514,0.6618 ± 0.0630,0.8971 ± 0.0142,0.7206 ± 0.1362,0.6512 ± 0.0410,0.9495 ± 0.0162,0.8849 ± 0.0140,0.8971 ± 0.0142,0.8885 ± 0.0126,0.9596 ± 0.0071,0.8984 ± 0.0032,0.7834 ± 0.1190,0.6539 ± 0.0332,0.9584 ± 0.0056,0.8896 ± 0.0094,0.8984 ± 0.0032,0.8896 ± 0.0039,0.9624 ± 0.0035
7,random_forest,spearman_sulov,RandomOverSampler,0.6652 ± 0.0460,0.6923 ± 0.0504,0.9048 ± 0.0102,0.8314 ± 0.1353,0.6703 ± 0.0342,0.9548 ± 0.0039,0.9010 ± 0.0154,0.9048 ± 0.0102,0.8975 ± 0.0105,0.9625 ± 0.0061,0.9011 ± 0.0046,0.7645 ± 0.1247,0.6524 ± 0.0296,0.9598 ± 0.0063,0.8908 ± 0.0089,0.9011 ± 0.0046,0.8920 ± 0.0046,0.9643 ± 0.0020
8,random_forest,chi2,RandomOverSampler,0.6697 ± 0.0591,0.6622 ± 0.0648,0.8978 ± 0.0111,0.7244 ± 0.1420,0.6519 ± 0.0448,0.9507 ± 0.0129,0.8867 ± 0.0148,0.8978 ± 0.0111,0.8895 ± 0.0107,0.9598 ± 0.0078,0.8995 ± 0.0032,0.7832 ± 0.1452,0.6547 ± 0.0383,0.9598 ± 0.0038,0.8905 ± 0.0121,0.8995 ± 0.0032,0.8906 ± 0.0048,0.9627 ± 0.0029
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6921 ± 0.0477,0.6570 ± 0.0624,0.8963 ± 0.0129,0.7259 ± 0.1539,0.6465 ± 0.0403,0.9458 ± 0.0118,0.8852 ± 0.0187,0.8963 ± 0.0129,0.8876 ± 0.0139,0.9595 ± 0.0076,0.9002 ± 0.0050,0.7837 ± 0.0963,0.6711 ± 0.0331,0.9557 ± 0.0059,0.8926 ± 0.0107,0.9002 ± 0.0050,0.8930 ± 0.0064,0.9613 ± 0.0035
10,extra_trees,spearman_corr,RandomOverSampler,0.6434 ± 0.0266,0.6394 ± 0.0437,0.8989 ± 0.0120,0.7163 ± 0.1594,0.6345 ± 0.0266,0.9536 ± 0.0060,0.8862 ± 0.0183,0.8989 ± 0.0120,0.8891 ± 0.0125,0.9621 ± 0.0053,0.9016 ± 0.0053,0.8178 ± 0.1573,0.6369 ± 0.0144,0.9621 ± 0.0042,0.8946 ± 0.0134,0.9016 ± 0.0053,0.8907 ± 0.0054,0.9638 ± 0.0025
