,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.7051 ± 0.0358,0.6284 ± 0.0347,0.8289 ± 0.0240,0.6282 ± 0.0357,0.6317 ± 0.0361,0.7632 ± 0.0227,0.8302 ± 0.0224,0.8289 ± 0.0240,0.8288 ± 0.0231,0.8421 ± 0.0221,0.8436 ± 0.0134,0.7067 ± 0.0375,0.7047 ± 0.0361,0.8036 ± 0.0191,0.8437 ± 0.0135,0.8436 ± 0.0134,0.8435 ± 0.0135,0.8537 ± 0.0135
1,decision_tree,mutual_info,SMOTE,0.6770 ± 0.0320,0.6351 ± 0.0560,0.8231 ± 0.0209,0.6292 ± 0.0512,0.6454 ± 0.0651,0.7685 ± 0.0363,0.8269 ± 0.0197,0.8231 ± 0.0209,0.8245 ± 0.0202,0.8374 ± 0.0193,0.8374 ± 0.0148,0.6749 ± 0.0320,0.6811 ± 0.0347,0.7903 ± 0.0194,0.8390 ± 0.0148,0.8374 ± 0.0148,0.8380 ± 0.0147,0.8493 ± 0.0149
2,decision_tree,spearman_sulov,SMOTE,0.6931 ± 0.0391,0.6404 ± 0.0360,0.8326 ± 0.0174,0.6386 ± 0.0329,0.6476 ± 0.0437,0.7723 ± 0.0216,0.8334 ± 0.0138,0.8326 ± 0.0174,0.8323 ± 0.0152,0.8453 ± 0.0144,0.8410 ± 0.0083,0.6919 ± 0.0360,0.6960 ± 0.0428,0.7986 ± 0.0215,0.8414 ± 0.0090,0.8410 ± 0.0083,0.8411 ± 0.0085,0.8519 ± 0.0088
3,decision_tree,chi2,SMOTE,0.6819 ± 0.0242,0.6364 ± 0.0384,0.8271 ± 0.0200,0.6305 ± 0.0346,0.6482 ± 0.0495,0.7713 ± 0.0261,0.8312 ± 0.0178,0.8271 ± 0.0200,0.8283 ± 0.0190,0.8415 ± 0.0185,0.8410 ± 0.0127,0.6863 ± 0.0338,0.6801 ± 0.0203,0.7906 ± 0.0104,0.8413 ± 0.0112,0.8410 ± 0.0127,0.8409 ± 0.0119,0.8516 ± 0.0116
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6858 ± 0.0468,0.6510 ± 0.0434,0.8337 ± 0.0246,0.6495 ± 0.0491,0.6665 ± 0.0525,0.7759 ± 0.0289,0.8394 ± 0.0226,0.8337 ± 0.0246,0.8350 ± 0.0227,0.8384 ± 0.0221,0.8425 ± 0.0122,0.6879 ± 0.0461,0.6847 ± 0.0480,0.7893 ± 0.0255,0.8424 ± 0.0121,0.8425 ± 0.0122,0.8423 ± 0.0121,0.8470 ± 0.0134
5,random_forest,spearman_corr,SMOTE,0.6517 ± 0.0350,0.6582 ± 0.0585,0.9011 ± 0.0095,0.7020 ± 0.1209,0.6499 ± 0.0388,0.9519 ± 0.0111,0.8888 ± 0.0154,0.9011 ± 0.0095,0.8926 ± 0.0105,0.9624 ± 0.0066,0.9027 ± 0.0053,0.7671 ± 0.1270,0.6431 ± 0.0207,0.9594 ± 0.0062,0.8925 ± 0.0115,0.9027 ± 0.0053,0.8928 ± 0.0057,0.9636 ± 0.0027
6,random_forest,mutual_info,SMOTE,0.6555 ± 0.0455,0.6378 ± 0.0557,0.8941 ± 0.0092,0.6587 ± 0.1118,0.6357 ± 0.0377,0.9505 ± 0.0108,0.8787 ± 0.0120,0.8941 ± 0.0092,0.8851 ± 0.0090,0.9593 ± 0.0081,0.8980 ± 0.0064,0.7386 ± 0.1270,0.6449 ± 0.0277,0.9602 ± 0.0055,0.8860 ± 0.0109,0.8980 ± 0.0064,0.8886 ± 0.0067,0.9630 ± 0.0031
7,random_forest,spearman_sulov,SMOTE,0.6394 ± 0.0367,0.6695 ± 0.0442,0.9018 ± 0.0086,0.7854 ± 0.1496,0.6548 ± 0.0280,0.9525 ± 0.0101,0.8953 ± 0.0160,0.9018 ± 0.0086,0.8938 ± 0.0084,0.9624 ± 0.0056,0.8987 ± 0.0048,0.7214 ± 0.1228,0.6351 ± 0.0229,0.9603 ± 0.0046,0.8855 ± 0.0106,0.8987 ± 0.0048,0.8885 ± 0.0054,0.9641 ± 0.0021
8,random_forest,chi2,SMOTE,0.6505 ± 0.0353,0.6334 ± 0.0498,0.8934 ± 0.0095,0.6744 ± 0.1357,0.6308 ± 0.0309,0.9512 ± 0.0083,0.8788 ± 0.0107,0.8934 ± 0.0095,0.8839 ± 0.0093,0.9598 ± 0.0071,0.8967 ± 0.0039,0.7740 ± 0.1370,0.6406 ± 0.0204,0.9563 ± 0.0068,0.8873 ± 0.0116,0.8967 ± 0.0039,0.8869 ± 0.0042,0.9622 ± 0.0025
9,random_forest,chi2_mi_union_topk,SMOTE,0.6735 ± 0.0416,0.6680 ± 0.0569,0.8989 ± 0.0109,0.7777 ± 0.1655,0.6529 ± 0.0350,0.9493 ± 0.0111,0.8919 ± 0.0147,0.8989 ± 0.0109,0.8908 ± 0.0106,0.9603 ± 0.0072,0.8998 ± 0.0051,0.7770 ± 0.1107,0.6569 ± 0.0260,0.9590 ± 0.0043,0.8911 ± 0.0092,0.8998 ± 0.0051,0.8915 ± 0.0058,0.9624 ± 0.0035
10,extra_trees,spearman_corr,SMOTE,0.6627 ± 0.0370,0.6465 ± 0.0523,0.8996 ± 0.0090,0.7172 ± 0.1564,0.6396 ± 0.0321,0.9513 ± 0.0111,0.8876 ± 0.0139,0.8996 ± 0.0090,0.8904 ± 0.0094,0.9625 ± 0.0051,0.9014 ± 0.0054,0.8100 ± 0.0956,0.6491 ± 0.0235,0.9609 ± 0.0065,0.8948 ± 0.0098,0.9014 ± 0.0054,0.8922 ± 0.0055,0.9646 ± 0.0025
11,extra_trees,mutual_info,SMOTE,0.6584 ± 0.0284,0.6410 ± 0.0501,0.8949 ± 0.0107,0.6864 ± 0.1246,0.6362 ± 0.0332,0.9512 ± 0.0111,0.8810 ± 0.0155,0.8949 ± 0.0107,0.8857 ± 0.0112,0.9604 ± 0.0063,0.8978 ± 0.0055,0.8185 ± 0.1024,0.6446 ± 0.0164,0.9605 ± 0.0061,0.8917 ± 0.0089,0.8978 ± 0.0055,0.8884 ± 0.0053,0.9638 ± 0.0028
12,extra_trees,spearman_sulov,SMOTE,0.6647 ± 0.0263,0.6523 ± 0.0536,0.8982 ± 0.0153,0.7386 ± 0.1584,0.6431 ± 0.0358,0.9517 ± 0.0102,0.8880 ± 0.0217,0.8982 ± 0.0153,0.8895 ± 0.0161,0.9622 ± 0.0053,0.9011 ± 0.0053,0.8732 ± 0.0808,0.6487 ± 0.0161,0.9613 ± 0.0049,0.8990 ± 0.0089,0.9011 ± 0.0053,0.8917 ± 0.0059,0.9643 ± 0.0025
13,extra_trees,chi2,SMOTE,0.6607 ± 0.0269,0.6546 ± 0.0483,0.8923 ± 0.0112,0.7345 ± 0.1342,0.6433 ± 0.0323,0.9493 ± 0.0087,0.8819 ± 0.0153,0.8923 ± 0.0112,0.8839 ± 0.0112,0.9597 ± 0.0080,0.8975 ± 0.0044,0.8218 ± 0.0828,0.6462 ± 0.0166,0.9584 ± 0.0072,0.8920 ± 0.0073,0.8975 ± 0.0044,0.8883 ± 0.0046,0.9629 ± 0.0026
14,extra_trees,chi2_mi_union_topk,SMOTE,0.6815 ± 0.0389,0.6837 ± 0.0499,0.9004 ± 0.0130,0.8232 ± 0.1385,0.6628 ± 0.0342,0.9451 ± 0.0170,0.8966 ± 0.0189,0.9004 ± 0.0130,0.8930 ± 0.0139,0.9594 ± 0.0071,0.9016 ± 0.0031,0.8245 ± 0.0912,0.6615 ± 0.0249,0.9591 ± 0.0080,0.8963 ± 0.0079,0.9016 ± 0.0031,0.8934 ± 0.0035,0.9632 ± 0.0040
15,xgboost,spearman_corr,SMOTE,0.7131 ± 0.0250,0.6866 ± 0.0551,0.8901 ± 0.0106,0.7469 ± 0.0960,0.6735 ± 0.0524,0.9500 ± 0.0120,0.8847 ± 0.0116,0.8901 ± 0.0106,0.8849 ± 0.0110,0.9580 ± 0.0055,0.8914 ± 0.0078,0.7879 ± 0.0392,0.6871 ± 0.0195,0.9497 ± 0.0055,0.8862 ± 0.0068,0.8914 ± 0.0078,0.8866 ± 0.0069,0.9555 ± 0.0036
16,xgboost,mutual_info,SMOTE,0.7135 ± 0.0381,0.7124 ± 0.0398,0.8886 ± 0.0151,0.7776 ± 0.0679,0.6951 ± 0.0426,0.9483 ± 0.0127,0.8861 ± 0.0135,0.8886 ± 0.0151,0.8848 ± 0.0142,0.9578 ± 0.0053,0.8923 ± 0.0057,0.7898 ± 0.0624,0.6878 ± 0.0287,0.9509 ± 0.0067,0.8871 ± 0.0063,0.8923 ± 0.0057,0.8874 ± 0.0055,0.9553 ± 0.0032
17,xgboost,spearman_sulov,SMOTE,0.7226 ± 0.0438,0.7267 ± 0.0287,0.8956 ± 0.0139,0.8512 ± 0.0741,0.6996 ± 0.0344,0.9469 ± 0.0122,0.8953 ± 0.0139,0.8956 ± 0.0139,0.8912 ± 0.0126,0.9580 ± 0.0043,0.8921 ± 0.0073,0.8035 ± 0.0621,0.6946 ± 0.0342,0.9502 ± 0.0056,0.8877 ± 0.0077,0.8921 ± 0.0073,0.8875 ± 0.0066,0.9554 ± 0.0032
18,xgboost,chi2,SMOTE,0.7197 ± 0.0398,0.6948 ± 0.0530,0.8923 ± 0.0134,0.7756 ± 0.0996,0.6793 ± 0.0521,0.9494 ± 0.0105,0.8880 ± 0.0103,0.8923 ± 0.0134,0.8871 ± 0.0131,0.9579 ± 0.0049,0.8914 ± 0.0089,0.7953 ± 0.0542,0.6924 ± 0.0315,0.9501 ± 0.0069,0.8865 ± 0.0094,0.8914 ± 0.0089,0.8868 ± 0.0089,0.9551 ± 0.0039
19,xgboost,chi2_mi_union_topk,SMOTE,0.7238 ± 0.0348,0.7009 ± 0.0540,0.8930 ± 0.0134,0.7565 ± 0.0954,0.6847 ± 0.0454,0.9339 ± 0.0153,0.8882 ± 0.0159,0.8930 ± 0.0134,0.8884 ± 0.0140,0.9449 ± 0.0093,0.8906 ± 0.0062,0.7998 ± 0.0418,0.6953 ± 0.0286,0.9394 ± 0.0062,0.8860 ± 0.0065,0.8906 ± 0.0062,0.8862 ± 0.0062,0.9496 ± 0.0044
20,adaboost,spearman_corr,SMOTE,0.7288 ± 0.0251,0.7035 ± 0.0302,0.8678 ± 0.0226,0.7220 ± 0.0576,0.7021 ± 0.0419,0.9191 ± 0.0180,0.8691 ± 0.0194,0.8678 ± 0.0226,0.8671 ± 0.0210,0.9179 ± 0.0236,0.8750 ± 0.0124,0.7482 ± 0.0328,0.7204 ± 0.0332,0.9258 ± 0.0090,0.8740 ± 0.0117,0.8750 ± 0.0124,0.8739 ± 0.0118,0.9253 ± 0.0087
21,adaboost,mutual_info,SMOTE,0.7308 ± 0.0216,0.7176 ± 0.0373,0.8740 ± 0.0151,0.7301 ± 0.0527,0.7154 ± 0.0464,0.9227 ± 0.0146,0.8753 ± 0.0128,0.8740 ± 0.0151,0.8736 ± 0.0145,0.9247 ± 0.0096,0.8756 ± 0.0069,0.7574 ± 0.0331,0.7136 ± 0.0184,0.9254 ± 0.0102,0.8736 ± 0.0074,0.8756 ± 0.0069,0.8740 ± 0.0072,0.9266 ± 0.0085
22,adaboost,spearman_sulov,SMOTE,0.7280 ± 0.0314,0.7130 ± 0.0347,0.8758 ± 0.0205,0.7327 ± 0.0554,0.7079 ± 0.0361,0.9264 ± 0.0123,0.8766 ± 0.0179,0.8758 ± 0.0205,0.8750 ± 0.0195,0.9279 ± 0.0129,0.8767 ± 0.0098,0.7517 ± 0.0469,0.7146 ± 0.0306,0.9253 ± 0.0086,0.8751 ± 0.0094,0.8767 ± 0.0098,0.8753 ± 0.0092,0.9246 ± 0.0075
