,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5142 ± 0.0273,0.5132 ± 0.0395,0.7308 ± 0.0229,0.5123 ± 0.0385,0.5165 ± 0.0409,0.7090 ± 0.0234,0.7404 ± 0.0158,0.7308 ± 0.0229,0.7347 ± 0.0193,0.8029 ± 0.0147,0.7204 ± 0.0152,0.5139 ± 0.0258,0.5173 ± 0.0293,0.7079 ± 0.0163,0.7365 ± 0.0124,0.7204 ± 0.0152,0.7278 ± 0.0134,0.7969 ± 0.0105
1,decision_tree,mutual_info,0.5200 ± 0.0211,0.5073 ± 0.0446,0.7264 ± 0.0210,0.5059 ± 0.0425,0.5121 ± 0.0497,0.7059 ± 0.0268,0.7368 ± 0.0191,0.7264 ± 0.0210,0.7307 ± 0.0201,0.7994 ± 0.0155,0.7237 ± 0.0166,0.5207 ± 0.0203,0.5223 ± 0.0234,0.7107 ± 0.0144,0.7367 ± 0.0142,0.7237 ± 0.0166,0.7297 ± 0.0153,0.7980 ± 0.0126
2,decision_tree,spearman_sulov,0.5215 ± 0.0273,0.5053 ± 0.0339,0.7231 ± 0.0227,0.5038 ± 0.0333,0.5117 ± 0.0376,0.7054 ± 0.0206,0.7360 ± 0.0168,0.7231 ± 0.0227,0.7281 ± 0.0183,0.7983 ± 0.0144,0.7167 ± 0.0204,0.5223 ± 0.0301,0.5242 ± 0.0261,0.7104 ± 0.0147,0.7325 ± 0.0159,0.7167 ± 0.0204,0.7239 ± 0.0178,0.7931 ± 0.0139
3,decision_tree,chi2,0.5140 ± 0.0282,0.5158 ± 0.0455,0.7304 ± 0.0218,0.5153 ± 0.0443,0.5193 ± 0.0472,0.7099 ± 0.0254,0.7377 ± 0.0161,0.7304 ± 0.0218,0.7331 ± 0.0183,0.8010 ± 0.0140,0.7165 ± 0.0142,0.5128 ± 0.0264,0.5172 ± 0.0303,0.7070 ± 0.0171,0.7321 ± 0.0136,0.7165 ± 0.0142,0.7237 ± 0.0135,0.7934 ± 0.0108
4,decision_tree,chi2_mi_union_topk,0.5328 ± 0.0261,0.5035 ± 0.0481,0.7260 ± 0.0292,0.5038 ± 0.0453,0.5082 ± 0.0536,0.7000 ± 0.0305,0.7369 ± 0.0167,0.7260 ± 0.0292,0.7300 ± 0.0227,0.7930 ± 0.0186,0.7292 ± 0.0150,0.5331 ± 0.0254,0.5352 ± 0.0280,0.7155 ± 0.0151,0.7421 ± 0.0146,0.7292 ± 0.0150,0.7350 ± 0.0141,0.7977 ± 0.0113
5,random_forest,spearman_corr,0.4831 ± 0.0147,0.4860 ± 0.0279,0.8403 ± 0.0105,0.6415 ± 0.1225,0.5023 ± 0.0161,0.8920 ± 0.0120,0.8088 ± 0.0350,0.8403 ± 0.0105,0.7894 ± 0.0098,0.9295 ± 0.0077,0.8336 ± 0.0052,0.6855 ± 0.1029,0.4991 ± 0.0087,0.8906 ± 0.0065,0.8146 ± 0.0186,0.8336 ± 0.0052,0.7830 ± 0.0049,0.9264 ± 0.0044
6,random_forest,mutual_info,0.5107 ± 0.0329,0.5298 ± 0.0451,0.8447 ± 0.0088,0.7649 ± 0.1229,0.5279 ± 0.0273,0.8896 ± 0.0162,0.8349 ± 0.0253,0.8447 ± 0.0088,0.8002 ± 0.0118,0.9295 ± 0.0082,0.8358 ± 0.0054,0.7191 ± 0.1082,0.5156 ± 0.0208,0.8953 ± 0.0056,0.8177 ± 0.0171,0.8358 ± 0.0054,0.7897 ± 0.0066,0.9282 ± 0.0049
7,random_forest,spearman_sulov,0.4850 ± 0.0164,0.4983 ± 0.0356,0.8410 ± 0.0109,0.6457 ± 0.1076,0.5091 ± 0.0221,0.8873 ± 0.0123,0.8124 ± 0.0328,0.8410 ± 0.0109,0.7937 ± 0.0138,0.9268 ± 0.0047,0.8330 ± 0.0068,0.6545 ± 0.1026,0.4998 ± 0.0103,0.8933 ± 0.0072,0.8054 ± 0.0199,0.8330 ± 0.0068,0.7836 ± 0.0071,0.9277 ± 0.0045
8,random_forest,chi2,0.5029 ± 0.0245,0.5141 ± 0.0513,0.8451 ± 0.0118,0.6964 ± 0.1206,0.5200 ± 0.0355,0.8913 ± 0.0100,0.8275 ± 0.0272,0.8451 ± 0.0118,0.7987 ± 0.0124,0.9278 ± 0.0079,0.8346 ± 0.0067,0.6947 ± 0.1077,0.5102 ± 0.0154,0.8938 ± 0.0076,0.8095 ± 0.0243,0.8346 ± 0.0067,0.7876 ± 0.0084,0.9274 ± 0.0051
9,random_forest,chi2_mi_union_topk,0.5199 ± 0.0272,0.5514 ± 0.0499,0.8436 ± 0.0107,0.7281 ± 0.1063,0.5445 ± 0.0358,0.8835 ± 0.0105,0.8243 ± 0.0219,0.8436 ± 0.0107,0.8018 ± 0.0101,0.9250 ± 0.0064,0.8374 ± 0.0051,0.7247 ± 0.1001,0.5203 ± 0.0183,0.8894 ± 0.0051,0.8164 ± 0.0163,0.8374 ± 0.0051,0.7940 ± 0.0055,0.9261 ± 0.0046
