,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5141 ± 0.0396,0.5306 ± 0.0282,0.7392 ± 0.0281,0.5422 ± 0.0352,0.5293 ± 0.0311,0.7155 ± 0.0186,0.7369 ± 0.0205,0.7392 ± 0.0281,0.7368 ± 0.0239,0.8034 ± 0.0193,0.7182 ± 0.0183,0.5165 ± 0.0409,0.5127 ± 0.0384,0.7042 ± 0.0219,0.7244 ± 0.0138,0.7182 ± 0.0183,0.7210 ± 0.0156,0.7912 ± 0.0121
1,decision_tree,mutual_info,0.5286 ± 0.0349,0.5118 ± 0.0265,0.7282 ± 0.0199,0.5258 ± 0.0421,0.5150 ± 0.0346,0.7072 ± 0.0170,0.7327 ± 0.0159,0.7282 ± 0.0199,0.7287 ± 0.0154,0.7987 ± 0.0125,0.7160 ± 0.0137,0.5295 ± 0.0344,0.5297 ± 0.0356,0.7122 ± 0.0196,0.7239 ± 0.0153,0.7160 ± 0.0137,0.7196 ± 0.0141,0.7894 ± 0.0113
2,decision_tree,spearman_sulov,0.5235 ± 0.0345,0.5212 ± 0.0352,0.7363 ± 0.0243,0.5404 ± 0.0647,0.5227 ± 0.0408,0.7121 ± 0.0226,0.7373 ± 0.0203,0.7363 ± 0.0243,0.7347 ± 0.0211,0.8030 ± 0.0174,0.7123 ± 0.0100,0.5255 ± 0.0370,0.5235 ± 0.0326,0.7087 ± 0.0177,0.7225 ± 0.0105,0.7123 ± 0.0100,0.7170 ± 0.0098,0.7875 ± 0.0075
3,decision_tree,chi2,0.5405 ± 0.0391,0.5180 ± 0.0436,0.7220 ± 0.0203,0.5323 ± 0.0651,0.5255 ± 0.0526,0.7114 ± 0.0296,0.7301 ± 0.0184,0.7220 ± 0.0203,0.7240 ± 0.0191,0.7944 ± 0.0158,0.7192 ± 0.0185,0.5433 ± 0.0400,0.5401 ± 0.0393,0.7184 ± 0.0225,0.7317 ± 0.0156,0.7192 ± 0.0185,0.7249 ± 0.0168,0.7934 ± 0.0132
4,decision_tree,chi2_mi_union_topk,0.5564 ± 0.0337,0.5348 ± 0.0425,0.7330 ± 0.0204,0.5387 ± 0.0468,0.5375 ± 0.0432,0.7113 ± 0.0203,0.7457 ± 0.0163,0.7330 ± 0.0204,0.7373 ± 0.0172,0.7951 ± 0.0123,0.7314 ± 0.0141,0.5588 ± 0.0372,0.5571 ± 0.0309,0.7218 ± 0.0174,0.7416 ± 0.0114,0.7314 ± 0.0141,0.7360 ± 0.0119,0.7942 ± 0.0086
5,random_forest,spearman_corr,0.4589 ± 0.0078,0.4604 ± 0.0146,0.8363 ± 0.0099,0.5561 ± 0.1268,0.4882 ± 0.0093,0.9019 ± 0.0089,0.7857 ± 0.0594,0.8363 ± 0.0099,0.7809 ± 0.0112,0.9328 ± 0.0086,0.8297 ± 0.0045,0.6221 ± 0.0571,0.4862 ± 0.0046,0.8977 ± 0.0066,0.8047 ± 0.0245,0.8297 ± 0.0045,0.7742 ± 0.0042,0.9293 ± 0.0025
6,random_forest,mutual_info,0.4598 ± 0.0109,0.4630 ± 0.0136,0.8366 ± 0.0080,0.5745 ± 0.1149,0.4896 ± 0.0072,0.8962 ± 0.0120,0.7931 ± 0.0505,0.8366 ± 0.0080,0.7816 ± 0.0084,0.9314 ± 0.0078,0.8300 ± 0.0051,0.5962 ± 0.0717,0.4866 ± 0.0059,0.8944 ± 0.0059,0.7938 ± 0.0311,0.8300 ± 0.0051,0.7749 ± 0.0053,0.9276 ± 0.0047
7,random_forest,spearman_sulov,0.4631 ± 0.0161,0.4635 ± 0.0139,0.8370 ± 0.0108,0.5853 ± 0.1177,0.4899 ± 0.0087,0.8948 ± 0.0103,0.7986 ± 0.0519,0.8370 ± 0.0108,0.7823 ± 0.0110,0.9315 ± 0.0075,0.8307 ± 0.0044,0.6150 ± 0.0926,0.4886 ± 0.0086,0.8998 ± 0.0055,0.7981 ± 0.0370,0.8307 ± 0.0044,0.7756 ± 0.0059,0.9302 ± 0.0038
8,random_forest,chi2,0.4583 ± 0.0112,0.4717 ± 0.0279,0.8359 ± 0.0084,0.5891 ± 0.1196,0.4937 ± 0.0159,0.8933 ± 0.0161,0.7911 ± 0.0454,0.8359 ± 0.0084,0.7827 ± 0.0111,0.9293 ± 0.0098,0.8285 ± 0.0064,0.5573 ± 0.0876,0.4854 ± 0.0068,0.8946 ± 0.0067,0.7761 ± 0.0361,0.8285 ± 0.0064,0.7734 ± 0.0073,0.9278 ± 0.0036
9,random_forest,chi2_mi_union_topk,0.4876 ± 0.0289,0.5191 ± 0.0490,0.8425 ± 0.0095,0.7342 ± 0.1206,0.5214 ± 0.0303,0.8947 ± 0.0096,0.8170 ± 0.0313,0.8425 ± 0.0095,0.7945 ± 0.0137,0.9285 ± 0.0090,0.8311 ± 0.0080,0.6679 ± 0.1417,0.5007 ± 0.0175,0.8937 ± 0.0086,0.8000 ± 0.0320,0.8311 ± 0.0080,0.7820 ± 0.0095,0.9264 ± 0.0048
