,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5329 ± 0.0305,0.5389 ± 0.0429,0.7377 ± 0.0217,0.5604 ± 0.0577,0.5366 ± 0.0442,0.7191 ± 0.0242,0.7412 ± 0.0159,0.7377 ± 0.0217,0.7373 ± 0.0175,0.8033 ± 0.0128,0.7203 ± 0.0166,0.5346 ± 0.0317,0.5329 ± 0.0291,0.7150 ± 0.0165,0.7311 ± 0.0115,0.7203 ± 0.0166,0.7252 ± 0.0135,0.7939 ± 0.0106
1,decision_tree,mutual_info,0.5288 ± 0.0313,0.5349 ± 0.0473,0.7264 ± 0.0188,0.5391 ± 0.0478,0.5460 ± 0.0585,0.7229 ± 0.0317,0.7390 ± 0.0185,0.7264 ± 0.0188,0.7308 ± 0.0177,0.7996 ± 0.0136,0.7200 ± 0.0136,0.5289 ± 0.0325,0.5298 ± 0.0304,0.7131 ± 0.0165,0.7279 ± 0.0098,0.7200 ± 0.0136,0.7236 ± 0.0111,0.7928 ± 0.0087
2,decision_tree,spearman_sulov,0.5264 ± 0.0364,0.5091 ± 0.0285,0.7253 ± 0.0151,0.5375 ± 0.0638,0.5131 ± 0.0440,0.7059 ± 0.0220,0.7348 ± 0.0096,0.7253 ± 0.0151,0.7275 ± 0.0099,0.7975 ± 0.0090,0.7165 ± 0.0113,0.5350 ± 0.0383,0.5217 ± 0.0353,0.7085 ± 0.0188,0.7261 ± 0.0097,0.7165 ± 0.0113,0.7207 ± 0.0098,0.7904 ± 0.0074
3,decision_tree,chi2,0.5361 ± 0.0301,0.5274 ± 0.0354,0.7245 ± 0.0209,0.5358 ± 0.0409,0.5277 ± 0.0359,0.7134 ± 0.0198,0.7359 ± 0.0182,0.7245 ± 0.0209,0.7286 ± 0.0182,0.7980 ± 0.0141,0.7190 ± 0.0129,0.5363 ± 0.0309,0.5386 ± 0.0313,0.7174 ± 0.0176,0.7287 ± 0.0118,0.7190 ± 0.0129,0.7234 ± 0.0115,0.7926 ± 0.0089
4,decision_tree,chi2_mi_union_topk,0.5533 ± 0.0391,0.5587 ± 0.0319,0.7465 ± 0.0144,0.5660 ± 0.0337,0.5666 ± 0.0413,0.7266 ± 0.0235,0.7600 ± 0.0168,0.7465 ± 0.0144,0.7511 ± 0.0133,0.8025 ± 0.0118,0.7318 ± 0.0184,0.5520 ± 0.0395,0.5572 ± 0.0404,0.7208 ± 0.0227,0.7439 ± 0.0152,0.7318 ± 0.0184,0.7372 ± 0.0165,0.7932 ± 0.0129
5,random_forest,spearman_corr,0.4666 ± 0.0086,0.5007 ± 0.0324,0.8440 ± 0.0087,0.6907 ± 0.1291,0.5116 ± 0.0182,0.8962 ± 0.0152,0.8195 ± 0.0387,0.8440 ± 0.0087,0.7938 ± 0.0101,0.9299 ± 0.0093,0.8321 ± 0.0044,0.6251 ± 0.1080,0.4905 ± 0.0050,0.8984 ± 0.0073,0.7995 ± 0.0233,0.8321 ± 0.0044,0.7780 ± 0.0049,0.9293 ± 0.0041
6,random_forest,mutual_info,0.4661 ± 0.0216,0.4740 ± 0.0299,0.8363 ± 0.0071,0.5937 ± 0.1468,0.4955 ± 0.0167,0.8944 ± 0.0157,0.7852 ± 0.0451,0.8363 ± 0.0071,0.7823 ± 0.0077,0.9299 ± 0.0084,0.8280 ± 0.0079,0.5915 ± 0.1343,0.4893 ± 0.0129,0.8946 ± 0.0077,0.7776 ± 0.0366,0.8280 ± 0.0079,0.7741 ± 0.0092,0.9270 ± 0.0049
7,random_forest,spearman_sulov,0.4709 ± 0.0234,0.4830 ± 0.0324,0.8403 ± 0.0099,0.6412 ± 0.1493,0.5018 ± 0.0193,0.9019 ± 0.0130,0.8041 ± 0.0452,0.8403 ± 0.0099,0.7867 ± 0.0102,0.9326 ± 0.0096,0.8321 ± 0.0054,0.6307 ± 0.0967,0.4926 ± 0.0130,0.8987 ± 0.0071,0.8023 ± 0.0216,0.8321 ± 0.0054,0.7791 ± 0.0073,0.9306 ± 0.0044
8,random_forest,chi2,0.4667 ± 0.0183,0.4849 ± 0.0398,0.8363 ± 0.0075,0.6088 ± 0.1139,0.5019 ± 0.0261,0.8967 ± 0.0152,0.7953 ± 0.0345,0.8363 ± 0.0075,0.7855 ± 0.0097,0.9305 ± 0.0088,0.8291 ± 0.0044,0.5889 ± 0.1153,0.4899 ± 0.0104,0.8955 ± 0.0095,0.7774 ± 0.0294,0.8291 ± 0.0044,0.7752 ± 0.0056,0.9294 ± 0.0042
9,random_forest,chi2_mi_union_topk,0.4886 ± 0.0187,0.5081 ± 0.0395,0.8399 ± 0.0095,0.7043 ± 0.1428,0.5138 ± 0.0233,0.8926 ± 0.0136,0.8114 ± 0.0325,0.8399 ± 0.0095,0.7922 ± 0.0128,0.9291 ± 0.0092,0.8308 ± 0.0045,0.6837 ± 0.0958,0.5011 ± 0.0113,0.8924 ± 0.0096,0.8024 ± 0.0116,0.8308 ± 0.0045,0.7819 ± 0.0049,0.9267 ± 0.0055
