,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6135 ± 0.0264,0.6322 ± 0.0260,0.7579 ± 0.0273,0.6346 ± 0.0233,0.6328 ± 0.0269,0.7550 ± 0.0192,0.7709 ± 0.0188,0.7579 ± 0.0273,0.7632 ± 0.0227,0.8159 ± 0.0191,0.7489 ± 0.0216,0.6145 ± 0.0257,0.6139 ± 0.0273,0.7430 ± 0.0188,0.7591 ± 0.0190,0.7489 ± 0.0216,0.7536 ± 0.0198,0.8082 ± 0.0162
1,decision_tree,mutual_info,RandomOverSampler,0.6189 ± 0.0162,0.6325 ± 0.0244,0.7601 ± 0.0261,0.6350 ± 0.0241,0.6345 ± 0.0254,0.7565 ± 0.0177,0.7721 ± 0.0191,0.7601 ± 0.0261,0.7646 ± 0.0213,0.8177 ± 0.0178,0.7503 ± 0.0138,0.6200 ± 0.0156,0.6197 ± 0.0171,0.7466 ± 0.0119,0.7634 ± 0.0134,0.7503 ± 0.0138,0.7564 ± 0.0129,0.8103 ± 0.0109
2,decision_tree,spearman_sulov,RandomOverSampler,0.6151 ± 0.0201,0.6291 ± 0.0247,0.7667 ± 0.0257,0.6310 ± 0.0264,0.6293 ± 0.0238,0.7548 ± 0.0173,0.7697 ± 0.0171,0.7667 ± 0.0257,0.7673 ± 0.0212,0.8202 ± 0.0172,0.7484 ± 0.0192,0.6163 ± 0.0192,0.6154 ± 0.0207,0.7439 ± 0.0148,0.7609 ± 0.0153,0.7484 ± 0.0192,0.7542 ± 0.0172,0.8087 ± 0.0145
3,decision_tree,chi2,RandomOverSampler,0.6169 ± 0.0110,0.6241 ± 0.0307,0.7634 ± 0.0284,0.6258 ± 0.0290,0.6244 ± 0.0316,0.7522 ± 0.0220,0.7712 ± 0.0215,0.7634 ± 0.0284,0.7664 ± 0.0248,0.8200 ± 0.0207,0.7531 ± 0.0074,0.6174 ± 0.0110,0.6175 ± 0.0116,0.7458 ± 0.0067,0.7617 ± 0.0075,0.7531 ± 0.0074,0.7571 ± 0.0059,0.8111 ± 0.0052
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6125 ± 0.0191,0.6302 ± 0.0306,0.7681 ± 0.0200,0.6311 ± 0.0304,0.6329 ± 0.0327,0.7551 ± 0.0226,0.7742 ± 0.0236,0.7681 ± 0.0200,0.7698 ± 0.0203,0.8197 ± 0.0191,0.7517 ± 0.0131,0.6138 ± 0.0185,0.6127 ± 0.0203,0.7424 ± 0.0126,0.7632 ± 0.0117,0.7517 ± 0.0131,0.7570 ± 0.0119,0.8102 ± 0.0099
5,random_forest,spearman_corr,RandomOverSampler,0.6614 ± 0.0145,0.6707 ± 0.0170,0.8656 ± 0.0111,0.8084 ± 0.0765,0.6758 ± 0.0123,0.8926 ± 0.0134,0.8506 ± 0.0266,0.8656 ± 0.0111,0.8329 ± 0.0111,0.9404 ± 0.0081,0.8615 ± 0.0049,0.7693 ± 0.0299,0.6690 ± 0.0092,0.8961 ± 0.0069,0.8352 ± 0.0111,0.8615 ± 0.0049,0.8281 ± 0.0068,0.9407 ± 0.0039
6,random_forest,mutual_info,RandomOverSampler,0.6748 ± 0.0202,0.6915 ± 0.0210,0.8718 ± 0.0123,0.8245 ± 0.0543,0.6897 ± 0.0153,0.8914 ± 0.0133,0.8591 ± 0.0226,0.8718 ± 0.0123,0.8424 ± 0.0132,0.9402 ± 0.0080,0.8634 ± 0.0077,0.7654 ± 0.0320,0.6773 ± 0.0137,0.8941 ± 0.0048,0.8367 ± 0.0142,0.8634 ± 0.0077,0.8336 ± 0.0102,0.9399 ± 0.0027
7,random_forest,spearman_sulov,RandomOverSampler,0.6684 ± 0.0232,0.6608 ± 0.0255,0.8659 ± 0.0112,0.7912 ± 0.0789,0.6711 ± 0.0162,0.8913 ± 0.0112,0.8445 ± 0.0298,0.8659 ± 0.0112,0.8304 ± 0.0132,0.9402 ± 0.0077,0.8634 ± 0.0076,0.7723 ± 0.0490,0.6737 ± 0.0143,0.8936 ± 0.0067,0.8377 ± 0.0185,0.8634 ± 0.0076,0.8314 ± 0.0102,0.9398 ± 0.0036
8,random_forest,chi2,RandomOverSampler,0.6795 ± 0.0138,0.6834 ± 0.0194,0.8674 ± 0.0121,0.7935 ± 0.0651,0.6839 ± 0.0141,0.8882 ± 0.0117,0.8481 ± 0.0251,0.8674 ± 0.0121,0.8381 ± 0.0123,0.9385 ± 0.0076,0.8607 ± 0.0072,0.7566 ± 0.0259,0.6793 ± 0.0100,0.8928 ± 0.0067,0.8338 ± 0.0113,0.8607 ± 0.0072,0.8336 ± 0.0080,0.9390 ± 0.0042
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6834 ± 0.0129,0.6813 ± 0.0146,0.8601 ± 0.0145,0.7504 ± 0.0501,0.6818 ± 0.0115,0.8863 ± 0.0131,0.8346 ± 0.0196,0.8601 ± 0.0145,0.8347 ± 0.0113,0.9373 ± 0.0084,0.8575 ± 0.0055,0.7353 ± 0.0225,0.6817 ± 0.0096,0.8866 ± 0.0092,0.8286 ± 0.0089,0.8575 ± 0.0055,0.8340 ± 0.0069,0.9365 ± 0.0049
10,extra_trees,spearman_corr,RandomOverSampler,0.6254 ± 0.0075,0.6301 ± 0.0261,0.8630 ± 0.0112,0.7815 ± 0.1530,0.6555 ± 0.0155,0.8953 ± 0.0143,0.8368 ± 0.0514,0.8630 ± 0.0112,0.8187 ± 0.0139,0.9416 ± 0.0092,0.8597 ± 0.0042,0.8365 ± 0.0718,0.6509 ± 0.0040,0.8924 ± 0.0089,0.8530 ± 0.0224,0.8597 ± 0.0042,0.8159 ± 0.0041,0.9387 ± 0.0044
11,extra_trees,mutual_info,RandomOverSampler,0.6511 ± 0.0185,0.6519 ± 0.0233,0.8648 ± 0.0115,0.8331 ± 0.1097,0.6661 ± 0.0145,0.8882 ± 0.0125,0.8559 ± 0.0379,0.8648 ± 0.0115,0.8263 ± 0.0127,0.9386 ± 0.0077,0.8627 ± 0.0055,0.8118 ± 0.0426,0.6641 ± 0.0110,0.8911 ± 0.0073,0.8477 ± 0.0153,0.8627 ± 0.0055,0.8253 ± 0.0083,0.9387 ± 0.0032
12,extra_trees,spearman_sulov,RandomOverSampler,0.6292 ± 0.0119,0.6392 ± 0.0271,0.8626 ± 0.0107,0.8138 ± 0.1371,0.6594 ± 0.0159,0.8910 ± 0.0117,0.8475 ± 0.0495,0.8626 ± 0.0107,0.8209 ± 0.0138,0.9395 ± 0.0071,0.8604 ± 0.0055,0.8072 ± 0.0694,0.6528 ± 0.0072,0.8925 ± 0.0072,0.8441 ± 0.0238,0.8604 ± 0.0055,0.8176 ± 0.0066,0.9392 ± 0.0040
13,extra_trees,chi2,RandomOverSampler,0.6580 ± 0.0158,0.6620 ± 0.0273,0.8674 ± 0.0081,0.8321 ± 0.0978,0.6722 ± 0.0160,0.8857 ± 0.0136,0.8575 ± 0.0333,0.8674 ± 0.0081,0.8310 ± 0.0114,0.9371 ± 0.0075,0.8631 ± 0.0055,0.8063 ± 0.0332,0.6676 ± 0.0095,0.8917 ± 0.0090,0.8466 ± 0.0118,0.8631 ± 0.0055,0.8275 ± 0.0074,0.9389 ± 0.0042
14,extra_trees,chi2_mi_union_topk,RandomOverSampler,0.6635 ± 0.0153,0.6635 ± 0.0221,0.8608 ± 0.0122,0.7913 ± 0.0825,0.6706 ± 0.0146,0.8823 ± 0.0150,0.8416 ± 0.0306,0.8608 ± 0.0122,0.8274 ± 0.0126,0.9346 ± 0.0092,0.8580 ± 0.0055,0.7573 ± 0.0333,0.6690 ± 0.0095,0.8855 ± 0.0110,0.8304 ± 0.0119,0.8580 ± 0.0055,0.8267 ± 0.0071,0.9356 ± 0.0055
15,xgboost,spearman_corr,RandomOverSampler,0.6579 ± 0.0197,0.6702 ± 0.0254,0.8495 ± 0.0130,0.7026 ± 0.0422,0.6721 ± 0.0196,0.8877 ± 0.0123,0.8165 ± 0.0183,0.8495 ± 0.0130,0.8263 ± 0.0134,0.9361 ± 0.0066,0.8360 ± 0.0078,0.6820 ± 0.0308,0.6601 ± 0.0148,0.8808 ± 0.0123,0.8029 ± 0.0128,0.8360 ± 0.0078,0.8145 ± 0.0093,0.9305 ± 0.0063
16,xgboost,mutual_info,RandomOverSampler,0.6555 ± 0.0151,0.6569 ± 0.0319,0.8454 ± 0.0180,0.6944 ± 0.0530,0.6624 ± 0.0243,0.8849 ± 0.0117,0.8087 ± 0.0248,0.8454 ± 0.0180,0.8188 ± 0.0186,0.9350 ± 0.0062,0.8377 ± 0.0073,0.6815 ± 0.0245,0.6589 ± 0.0113,0.8794 ± 0.0136,0.8032 ± 0.0098,0.8377 ± 0.0073,0.8149 ± 0.0076,0.9304 ± 0.0071
17,xgboost,spearman_sulov,RandomOverSampler,0.6574 ± 0.0174,0.6747 ± 0.0292,0.8473 ± 0.0152,0.7120 ± 0.0481,0.6747 ± 0.0223,0.8884 ± 0.0117,0.8177 ± 0.0211,0.8473 ± 0.0152,0.8253 ± 0.0156,0.9366 ± 0.0064,0.8368 ± 0.0100,0.6790 ± 0.0273,0.6600 ± 0.0136,0.8797 ± 0.0100,0.8035 ± 0.0111,0.8368 ± 0.0100,0.8156 ± 0.0092,0.9303 ± 0.0056
18,xgboost,chi2,RandomOverSampler,0.6579 ± 0.0157,0.6707 ± 0.0235,0.8465 ± 0.0111,0.7076 ± 0.0364,0.6716 ± 0.0182,0.8760 ± 0.0122,0.8156 ± 0.0156,0.8465 ± 0.0111,0.8239 ± 0.0125,0.9299 ± 0.0075,0.8355 ± 0.0061,0.6801 ± 0.0219,0.6601 ± 0.0117,0.8766 ± 0.0120,0.8027 ± 0.0096,0.8355 ± 0.0061,0.8145 ± 0.0075,0.9284 ± 0.0064
19,xgboost,chi2_mi_union_topk,RandomOverSampler,0.6673 ± 0.0142,0.6698 ± 0.0307,0.8381 ± 0.0160,0.6913 ± 0.0404,0.6703 ± 0.0252,0.8682 ± 0.0177,0.8105 ± 0.0186,0.8381 ± 0.0160,0.8199 ± 0.0157,0.9247 ± 0.0109,0.8303 ± 0.0062,0.6840 ± 0.0201,0.6662 ± 0.0112,0.8650 ± 0.0082,0.8049 ± 0.0081,0.8303 ± 0.0062,0.8146 ± 0.0068,0.9218 ± 0.0049
20,adaboost,spearman_corr,RandomOverSampler,0.6576 ± 0.0208,0.6652 ± 0.0183,0.7971 ± 0.0279,0.6689 ± 0.0176,0.6679 ± 0.0184,0.8569 ± 0.0148,0.8075 ± 0.0092,0.7971 ± 0.0279,0.8003 ± 0.0181,0.9257 ± 0.0073,0.7849 ± 0.0168,0.6587 ± 0.0187,0.6603 ± 0.0221,0.8489 ± 0.0120,0.8023 ± 0.0102,0.7849 ± 0.0168,0.7923 ± 0.0135,0.9189 ± 0.0051
21,adaboost,mutual_info,RandomOverSampler,0.6583 ± 0.0213,0.6679 ± 0.0328,0.8000 ± 0.0295,0.6700 ± 0.0324,0.6693 ± 0.0325,0.8578 ± 0.0079,0.8076 ± 0.0220,0.8000 ± 0.0295,0.8025 ± 0.0249,0.9253 ± 0.0063,0.7855 ± 0.0179,0.6595 ± 0.0189,0.6612 ± 0.0222,0.8455 ± 0.0076,0.8032 ± 0.0102,0.7855 ± 0.0179,0.7930 ± 0.0144,0.9179 ± 0.0039
22,adaboost,spearman_sulov,RandomOverSampler,0.6482 ± 0.0184,0.6745 ± 0.0269,0.8062 ± 0.0250,0.6771 ± 0.0272,0.6748 ± 0.0268,0.8639 ± 0.0188,0.8098 ± 0.0165,0.8062 ± 0.0250,0.8068 ± 0.0198,0.9274 ± 0.0082,0.7783 ± 0.0123,0.6496 ± 0.0172,0.6503 ± 0.0199,0.8476 ± 0.0072,0.7968 ± 0.0108,0.7783 ± 0.0123,0.7865 ± 0.0110,0.9185 ± 0.0043
23,adaboost,chi2,RandomOverSampler,0.6490 ± 0.0181,0.6627 ± 0.0299,0.8000 ± 0.0240,0.6659 ± 0.0317,0.6651 ± 0.0293,0.8535 ± 0.0159,0.8056 ± 0.0188,0.8000 ± 0.0240,0.8010 ± 0.0193,0.9233 ± 0.0067,0.7808 ± 0.0177,0.6508 ± 0.0159,0.6507 ± 0.0182,0.8399 ± 0.0112,0.7975 ± 0.0087,0.7808 ± 0.0177,0.7879 ± 0.0137,0.9158 ± 0.0046
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.6515 ± 0.0253,0.6582 ± 0.0276,0.7952 ± 0.0195,0.6605 ± 0.0287,0.6615 ± 0.0273,0.8550 ± 0.0100,0.8043 ± 0.0180,0.7952 ± 0.0195,0.7975 ± 0.0155,0.9245 ± 0.0052,0.7851 ± 0.0195,0.6525 ± 0.0235,0.6528 ± 0.0266,0.8500 ± 0.0115,0.7986 ± 0.0153,0.7851 ± 0.0195,0.7911 ± 0.0175,0.9209 ± 0.0056
25,svm,spearman_corr,RandomOverSampler,0.6439 ± 0.0209,0.6433 ± 0.0154,0.8443 ± 0.0164,0.6793 ± 0.0593,0.6540 ± 0.0127,0.8803 ± 0.0151,0.8045 ± 0.0223,0.8443 ± 0.0164,0.8153 ± 0.0117,0.9337 ± 0.0086,0.8349 ± 0.0058,0.6631 ± 0.0324,0.6512 ± 0.0140,0.8718 ± 0.0128,0.7949 ± 0.0130,0.8349 ± 0.0058,0.8097 ± 0.0080,0.9280 ± 0.0062
26,svm,mutual_info,RandomOverSampler,0.6643 ± 0.0133,0.6747 ± 0.0155,0.8531 ± 0.0158,0.7309 ± 0.0551,0.6757 ± 0.0121,0.8775 ± 0.0103,0.8256 ± 0.0217,0.8531 ± 0.0158,0.8287 ± 0.0113,0.9330 ± 0.0061,0.8418 ± 0.0057,0.6905 ± 0.0177,0.6659 ± 0.0102,0.8691 ± 0.0103,0.8089 ± 0.0084,0.8418 ± 0.0057,0.8201 ± 0.0067,0.9275 ± 0.0050
27,svm,spearman_sulov,RandomOverSampler,0.6578 ± 0.0214,0.6527 ± 0.0163,0.8454 ± 0.0170,0.6891 ± 0.0435,0.6599 ± 0.0144,0.8788 ± 0.0137,0.8093 ± 0.0191,0.8454 ± 0.0170,0.8189 ± 0.0130,0.9331 ± 0.0077,0.8390 ± 0.0064,0.6818 ± 0.0294,0.6612 ± 0.0155,0.8728 ± 0.0086,0.8040 ± 0.0127,0.8390 ± 0.0064,0.8162 ± 0.0090,0.9288 ± 0.0044
28,svm,chi2,RandomOverSampler,0.6680 ± 0.0096,0.6711 ± 0.0158,0.8535 ± 0.0134,0.7288 ± 0.0510,0.6735 ± 0.0116,0.8764 ± 0.0064,0.8241 ± 0.0188,0.8535 ± 0.0134,0.8276 ± 0.0100,0.9327 ± 0.0045,0.8439 ± 0.0049,0.7004 ± 0.0187,0.6685 ± 0.0072,0.8672 ± 0.0119,0.8121 ± 0.0069,0.8439 ± 0.0049,0.8219 ± 0.0049,0.9268 ± 0.0057
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6792 ± 0.0122,0.6809 ± 0.0163,0.8524 ± 0.0104,0.7136 ± 0.0302,0.6802 ± 0.0126,0.8658 ± 0.0182,0.8234 ± 0.0107,0.8524 ± 0.0104,0.8316 ± 0.0089,0.9285 ± 0.0087,0.8428 ± 0.0062,0.6986 ± 0.0164,0.6775 ± 0.0100,0.8613 ± 0.0073,0.8166 ± 0.0071,0.8428 ± 0.0062,0.8262 ± 0.0062,0.9241 ± 0.0037
30,logistic_regression,spearman_corr,RandomOverSampler,0.6505 ± 0.0221,0.6550 ± 0.0310,0.7813 ± 0.0241,0.6585 ± 0.0300,0.6586 ± 0.0334,0.8663 ± 0.0155,0.8037 ± 0.0184,0.7813 ± 0.0241,0.7898 ± 0.0201,0.9243 ± 0.0083,0.7737 ± 0.0195,0.6534 ± 0.0194,0.6542 ± 0.0240,0.8524 ± 0.0175,0.8002 ± 0.0136,0.7737 ± 0.0195,0.7849 ± 0.0168,0.9143 ± 0.0096
31,logistic_regression,mutual_info,RandomOverSampler,0.6448 ± 0.0106,0.6487 ± 0.0161,0.7758 ± 0.0166,0.6525 ± 0.0158,0.6520 ± 0.0176,0.8550 ± 0.0112,0.8011 ± 0.0112,0.7758 ± 0.0166,0.7859 ± 0.0122,0.9186 ± 0.0058,0.7692 ± 0.0099,0.6482 ± 0.0099,0.6479 ± 0.0116,0.8451 ± 0.0162,0.7977 ± 0.0086,0.7692 ± 0.0099,0.7816 ± 0.0092,0.9102 ± 0.0087
32,logistic_regression,spearman_sulov,RandomOverSampler,0.6486 ± 0.0160,0.6532 ± 0.0148,0.7780 ± 0.0125,0.6563 ± 0.0135,0.6570 ± 0.0170,0.8623 ± 0.0106,0.8029 ± 0.0096,0.7780 ± 0.0125,0.7880 ± 0.0101,0.9221 ± 0.0059,0.7728 ± 0.0118,0.6512 ± 0.0146,0.6521 ± 0.0178,0.8500 ± 0.0149,0.7988 ± 0.0103,0.7728 ± 0.0118,0.7840 ± 0.0109,0.9129 ± 0.0079
33,logistic_regression,chi2,RandomOverSampler,0.6458 ± 0.0207,0.6464 ± 0.0142,0.7725 ± 0.0177,0.6508 ± 0.0122,0.6503 ± 0.0164,0.8519 ± 0.0109,0.8002 ± 0.0071,0.7725 ± 0.0177,0.7836 ± 0.0115,0.9170 ± 0.0062,0.7682 ± 0.0164,0.6498 ± 0.0178,0.6490 ± 0.0233,0.8454 ± 0.0178,0.7994 ± 0.0122,0.7682 ± 0.0164,0.7817 ± 0.0144,0.9111 ± 0.0093
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.6582 ± 0.0236,0.6564 ± 0.0168,0.7795 ± 0.0153,0.6619 ± 0.0143,0.6606 ± 0.0185,0.8637 ± 0.0157,0.8123 ± 0.0088,0.7795 ± 0.0153,0.7923 ± 0.0119,0.9257 ± 0.0070,0.7736 ± 0.0173,0.6638 ± 0.0202,0.6650 ± 0.0277,0.8565 ± 0.0090,0.8132 ± 0.0125,0.7736 ± 0.0173,0.7897 ± 0.0149,0.9191 ± 0.0052
35,knn,spearman_corr,RandomOverSampler,0.6070 ± 0.0158,0.6192 ± 0.0340,0.7458 ± 0.0309,0.6364 ± 0.0272,0.6251 ± 0.0349,0.8234 ± 0.0200,0.7773 ± 0.0201,0.7458 ± 0.0309,0.7475 ± 0.0290,0.8868 ± 0.0158,0.7234 ± 0.0160,0.6282 ± 0.0146,0.6154 ± 0.0172,0.8165 ± 0.0096,0.7763 ± 0.0124,0.7234 ± 0.0160,0.7346 ± 0.0134,0.8815 ± 0.0072
36,knn,mutual_info,RandomOverSampler,0.6380 ± 0.0169,0.6457 ± 0.0233,0.7637 ± 0.0161,0.6563 ± 0.0187,0.6528 ± 0.0248,0.8366 ± 0.0086,0.7975 ± 0.0103,0.7637 ± 0.0161,0.7713 ± 0.0156,0.8986 ± 0.0071,0.7516 ± 0.0142,0.6512 ± 0.0145,0.6482 ± 0.0202,0.8374 ± 0.0114,0.7966 ± 0.0098,0.7516 ± 0.0142,0.7635 ± 0.0120,0.8989 ± 0.0059
37,knn,spearman_sulov,RandomOverSampler,0.6224 ± 0.0150,0.6239 ± 0.0359,0.7502 ± 0.0289,0.6405 ± 0.0313,0.6301 ± 0.0383,0.8260 ± 0.0182,0.7842 ± 0.0216,0.7502 ± 0.0289,0.7536 ± 0.0272,0.8914 ± 0.0150,0.7376 ± 0.0173,0.6395 ± 0.0118,0.6311 ± 0.0143,0.8248 ± 0.0091,0.7834 ± 0.0090,0.7376 ± 0.0173,0.7472 ± 0.0147,0.8888 ± 0.0061
