,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6147 ± 0.0139,0.6176 ± 0.0196,0.7524 ± 0.0256,0.6208 ± 0.0193,0.6194 ± 0.0202,0.7474 ± 0.0134,0.7659 ± 0.0133,0.7524 ± 0.0256,0.7574 ± 0.0176,0.8130 ± 0.0147,0.7440 ± 0.0118,0.6170 ± 0.0127,0.6154 ± 0.0153,0.7437 ± 0.0097,0.7637 ± 0.0077,0.7440 ± 0.0118,0.7531 ± 0.0092,0.8080 ± 0.0075
1,decision_tree,mutual_info,SMOTE,0.6122 ± 0.0156,0.6290 ± 0.0263,0.7538 ± 0.0254,0.6325 ± 0.0255,0.6306 ± 0.0282,0.7534 ± 0.0190,0.7707 ± 0.0202,0.7538 ± 0.0254,0.7608 ± 0.0206,0.8144 ± 0.0173,0.7440 ± 0.0114,0.6141 ± 0.0148,0.6125 ± 0.0167,0.7418 ± 0.0107,0.7607 ± 0.0105,0.7440 ± 0.0114,0.7518 ± 0.0102,0.8068 ± 0.0083
2,decision_tree,spearman_sulov,SMOTE,0.6173 ± 0.0166,0.6082 ± 0.0162,0.7542 ± 0.0237,0.6100 ± 0.0162,0.6091 ± 0.0161,0.7424 ± 0.0122,0.7628 ± 0.0145,0.7542 ± 0.0237,0.7574 ± 0.0177,0.8135 ± 0.0161,0.7445 ± 0.0142,0.6193 ± 0.0154,0.6180 ± 0.0179,0.7447 ± 0.0122,0.7625 ± 0.0125,0.7445 ± 0.0142,0.7529 ± 0.0127,0.8072 ± 0.0106
3,decision_tree,chi2,SMOTE,0.6167 ± 0.0162,0.6136 ± 0.0346,0.7440 ± 0.0263,0.6152 ± 0.0332,0.6140 ± 0.0352,0.7414 ± 0.0225,0.7534 ± 0.0181,0.7440 ± 0.0263,0.7480 ± 0.0213,0.8031 ± 0.0168,0.7426 ± 0.0134,0.6188 ± 0.0153,0.6177 ± 0.0176,0.7443 ± 0.0117,0.7626 ± 0.0130,0.7426 ± 0.0134,0.7518 ± 0.0127,0.8064 ± 0.0108
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6168 ± 0.0229,0.6356 ± 0.0240,0.7678 ± 0.0168,0.6361 ± 0.0235,0.6369 ± 0.0261,0.7561 ± 0.0152,0.7743 ± 0.0182,0.7678 ± 0.0168,0.7704 ± 0.0164,0.8183 ± 0.0117,0.7459 ± 0.0186,0.6193 ± 0.0211,0.6172 ± 0.0249,0.7436 ± 0.0176,0.7660 ± 0.0146,0.7459 ± 0.0186,0.7552 ± 0.0163,0.8077 ± 0.0146
5,random_forest,spearman_corr,SMOTE,0.6635 ± 0.0237,0.6636 ± 0.0275,0.8674 ± 0.0127,0.8198 ± 0.0700,0.6730 ± 0.0182,0.8930 ± 0.0113,0.8539 ± 0.0246,0.8674 ± 0.0127,0.8316 ± 0.0153,0.9407 ± 0.0069,0.8599 ± 0.0081,0.7612 ± 0.0526,0.6696 ± 0.0154,0.8929 ± 0.0070,0.8322 ± 0.0200,0.8599 ± 0.0081,0.8278 ± 0.0112,0.9392 ± 0.0034
6,random_forest,mutual_info,SMOTE,0.6718 ± 0.0219,0.6750 ± 0.0223,0.8656 ± 0.0138,0.7929 ± 0.0772,0.6784 ± 0.0163,0.8891 ± 0.0102,0.8462 ± 0.0302,0.8656 ± 0.0138,0.8344 ± 0.0139,0.9390 ± 0.0073,0.8635 ± 0.0068,0.7757 ± 0.0309,0.6756 ± 0.0144,0.8910 ± 0.0065,0.8392 ± 0.0128,0.8635 ± 0.0068,0.8325 ± 0.0102,0.9386 ± 0.0029
7,random_forest,spearman_sulov,SMOTE,0.6629 ± 0.0210,0.6701 ± 0.0260,0.8681 ± 0.0083,0.8446 ± 0.0628,0.6769 ± 0.0149,0.8873 ± 0.0123,0.8621 ± 0.0241,0.8681 ± 0.0083,0.8335 ± 0.0098,0.9384 ± 0.0081,0.8637 ± 0.0059,0.7975 ± 0.0399,0.6706 ± 0.0126,0.8923 ± 0.0076,0.8446 ± 0.0150,0.8637 ± 0.0059,0.8295 ± 0.0087,0.9388 ± 0.0041
8,random_forest,chi2,SMOTE,0.6749 ± 0.0178,0.6748 ± 0.0200,0.8678 ± 0.0116,0.7959 ± 0.0727,0.6792 ± 0.0136,0.8845 ± 0.0135,0.8484 ± 0.0275,0.8678 ± 0.0116,0.8359 ± 0.0106,0.9369 ± 0.0085,0.8643 ± 0.0084,0.7785 ± 0.0471,0.6773 ± 0.0126,0.8895 ± 0.0061,0.8409 ± 0.0186,0.8643 ± 0.0084,0.8340 ± 0.0098,0.9379 ± 0.0029
9,random_forest,chi2_mi_union_topk,SMOTE,0.6796 ± 0.0208,0.6756 ± 0.0287,0.8608 ± 0.0148,0.7414 ± 0.0622,0.6781 ± 0.0204,0.8865 ± 0.0127,0.8306 ± 0.0263,0.8608 ± 0.0148,0.8332 ± 0.0160,0.9379 ± 0.0084,0.8579 ± 0.0081,0.7406 ± 0.0367,0.6790 ± 0.0150,0.8857 ± 0.0070,0.8287 ± 0.0149,0.8579 ± 0.0081,0.8324 ± 0.0102,0.9360 ± 0.0043
