,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6374 ± 0.0227,0.6505 ± 0.0247,0.7736 ± 0.0187,0.6516 ± 0.0236,0.6529 ± 0.0267,0.7697 ± 0.0183,0.7874 ± 0.0216,0.7736 ± 0.0187,0.7795 ± 0.0188,0.8298 ± 0.0158,0.7634 ± 0.0170,0.6377 ± 0.0211,0.6390 ± 0.0245,0.7599 ± 0.0161,0.7770 ± 0.0141,0.7634 ± 0.0170,0.7697 ± 0.0152,0.8211 ± 0.0124
1,decision_tree,mutual_info,0.6301 ± 0.0185,0.6228 ± 0.0259,0.7553 ± 0.0197,0.6250 ± 0.0250,0.6233 ± 0.0273,0.7507 ± 0.0180,0.7722 ± 0.0177,0.7553 ± 0.0197,0.7630 ± 0.0174,0.8171 ± 0.0140,0.7590 ± 0.0164,0.6311 ± 0.0173,0.6310 ± 0.0196,0.7548 ± 0.0130,0.7730 ± 0.0112,0.7590 ± 0.0164,0.7655 ± 0.0136,0.8178 ± 0.0113
2,decision_tree,spearman_sulov,0.6342 ± 0.0243,0.6335 ± 0.0387,0.7663 ± 0.0297,0.6354 ± 0.0369,0.6349 ± 0.0412,0.7585 ± 0.0283,0.7768 ± 0.0291,0.7663 ± 0.0297,0.7703 ± 0.0284,0.8231 ± 0.0234,0.7629 ± 0.0187,0.6347 ± 0.0222,0.6350 ± 0.0260,0.7576 ± 0.0166,0.7746 ± 0.0127,0.7629 ± 0.0187,0.7684 ± 0.0158,0.8202 ± 0.0127
3,decision_tree,chi2,0.6297 ± 0.0194,0.6302 ± 0.0296,0.7568 ± 0.0230,0.6325 ± 0.0274,0.6320 ± 0.0328,0.7556 ± 0.0223,0.7764 ± 0.0224,0.7568 ± 0.0230,0.7654 ± 0.0220,0.8188 ± 0.0184,0.7623 ± 0.0137,0.6304 ± 0.0186,0.6305 ± 0.0207,0.7555 ± 0.0133,0.7750 ± 0.0128,0.7623 ± 0.0137,0.7683 ± 0.0129,0.8206 ± 0.0108
4,decision_tree,chi2_mi_union_topk,0.6267 ± 0.0180,0.6311 ± 0.0319,0.7645 ± 0.0311,0.6333 ± 0.0293,0.6327 ± 0.0352,0.7555 ± 0.0236,0.7765 ± 0.0222,0.7645 ± 0.0311,0.7691 ± 0.0258,0.8204 ± 0.0211,0.7594 ± 0.0101,0.6277 ± 0.0170,0.6273 ± 0.0195,0.7508 ± 0.0119,0.7733 ± 0.0097,0.7594 ± 0.0101,0.7660 ± 0.0095,0.8157 ± 0.0084
5,random_forest,spearman_corr,0.6478 ± 0.0137,0.6538 ± 0.0141,0.8670 ± 0.0104,0.8594 ± 0.0710,0.6677 ± 0.0098,0.8921 ± 0.0119,0.8654 ± 0.0237,0.8670 ± 0.0104,0.8282 ± 0.0106,0.9399 ± 0.0078,0.8635 ± 0.0037,0.8238 ± 0.0458,0.6628 ± 0.0075,0.8920 ± 0.0077,0.8517 ± 0.0140,0.8635 ± 0.0037,0.8249 ± 0.0055,0.9390 ± 0.0042
6,random_forest,mutual_info,0.6579 ± 0.0171,0.6770 ± 0.0155,0.8718 ± 0.0105,0.8712 ± 0.0645,0.6814 ± 0.0106,0.8887 ± 0.0159,0.8726 ± 0.0250,0.8718 ± 0.0105,0.8378 ± 0.0100,0.9386 ± 0.0099,0.8642 ± 0.0049,0.8158 ± 0.0552,0.6681 ± 0.0102,0.8889 ± 0.0062,0.8503 ± 0.0163,0.8642 ± 0.0049,0.8283 ± 0.0079,0.9374 ± 0.0035
7,random_forest,spearman_sulov,0.6491 ± 0.0115,0.6672 ± 0.0251,0.8703 ± 0.0112,0.8374 ± 0.0713,0.6761 ± 0.0165,0.8921 ± 0.0135,0.8612 ± 0.0268,0.8703 ± 0.0112,0.8346 ± 0.0134,0.9400 ± 0.0086,0.8640 ± 0.0042,0.7991 ± 0.0303,0.6635 ± 0.0063,0.8921 ± 0.0086,0.8445 ± 0.0103,0.8640 ± 0.0042,0.8258 ± 0.0049,0.9390 ± 0.0045
8,random_forest,chi2,0.6526 ± 0.0197,0.6670 ± 0.0224,0.8700 ± 0.0083,0.8473 ± 0.0748,0.6758 ± 0.0128,0.8876 ± 0.0127,0.8638 ± 0.0260,0.8700 ± 0.0083,0.8340 ± 0.0095,0.9379 ± 0.0084,0.8637 ± 0.0058,0.8016 ± 0.0650,0.6651 ± 0.0119,0.8918 ± 0.0068,0.8453 ± 0.0222,0.8637 ± 0.0058,0.8265 ± 0.0089,0.9389 ± 0.0038
9,random_forest,chi2_mi_union_topk,0.6612 ± 0.0136,0.6682 ± 0.0151,0.8674 ± 0.0093,0.8061 ± 0.0576,0.6755 ± 0.0101,0.8868 ± 0.0107,0.8509 ± 0.0190,0.8674 ± 0.0093,0.8336 ± 0.0097,0.9377 ± 0.0076,0.8610 ± 0.0044,0.7695 ± 0.0452,0.6686 ± 0.0085,0.8871 ± 0.0067,0.8352 ± 0.0143,0.8610 ± 0.0044,0.8278 ± 0.0059,0.9366 ± 0.0044
10,extra_trees,spearman_corr,0.6420 ± 0.0178,0.6381 ± 0.0190,0.8604 ± 0.0070,0.7835 ± 0.1216,0.6578 ± 0.0093,0.8891 ± 0.0139,0.8367 ± 0.0385,0.8604 ± 0.0070,0.8195 ± 0.0074,0.9386 ± 0.0091,0.8605 ± 0.0057,0.7887 ± 0.0772,0.6588 ± 0.0101,0.8929 ± 0.0068,0.8390 ± 0.0255,0.8605 ± 0.0057,0.8214 ± 0.0077,0.9389 ± 0.0033
11,extra_trees,mutual_info,0.6539 ± 0.0180,0.6567 ± 0.0256,0.8645 ± 0.0127,0.8063 ± 0.0759,0.6684 ± 0.0170,0.8879 ± 0.0169,0.8476 ± 0.0299,0.8645 ± 0.0127,0.8277 ± 0.0147,0.9377 ± 0.0097,0.8605 ± 0.0062,0.7802 ± 0.0485,0.6646 ± 0.0109,0.8899 ± 0.0061,0.8372 ± 0.0181,0.8605 ± 0.0062,0.8250 ± 0.0084,0.9375 ± 0.0034
12,extra_trees,spearman_sulov,0.6457 ± 0.0181,0.6388 ± 0.0222,0.8612 ± 0.0131,0.7877 ± 0.1074,0.6584 ± 0.0146,0.8871 ± 0.0141,0.8395 ± 0.0387,0.8612 ± 0.0131,0.8206 ± 0.0142,0.9368 ± 0.0095,0.8613 ± 0.0068,0.8111 ± 0.0492,0.6609 ± 0.0109,0.8917 ± 0.0087,0.8464 ± 0.0180,0.8613 ± 0.0068,0.8227 ± 0.0090,0.9385 ± 0.0050
13,extra_trees,chi2,0.6542 ± 0.0176,0.6608 ± 0.0232,0.8663 ± 0.0083,0.7847 ± 0.0682,0.6714 ± 0.0138,0.8875 ± 0.0170,0.8428 ± 0.0237,0.8663 ± 0.0083,0.8308 ± 0.0104,0.9378 ± 0.0102,0.8591 ± 0.0054,0.7756 ± 0.0447,0.6643 ± 0.0106,0.8898 ± 0.0050,0.8351 ± 0.0163,0.8591 ± 0.0054,0.8241 ± 0.0074,0.9378 ± 0.0028
14,extra_trees,chi2_mi_union_topk,0.6628 ± 0.0145,0.6684 ± 0.0262,0.8597 ± 0.0112,0.7820 ± 0.0764,0.6732 ± 0.0165,0.8855 ± 0.0171,0.8389 ± 0.0271,0.8597 ± 0.0112,0.8282 ± 0.0120,0.9365 ± 0.0104,0.8569 ± 0.0043,0.7517 ± 0.0314,0.6682 ± 0.0090,0.8867 ± 0.0090,0.8280 ± 0.0113,0.8569 ± 0.0043,0.8258 ± 0.0061,0.9356 ± 0.0048
15,xgboost,spearman_corr,0.6631 ± 0.0168,0.6607 ± 0.0215,0.8403 ± 0.0126,0.6877 ± 0.0302,0.6636 ± 0.0171,0.8706 ± 0.0102,0.8068 ± 0.0166,0.8403 ± 0.0126,0.8176 ± 0.0141,0.9270 ± 0.0070,0.8365 ± 0.0092,0.6940 ± 0.0268,0.6634 ± 0.0130,0.8747 ± 0.0090,0.8054 ± 0.0118,0.8365 ± 0.0092,0.8151 ± 0.0093,0.9271 ± 0.0047
16,xgboost,mutual_info,0.6599 ± 0.0205,0.6614 ± 0.0266,0.8414 ± 0.0108,0.6904 ± 0.0394,0.6644 ± 0.0199,0.8667 ± 0.0112,0.8075 ± 0.0180,0.8414 ± 0.0108,0.8182 ± 0.0136,0.9247 ± 0.0066,0.8387 ± 0.0084,0.6936 ± 0.0335,0.6618 ± 0.0151,0.8740 ± 0.0115,0.8056 ± 0.0132,0.8387 ± 0.0084,0.8155 ± 0.0095,0.9267 ± 0.0061
17,xgboost,spearman_sulov,0.6625 ± 0.0150,0.6650 ± 0.0285,0.8403 ± 0.0137,0.6938 ± 0.0415,0.6669 ± 0.0218,0.8705 ± 0.0096,0.8093 ± 0.0215,0.8403 ± 0.0137,0.8187 ± 0.0165,0.9264 ± 0.0071,0.8374 ± 0.0072,0.6919 ± 0.0222,0.6634 ± 0.0115,0.8762 ± 0.0123,0.8058 ± 0.0095,0.8374 ± 0.0072,0.8159 ± 0.0078,0.9278 ± 0.0064
18,xgboost,chi2,0.6644 ± 0.0150,0.6574 ± 0.0179,0.8418 ± 0.0112,0.6903 ± 0.0399,0.6614 ± 0.0140,0.8682 ± 0.0105,0.8077 ± 0.0148,0.8418 ± 0.0112,0.8176 ± 0.0104,0.9254 ± 0.0063,0.8385 ± 0.0056,0.6971 ± 0.0214,0.6650 ± 0.0109,0.8722 ± 0.0103,0.8071 ± 0.0087,0.8385 ± 0.0056,0.8166 ± 0.0067,0.9258 ± 0.0053
