,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6281 ± 0.0228,0.6425 ± 0.0326,0.7667 ± 0.0247,0.6434 ± 0.0316,0.6452 ± 0.0357,0.7636 ± 0.0235,0.7783 ± 0.0241,0.7667 ± 0.0247,0.7713 ± 0.0233,0.8230 ± 0.0191,0.7623 ± 0.0191,0.6288 ± 0.0215,0.6283 ± 0.0239,0.7539 ± 0.0163,0.7718 ± 0.0160,0.7623 ± 0.0191,0.7668 ± 0.0172,0.8191 ± 0.0142
1,decision_tree,mutual_info,0.6281 ± 0.0262,0.6229 ± 0.0286,0.7553 ± 0.0205,0.6246 ± 0.0265,0.6241 ± 0.0302,0.7503 ± 0.0193,0.7679 ± 0.0167,0.7553 ± 0.0205,0.7604 ± 0.0184,0.8146 ± 0.0145,0.7607 ± 0.0188,0.6286 ± 0.0252,0.6283 ± 0.0271,0.7532 ± 0.0182,0.7696 ± 0.0177,0.7607 ± 0.0188,0.7650 ± 0.0180,0.8172 ± 0.0147
2,decision_tree,spearman_sulov,0.6221 ± 0.0233,0.6251 ± 0.0149,0.7601 ± 0.0217,0.6274 ± 0.0143,0.6269 ± 0.0162,0.7533 ± 0.0119,0.7736 ± 0.0128,0.7601 ± 0.0217,0.7654 ± 0.0159,0.8196 ± 0.0141,0.7566 ± 0.0183,0.6229 ± 0.0225,0.6222 ± 0.0241,0.7492 ± 0.0160,0.7659 ± 0.0146,0.7566 ± 0.0183,0.7610 ± 0.0164,0.8142 ± 0.0134
3,decision_tree,chi2,0.6305 ± 0.0256,0.6334 ± 0.0139,0.7601 ± 0.0104,0.6350 ± 0.0135,0.6353 ± 0.0157,0.7575 ± 0.0095,0.7755 ± 0.0106,0.7601 ± 0.0104,0.7667 ± 0.0082,0.8195 ± 0.0066,0.7590 ± 0.0169,0.6313 ± 0.0238,0.6314 ± 0.0277,0.7551 ± 0.0176,0.7736 ± 0.0155,0.7590 ± 0.0169,0.7658 ± 0.0160,0.8181 ± 0.0129
4,decision_tree,chi2_mi_union_topk,0.6285 ± 0.0161,0.6281 ± 0.0210,0.7579 ± 0.0262,0.6308 ± 0.0202,0.6294 ± 0.0226,0.7512 ± 0.0171,0.7742 ± 0.0184,0.7579 ± 0.0262,0.7646 ± 0.0216,0.8144 ± 0.0188,0.7640 ± 0.0115,0.6293 ± 0.0154,0.6289 ± 0.0170,0.7529 ± 0.0118,0.7744 ± 0.0139,0.7640 ± 0.0115,0.7689 ± 0.0123,0.8191 ± 0.0114
5,random_forest,spearman_corr,0.6309 ± 0.0129,0.6432 ± 0.0199,0.8678 ± 0.0072,0.8538 ± 0.1099,0.6633 ± 0.0111,0.8997 ± 0.0107,0.8634 ± 0.0352,0.8678 ± 0.0072,0.8256 ± 0.0094,0.9442 ± 0.0070,0.8618 ± 0.0051,0.8161 ± 0.0676,0.6542 ± 0.0071,0.8973 ± 0.0079,0.8478 ± 0.0214,0.8618 ± 0.0051,0.8190 ± 0.0063,0.9414 ± 0.0043
6,random_forest,mutual_info,0.6517 ± 0.0187,0.6590 ± 0.0156,0.8696 ± 0.0101,0.8775 ± 0.0621,0.6713 ± 0.0104,0.8879 ± 0.0144,0.8728 ± 0.0224,0.8696 ± 0.0101,0.8313 ± 0.0105,0.9384 ± 0.0090,0.8629 ± 0.0060,0.8168 ± 0.0418,0.6646 ± 0.0113,0.8937 ± 0.0062,0.8493 ± 0.0156,0.8629 ± 0.0060,0.8255 ± 0.0085,0.9396 ± 0.0037
7,random_forest,spearman_sulov,0.6313 ± 0.0175,0.6383 ± 0.0217,0.8667 ± 0.0093,0.8011 ± 0.1366,0.6608 ± 0.0117,0.8915 ± 0.0112,0.8462 ± 0.0438,0.8667 ± 0.0093,0.8239 ± 0.0107,0.9400 ± 0.0077,0.8602 ± 0.0049,0.7636 ± 0.0794,0.6538 ± 0.0095,0.8945 ± 0.0087,0.8303 ± 0.0261,0.8602 ± 0.0049,0.8183 ± 0.0073,0.9399 ± 0.0036
8,random_forest,chi2,0.6487 ± 0.0172,0.6686 ± 0.0249,0.8700 ± 0.0100,0.8664 ± 0.0621,0.6766 ± 0.0155,0.8864 ± 0.0111,0.8699 ± 0.0217,0.8700 ± 0.0100,0.8343 ± 0.0130,0.9384 ± 0.0076,0.8624 ± 0.0046,0.7983 ± 0.0653,0.6627 ± 0.0100,0.8907 ± 0.0058,0.8435 ± 0.0219,0.8624 ± 0.0046,0.8247 ± 0.0071,0.9386 ± 0.0031
9,random_forest,chi2_mi_union_topk,0.6582 ± 0.0144,0.6716 ± 0.0186,0.8659 ± 0.0125,0.7884 ± 0.0629,0.6770 ± 0.0134,0.8881 ± 0.0129,0.8450 ± 0.0250,0.8659 ± 0.0125,0.8338 ± 0.0125,0.9386 ± 0.0087,0.8619 ± 0.0050,0.7651 ± 0.0368,0.6675 ± 0.0088,0.8880 ± 0.0092,0.8344 ± 0.0128,0.8619 ± 0.0050,0.8278 ± 0.0068,0.9373 ± 0.0048
