,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6046 ± 0.0130,0.6095 ± 0.0247,0.7509 ± 0.0180,0.6105 ± 0.0243,0.6100 ± 0.0252,0.7402 ± 0.0161,0.7511 ± 0.0149,0.7509 ± 0.0180,0.7503 ± 0.0157,0.8057 ± 0.0133,0.7376 ± 0.0119,0.6061 ± 0.0129,0.6050 ± 0.0134,0.7356 ± 0.0096,0.7500 ± 0.0125,0.7376 ± 0.0119,0.7431 ± 0.0115,0.7993 ± 0.0098
1,decision_tree,mutual_info,RandomOverSampler,0.6064 ± 0.0139,0.6046 ± 0.0238,0.7410 ± 0.0169,0.6062 ± 0.0225,0.6051 ± 0.0261,0.7362 ± 0.0166,0.7496 ± 0.0159,0.7410 ± 0.0169,0.7444 ± 0.0154,0.8009 ± 0.0134,0.7429 ± 0.0147,0.6078 ± 0.0134,0.6068 ± 0.0140,0.7372 ± 0.0100,0.7499 ± 0.0098,0.7429 ± 0.0147,0.7457 ± 0.0118,0.8015 ± 0.0095
2,decision_tree,spearman_sulov,RandomOverSampler,0.6046 ± 0.0130,0.6095 ± 0.0247,0.7509 ± 0.0180,0.6105 ± 0.0243,0.6100 ± 0.0252,0.7402 ± 0.0161,0.7511 ± 0.0149,0.7509 ± 0.0180,0.7503 ± 0.0157,0.8057 ± 0.0133,0.7376 ± 0.0119,0.6061 ± 0.0129,0.6050 ± 0.0134,0.7356 ± 0.0096,0.7500 ± 0.0125,0.7376 ± 0.0119,0.7431 ± 0.0115,0.7993 ± 0.0098
3,decision_tree,chi2,RandomOverSampler,0.6095 ± 0.0120,0.6276 ± 0.0209,0.7564 ± 0.0153,0.6284 ± 0.0210,0.6300 ± 0.0219,0.7515 ± 0.0133,0.7661 ± 0.0131,0.7564 ± 0.0153,0.7601 ± 0.0124,0.8123 ± 0.0108,0.7384 ± 0.0162,0.6115 ± 0.0106,0.6100 ± 0.0126,0.7384 ± 0.0096,0.7541 ± 0.0107,0.7384 ± 0.0162,0.7456 ± 0.0129,0.8006 ± 0.0113
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6062 ± 0.0122,0.6271 ± 0.0298,0.7524 ± 0.0240,0.6284 ± 0.0286,0.6286 ± 0.0313,0.7507 ± 0.0214,0.7609 ± 0.0236,0.7524 ± 0.0240,0.7555 ± 0.0230,0.8092 ± 0.0192,0.7417 ± 0.0124,0.6075 ± 0.0121,0.6066 ± 0.0124,0.7372 ± 0.0092,0.7512 ± 0.0137,0.7417 ± 0.0124,0.7458 ± 0.0123,0.8017 ± 0.0108
5,random_forest,spearman_corr,RandomOverSampler,0.6390 ± 0.0185,0.6432 ± 0.0177,0.8597 ± 0.0062,0.8111 ± 0.0839,0.6598 ± 0.0102,0.8918 ± 0.0082,0.8456 ± 0.0268,0.8597 ± 0.0062,0.8204 ± 0.0081,0.9399 ± 0.0055,0.8497 ± 0.0076,0.7302 ± 0.0622,0.6529 ± 0.0117,0.8905 ± 0.0054,0.8151 ± 0.0226,0.8497 ± 0.0076,0.8137 ± 0.0089,0.9359 ± 0.0033
6,random_forest,mutual_info,RandomOverSampler,0.6449 ± 0.0224,0.6546 ± 0.0142,0.8571 ± 0.0062,0.7806 ± 0.0691,0.6645 ± 0.0083,0.8943 ± 0.0097,0.8361 ± 0.0237,0.8571 ± 0.0062,0.8225 ± 0.0069,0.9407 ± 0.0069,0.8535 ± 0.0081,0.7460 ± 0.0599,0.6575 ± 0.0140,0.8897 ± 0.0085,0.8220 ± 0.0237,0.8535 ± 0.0081,0.8177 ± 0.0110,0.9359 ± 0.0045
7,random_forest,spearman_sulov,RandomOverSampler,0.6390 ± 0.0185,0.6432 ± 0.0177,0.8597 ± 0.0062,0.8111 ± 0.0839,0.6598 ± 0.0102,0.8918 ± 0.0082,0.8456 ± 0.0268,0.8597 ± 0.0062,0.8204 ± 0.0081,0.9399 ± 0.0055,0.8497 ± 0.0076,0.7302 ± 0.0622,0.6529 ± 0.0117,0.8905 ± 0.0054,0.8151 ± 0.0226,0.8497 ± 0.0076,0.8137 ± 0.0089,0.9359 ± 0.0033
8,random_forest,chi2,RandomOverSampler,0.6580 ± 0.0224,0.6754 ± 0.0343,0.8520 ± 0.0145,0.7380 ± 0.0557,0.6766 ± 0.0236,0.8941 ± 0.0141,0.8241 ± 0.0242,0.8520 ± 0.0145,0.8264 ± 0.0167,0.9387 ± 0.0080,0.8404 ± 0.0093,0.6924 ± 0.0360,0.6613 ± 0.0160,0.8805 ± 0.0101,0.8057 ± 0.0155,0.8404 ± 0.0093,0.8161 ± 0.0108,0.9308 ± 0.0051
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6514 ± 0.0203,0.6711 ± 0.0253,0.8648 ± 0.0085,0.8164 ± 0.0510,0.6762 ± 0.0164,0.9008 ± 0.0142,0.8514 ± 0.0192,0.8648 ± 0.0085,0.8317 ± 0.0121,0.9435 ± 0.0087,0.8516 ± 0.0050,0.7252 ± 0.0373,0.6605 ± 0.0117,0.8941 ± 0.0082,0.8164 ± 0.0136,0.8516 ± 0.0050,0.8191 ± 0.0074,0.9383 ± 0.0043
10,extra_trees,spearman_corr,RandomOverSampler,0.6045 ± 0.0075,0.6113 ± 0.0125,0.8546 ± 0.0077,0.6876 ± 0.1580,0.6434 ± 0.0078,0.8911 ± 0.0126,0.8009 ± 0.0524,0.8546 ± 0.0077,0.8076 ± 0.0083,0.9395 ± 0.0086,0.8492 ± 0.0037,0.6841 ± 0.1400,0.6372 ± 0.0045,0.8862 ± 0.0055,0.7970 ± 0.0459,0.8492 ± 0.0037,0.8028 ± 0.0042,0.9351 ± 0.0034
11,extra_trees,mutual_info,RandomOverSampler,0.6143 ± 0.0175,0.6251 ± 0.0215,0.8579 ± 0.0100,0.7892 ± 0.1623,0.6509 ± 0.0134,0.8936 ± 0.0188,0.8360 ± 0.0579,0.8579 ± 0.0100,0.8135 ± 0.0125,0.9402 ± 0.0109,0.8511 ± 0.0058,0.7371 ± 0.1314,0.6423 ± 0.0101,0.8892 ± 0.0058,0.8157 ± 0.0451,0.8511 ± 0.0058,0.8069 ± 0.0085,0.9362 ± 0.0039
12,extra_trees,spearman_sulov,RandomOverSampler,0.6045 ± 0.0075,0.6113 ± 0.0125,0.8546 ± 0.0077,0.6876 ± 0.1580,0.6434 ± 0.0078,0.8911 ± 0.0126,0.8009 ± 0.0524,0.8546 ± 0.0077,0.8076 ± 0.0083,0.9395 ± 0.0086,0.8492 ± 0.0037,0.6841 ± 0.1400,0.6372 ± 0.0045,0.8862 ± 0.0055,0.7970 ± 0.0459,0.8492 ± 0.0037,0.8028 ± 0.0042,0.9351 ± 0.0034
13,extra_trees,chi2,RandomOverSampler,0.6320 ± 0.0239,0.6314 ± 0.0198,0.8487 ± 0.0108,0.7089 ± 0.0915,0.6499 ± 0.0113,0.8890 ± 0.0124,0.8080 ± 0.0320,0.8487 ± 0.0108,0.8108 ± 0.0093,0.9366 ± 0.0078,0.8418 ± 0.0083,0.6846 ± 0.0523,0.6467 ± 0.0145,0.8790 ± 0.0111,0.7976 ± 0.0203,0.8418 ± 0.0083,0.8073 ± 0.0103,0.9298 ± 0.0054
14,extra_trees,chi2_mi_union_topk,RandomOverSampler,0.6138 ± 0.0116,0.6276 ± 0.0202,0.8590 ± 0.0083,0.7954 ± 0.1580,0.6525 ± 0.0116,0.8949 ± 0.0131,0.8386 ± 0.0532,0.8590 ± 0.0083,0.8149 ± 0.0104,0.9414 ± 0.0080,0.8514 ± 0.0045,0.7384 ± 0.1231,0.6421 ± 0.0068,0.8884 ± 0.0056,0.8162 ± 0.0415,0.8514 ± 0.0045,0.8070 ± 0.0059,0.9359 ± 0.0033
15,xgboost,spearman_corr,RandomOverSampler,0.6538 ± 0.0202,0.6595 ± 0.0283,0.8462 ± 0.0113,0.6971 ± 0.0473,0.6647 ± 0.0198,0.8889 ± 0.0158,0.8105 ± 0.0200,0.8462 ± 0.0113,0.8202 ± 0.0138,0.9372 ± 0.0103,0.8377 ± 0.0078,0.6825 ± 0.0302,0.6578 ± 0.0145,0.8776 ± 0.0096,0.8019 ± 0.0131,0.8377 ± 0.0078,0.8136 ± 0.0094,0.9290 ± 0.0056
