,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.5942 ± 0.0179,0.6004 ± 0.0267,0.7487 ± 0.0220,0.6026 ± 0.0279,0.6008 ± 0.0263,0.7359 ± 0.0188,0.7527 ± 0.0225,0.7487 ± 0.0220,0.7496 ± 0.0210,0.8066 ± 0.0177,0.7294 ± 0.0148,0.5959 ± 0.0172,0.5945 ± 0.0188,0.7282 ± 0.0128,0.7419 ± 0.0138,0.7294 ± 0.0148,0.7350 ± 0.0138,0.7928 ± 0.0113
1,decision_tree,mutual_info,SMOTE,0.5965 ± 0.0125,0.6050 ± 0.0351,0.7440 ± 0.0366,0.6095 ± 0.0346,0.6048 ± 0.0363,0.7369 ± 0.0262,0.7533 ± 0.0263,0.7440 ± 0.0366,0.7469 ± 0.0300,0.8034 ± 0.0250,0.7336 ± 0.0130,0.5981 ± 0.0124,0.5969 ± 0.0130,0.7305 ± 0.0087,0.7452 ± 0.0098,0.7336 ± 0.0130,0.7388 ± 0.0105,0.7963 ± 0.0088
2,decision_tree,spearman_sulov,SMOTE,0.5942 ± 0.0179,0.6004 ± 0.0267,0.7487 ± 0.0220,0.6026 ± 0.0279,0.6008 ± 0.0263,0.7359 ± 0.0188,0.7527 ± 0.0225,0.7487 ± 0.0220,0.7496 ± 0.0210,0.8066 ± 0.0177,0.7294 ± 0.0148,0.5959 ± 0.0172,0.5945 ± 0.0188,0.7282 ± 0.0128,0.7419 ± 0.0138,0.7294 ± 0.0148,0.7350 ± 0.0138,0.7928 ± 0.0113
3,decision_tree,chi2,SMOTE,0.6203 ± 0.0177,0.6255 ± 0.0292,0.7546 ± 0.0238,0.6266 ± 0.0281,0.6278 ± 0.0311,0.7495 ± 0.0220,0.7667 ± 0.0220,0.7546 ± 0.0238,0.7595 ± 0.0224,0.8111 ± 0.0207,0.7448 ± 0.0160,0.6224 ± 0.0173,0.6221 ± 0.0195,0.7451 ± 0.0143,0.7649 ± 0.0169,0.7448 ± 0.0160,0.7539 ± 0.0154,0.8061 ± 0.0139
4,decision_tree,chi2_mi_union_topk,SMOTE,0.5939 ± 0.0107,0.6235 ± 0.0321,0.7608 ± 0.0256,0.6255 ± 0.0331,0.6249 ± 0.0327,0.7510 ± 0.0224,0.7649 ± 0.0252,0.7608 ± 0.0256,0.7616 ± 0.0233,0.8155 ± 0.0196,0.7329 ± 0.0098,0.5964 ± 0.0108,0.5934 ± 0.0112,0.7289 ± 0.0079,0.7462 ± 0.0132,0.7329 ± 0.0098,0.7388 ± 0.0105,0.7966 ± 0.0096
5,random_forest,spearman_corr,SMOTE,0.6288 ± 0.0181,0.6401 ± 0.0300,0.8597 ± 0.0079,0.7775 ± 0.1359,0.6589 ± 0.0162,0.8971 ± 0.0131,0.8342 ± 0.0462,0.8597 ± 0.0079,0.8193 ± 0.0120,0.9421 ± 0.0080,0.8495 ± 0.0046,0.7179 ± 0.0585,0.6480 ± 0.0105,0.8925 ± 0.0082,0.8101 ± 0.0213,0.8495 ± 0.0046,0.8106 ± 0.0078,0.9370 ± 0.0042
6,random_forest,mutual_info,SMOTE,0.6409 ± 0.0203,0.6336 ± 0.0092,0.8560 ± 0.0079,0.7952 ± 0.0828,0.6537 ± 0.0060,0.8938 ± 0.0150,0.8384 ± 0.0278,0.8560 ± 0.0079,0.8153 ± 0.0065,0.9402 ± 0.0085,0.8528 ± 0.0066,0.7548 ± 0.0506,0.6552 ± 0.0121,0.8909 ± 0.0064,0.8240 ± 0.0190,0.8528 ± 0.0066,0.8160 ± 0.0091,0.9364 ± 0.0039
7,random_forest,spearman_sulov,SMOTE,0.6288 ± 0.0181,0.6401 ± 0.0300,0.8597 ± 0.0079,0.7775 ± 0.1359,0.6589 ± 0.0162,0.8971 ± 0.0131,0.8342 ± 0.0462,0.8597 ± 0.0079,0.8193 ± 0.0120,0.9421 ± 0.0080,0.8495 ± 0.0046,0.7179 ± 0.0585,0.6480 ± 0.0105,0.8925 ± 0.0082,0.8101 ± 0.0213,0.8495 ± 0.0046,0.8106 ± 0.0078,0.9370 ± 0.0042
8,random_forest,chi2,SMOTE,0.6487 ± 0.0185,0.6474 ± 0.0282,0.8495 ± 0.0092,0.7128 ± 0.0879,0.6588 ± 0.0169,0.8899 ± 0.0169,0.8122 ± 0.0308,0.8495 ± 0.0092,0.8168 ± 0.0104,0.9367 ± 0.0086,0.8425 ± 0.0077,0.6947 ± 0.0365,0.6558 ± 0.0127,0.8817 ± 0.0114,0.8045 ± 0.0155,0.8425 ± 0.0077,0.8137 ± 0.0094,0.9310 ± 0.0054
9,random_forest,chi2_mi_union_topk,SMOTE,0.6304 ± 0.0223,0.6506 ± 0.0292,0.8601 ± 0.0073,0.7770 ± 0.0998,0.6642 ± 0.0159,0.8947 ± 0.0134,0.8356 ± 0.0345,0.8601 ± 0.0073,0.8230 ± 0.0110,0.9406 ± 0.0084,0.8500 ± 0.0057,0.7051 ± 0.0685,0.6491 ± 0.0127,0.8929 ± 0.0060,0.8066 ± 0.0243,0.8500 ± 0.0057,0.8115 ± 0.0093,0.9373 ± 0.0034
