,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.5948 ± 0.0203,0.6155 ± 0.0301,0.7484 ± 0.0236,0.6172 ± 0.0293,0.6165 ± 0.0309,0.7439 ± 0.0222,0.7582 ± 0.0271,0.7484 ± 0.0236,0.7521 ± 0.0253,0.8070 ± 0.0220,0.7322 ± 0.0158,0.5968 ± 0.0202,0.5951 ± 0.0218,0.7295 ± 0.0147,0.7451 ± 0.0163,0.7322 ± 0.0158,0.7379 ± 0.0145,0.7958 ± 0.0119
1,decision_tree,mutual_info,SMOTE,0.5991 ± 0.0162,0.6025 ± 0.0189,0.7366 ± 0.0235,0.6048 ± 0.0175,0.6026 ± 0.0202,0.7341 ± 0.0147,0.7484 ± 0.0156,0.7366 ± 0.0235,0.7415 ± 0.0185,0.7984 ± 0.0162,0.7313 ± 0.0088,0.6017 ± 0.0158,0.5992 ± 0.0175,0.7317 ± 0.0109,0.7484 ± 0.0121,0.7313 ± 0.0088,0.7391 ± 0.0090,0.7962 ± 0.0074
2,decision_tree,spearman_sulov,SMOTE,0.5948 ± 0.0203,0.6155 ± 0.0301,0.7484 ± 0.0236,0.6172 ± 0.0293,0.6165 ± 0.0309,0.7439 ± 0.0222,0.7582 ± 0.0271,0.7484 ± 0.0236,0.7521 ± 0.0253,0.8070 ± 0.0220,0.7322 ± 0.0158,0.5968 ± 0.0202,0.5951 ± 0.0218,0.7295 ± 0.0147,0.7451 ± 0.0163,0.7322 ± 0.0158,0.7379 ± 0.0145,0.7958 ± 0.0119
3,decision_tree,chi2,SMOTE,0.6190 ± 0.0230,0.6184 ± 0.0303,0.7505 ± 0.0173,0.6201 ± 0.0313,0.6213 ± 0.0306,0.7244 ± 0.0200,0.7609 ± 0.0228,0.7505 ± 0.0173,0.7536 ± 0.0187,0.7899 ± 0.0182,0.7530 ± 0.0179,0.6207 ± 0.0210,0.6194 ± 0.0246,0.7203 ± 0.0203,0.7651 ± 0.0131,0.7530 ± 0.0179,0.7583 ± 0.0148,0.7932 ± 0.0147
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6026 ± 0.0149,0.6176 ± 0.0377,0.7553 ± 0.0327,0.6196 ± 0.0365,0.6175 ± 0.0393,0.7457 ± 0.0273,0.7642 ± 0.0271,0.7553 ± 0.0327,0.7590 ± 0.0293,0.8124 ± 0.0240,0.7393 ± 0.0114,0.6049 ± 0.0143,0.6026 ± 0.0163,0.7349 ± 0.0107,0.7542 ± 0.0109,0.7393 ± 0.0114,0.7460 ± 0.0100,0.8019 ± 0.0086
5,random_forest,spearman_corr,SMOTE,0.6348 ± 0.0155,0.6346 ± 0.0288,0.8542 ± 0.0086,0.7358 ± 0.1206,0.6540 ± 0.0169,0.8939 ± 0.0146,0.8181 ± 0.0426,0.8542 ± 0.0086,0.8145 ± 0.0129,0.9400 ± 0.0093,0.8513 ± 0.0038,0.7244 ± 0.0394,0.6515 ± 0.0092,0.8893 ± 0.0077,0.8140 ± 0.0140,0.8513 ± 0.0038,0.8137 ± 0.0065,0.9358 ± 0.0045
6,random_forest,mutual_info,SMOTE,0.6439 ± 0.0203,0.6476 ± 0.0166,0.8568 ± 0.0078,0.8050 ± 0.0925,0.6609 ± 0.0099,0.8911 ± 0.0168,0.8426 ± 0.0313,0.8568 ± 0.0078,0.8198 ± 0.0082,0.9392 ± 0.0094,0.8517 ± 0.0068,0.7364 ± 0.0625,0.6562 ± 0.0126,0.8912 ± 0.0071,0.8185 ± 0.0223,0.8517 ± 0.0068,0.8166 ± 0.0092,0.9366 ± 0.0041
7,random_forest,spearman_sulov,SMOTE,0.6348 ± 0.0155,0.6346 ± 0.0288,0.8542 ± 0.0086,0.7358 ± 0.1206,0.6540 ± 0.0169,0.8939 ± 0.0146,0.8181 ± 0.0426,0.8542 ± 0.0086,0.8145 ± 0.0129,0.9400 ± 0.0093,0.8513 ± 0.0038,0.7244 ± 0.0394,0.6515 ± 0.0092,0.8893 ± 0.0077,0.8140 ± 0.0140,0.8513 ± 0.0038,0.8137 ± 0.0065,0.9358 ± 0.0045
8,random_forest,chi2,SMOTE,0.6568 ± 0.0180,0.6657 ± 0.0259,0.8495 ± 0.0120,0.7334 ± 0.0393,0.6696 ± 0.0171,0.8913 ± 0.0180,0.8203 ± 0.0156,0.8495 ± 0.0120,0.8218 ± 0.0106,0.9377 ± 0.0099,0.8426 ± 0.0078,0.7070 ± 0.0324,0.6607 ± 0.0121,0.8772 ± 0.0125,0.8083 ± 0.0140,0.8426 ± 0.0078,0.8156 ± 0.0091,0.9287 ± 0.0067
9,random_forest,chi2_mi_union_topk,SMOTE,0.6462 ± 0.0275,0.6542 ± 0.0152,0.8571 ± 0.0083,0.7870 ± 0.0863,0.6645 ± 0.0090,0.8951 ± 0.0180,0.8386 ± 0.0280,0.8571 ± 0.0083,0.8227 ± 0.0082,0.9408 ± 0.0102,0.8505 ± 0.0081,0.7208 ± 0.0688,0.6571 ± 0.0172,0.8910 ± 0.0093,0.8136 ± 0.0259,0.8505 ± 0.0081,0.8167 ± 0.0122,0.9360 ± 0.0053
