,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5972 ± 0.0203,0.6127 ± 0.0317,0.7516 ± 0.0333,0.6158 ± 0.0310,0.6130 ± 0.0321,0.7431 ± 0.0231,0.7593 ± 0.0213,0.7516 ± 0.0333,0.7539 ± 0.0270,0.8099 ± 0.0220,0.7399 ± 0.0188,0.5983 ± 0.0196,0.5969 ± 0.0208,0.7316 ± 0.0144,0.7461 ± 0.0154,0.7399 ± 0.0188,0.7427 ± 0.0166,0.7994 ± 0.0140
1,decision_tree,mutual_info,0.6015 ± 0.0193,0.6137 ± 0.0310,0.7571 ± 0.0250,0.6146 ± 0.0314,0.6146 ± 0.0311,0.7448 ± 0.0218,0.7592 ± 0.0251,0.7571 ± 0.0250,0.7573 ± 0.0243,0.8125 ± 0.0206,0.7429 ± 0.0139,0.6024 ± 0.0189,0.6014 ± 0.0198,0.7346 ± 0.0130,0.7488 ± 0.0132,0.7429 ± 0.0139,0.7456 ± 0.0128,0.8017 ± 0.0105
2,decision_tree,spearman_sulov,0.5972 ± 0.0203,0.6127 ± 0.0317,0.7516 ± 0.0333,0.6158 ± 0.0310,0.6130 ± 0.0321,0.7431 ± 0.0231,0.7593 ± 0.0213,0.7516 ± 0.0333,0.7539 ± 0.0270,0.8099 ± 0.0220,0.7399 ± 0.0188,0.5983 ± 0.0196,0.5969 ± 0.0208,0.7316 ± 0.0144,0.7461 ± 0.0154,0.7399 ± 0.0188,0.7427 ± 0.0166,0.7994 ± 0.0140
3,decision_tree,chi2,0.6289 ± 0.0238,0.6235 ± 0.0229,0.7560 ± 0.0276,0.6254 ± 0.0206,0.6247 ± 0.0248,0.7486 ± 0.0165,0.7672 ± 0.0147,0.7560 ± 0.0276,0.7606 ± 0.0209,0.8126 ± 0.0185,0.7542 ± 0.0194,0.6299 ± 0.0221,0.6300 ± 0.0254,0.7509 ± 0.0170,0.7695 ± 0.0164,0.7542 ± 0.0194,0.7614 ± 0.0176,0.8120 ± 0.0145
4,decision_tree,chi2_mi_union_topk,0.6082 ± 0.0208,0.6125 ± 0.0310,0.7527 ± 0.0292,0.6144 ± 0.0299,0.6138 ± 0.0311,0.7434 ± 0.0204,0.7571 ± 0.0165,0.7527 ± 0.0292,0.7536 ± 0.0216,0.8094 ± 0.0175,0.7451 ± 0.0156,0.6090 ± 0.0208,0.6085 ± 0.0213,0.7387 ± 0.0145,0.7520 ± 0.0168,0.7451 ± 0.0156,0.7482 ± 0.0156,0.8035 ± 0.0133
5,random_forest,spearman_corr,0.6133 ± 0.0142,0.6236 ± 0.0192,0.8586 ± 0.0072,0.7455 ± 0.1591,0.6506 ± 0.0105,0.8947 ± 0.0126,0.8223 ± 0.0537,0.8586 ± 0.0072,0.8139 ± 0.0091,0.9408 ± 0.0075,0.8511 ± 0.0030,0.7136 ± 0.1298,0.6419 ± 0.0068,0.8903 ± 0.0073,0.8078 ± 0.0423,0.8511 ± 0.0030,0.8065 ± 0.0046,0.9366 ± 0.0042
6,random_forest,mutual_info,0.6144 ± 0.0181,0.6328 ± 0.0177,0.8582 ± 0.0065,0.8423 ± 0.1040,0.6545 ± 0.0099,0.8943 ± 0.0130,0.8538 ± 0.0322,0.8582 ± 0.0065,0.8159 ± 0.0087,0.9406 ± 0.0086,0.8503 ± 0.0050,0.7000 ± 0.1024,0.6420 ± 0.0098,0.8936 ± 0.0070,0.8030 ± 0.0348,0.8503 ± 0.0050,0.8064 ± 0.0073,0.9375 ± 0.0043
7,random_forest,spearman_sulov,0.6133 ± 0.0142,0.6236 ± 0.0192,0.8586 ± 0.0072,0.7455 ± 0.1591,0.6506 ± 0.0105,0.8947 ± 0.0126,0.8223 ± 0.0537,0.8586 ± 0.0072,0.8139 ± 0.0091,0.9408 ± 0.0075,0.8511 ± 0.0030,0.7136 ± 0.1298,0.6419 ± 0.0068,0.8903 ± 0.0073,0.8078 ± 0.0423,0.8511 ± 0.0030,0.8065 ± 0.0046,0.9366 ± 0.0042
8,random_forest,chi2,0.6203 ± 0.0219,0.6472 ± 0.0167,0.8535 ± 0.0090,0.7758 ± 0.0786,0.6593 ± 0.0105,0.8956 ± 0.0137,0.8316 ± 0.0276,0.8535 ± 0.0090,0.8177 ± 0.0091,0.9396 ± 0.0079,0.8442 ± 0.0064,0.6660 ± 0.0610,0.6418 ± 0.0129,0.8839 ± 0.0095,0.7911 ± 0.0226,0.8442 ± 0.0064,0.8051 ± 0.0097,0.9324 ± 0.0047
9,random_forest,chi2_mi_union_topk,0.6206 ± 0.0182,0.6287 ± 0.0252,0.8579 ± 0.0100,0.7575 ± 0.1424,0.6525 ± 0.0150,0.8939 ± 0.0127,0.8266 ± 0.0504,0.8579 ± 0.0100,0.8151 ± 0.0131,0.9406 ± 0.0080,0.8494 ± 0.0058,0.7420 ± 0.1188,0.6442 ± 0.0104,0.8925 ± 0.0078,0.8163 ± 0.0398,0.8494 ± 0.0058,0.8074 ± 0.0082,0.9373 ± 0.0044
