,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,STACKING_decision_tree,spearman_corr,0.5908 ± 0.0190,0.5980 ± 0.0377,0.7674 ± 0.0351,0.5909 ± 0.0474,0.6090 ± 0.0290,0.7869 ± 0.0176,0.7449 ± 0.0314,0.7674 ± 0.0351,0.7538 ± 0.0271,0.8497 ± 0.0153,0.7538 ± 0.0219,0.5987 ± 0.0348,0.5935 ± 0.0189,0.7705 ± 0.0161,0.7400 ± 0.0163,0.7538 ± 0.0219,0.7448 ± 0.0169,0.8335 ± 0.0158
1,STACKING_decision_tree,mutual_info,0.5960 ± 0.0226,0.5863 ± 0.0321,0.7744 ± 0.0292,0.5729 ± 0.0450,0.6042 ± 0.0203,0.7831 ± 0.0189,0.7352 ± 0.0307,0.7744 ± 0.0292,0.7520 ± 0.0196,0.8487 ± 0.0196,0.7555 ± 0.0168,0.5963 ± 0.0237,0.5984 ± 0.0212,0.7759 ± 0.0132,0.7424 ± 0.0157,0.7555 ± 0.0168,0.7482 ± 0.0148,0.8375 ± 0.0124
2,STACKING_decision_tree,spearman_sulov,0.5908 ± 0.0190,0.5980 ± 0.0377,0.7674 ± 0.0351,0.5909 ± 0.0474,0.6090 ± 0.0290,0.7869 ± 0.0176,0.7449 ± 0.0314,0.7674 ± 0.0351,0.7538 ± 0.0271,0.8497 ± 0.0153,0.7538 ± 0.0219,0.5987 ± 0.0348,0.5935 ± 0.0189,0.7705 ± 0.0161,0.7400 ± 0.0163,0.7538 ± 0.0219,0.7448 ± 0.0169,0.8335 ± 0.0158
3,STACKING_decision_tree,chi2,0.6238 ± 0.0248,0.6072 ± 0.0339,0.7601 ± 0.0304,0.6039 ± 0.0422,0.6152 ± 0.0268,0.7858 ± 0.0197,0.7557 ± 0.0278,0.7601 ± 0.0304,0.7557 ± 0.0214,0.8502 ± 0.0175,0.7572 ± 0.0152,0.6246 ± 0.0238,0.6246 ± 0.0265,0.7900 ± 0.0122,0.7648 ± 0.0203,0.7572 ± 0.0152,0.7606 ± 0.0171,0.8487 ± 0.0097
4,STACKING_decision_tree,chi2_mi_union_topk,0.6025 ± 0.0228,0.5978 ± 0.0252,0.7564 ± 0.0335,0.5946 ± 0.0358,0.6049 ± 0.0176,0.7798 ± 0.0162,0.7466 ± 0.0212,0.7564 ± 0.0335,0.7495 ± 0.0183,0.8451 ± 0.0118,0.7561 ± 0.0188,0.6035 ± 0.0269,0.6044 ± 0.0197,0.7808 ± 0.0151,0.7454 ± 0.0157,0.7561 ± 0.0188,0.7500 ± 0.0155,0.8392 ± 0.0150
5,STACKING_random_forest,spearman_corr,0.6935 ± 0.0131,0.6919 ± 0.0225,0.7967 ± 0.0196,0.6960 ± 0.0205,0.7053 ± 0.0280,0.8942 ± 0.0138,0.8389 ± 0.0146,0.7967 ± 0.0196,0.8131 ± 0.0155,0.9408 ± 0.0079,0.7976 ± 0.0079,0.6951 ± 0.0122,0.7062 ± 0.0167,0.8904 ± 0.0077,0.8369 ± 0.0087,0.7976 ± 0.0079,0.8139 ± 0.0073,0.9360 ± 0.0042
6,STACKING_random_forest,mutual_info,0.6915 ± 0.0183,0.6867 ± 0.0182,0.7908 ± 0.0138,0.6918 ± 0.0174,0.7001 ± 0.0235,0.8926 ± 0.0154,0.8361 ± 0.0128,0.7908 ± 0.0138,0.8083 ± 0.0121,0.9402 ± 0.0092,0.7958 ± 0.0135,0.6934 ± 0.0158,0.7037 ± 0.0217,0.8910 ± 0.0075,0.8354 ± 0.0103,0.7958 ± 0.0135,0.8122 ± 0.0115,0.9358 ± 0.0045
7,STACKING_random_forest,spearman_sulov,0.6935 ± 0.0131,0.6919 ± 0.0225,0.7967 ± 0.0196,0.6960 ± 0.0205,0.7053 ± 0.0280,0.8942 ± 0.0138,0.8389 ± 0.0146,0.7967 ± 0.0196,0.8131 ± 0.0155,0.9408 ± 0.0079,0.7976 ± 0.0079,0.6951 ± 0.0122,0.7062 ± 0.0167,0.8904 ± 0.0077,0.8369 ± 0.0087,0.7976 ± 0.0079,0.8139 ± 0.0073,0.9360 ± 0.0042
8,STACKING_random_forest,chi2,0.6903 ± 0.0146,0.7030 ± 0.0225,0.8048 ± 0.0192,0.7048 ± 0.0197,0.7164 ± 0.0270,0.8921 ± 0.0129,0.8419 ± 0.0143,0.8048 ± 0.0192,0.8191 ± 0.0156,0.9384 ± 0.0080,0.7945 ± 0.0074,0.6925 ± 0.0137,0.7031 ± 0.0188,0.8832 ± 0.0084,0.8347 ± 0.0095,0.7945 ± 0.0074,0.8109 ± 0.0075,0.9313 ± 0.0041
9,STACKING_random_forest,chi2_mi_union_topk,0.6999 ± 0.0163,0.6903 ± 0.0317,0.7956 ± 0.0283,0.6952 ± 0.0261,0.7028 ± 0.0364,0.8934 ± 0.0140,0.8375 ± 0.0162,0.7956 ± 0.0283,0.8115 ± 0.0228,0.9405 ± 0.0080,0.8013 ± 0.0123,0.7007 ± 0.0138,0.7137 ± 0.0185,0.8915 ± 0.0079,0.8399 ± 0.0085,0.8013 ± 0.0123,0.8172 ± 0.0104,0.9363 ± 0.0043
10,STACKING_extra_trees,spearman_corr,0.6815 ± 0.0109,0.6851 ± 0.0324,0.8007 ± 0.0241,0.6882 ± 0.0297,0.6925 ± 0.0372,0.8879 ± 0.0156,0.8326 ± 0.0191,0.8007 ± 0.0241,0.8136 ± 0.0205,0.9386 ± 0.0089,0.7967 ± 0.0082,0.6831 ± 0.0102,0.6887 ± 0.0132,0.8838 ± 0.0061,0.8282 ± 0.0075,0.7967 ± 0.0082,0.8104 ± 0.0069,0.9332 ± 0.0038
11,STACKING_extra_trees,mutual_info,0.6852 ± 0.0161,0.6853 ± 0.0202,0.8004 ± 0.0157,0.6881 ± 0.0186,0.6930 ± 0.0251,0.8866 ± 0.0164,0.8333 ± 0.0127,0.8004 ± 0.0157,0.8139 ± 0.0124,0.9375 ± 0.0097,0.7956 ± 0.0103,0.6871 ± 0.0150,0.6945 ± 0.0197,0.8848 ± 0.0068,0.8314 ± 0.0110,0.7956 ± 0.0103,0.8108 ± 0.0094,0.9338 ± 0.0043
12,STACKING_extra_trees,spearman_sulov,0.6815 ± 0.0109,0.6851 ± 0.0324,0.8007 ± 0.0241,0.6882 ± 0.0297,0.6925 ± 0.0372,0.8879 ± 0.0156,0.8326 ± 0.0191,0.8007 ± 0.0241,0.8136 ± 0.0205,0.9386 ± 0.0089,0.7967 ± 0.0082,0.6831 ± 0.0102,0.6887 ± 0.0132,0.8838 ± 0.0061,0.8282 ± 0.0075,0.7967 ± 0.0082,0.8104 ± 0.0069,0.9332 ± 0.0038
13,STACKING_extra_trees,chi2,0.6856 ± 0.0091,0.6955 ± 0.0226,0.8037 ± 0.0178,0.6973 ± 0.0209,0.7064 ± 0.0271,0.8892 ± 0.0170,0.8377 ± 0.0133,0.8037 ± 0.0178,0.8172 ± 0.0141,0.9370 ± 0.0104,0.7942 ± 0.0070,0.6874 ± 0.0086,0.6956 ± 0.0120,0.8773 ± 0.0076,0.8305 ± 0.0060,0.7942 ± 0.0070,0.8095 ± 0.0056,0.9283 ± 0.0046
14,STACKING_extra_trees,chi2_mi_union_topk,0.6944 ± 0.0096,0.7002 ± 0.0212,0.8070 ± 0.0183,0.7022 ± 0.0196,0.7113 ± 0.0249,0.8908 ± 0.0191,0.8418 ± 0.0123,0.8070 ± 0.0183,0.8207 ± 0.0139,0.9396 ± 0.0109,0.8000 ± 0.0053,0.6952 ± 0.0094,0.7062 ± 0.0129,0.8854 ± 0.0063,0.8358 ± 0.0072,0.8000 ± 0.0053,0.8150 ± 0.0050,0.9338 ± 0.0032
15,STACKING_xgboost,spearman_corr,0.6737 ± 0.0200,0.6841 ± 0.0362,0.8286 ± 0.0187,0.6871 ± 0.0379,0.6841 ± 0.0341,0.8784 ± 0.0150,0.8184 ± 0.0224,0.8286 ± 0.0187,0.8226 ± 0.0200,0.9333 ± 0.0098,0.8266 ± 0.0108,0.6794 ± 0.0221,0.6728 ± 0.0179,0.8597 ± 0.0070,0.8102 ± 0.0112,0.8266 ± 0.0108,0.8174 ± 0.0103,0.9175 ± 0.0050
16,STACKING_xgboost,mutual_info,0.6709 ± 0.0116,0.6766 ± 0.0391,0.8245 ± 0.0235,0.6814 ± 0.0409,0.6769 ± 0.0370,0.8754 ± 0.0120,0.8131 ± 0.0234,0.8245 ± 0.0235,0.8175 ± 0.0222,0.9314 ± 0.0079,0.8173 ± 0.0088,0.6727 ± 0.0125,0.6702 ± 0.0108,0.8604 ± 0.0073,0.8090 ± 0.0066,0.8173 ± 0.0088,0.8129 ± 0.0073,0.9177 ± 0.0045
17,STACKING_xgboost,spearman_sulov,0.6737 ± 0.0200,0.6841 ± 0.0362,0.8286 ± 0.0187,0.6871 ± 0.0379,0.6841 ± 0.0341,0.8784 ± 0.0150,0.8184 ± 0.0224,0.8286 ± 0.0187,0.8226 ± 0.0200,0.9333 ± 0.0098,0.8266 ± 0.0108,0.6794 ± 0.0221,0.6728 ± 0.0179,0.8597 ± 0.0070,0.8102 ± 0.0112,0.8266 ± 0.0108,0.8174 ± 0.0103,0.9175 ± 0.0050
18,STACKING_xgboost,chi2,0.6704 ± 0.0204,0.6729 ± 0.0271,0.8073 ± 0.0294,0.6767 ± 0.0301,0.6732 ± 0.0251,0.8703 ± 0.0127,0.8088 ± 0.0182,0.8073 ± 0.0294,0.8069 ± 0.0226,0.9252 ± 0.0082,0.8074 ± 0.0136,0.6705 ± 0.0202,0.6705 ± 0.0206,0.8512 ± 0.0099,0.8073 ± 0.0125,0.8074 ± 0.0136,0.8073 ± 0.0129,0.9098 ± 0.0067
19,STACKING_xgboost,chi2_mi_union_topk,0.6758 ± 0.0137,0.6791 ± 0.0266,0.8227 ± 0.0206,0.6850 ± 0.0297,0.6780 ± 0.0251,0.8757 ± 0.0097,0.8148 ± 0.0140,0.8227 ± 0.0206,0.8176 ± 0.0162,0.9318 ± 0.0066,0.8215 ± 0.0053,0.6778 ± 0.0135,0.6752 ± 0.0132,0.8585 ± 0.0065,0.8124 ± 0.0078,0.8215 ± 0.0053,0.8167 ± 0.0062,0.9173 ± 0.0046
