,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6040 ± 0.0208,0.6368 ± 0.0362,0.7784 ± 0.0225,0.6373 ± 0.0383,0.6381 ± 0.0336,0.7613 ± 0.0220,0.7734 ± 0.0248,0.7784 ± 0.0225,0.7751 ± 0.0230,0.8267 ± 0.0186,0.7502 ± 0.0136,0.6046 ± 0.0206,0.6042 ± 0.0216,0.7382 ± 0.0137,0.7557 ± 0.0138,0.7502 ± 0.0136,0.7527 ± 0.0127,0.8084 ± 0.0105
1,decision_tree,mutual_info,RandomOverSampler,0.6091 ± 0.0270,0.6230 ± 0.0206,0.7648 ± 0.0245,0.6265 ± 0.0216,0.6230 ± 0.0192,0.7506 ± 0.0133,0.7652 ± 0.0118,0.7648 ± 0.0245,0.7639 ± 0.0166,0.8174 ± 0.0136,0.7494 ± 0.0193,0.6102 ± 0.0262,0.6092 ± 0.0280,0.7407 ± 0.0186,0.7582 ± 0.0177,0.7494 ± 0.0193,0.7534 ± 0.0180,0.8085 ± 0.0145
2,decision_tree,spearman_sulov,RandomOverSampler,0.6021 ± 0.0221,0.6351 ± 0.0260,0.7744 ± 0.0163,0.6368 ± 0.0284,0.6359 ± 0.0244,0.7594 ± 0.0146,0.7723 ± 0.0135,0.7744 ± 0.0163,0.7723 ± 0.0136,0.8242 ± 0.0108,0.7451 ± 0.0153,0.6036 ± 0.0214,0.6019 ± 0.0231,0.7362 ± 0.0145,0.7549 ± 0.0141,0.7451 ± 0.0153,0.7496 ± 0.0135,0.8057 ± 0.0113
3,decision_tree,chi2,RandomOverSampler,0.6148 ± 0.0129,0.6303 ± 0.0275,0.7733 ± 0.0247,0.6322 ± 0.0292,0.6310 ± 0.0265,0.7568 ± 0.0189,0.7721 ± 0.0220,0.7733 ± 0.0247,0.7717 ± 0.0226,0.8240 ± 0.0191,0.7491 ± 0.0071,0.6157 ± 0.0125,0.6151 ± 0.0137,0.7439 ± 0.0082,0.7609 ± 0.0075,0.7491 ± 0.0071,0.7546 ± 0.0066,0.8091 ± 0.0051
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6208 ± 0.0213,0.6367 ± 0.0261,0.7637 ± 0.0248,0.6396 ± 0.0257,0.6380 ± 0.0268,0.7496 ± 0.0223,0.7764 ± 0.0170,0.7637 ± 0.0248,0.7683 ± 0.0211,0.8116 ± 0.0209,0.7539 ± 0.0172,0.6219 ± 0.0198,0.6213 ± 0.0226,0.7390 ± 0.0168,0.7652 ± 0.0117,0.7539 ± 0.0172,0.7591 ± 0.0144,0.8050 ± 0.0136
5,random_forest,spearman_corr,RandomOverSampler,0.6429 ± 0.0138,0.6458 ± 0.0215,0.8645 ± 0.0096,0.8027 ± 0.1150,0.6633 ± 0.0121,0.8951 ± 0.0116,0.8466 ± 0.0390,0.8645 ± 0.0096,0.8249 ± 0.0111,0.9423 ± 0.0072,0.8586 ± 0.0029,0.7344 ± 0.0462,0.6584 ± 0.0076,0.8953 ± 0.0057,0.8221 ± 0.0150,0.8586 ± 0.0029,0.8215 ± 0.0054,0.9407 ± 0.0038
6,random_forest,mutual_info,RandomOverSampler,0.6481 ± 0.0125,0.6579 ± 0.0188,0.8619 ± 0.0105,0.8002 ± 0.0825,0.6681 ± 0.0120,0.8873 ± 0.0155,0.8451 ± 0.0286,0.8619 ± 0.0105,0.8267 ± 0.0109,0.9387 ± 0.0093,0.8568 ± 0.0042,0.7439 ± 0.0391,0.6603 ± 0.0075,0.8937 ± 0.0069,0.8242 ± 0.0125,0.8568 ± 0.0042,0.8215 ± 0.0057,0.9400 ± 0.0034
7,random_forest,spearman_sulov,RandomOverSampler,0.6471 ± 0.0134,0.6461 ± 0.0211,0.8645 ± 0.0081,0.7737 ± 0.1164,0.6633 ± 0.0113,0.8948 ± 0.0124,0.8374 ± 0.0388,0.8645 ± 0.0081,0.8253 ± 0.0086,0.9420 ± 0.0077,0.8602 ± 0.0045,0.7788 ± 0.0341,0.6611 ± 0.0077,0.8968 ± 0.0047,0.8360 ± 0.0123,0.8602 ± 0.0045,0.8228 ± 0.0059,0.9412 ± 0.0034
8,random_forest,chi2,RandomOverSampler,0.6545 ± 0.0204,0.6541 ± 0.0233,0.8615 ± 0.0089,0.7504 ± 0.0819,0.6661 ± 0.0143,0.8885 ± 0.0101,0.8301 ± 0.0290,0.8615 ± 0.0089,0.8263 ± 0.0101,0.9387 ± 0.0070,0.8574 ± 0.0059,0.7406 ± 0.0474,0.6640 ± 0.0121,0.8932 ± 0.0057,0.8239 ± 0.0179,0.8574 ± 0.0059,0.8237 ± 0.0088,0.9397 ± 0.0036
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6677 ± 0.0212,0.6810 ± 0.0249,0.8630 ± 0.0101,0.7501 ± 0.0468,0.6823 ± 0.0154,0.8897 ± 0.0132,0.8336 ± 0.0165,0.8630 ± 0.0101,0.8354 ± 0.0097,0.9396 ± 0.0086,0.8535 ± 0.0069,0.7242 ± 0.0372,0.6706 ± 0.0143,0.8858 ± 0.0098,0.8204 ± 0.0147,0.8535 ± 0.0069,0.8262 ± 0.0094,0.9363 ± 0.0055
