,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6111 ± 0.0179,0.6253 ± 0.0142,0.7549 ± 0.0148,0.6265 ± 0.0134,0.6264 ± 0.0147,0.7504 ± 0.0104,0.7629 ± 0.0129,0.7549 ± 0.0148,0.7579 ± 0.0131,0.8117 ± 0.0112,0.7414 ± 0.0108,0.6127 ± 0.0171,0.6119 ± 0.0196,0.7407 ± 0.0126,0.7575 ± 0.0131,0.7414 ± 0.0108,0.7488 ± 0.0114,0.8042 ± 0.0093
1,decision_tree,mutual_info,SMOTE,0.6112 ± 0.0135,0.6097 ± 0.0341,0.7454 ± 0.0294,0.6118 ± 0.0322,0.6101 ± 0.0357,0.7405 ± 0.0246,0.7571 ± 0.0255,0.7454 ± 0.0294,0.7503 ± 0.0265,0.8063 ± 0.0217,0.7440 ± 0.0105,0.6130 ± 0.0126,0.6116 ± 0.0148,0.7413 ± 0.0094,0.7593 ± 0.0085,0.7440 ± 0.0105,0.7510 ± 0.0089,0.8063 ± 0.0074
2,decision_tree,spearman_sulov,SMOTE,0.6097 ± 0.0182,0.6223 ± 0.0162,0.7553 ± 0.0193,0.6244 ± 0.0149,0.6233 ± 0.0168,0.7501 ± 0.0115,0.7687 ± 0.0102,0.7553 ± 0.0193,0.7609 ± 0.0142,0.8152 ± 0.0122,0.7436 ± 0.0167,0.6114 ± 0.0175,0.6099 ± 0.0190,0.7398 ± 0.0136,0.7563 ± 0.0153,0.7436 ± 0.0167,0.7493 ± 0.0153,0.8046 ± 0.0128
3,decision_tree,chi2,SMOTE,0.6248 ± 0.0187,0.6329 ± 0.0311,0.7656 ± 0.0215,0.6348 ± 0.0295,0.6335 ± 0.0321,0.7568 ± 0.0200,0.7717 ± 0.0147,0.7656 ± 0.0215,0.7677 ± 0.0172,0.8201 ± 0.0126,0.7525 ± 0.0131,0.6254 ± 0.0183,0.6261 ± 0.0199,0.7504 ± 0.0135,0.7663 ± 0.0145,0.7525 ± 0.0131,0.7589 ± 0.0133,0.8122 ± 0.0109
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6233 ± 0.0146,0.6255 ± 0.0198,0.7626 ± 0.0192,0.6279 ± 0.0194,0.6255 ± 0.0199,0.7428 ± 0.0201,0.7715 ± 0.0142,0.7626 ± 0.0192,0.7661 ± 0.0165,0.8103 ± 0.0180,0.7546 ± 0.0155,0.6255 ± 0.0132,0.6239 ± 0.0154,0.7418 ± 0.0119,0.7723 ± 0.0102,0.7546 ± 0.0155,0.7627 ± 0.0124,0.8089 ± 0.0118
5,random_forest,spearman_corr,SMOTE,0.6546 ± 0.0193,0.6447 ± 0.0278,0.8652 ± 0.0084,0.7682 ± 0.1147,0.6630 ± 0.0153,0.8911 ± 0.0108,0.8358 ± 0.0381,0.8652 ± 0.0084,0.8253 ± 0.0094,0.9404 ± 0.0075,0.8616 ± 0.0069,0.7849 ± 0.0626,0.6654 ± 0.0121,0.8926 ± 0.0066,0.8392 ± 0.0218,0.8616 ± 0.0069,0.8260 ± 0.0091,0.9397 ± 0.0042
6,random_forest,mutual_info,SMOTE,0.6436 ± 0.0170,0.6557 ± 0.0221,0.8637 ± 0.0113,0.7774 ± 0.0867,0.6678 ± 0.0138,0.8861 ± 0.0104,0.8388 ± 0.0313,0.8637 ± 0.0113,0.8275 ± 0.0115,0.9382 ± 0.0071,0.8564 ± 0.0054,0.7417 ± 0.0489,0.6579 ± 0.0103,0.8923 ± 0.0073,0.8227 ± 0.0180,0.8564 ± 0.0054,0.8197 ± 0.0074,0.9392 ± 0.0041
7,random_forest,spearman_sulov,SMOTE,0.6524 ± 0.0123,0.6290 ± 0.0174,0.8630 ± 0.0060,0.7330 ± 0.1310,0.6547 ± 0.0088,0.8911 ± 0.0128,0.8224 ± 0.0433,0.8630 ± 0.0060,0.8194 ± 0.0066,0.9402 ± 0.0072,0.8621 ± 0.0054,0.8064 ± 0.0468,0.6643 ± 0.0080,0.8943 ± 0.0066,0.8457 ± 0.0169,0.8621 ± 0.0054,0.8253 ± 0.0069,0.9401 ± 0.0038
8,random_forest,chi2,SMOTE,0.6464 ± 0.0165,0.6532 ± 0.0288,0.8630 ± 0.0095,0.7682 ± 0.1051,0.6664 ± 0.0167,0.8876 ± 0.0134,0.8343 ± 0.0370,0.8630 ± 0.0095,0.8258 ± 0.0124,0.9387 ± 0.0080,0.8553 ± 0.0062,0.7313 ± 0.0483,0.6589 ± 0.0105,0.8922 ± 0.0074,0.8198 ± 0.0175,0.8553 ± 0.0062,0.8203 ± 0.0083,0.9395 ± 0.0041
9,random_forest,chi2_mi_union_topk,SMOTE,0.6635 ± 0.0090,0.6642 ± 0.0241,0.8601 ± 0.0091,0.7392 ± 0.0523,0.6717 ± 0.0146,0.8925 ± 0.0139,0.8274 ± 0.0188,0.8601 ± 0.0091,0.8286 ± 0.0089,0.9406 ± 0.0086,0.8563 ± 0.0058,0.7303 ± 0.0228,0.6687 ± 0.0064,0.8903 ± 0.0076,0.8230 ± 0.0090,0.8563 ± 0.0058,0.8268 ± 0.0055,0.9384 ± 0.0040
