,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6141 ± 0.0165,0.6344 ± 0.0197,0.7696 ± 0.0190,0.6353 ± 0.0195,0.6349 ± 0.0193,0.7580 ± 0.0136,0.7712 ± 0.0144,0.7696 ± 0.0190,0.7698 ± 0.0167,0.8218 ± 0.0134,0.7442 ± 0.0118,0.6166 ± 0.0156,0.6147 ± 0.0186,0.7432 ± 0.0116,0.7626 ± 0.0120,0.7442 ± 0.0118,0.7525 ± 0.0096,0.8075 ± 0.0077
1,decision_tree,mutual_info,SMOTE,0.6122 ± 0.0113,0.6270 ± 0.0225,0.7641 ± 0.0142,0.6281 ± 0.0231,0.6291 ± 0.0230,0.7538 ± 0.0140,0.7670 ± 0.0152,0.7641 ± 0.0142,0.7643 ± 0.0122,0.8179 ± 0.0095,0.7456 ± 0.0126,0.6144 ± 0.0100,0.6122 ± 0.0122,0.7420 ± 0.0078,0.7612 ± 0.0068,0.7456 ± 0.0126,0.7528 ± 0.0079,0.8076 ± 0.0064
2,decision_tree,spearman_sulov,SMOTE,0.6089 ± 0.0164,0.6263 ± 0.0197,0.7623 ± 0.0170,0.6279 ± 0.0196,0.6285 ± 0.0205,0.7538 ± 0.0121,0.7700 ± 0.0115,0.7623 ± 0.0170,0.7647 ± 0.0125,0.8188 ± 0.0098,0.7436 ± 0.0119,0.6106 ± 0.0155,0.6088 ± 0.0177,0.7396 ± 0.0116,0.7579 ± 0.0105,0.7436 ± 0.0119,0.7503 ± 0.0110,0.8056 ± 0.0088
3,decision_tree,chi2,SMOTE,0.6177 ± 0.0146,0.6301 ± 0.0356,0.7612 ± 0.0230,0.6317 ± 0.0358,0.6310 ± 0.0351,0.7545 ± 0.0222,0.7687 ± 0.0197,0.7612 ± 0.0230,0.7638 ± 0.0216,0.8169 ± 0.0163,0.7497 ± 0.0206,0.6191 ± 0.0137,0.6185 ± 0.0155,0.7457 ± 0.0114,0.7616 ± 0.0101,0.7497 ± 0.0206,0.7551 ± 0.0149,0.8093 ± 0.0128
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6201 ± 0.0184,0.6359 ± 0.0218,0.7619 ± 0.0199,0.6372 ± 0.0210,0.6375 ± 0.0228,0.7470 ± 0.0193,0.7709 ± 0.0194,0.7619 ± 0.0199,0.7651 ± 0.0193,0.8071 ± 0.0178,0.7464 ± 0.0163,0.6231 ± 0.0171,0.6215 ± 0.0204,0.7358 ± 0.0156,0.7704 ± 0.0138,0.7464 ± 0.0163,0.7573 ± 0.0146,0.8012 ± 0.0143
5,random_forest,spearman_corr,SMOTE,0.6530 ± 0.0112,0.6581 ± 0.0296,0.8648 ± 0.0107,0.7675 ± 0.1026,0.6694 ± 0.0179,0.8898 ± 0.0123,0.8368 ± 0.0358,0.8648 ± 0.0107,0.8292 ± 0.0130,0.9393 ± 0.0084,0.8583 ± 0.0066,0.7498 ± 0.0414,0.6633 ± 0.0079,0.8959 ± 0.0085,0.8276 ± 0.0151,0.8583 ± 0.0066,0.8241 ± 0.0069,0.9412 ± 0.0043
6,random_forest,mutual_info,SMOTE,0.6487 ± 0.0132,0.6600 ± 0.0186,0.8645 ± 0.0106,0.7773 ± 0.0781,0.6700 ± 0.0121,0.8895 ± 0.0113,0.8398 ± 0.0282,0.8645 ± 0.0106,0.8295 ± 0.0105,0.9395 ± 0.0084,0.8555 ± 0.0032,0.7322 ± 0.0425,0.6601 ± 0.0077,0.8901 ± 0.0057,0.8206 ± 0.0130,0.8555 ± 0.0032,0.8212 ± 0.0049,0.9384 ± 0.0034
7,random_forest,spearman_sulov,SMOTE,0.6629 ± 0.0099,0.6542 ± 0.0245,0.8663 ± 0.0120,0.7797 ± 0.0853,0.6680 ± 0.0153,0.8947 ± 0.0122,0.8408 ± 0.0319,0.8663 ± 0.0120,0.8288 ± 0.0125,0.9416 ± 0.0083,0.8624 ± 0.0047,0.7698 ± 0.0188,0.6700 ± 0.0067,0.8955 ± 0.0073,0.8362 ± 0.0078,0.8624 ± 0.0047,0.8293 ± 0.0058,0.9411 ± 0.0039
8,random_forest,chi2,SMOTE,0.6568 ± 0.0181,0.6555 ± 0.0215,0.8626 ± 0.0085,0.7571 ± 0.0816,0.6678 ± 0.0103,0.8899 ± 0.0123,0.8322 ± 0.0257,0.8626 ± 0.0085,0.8269 ± 0.0066,0.9398 ± 0.0081,0.8593 ± 0.0049,0.7533 ± 0.0459,0.6658 ± 0.0110,0.8926 ± 0.0064,0.8294 ± 0.0157,0.8593 ± 0.0049,0.8258 ± 0.0075,0.9396 ± 0.0034
9,random_forest,chi2_mi_union_topk,SMOTE,0.6672 ± 0.0145,0.6637 ± 0.0244,0.8586 ± 0.0039,0.7219 ± 0.0564,0.6706 ± 0.0139,0.8918 ± 0.0110,0.8222 ± 0.0154,0.8586 ± 0.0039,0.8283 ± 0.0062,0.9406 ± 0.0077,0.8575 ± 0.0071,0.7417 ± 0.0438,0.6711 ± 0.0100,0.8893 ± 0.0087,0.8272 ± 0.0155,0.8575 ± 0.0071,0.8284 ± 0.0071,0.9374 ± 0.0050
