,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6268 ± 0.0238,0.6217 ± 0.0202,0.7645 ± 0.0170,0.6223 ± 0.0201,0.6227 ± 0.0213,0.7517 ± 0.0144,0.7708 ± 0.0184,0.7645 ± 0.0170,0.7671 ± 0.0170,0.8211 ± 0.0150,0.7580 ± 0.0182,0.6278 ± 0.0223,0.6276 ± 0.0251,0.7528 ± 0.0167,0.7712 ± 0.0147,0.7580 ± 0.0182,0.7641 ± 0.0160,0.8170 ± 0.0128
1,decision_tree,mutual_info,0.6284 ± 0.0126,0.6341 ± 0.0290,0.7700 ± 0.0254,0.6359 ± 0.0284,0.6352 ± 0.0310,0.7591 ± 0.0206,0.7769 ± 0.0191,0.7700 ± 0.0254,0.7724 ± 0.0211,0.8246 ± 0.0174,0.7572 ± 0.0079,0.6298 ± 0.0118,0.6296 ± 0.0140,0.7542 ± 0.0086,0.7747 ± 0.0079,0.7572 ± 0.0079,0.7653 ± 0.0072,0.8182 ± 0.0059
2,decision_tree,spearman_sulov,0.6242 ± 0.0224,0.6236 ± 0.0238,0.7663 ± 0.0208,0.6243 ± 0.0240,0.6249 ± 0.0253,0.7531 ± 0.0175,0.7716 ± 0.0201,0.7663 ± 0.0208,0.7683 ± 0.0190,0.8221 ± 0.0164,0.7555 ± 0.0145,0.6251 ± 0.0210,0.6250 ± 0.0244,0.7509 ± 0.0154,0.7692 ± 0.0126,0.7555 ± 0.0145,0.7619 ± 0.0132,0.8153 ± 0.0104
3,decision_tree,chi2,0.6257 ± 0.0257,0.6218 ± 0.0262,0.7637 ± 0.0260,0.6234 ± 0.0264,0.6221 ± 0.0270,0.7508 ± 0.0192,0.7682 ± 0.0188,0.7637 ± 0.0260,0.7652 ± 0.0218,0.8191 ± 0.0183,0.7607 ± 0.0128,0.6262 ± 0.0248,0.6264 ± 0.0272,0.7526 ± 0.0168,0.7707 ± 0.0142,0.7607 ± 0.0128,0.7653 ± 0.0131,0.8181 ± 0.0099
4,decision_tree,chi2_mi_union_topk,0.6344 ± 0.0152,0.6349 ± 0.0426,0.7714 ± 0.0302,0.6357 ± 0.0421,0.6354 ± 0.0430,0.7481 ± 0.0315,0.7743 ± 0.0265,0.7714 ± 0.0302,0.7724 ± 0.0280,0.8142 ± 0.0242,0.7643 ± 0.0099,0.6355 ± 0.0141,0.6353 ± 0.0164,0.7477 ± 0.0085,0.7802 ± 0.0077,0.7643 ± 0.0099,0.7717 ± 0.0082,0.8143 ± 0.0060
5,random_forest,spearman_corr,0.6286 ± 0.0136,0.6372 ± 0.0128,0.8637 ± 0.0108,0.8108 ± 0.0953,0.6586 ± 0.0096,0.8939 ± 0.0090,0.8479 ± 0.0340,0.8637 ± 0.0108,0.8218 ± 0.0105,0.9417 ± 0.0069,0.8608 ± 0.0048,0.8156 ± 0.0910,0.6528 ± 0.0078,0.8950 ± 0.0063,0.8469 ± 0.0303,0.8608 ± 0.0048,0.8177 ± 0.0064,0.9411 ± 0.0032
6,random_forest,mutual_info,0.6302 ± 0.0155,0.6392 ± 0.0156,0.8645 ± 0.0093,0.7833 ± 0.1216,0.6600 ± 0.0080,0.8873 ± 0.0123,0.8397 ± 0.0381,0.8645 ± 0.0093,0.8230 ± 0.0069,0.9379 ± 0.0085,0.8577 ± 0.0030,0.7763 ± 0.0899,0.6522 ± 0.0078,0.8896 ± 0.0068,0.8326 ± 0.0282,0.8577 ± 0.0030,0.8160 ± 0.0055,0.9383 ± 0.0039
7,random_forest,spearman_sulov,0.6325 ± 0.0114,0.6407 ± 0.0167,0.8670 ± 0.0086,0.8154 ± 0.1107,0.6619 ± 0.0092,0.8934 ± 0.0141,0.8513 ± 0.0402,0.8670 ± 0.0086,0.8250 ± 0.0092,0.9415 ± 0.0088,0.8618 ± 0.0037,0.8057 ± 0.0481,0.6549 ± 0.0057,0.8965 ± 0.0078,0.8445 ± 0.0150,0.8618 ± 0.0037,0.8195 ± 0.0046,0.9417 ± 0.0043
8,random_forest,chi2,0.6309 ± 0.0088,0.6424 ± 0.0202,0.8663 ± 0.0100,0.8064 ± 0.1111,0.6622 ± 0.0127,0.8899 ± 0.0115,0.8477 ± 0.0390,0.8663 ± 0.0100,0.8248 ± 0.0118,0.9399 ± 0.0081,0.8582 ± 0.0048,0.7831 ± 0.0633,0.6526 ± 0.0055,0.8912 ± 0.0045,0.8352 ± 0.0207,0.8582 ± 0.0048,0.8166 ± 0.0052,0.9393 ± 0.0028
9,random_forest,chi2_mi_union_topk,0.6409 ± 0.0147,0.6573 ± 0.0182,0.8626 ± 0.0105,0.8172 ± 0.0839,0.6678 ± 0.0117,0.8895 ± 0.0148,0.8502 ± 0.0280,0.8626 ± 0.0105,0.8265 ± 0.0106,0.9391 ± 0.0092,0.8572 ± 0.0040,0.7537 ± 0.0247,0.6570 ± 0.0082,0.8855 ± 0.0104,0.8263 ± 0.0094,0.8572 ± 0.0040,0.8192 ± 0.0061,0.9364 ± 0.0057
