,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,STACKING_decision_tree,spearman_corr,0.6040 ± 0.0153,0.6365 ± 0.0397,0.7707 ± 0.0211,0.6362 ± 0.0390,0.6382 ± 0.0417,0.7989 ± 0.0241,0.7759 ± 0.0242,0.7707 ± 0.0211,0.7727 ± 0.0221,0.8610 ± 0.0149,0.7519 ± 0.0112,0.6044 ± 0.0157,0.6041 ± 0.0154,0.7814 ± 0.0138,0.7546 ± 0.0132,0.7519 ± 0.0112,0.7531 ± 0.0115,0.8459 ± 0.0106
1,STACKING_decision_tree,mutual_info,0.6166 ± 0.0203,0.6311 ± 0.0454,0.7714 ± 0.0335,0.6289 ± 0.0502,0.6354 ± 0.0421,0.7996 ± 0.0268,0.7704 ± 0.0330,0.7714 ± 0.0335,0.7701 ± 0.0296,0.8594 ± 0.0212,0.7571 ± 0.0129,0.6170 ± 0.0200,0.6171 ± 0.0212,0.7877 ± 0.0173,0.7607 ± 0.0131,0.7571 ± 0.0129,0.7586 ± 0.0120,0.8502 ± 0.0105
2,STACKING_decision_tree,spearman_sulov,0.6103 ± 0.0151,0.6263 ± 0.0354,0.7777 ± 0.0300,0.6241 ± 0.0409,0.6309 ± 0.0324,0.7945 ± 0.0216,0.7687 ± 0.0252,0.7777 ± 0.0300,0.7721 ± 0.0232,0.8590 ± 0.0163,0.7594 ± 0.0163,0.6110 ± 0.0149,0.6112 ± 0.0150,0.7836 ± 0.0126,0.7567 ± 0.0116,0.7594 ± 0.0163,0.7576 ± 0.0119,0.8469 ± 0.0113
3,STACKING_decision_tree,chi2,0.6256 ± 0.0202,0.6196 ± 0.0391,0.7725 ± 0.0319,0.6170 ± 0.0429,0.6237 ± 0.0368,0.7900 ± 0.0234,0.7642 ± 0.0280,0.7725 ± 0.0319,0.7676 ± 0.0264,0.8564 ± 0.0216,0.7593 ± 0.0113,0.6266 ± 0.0194,0.6268 ± 0.0222,0.7945 ± 0.0117,0.7691 ± 0.0127,0.7593 ± 0.0113,0.7637 ± 0.0097,0.8544 ± 0.0072
4,STACKING_decision_tree,chi2_mi_union_topk,0.6221 ± 0.0120,0.6348 ± 0.0390,0.7773 ± 0.0258,0.6355 ± 0.0391,0.6356 ± 0.0393,0.7922 ± 0.0283,0.7783 ± 0.0249,0.7773 ± 0.0258,0.7772 ± 0.0247,0.8595 ± 0.0201,0.7577 ± 0.0082,0.6236 ± 0.0111,0.6223 ± 0.0132,0.7913 ± 0.0071,0.7693 ± 0.0074,0.7577 ± 0.0082,0.7630 ± 0.0060,0.8539 ± 0.0048
5,STACKING_random_forest,spearman_corr,0.6861 ± 0.0108,0.6863 ± 0.0210,0.8004 ± 0.0191,0.6907 ± 0.0203,0.6963 ± 0.0263,0.8874 ± 0.0108,0.8335 ± 0.0144,0.8004 ± 0.0191,0.8122 ± 0.0131,0.9395 ± 0.0070,0.7964 ± 0.0057,0.6882 ± 0.0101,0.6957 ± 0.0136,0.8893 ± 0.0056,0.8318 ± 0.0069,0.7964 ± 0.0057,0.8111 ± 0.0056,0.9379 ± 0.0028
6,STACKING_random_forest,mutual_info,0.6839 ± 0.0139,0.6858 ± 0.0284,0.8004 ± 0.0269,0.6898 ± 0.0258,0.6930 ± 0.0292,0.8849 ± 0.0147,0.8313 ± 0.0153,0.8004 ± 0.0269,0.8121 ± 0.0207,0.9383 ± 0.0094,0.7962 ± 0.0079,0.6863 ± 0.0131,0.6927 ± 0.0168,0.8890 ± 0.0064,0.8317 ± 0.0093,0.7962 ± 0.0079,0.8111 ± 0.0079,0.9381 ± 0.0039
7,STACKING_random_forest,spearman_sulov,0.6843 ± 0.0108,0.6946 ± 0.0213,0.8059 ± 0.0206,0.6972 ± 0.0189,0.7038 ± 0.0227,0.8896 ± 0.0118,0.8364 ± 0.0128,0.8059 ± 0.0206,0.8173 ± 0.0167,0.9408 ± 0.0078,0.7943 ± 0.0067,0.6874 ± 0.0100,0.6942 ± 0.0135,0.8907 ± 0.0055,0.8331 ± 0.0071,0.7943 ± 0.0067,0.8104 ± 0.0061,0.9387 ± 0.0027
8,STACKING_random_forest,chi2,0.6860 ± 0.0114,0.6846 ± 0.0154,0.7971 ± 0.0216,0.6894 ± 0.0138,0.6939 ± 0.0169,0.8862 ± 0.0121,0.8317 ± 0.0116,0.7971 ± 0.0216,0.8099 ± 0.0149,0.9384 ± 0.0080,0.7953 ± 0.0103,0.6886 ± 0.0099,0.6960 ± 0.0129,0.8911 ± 0.0061,0.8325 ± 0.0076,0.7953 ± 0.0103,0.8106 ± 0.0087,0.9390 ± 0.0036
9,STACKING_random_forest,chi2_mi_union_topk,0.6871 ± 0.0122,0.6890 ± 0.0231,0.8022 ± 0.0234,0.6924 ± 0.0184,0.6969 ± 0.0239,0.8895 ± 0.0135,0.8327 ± 0.0110,0.8022 ± 0.0234,0.8137 ± 0.0183,0.9404 ± 0.0084,0.7986 ± 0.0076,0.6891 ± 0.0113,0.6963 ± 0.0149,0.8854 ± 0.0093,0.8330 ± 0.0079,0.7986 ± 0.0076,0.8128 ± 0.0072,0.9358 ± 0.0051
10,STACKING_extra_trees,spearman_corr,0.6812 ± 0.0139,0.6916 ± 0.0246,0.8073 ± 0.0183,0.6937 ± 0.0238,0.6999 ± 0.0285,0.8876 ± 0.0131,0.8350 ± 0.0167,0.8073 ± 0.0183,0.8180 ± 0.0153,0.9392 ± 0.0088,0.7983 ± 0.0096,0.6827 ± 0.0125,0.6877 ± 0.0162,0.8876 ± 0.0047,0.8283 ± 0.0078,0.7983 ± 0.0096,0.8113 ± 0.0083,0.9370 ± 0.0027
11,STACKING_extra_trees,mutual_info,0.6793 ± 0.0155,0.6843 ± 0.0153,0.8040 ± 0.0124,0.6864 ± 0.0152,0.6908 ± 0.0191,0.8823 ± 0.0146,0.8297 ± 0.0108,0.8040 ± 0.0124,0.8141 ± 0.0095,0.9368 ± 0.0094,0.7961 ± 0.0104,0.6814 ± 0.0144,0.6861 ± 0.0186,0.8874 ± 0.0064,0.8280 ± 0.0093,0.7961 ± 0.0104,0.8098 ± 0.0093,0.9370 ± 0.0035
12,STACKING_extra_trees,spearman_sulov,0.6811 ± 0.0118,0.6871 ± 0.0237,0.8070 ± 0.0140,0.6886 ± 0.0221,0.6938 ± 0.0276,0.8852 ± 0.0141,0.8311 ± 0.0132,0.8070 ± 0.0140,0.8164 ± 0.0116,0.9377 ± 0.0082,0.7962 ± 0.0076,0.6832 ± 0.0108,0.6884 ± 0.0142,0.8875 ± 0.0072,0.8294 ± 0.0070,0.7962 ± 0.0076,0.8105 ± 0.0069,0.9369 ± 0.0035
13,STACKING_extra_trees,chi2,0.6792 ± 0.0093,0.6868 ± 0.0184,0.8033 ± 0.0188,0.6894 ± 0.0167,0.6935 ± 0.0195,0.8840 ± 0.0128,0.8312 ± 0.0103,0.8033 ± 0.0188,0.8143 ± 0.0139,0.9371 ± 0.0082,0.7943 ± 0.0084,0.6815 ± 0.0084,0.6862 ± 0.0110,0.8881 ± 0.0061,0.8281 ± 0.0057,0.7943 ± 0.0084,0.8089 ± 0.0070,0.9373 ± 0.0033
