,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.4103 ± 0.0180,0.4010 ± 0.0386,0.4806 ± 0.0324,0.4012 ± 0.0389,0.4023 ± 0.0376,0.5593 ± 0.0276,0.4766 ± 0.0342,0.4806 ± 0.0324,0.4779 ± 0.0334,0.5746 ± 0.0277,0.4882 ± 0.0170,0.4104 ± 0.0178,0.4104 ± 0.0183,0.5664 ± 0.0138,0.4884 ± 0.0168,0.4882 ± 0.0170,0.4882 ± 0.0167,0.5838 ± 0.0147
1,decision_tree,mutual_info,0.4081 ± 0.0184,0.3987 ± 0.0311,0.4766 ± 0.0238,0.4007 ± 0.0332,0.3997 ± 0.0315,0.5597 ± 0.0218,0.4823 ± 0.0277,0.4766 ± 0.0238,0.4779 ± 0.0228,0.5796 ± 0.0188,0.4871 ± 0.0134,0.4084 ± 0.0188,0.4083 ± 0.0181,0.5646 ± 0.0120,0.4855 ± 0.0139,0.4871 ± 0.0134,0.4860 ± 0.0130,0.5813 ± 0.0103
2,decision_tree,spearman_sulov,0.4116 ± 0.0212,0.4025 ± 0.0303,0.4810 ± 0.0250,0.4037 ± 0.0305,0.4032 ± 0.0302,0.5620 ± 0.0229,0.4839 ± 0.0297,0.4810 ± 0.0250,0.4816 ± 0.0265,0.5814 ± 0.0245,0.4918 ± 0.0168,0.4124 ± 0.0211,0.4117 ± 0.0211,0.5680 ± 0.0159,0.4914 ± 0.0204,0.4918 ± 0.0168,0.4913 ± 0.0186,0.5866 ± 0.0172
3,decision_tree,chi2,0.3955 ± 0.0195,0.4056 ± 0.0368,0.4835 ± 0.0338,0.4074 ± 0.0366,0.4073 ± 0.0359,0.5618 ± 0.0268,0.4826 ± 0.0347,0.4835 ± 0.0338,0.4814 ± 0.0334,0.5769 ± 0.0283,0.4737 ± 0.0170,0.3956 ± 0.0194,0.3957 ± 0.0197,0.5528 ± 0.0140,0.4757 ± 0.0186,0.4737 ± 0.0170,0.4746 ± 0.0177,0.5700 ± 0.0155
4,decision_tree,chi2_mi_union_topk,0.4057 ± 0.0150,0.4046 ± 0.0225,0.4832 ± 0.0252,0.4064 ± 0.0221,0.4058 ± 0.0230,0.5600 ± 0.0192,0.4802 ± 0.0218,0.4832 ± 0.0252,0.4803 ± 0.0224,0.5743 ± 0.0212,0.4805 ± 0.0169,0.4060 ± 0.0149,0.4062 ± 0.0152,0.5614 ± 0.0111,0.4845 ± 0.0141,0.4805 ± 0.0169,0.4822 ± 0.0151,0.5781 ± 0.0123
5,random_forest,spearman_corr,0.4249 ± 0.0159,0.4206 ± 0.0248,0.5729 ± 0.0188,0.4382 ± 0.0505,0.4434 ± 0.0191,0.7049 ± 0.0167,0.5164 ± 0.0316,0.5729 ± 0.0188,0.5306 ± 0.0190,0.7289 ± 0.0166,0.5728 ± 0.0137,0.4584 ± 0.0251,0.4425 ± 0.0148,0.7024 ± 0.0101,0.5246 ± 0.0183,0.5728 ± 0.0137,0.5314 ± 0.0137,0.7237 ± 0.0108
6,random_forest,mutual_info,0.4231 ± 0.0172,0.4223 ± 0.0217,0.5703 ± 0.0236,0.4411 ± 0.0343,0.4412 ± 0.0211,0.7012 ± 0.0167,0.5188 ± 0.0237,0.5703 ± 0.0236,0.5315 ± 0.0207,0.7254 ± 0.0174,0.5675 ± 0.0118,0.4481 ± 0.0312,0.4396 ± 0.0142,0.6983 ± 0.0128,0.5191 ± 0.0196,0.5675 ± 0.0118,0.5291 ± 0.0130,0.7200 ± 0.0113
7,random_forest,spearman_sulov,0.4171 ± 0.0236,0.4275 ± 0.0312,0.5828 ± 0.0332,0.4547 ± 0.0637,0.4521 ± 0.0317,0.7076 ± 0.0194,0.5301 ± 0.0451,0.5828 ± 0.0332,0.5393 ± 0.0303,0.7309 ± 0.0219,0.5689 ± 0.0194,0.4440 ± 0.0399,0.4370 ± 0.0219,0.7028 ± 0.0096,0.5151 ± 0.0284,0.5689 ± 0.0194,0.5257 ± 0.0205,0.7240 ± 0.0106
8,random_forest,chi2,0.4281 ± 0.0211,0.4333 ± 0.0224,0.5758 ± 0.0255,0.4551 ± 0.0382,0.4504 ± 0.0227,0.6973 ± 0.0176,0.5282 ± 0.0279,0.5758 ± 0.0255,0.5388 ± 0.0218,0.7218 ± 0.0186,0.5675 ± 0.0170,0.4522 ± 0.0328,0.4425 ± 0.0184,0.6943 ± 0.0118,0.5224 ± 0.0217,0.5675 ± 0.0170,0.5318 ± 0.0170,0.7155 ± 0.0113
9,random_forest,chi2_mi_union_topk,0.4262 ± 0.0184,0.4280 ± 0.0260,0.5725 ± 0.0238,0.4468 ± 0.0377,0.4466 ± 0.0235,0.6990 ± 0.0204,0.5218 ± 0.0275,0.5725 ± 0.0238,0.5343 ± 0.0231,0.7209 ± 0.0204,0.5645 ± 0.0120,0.4447 ± 0.0236,0.4404 ± 0.0172,0.6929 ± 0.0101,0.5183 ± 0.0190,0.5645 ± 0.0120,0.5299 ± 0.0153,0.7138 ± 0.0089
