,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.4190 ± 0.0262,0.4281 ± 0.0344,0.4993 ± 0.0341,0.4299 ± 0.0350,0.4286 ± 0.0336,0.5783 ± 0.0244,0.5003 ± 0.0306,0.4993 ± 0.0341,0.4987 ± 0.0317,0.5921 ± 0.0248,0.4965 ± 0.0241,0.4196 ± 0.0265,0.4190 ± 0.0259,0.5720 ± 0.0194,0.4937 ± 0.0235,0.4965 ± 0.0241,0.4949 ± 0.0237,0.5876 ± 0.0200
1,decision_tree,mutual_info,0.4258 ± 0.0152,0.4266 ± 0.0308,0.5040 ± 0.0311,0.4290 ± 0.0316,0.4270 ± 0.0301,0.5770 ± 0.0234,0.5005 ± 0.0290,0.5040 ± 0.0311,0.5010 ± 0.0294,0.5916 ± 0.0263,0.5011 ± 0.0123,0.4265 ± 0.0155,0.4260 ± 0.0149,0.5765 ± 0.0100,0.4990 ± 0.0114,0.5011 ± 0.0123,0.4997 ± 0.0112,0.5910 ± 0.0093
2,decision_tree,spearman_sulov,0.4190 ± 0.0262,0.4281 ± 0.0344,0.4993 ± 0.0341,0.4299 ± 0.0350,0.4286 ± 0.0336,0.5783 ± 0.0244,0.5003 ± 0.0306,0.4993 ± 0.0341,0.4987 ± 0.0317,0.5921 ± 0.0248,0.4965 ± 0.0241,0.4196 ± 0.0265,0.4190 ± 0.0259,0.5720 ± 0.0194,0.4937 ± 0.0235,0.4965 ± 0.0241,0.4949 ± 0.0237,0.5876 ± 0.0200
3,decision_tree,chi2,0.4177 ± 0.0239,0.4401 ± 0.0175,0.5110 ± 0.0215,0.4410 ± 0.0185,0.4405 ± 0.0168,0.5805 ± 0.0139,0.5143 ± 0.0142,0.5110 ± 0.0215,0.5120 ± 0.0175,0.5950 ± 0.0138,0.4989 ± 0.0173,0.4178 ± 0.0243,0.4178 ± 0.0233,0.5641 ± 0.0198,0.4949 ± 0.0197,0.4989 ± 0.0173,0.4967 ± 0.0185,0.5802 ± 0.0192
4,decision_tree,chi2_mi_union_topk,0.4235 ± 0.0164,0.4281 ± 0.0268,0.5029 ± 0.0306,0.4301 ± 0.0290,0.4289 ± 0.0257,0.5782 ± 0.0189,0.5011 ± 0.0252,0.5029 ± 0.0306,0.5010 ± 0.0274,0.5924 ± 0.0206,0.4986 ± 0.0155,0.4238 ± 0.0164,0.4241 ± 0.0166,0.5761 ± 0.0125,0.4987 ± 0.0158,0.4986 ± 0.0155,0.4983 ± 0.0153,0.5920 ± 0.0134
5,random_forest,spearman_corr,0.4611 ± 0.0197,0.4691 ± 0.0311,0.5908 ± 0.0249,0.5151 ± 0.0513,0.4704 ± 0.0271,0.7530 ± 0.0193,0.5597 ± 0.0353,0.5908 ± 0.0249,0.5577 ± 0.0254,0.7610 ± 0.0196,0.5756 ± 0.0123,0.4947 ± 0.0187,0.4605 ± 0.0167,0.7410 ± 0.0100,0.5429 ± 0.0159,0.5756 ± 0.0123,0.5464 ± 0.0158,0.7457 ± 0.0098
6,random_forest,mutual_info,0.4615 ± 0.0180,0.4786 ± 0.0303,0.5901 ± 0.0260,0.5253 ± 0.0516,0.4772 ± 0.0251,0.7400 ± 0.0176,0.5654 ± 0.0346,0.5901 ± 0.0260,0.5616 ± 0.0240,0.7485 ± 0.0197,0.5711 ± 0.0117,0.4868 ± 0.0188,0.4613 ± 0.0153,0.7407 ± 0.0126,0.5399 ± 0.0148,0.5711 ± 0.0117,0.5460 ± 0.0139,0.7458 ± 0.0117
7,random_forest,spearman_sulov,0.4611 ± 0.0197,0.4691 ± 0.0311,0.5908 ± 0.0249,0.5151 ± 0.0513,0.4704 ± 0.0271,0.7530 ± 0.0193,0.5597 ± 0.0353,0.5908 ± 0.0249,0.5577 ± 0.0254,0.7610 ± 0.0196,0.5756 ± 0.0123,0.4947 ± 0.0187,0.4605 ± 0.0167,0.7410 ± 0.0100,0.5429 ± 0.0159,0.5756 ± 0.0123,0.5464 ± 0.0158,0.7457 ± 0.0098
8,random_forest,chi2,0.4456 ± 0.0104,0.4432 ± 0.0225,0.5641 ± 0.0247,0.4694 ± 0.0277,0.4483 ± 0.0192,0.7223 ± 0.0161,0.5298 ± 0.0221,0.5641 ± 0.0247,0.5357 ± 0.0210,0.7373 ± 0.0200,0.5610 ± 0.0106,0.4612 ± 0.0125,0.4483 ± 0.0100,0.7114 ± 0.0076,0.5264 ± 0.0104,0.5610 ± 0.0106,0.5366 ± 0.0104,0.7223 ± 0.0096
9,random_forest,chi2_mi_union_topk,0.4538 ± 0.0185,0.4723 ± 0.0298,0.5897 ± 0.0130,0.5079 ± 0.0355,0.4740 ± 0.0224,0.7505 ± 0.0161,0.5569 ± 0.0231,0.5897 ± 0.0130,0.5594 ± 0.0183,0.7587 ± 0.0171,0.5689 ± 0.0124,0.4805 ± 0.0208,0.4541 ± 0.0155,0.7391 ± 0.0103,0.5342 ± 0.0163,0.5689 ± 0.0124,0.5407 ± 0.0146,0.7437 ± 0.0095
10,extra_trees,spearman_corr,0.4719 ± 0.0147,0.4875 ± 0.0252,0.5985 ± 0.0216,0.5202 ± 0.0330,0.4887 ± 0.0211,0.7452 ± 0.0166,0.5710 ± 0.0244,0.5985 ± 0.0216,0.5729 ± 0.0203,0.7550 ± 0.0170,0.5822 ± 0.0083,0.4934 ± 0.0178,0.4739 ± 0.0110,0.7403 ± 0.0069,0.5518 ± 0.0121,0.5822 ± 0.0083,0.5587 ± 0.0102,0.7465 ± 0.0065
11,extra_trees,mutual_info,0.4760 ± 0.0231,0.4816 ± 0.0169,0.5908 ± 0.0173,0.5120 ± 0.0272,0.4831 ± 0.0148,0.7379 ± 0.0193,0.5649 ± 0.0178,0.5908 ± 0.0173,0.5668 ± 0.0146,0.7469 ± 0.0204,0.5807 ± 0.0185,0.4970 ± 0.0247,0.4759 ± 0.0206,0.7375 ± 0.0129,0.5534 ± 0.0200,0.5807 ± 0.0185,0.5596 ± 0.0193,0.7434 ± 0.0123
12,extra_trees,spearman_sulov,0.4719 ± 0.0147,0.4875 ± 0.0252,0.5985 ± 0.0216,0.5202 ± 0.0330,0.4887 ± 0.0211,0.7452 ± 0.0166,0.5710 ± 0.0244,0.5985 ± 0.0216,0.5729 ± 0.0203,0.7550 ± 0.0170,0.5822 ± 0.0083,0.4934 ± 0.0178,0.4739 ± 0.0110,0.7403 ± 0.0069,0.5518 ± 0.0121,0.5822 ± 0.0083,0.5587 ± 0.0102,0.7465 ± 0.0065
