,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.4308 ± 0.0358,0.4365 ± 0.0220,0.5037 ± 0.0207,0.4380 ± 0.0217,0.4374 ± 0.0220,0.5736 ± 0.0207,0.5055 ± 0.0214,0.5037 ± 0.0207,0.5035 ± 0.0204,0.5830 ± 0.0230,0.5080 ± 0.0310,0.4315 ± 0.0360,0.4312 ± 0.0357,0.5707 ± 0.0284,0.5044 ± 0.0326,0.5080 ± 0.0310,0.5058 ± 0.0316,0.5841 ± 0.0305
1,decision_tree,mutual_info,0.4429 ± 0.0290,0.4354 ± 0.0192,0.5110 ± 0.0277,0.4390 ± 0.0205,0.4352 ± 0.0184,0.5728 ± 0.0169,0.5061 ± 0.0182,0.5110 ± 0.0277,0.5071 ± 0.0221,0.5832 ± 0.0200,0.5126 ± 0.0256,0.4439 ± 0.0297,0.4427 ± 0.0284,0.5766 ± 0.0179,0.5113 ± 0.0232,0.5126 ± 0.0256,0.5116 ± 0.0241,0.5863 ± 0.0163
2,decision_tree,spearman_sulov,0.4315 ± 0.0369,0.4365 ± 0.0220,0.5037 ± 0.0207,0.4380 ± 0.0217,0.4374 ± 0.0220,0.5736 ± 0.0207,0.5055 ± 0.0214,0.5037 ± 0.0207,0.5035 ± 0.0204,0.5830 ± 0.0230,0.5086 ± 0.0321,0.4322 ± 0.0372,0.4319 ± 0.0368,0.5712 ± 0.0291,0.5050 ± 0.0336,0.5086 ± 0.0321,0.5064 ± 0.0327,0.5846 ± 0.0311
3,decision_tree,chi2,0.4332 ± 0.0196,0.4367 ± 0.0207,0.5139 ± 0.0237,0.4382 ± 0.0204,0.4375 ± 0.0209,0.5592 ± 0.0174,0.5103 ± 0.0208,0.5139 ± 0.0237,0.5111 ± 0.0219,0.5713 ± 0.0210,0.5126 ± 0.0164,0.4339 ± 0.0198,0.4331 ± 0.0193,0.5561 ± 0.0156,0.5093 ± 0.0158,0.5126 ± 0.0164,0.5107 ± 0.0160,0.5687 ± 0.0142
4,decision_tree,chi2_mi_union_topk,0.4427 ± 0.0272,0.4472 ± 0.0177,0.5136 ± 0.0203,0.4483 ± 0.0170,0.4480 ± 0.0185,0.5829 ± 0.0150,0.5159 ± 0.0161,0.5136 ± 0.0203,0.5138 ± 0.0174,0.5929 ± 0.0177,0.5137 ± 0.0212,0.4434 ± 0.0271,0.4429 ± 0.0271,0.5785 ± 0.0217,0.5126 ± 0.0241,0.5137 ± 0.0212,0.5128 ± 0.0225,0.5895 ± 0.0225
5,random_forest,spearman_corr,0.4755 ± 0.0166,0.4735 ± 0.0310,0.5813 ± 0.0169,0.5044 ± 0.0260,0.4738 ± 0.0257,0.7464 ± 0.0153,0.5530 ± 0.0228,0.5813 ± 0.0169,0.5559 ± 0.0229,0.7519 ± 0.0165,0.5791 ± 0.0081,0.5026 ± 0.0180,0.4727 ± 0.0138,0.7396 ± 0.0078,0.5510 ± 0.0127,0.5791 ± 0.0081,0.5557 ± 0.0115,0.7421 ± 0.0084
6,random_forest,mutual_info,0.4733 ± 0.0098,0.4647 ± 0.0447,0.5725 ± 0.0302,0.4930 ± 0.0494,0.4648 ± 0.0396,0.7386 ± 0.0141,0.5440 ± 0.0386,0.5725 ± 0.0302,0.5476 ± 0.0341,0.7457 ± 0.0157,0.5722 ± 0.0088,0.4962 ± 0.0148,0.4706 ± 0.0094,0.7349 ± 0.0060,0.5470 ± 0.0099,0.5722 ± 0.0088,0.5520 ± 0.0081,0.7384 ± 0.0066
7,random_forest,spearman_sulov,0.4764 ± 0.0171,0.4735 ± 0.0310,0.5813 ± 0.0169,0.5044 ± 0.0260,0.4738 ± 0.0257,0.7464 ± 0.0153,0.5530 ± 0.0228,0.5813 ± 0.0169,0.5559 ± 0.0229,0.7519 ± 0.0165,0.5791 ± 0.0081,0.5035 ± 0.0186,0.4732 ± 0.0142,0.7395 ± 0.0077,0.5515 ± 0.0131,0.5791 ± 0.0081,0.5560 ± 0.0117,0.7421 ± 0.0083
8,random_forest,chi2,0.4445 ± 0.0171,0.4488 ± 0.0155,0.5612 ± 0.0211,0.4674 ± 0.0150,0.4522 ± 0.0137,0.7127 ± 0.0155,0.5320 ± 0.0128,0.5612 ± 0.0211,0.5387 ± 0.0152,0.7263 ± 0.0192,0.5549 ± 0.0136,0.4587 ± 0.0185,0.4463 ± 0.0157,0.7041 ± 0.0130,0.5234 ± 0.0155,0.5549 ± 0.0136,0.5330 ± 0.0150,0.7142 ± 0.0135
9,random_forest,chi2_mi_union_topk,0.4693 ± 0.0139,0.4753 ± 0.0207,0.5813 ± 0.0162,0.5048 ± 0.0230,0.4743 ± 0.0186,0.7429 ± 0.0112,0.5547 ± 0.0184,0.5813 ± 0.0162,0.5575 ± 0.0165,0.7492 ± 0.0132,0.5737 ± 0.0103,0.4922 ± 0.0163,0.4671 ± 0.0122,0.7402 ± 0.0074,0.5445 ± 0.0123,0.5737 ± 0.0103,0.5508 ± 0.0110,0.7435 ± 0.0080
