,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.4262 ± 0.0128,0.4310 ± 0.0358,0.5022 ± 0.0325,0.4324 ± 0.0356,0.4314 ± 0.0361,0.5735 ± 0.0233,0.5060 ± 0.0268,0.5022 ± 0.0325,0.5034 ± 0.0293,0.5883 ± 0.0211,0.5000 ± 0.0128,0.4261 ± 0.0130,0.4268 ± 0.0127,0.5694 ± 0.0120,0.5014 ± 0.0114,0.5000 ± 0.0128,0.5005 ± 0.0120,0.5836 ± 0.0132
1,decision_tree,mutual_info,0.4341 ± 0.0177,0.4274 ± 0.0211,0.4982 ± 0.0223,0.4279 ± 0.0214,0.4277 ± 0.0207,0.5708 ± 0.0182,0.4991 ± 0.0204,0.4982 ± 0.0223,0.4983 ± 0.0213,0.5839 ± 0.0225,0.5049 ± 0.0160,0.4340 ± 0.0178,0.4347 ± 0.0176,0.5753 ± 0.0123,0.5090 ± 0.0141,0.5049 ± 0.0160,0.5067 ± 0.0149,0.5894 ± 0.0104
2,decision_tree,spearman_sulov,0.4374 ± 0.0248,0.4183 ± 0.0300,0.4938 ± 0.0310,0.4194 ± 0.0300,0.4194 ± 0.0302,0.5656 ± 0.0204,0.4952 ± 0.0254,0.4938 ± 0.0310,0.4937 ± 0.0281,0.5813 ± 0.0210,0.5107 ± 0.0230,0.4376 ± 0.0248,0.4378 ± 0.0249,0.5775 ± 0.0183,0.5112 ± 0.0219,0.5107 ± 0.0230,0.5107 ± 0.0222,0.5916 ± 0.0181
3,decision_tree,chi2,0.4262 ± 0.0122,0.4233 ± 0.0379,0.4985 ± 0.0357,0.4243 ± 0.0388,0.4232 ± 0.0377,0.5677 ± 0.0266,0.4957 ± 0.0326,0.4985 ± 0.0357,0.4966 ± 0.0336,0.5815 ± 0.0262,0.5006 ± 0.0117,0.4265 ± 0.0125,0.4265 ± 0.0119,0.5695 ± 0.0088,0.5023 ± 0.0102,0.5006 ± 0.0117,0.5012 ± 0.0106,0.5840 ± 0.0089
4,decision_tree,chi2_mi_union_topk,0.4066 ± 0.0276,0.4226 ± 0.0341,0.4967 ± 0.0291,0.4227 ± 0.0346,0.4233 ± 0.0340,0.5627 ± 0.0219,0.4961 ± 0.0311,0.4967 ± 0.0291,0.4961 ± 0.0299,0.5762 ± 0.0238,0.4825 ± 0.0225,0.4072 ± 0.0274,0.4070 ± 0.0278,0.5502 ± 0.0225,0.4837 ± 0.0261,0.4825 ± 0.0225,0.4827 ± 0.0240,0.5634 ± 0.0233
5,random_forest,spearman_corr,0.4376 ± 0.0227,0.4366 ± 0.0316,0.5872 ± 0.0214,0.4491 ± 0.0538,0.4589 ± 0.0259,0.7286 ± 0.0169,0.5279 ± 0.0343,0.5872 ± 0.0214,0.5452 ± 0.0227,0.7446 ± 0.0188,0.5783 ± 0.0181,0.4627 ± 0.0278,0.4515 ± 0.0206,0.7204 ± 0.0118,0.5300 ± 0.0222,0.5783 ± 0.0181,0.5404 ± 0.0195,0.7330 ± 0.0110
6,random_forest,mutual_info,0.4488 ± 0.0190,0.4391 ± 0.0157,0.5832 ± 0.0233,0.4778 ± 0.0378,0.4597 ± 0.0189,0.7187 ± 0.0175,0.5437 ± 0.0245,0.5832 ± 0.0233,0.5446 ± 0.0180,0.7355 ± 0.0185,0.5869 ± 0.0140,0.4758 ± 0.0207,0.4618 ± 0.0160,0.7183 ± 0.0120,0.5412 ± 0.0168,0.5869 ± 0.0140,0.5502 ± 0.0159,0.7333 ± 0.0109
7,random_forest,spearman_sulov,0.4425 ± 0.0232,0.4495 ± 0.0230,0.5890 ± 0.0250,0.4935 ± 0.0479,0.4655 ± 0.0247,0.7291 ± 0.0161,0.5535 ± 0.0299,0.5890 ± 0.0250,0.5520 ± 0.0216,0.7440 ± 0.0169,0.5810 ± 0.0169,0.4693 ± 0.0272,0.4552 ± 0.0202,0.7201 ± 0.0071,0.5346 ± 0.0219,0.5810 ± 0.0169,0.5438 ± 0.0196,0.7340 ± 0.0079
8,random_forest,chi2,0.4279 ± 0.0210,0.4392 ± 0.0391,0.5901 ± 0.0331,0.4621 ± 0.0547,0.4640 ± 0.0356,0.7220 ± 0.0182,0.5359 ± 0.0420,0.5901 ± 0.0331,0.5471 ± 0.0340,0.7389 ± 0.0203,0.5730 ± 0.0142,0.4532 ± 0.0329,0.4448 ± 0.0170,0.7173 ± 0.0109,0.5222 ± 0.0220,0.5730 ± 0.0142,0.5329 ± 0.0162,0.7314 ± 0.0102
9,random_forest,chi2_mi_union_topk,0.4442 ± 0.0193,0.4460 ± 0.0359,0.5832 ± 0.0283,0.4741 ± 0.0461,0.4625 ± 0.0325,0.7148 ± 0.0179,0.5417 ± 0.0364,0.5832 ± 0.0283,0.5477 ± 0.0304,0.7330 ± 0.0194,0.5772 ± 0.0160,0.4705 ± 0.0232,0.4556 ± 0.0179,0.7160 ± 0.0127,0.5351 ± 0.0190,0.5772 ± 0.0160,0.5432 ± 0.0178,0.7294 ± 0.0121
