Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.6333 ± 0.0238,0.6352 ± 0.0499,0.7674 ± 0.0376,0.6371 ± 0.0460,0.6366 ± 0.0555,0.7599 ± 0.0364,0.7799 ± 0.0310,0.7674 ± 0.0376,0.7725 ± 0.0336,0.8249 ± 0.0275,0.7643 ± 0.0195,0.6341 ± 0.0230,0.6339 ± 0.0242,0.7573 ± 0.0162,0.7752 ± 0.0142,0.7643 ± 0.0195,0.7694 ± 0.0168,0.8212 ± 0.0135
decision_tree,mutual_info,0.6255 ± 0.0225,0.6334 ± 0.0288,0.7604 ± 0.0230,0.6347 ± 0.0267,0.6355 ± 0.0315,0.7575 ± 0.0210,0.7745 ± 0.0206,0.7604 ± 0.0230,0.7663 ± 0.0211,0.8193 ± 0.0173,0.7575 ± 0.0196,0.6266 ± 0.0211,0.6255 ± 0.0235,0.7513 ± 0.0160,0.7685 ± 0.0138,0.7575 ± 0.0196,0.7627 ± 0.0167,0.8155 ± 0.0135
decision_tree,spearman_sulov,0.6117 ± 0.0228,0.6294 ± 0.0225,0.7626 ± 0.0253,0.6313 ± 0.0205,0.6305 ± 0.0238,0.7556 ± 0.0169,0.7755 ± 0.0170,0.7626 ± 0.0253,0.7678 ± 0.0210,0.8212 ± 0.0180,0.7489 ± 0.0179,0.6132 ± 0.0213,0.6114 ± 0.0243,0.7422 ± 0.0164,0.7614 ± 0.0148,0.7489 ± 0.0179,0.7549 ± 0.0162,0.8096 ± 0.0131
decision_tree,chi2,0.6291 ± 0.0270,0.6307 ± 0.0239,0.7575 ± 0.0228,0.6327 ± 0.0219,0.6325 ± 0.0260,0.7555 ± 0.0182,0.7736 ± 0.0181,0.7575 ± 0.0228,0.7643 ± 0.0199,0.8178 ± 0.0166,0.7601 ± 0.0212,0.6301 ± 0.0255,0.6293 ± 0.0283,0.7537 ± 0.0189,0.7706 ± 0.0166,0.7601 ± 0.0212,0.7650 ± 0.0187,0.8172 ± 0.0150
decision_tree,chi2_mi_union_topk,0.6323 ± 0.0181,0.6353 ± 0.0191,0.7648 ± 0.0271,0.6385 ± 0.0188,0.6372 ± 0.0198,0.7567 ± 0.0150,0.7799 ± 0.0123,0.7648 ± 0.0271,0.7706 ± 0.0193,0.8196 ± 0.0170,0.7616 ± 0.0117,0.6331 ± 0.0170,0.6330 ± 0.0191,0.7546 ± 0.0121,0.7753 ± 0.0105,0.7616 ± 0.0117,0.7681 ± 0.0109,0.8177 ± 0.0097
random_forest,spearman_corr,0.6326 ± 0.0162,0.6417 ± 0.0188,0.8681 ± 0.0083,0.8160 ± 0.1194,0.6627 ± 0.0112,0.8929 ± 0.0148,0.8521 ± 0.0400,0.8681 ± 0.0083,0.8260 ± 0.0103,0.9410 ± 0.0097,0.8621 ± 0.0036,0.7874 ± 0.1188,0.6552 ± 0.0080,0.8965 ± 0.0068,0.8386 ± 0.0388,0.8621 ± 0.0036,0.8197 ± 0.0059,0.9413 ± 0.0033
random_forest,mutual_info,0.6474 ± 0.0210,0.6691 ± 0.0262,0.8725 ± 0.0100,0.8593 ± 0.1129,0.6777 ± 0.0155,0.8910 ± 0.0124,0.8685 ± 0.0415,0.8725 ± 0.0100,0.8359 ± 0.0133,0.9401 ± 0.0083,0.8632 ± 0.0056,0.8121 ± 0.0381,0.6626 ± 0.0120,0.8916 ± 0.0076,0.8479 ± 0.0145,0.8632 ± 0.0056,0.8245 ± 0.0090,0.9386 ± 0.0039
random_forest,spearman_sulov,0.6290 ± 0.0148,0.6590 ± 0.0217,0.8700 ± 0.0105,0.8505 ± 0.0718,0.6716 ± 0.0139,0.8911 ± 0.0129,0.8647 ± 0.0250,0.8700 ± 0.0105,0.8319 ± 0.0127,0.9400 ± 0.0087,0.8604 ± 0.0042,0.8122 ± 0.0686,0.6528 ± 0.0078,0.8952 ± 0.0077,0.8457 ± 0.0234,0.8604 ± 0.0042,0.8175 ± 0.0062,0.9403 ± 0.0037
random_forest,chi2,0.6560 ± 0.0166,0.6581 ± 0.0217,0.8685 ± 0.0089,0.8607 ± 0.0695,0.6705 ± 0.0134,0.8914 ± 0.0136,0.8666 ± 0.0242,0.8685 ± 0.0089,0.8303 ± 0.0115,0.9402 ± 0.0083,0.8645 ± 0.0051,0.8194 ± 0.0309,0.6672 ± 0.0097,0.8918 ± 0.0048,0.8512 ± 0.0111,0.8645 ± 0.0051,0.8278 ± 0.0073,0.9387 ± 0.0030
random_forest,chi2_mi_union_topk,0.6626 ± 0.0188,0.6682 ± 0.0174,0.8634 ± 0.0115,0.7769 ± 0.0639,0.6742 ± 0.0125,0.8855 ± 0.0133,0.8401 ± 0.0242,0.8634 ± 0.0115,0.8313 ± 0.0119,0.9374 ± 0.0089,0.8626 ± 0.0072,0.7710 ± 0.0470,0.6702 ± 0.0120,0.8861 ± 0.0094,0.8366 ± 0.0181,0.8626 ± 0.0072,0.8293 ± 0.0091,0.9367 ± 0.0046
