Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.4150 ± 0.0172,0.4093 ± 0.0372,0.4945 ± 0.0313,0.4112 ± 0.0369,0.4101 ± 0.0373,0.5668 ± 0.0280,0.4883 ± 0.0342,0.4945 ± 0.0313,0.4903 ± 0.0325,0.5854 ± 0.0286,0.4920 ± 0.0158,0.4151 ± 0.0172,0.4151 ± 0.0172,0.5698 ± 0.0129,0.4919 ± 0.0161,0.4920 ± 0.0158,0.4918 ± 0.0158,0.5867 ± 0.0139
decision_tree,mutual_info,0.3996 ± 0.0210,0.4064 ± 0.0291,0.4828 ± 0.0228,0.4072 ± 0.0296,0.4073 ± 0.0292,0.5635 ± 0.0204,0.4831 ± 0.0245,0.4828 ± 0.0228,0.4821 ± 0.0224,0.5797 ± 0.0188,0.4785 ± 0.0193,0.3999 ± 0.0209,0.3999 ± 0.0211,0.5589 ± 0.0156,0.4796 ± 0.0189,0.4785 ± 0.0193,0.4787 ± 0.0188,0.5767 ± 0.0163
decision_tree,spearman_sulov,0.4107 ± 0.0167,0.4138 ± 0.0250,0.4945 ± 0.0168,0.4144 ± 0.0249,0.4147 ± 0.0254,0.5713 ± 0.0172,0.4951 ± 0.0198,0.4945 ± 0.0168,0.4940 ± 0.0174,0.5918 ± 0.0142,0.4890 ± 0.0154,0.4111 ± 0.0165,0.4109 ± 0.0167,0.5667 ± 0.0124,0.4884 ± 0.0156,0.4890 ± 0.0154,0.4885 ± 0.0155,0.5839 ± 0.0132
decision_tree,chi2,0.3994 ± 0.0117,0.3992 ± 0.0348,0.4784 ± 0.0354,0.4020 ± 0.0358,0.4007 ± 0.0341,0.5560 ± 0.0253,0.4753 ± 0.0326,0.4784 ± 0.0354,0.4751 ± 0.0331,0.5697 ± 0.0275,0.4756 ± 0.0094,0.3998 ± 0.0115,0.3995 ± 0.0119,0.5550 ± 0.0082,0.4777 ± 0.0115,0.4756 ± 0.0094,0.4765 ± 0.0102,0.5709 ± 0.0095
decision_tree,chi2_mi_union_topk,0.4008 ± 0.0246,0.3917 ± 0.0387,0.4777 ± 0.0364,0.3931 ± 0.0387,0.3928 ± 0.0388,0.5518 ± 0.0318,0.4742 ± 0.0364,0.4777 ± 0.0364,0.4748 ± 0.0354,0.5706 ± 0.0335,0.4783 ± 0.0224,0.4012 ± 0.0247,0.4010 ± 0.0249,0.5587 ± 0.0187,0.4822 ± 0.0224,0.4783 ± 0.0224,0.4800 ± 0.0222,0.5774 ± 0.0187
random_forest,spearman_corr,0.4213 ± 0.0194,0.4303 ± 0.0155,0.5813 ± 0.0123,0.4537 ± 0.0325,0.4519 ± 0.0105,0.7047 ± 0.0165,0.5283 ± 0.0174,0.5813 ± 0.0123,0.5395 ± 0.0099,0.7288 ± 0.0179,0.5714 ± 0.0156,0.4491 ± 0.0343,0.4405 ± 0.0173,0.7029 ± 0.0119,0.5188 ± 0.0226,0.5714 ± 0.0156,0.5289 ± 0.0172,0.7229 ± 0.0120
random_forest,mutual_info,0.4230 ± 0.0172,0.4203 ± 0.0229,0.5729 ± 0.0207,0.4368 ± 0.0399,0.4428 ± 0.0215,0.7009 ± 0.0207,0.5171 ± 0.0285,0.5729 ± 0.0207,0.5315 ± 0.0197,0.7252 ± 0.0198,0.5664 ± 0.0122,0.4465 ± 0.0348,0.4396 ± 0.0158,0.6979 ± 0.0075,0.5190 ± 0.0231,0.5664 ± 0.0122,0.5291 ± 0.0135,0.7194 ± 0.0077
random_forest,spearman_sulov,0.4130 ± 0.0204,0.4273 ± 0.0301,0.5835 ± 0.0241,0.4516 ± 0.0571,0.4509 ± 0.0258,0.7133 ± 0.0214,0.5275 ± 0.0375,0.5835 ± 0.0241,0.5391 ± 0.0237,0.7357 ± 0.0211,0.5667 ± 0.0170,0.4410 ± 0.0384,0.4327 ± 0.0190,0.7015 ± 0.0120,0.5120 ± 0.0248,0.5667 ± 0.0170,0.5226 ± 0.0177,0.7229 ± 0.0120
random_forest,chi2,0.4160 ± 0.0101,0.4295 ± 0.0263,0.5718 ± 0.0219,0.4515 ± 0.0348,0.4462 ± 0.0220,0.7042 ± 0.0149,0.5242 ± 0.0275,0.5718 ± 0.0219,0.5347 ± 0.0229,0.7265 ± 0.0157,0.5605 ± 0.0076,0.4303 ± 0.0175,0.4329 ± 0.0083,0.6928 ± 0.0101,0.5086 ± 0.0101,0.5605 ± 0.0076,0.5235 ± 0.0072,0.7142 ± 0.0100
random_forest,chi2_mi_union_topk,0.4279 ± 0.0233,0.4297 ± 0.0368,0.5736 ± 0.0311,0.4523 ± 0.0588,0.4479 ± 0.0336,0.6945 ± 0.0220,0.5260 ± 0.0435,0.5736 ± 0.0311,0.5362 ± 0.0321,0.7191 ± 0.0234,0.5654 ± 0.0134,0.4472 ± 0.0320,0.4430 ± 0.0189,0.6904 ± 0.0135,0.5198 ± 0.0220,0.5654 ± 0.0134,0.5310 ± 0.0167,0.7126 ± 0.0127
