Model,Feature_Selection,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,spearman_corr,6.5275 ± 0.5470,9.2328 ± 0.9000,-1.0795 ± 0.4055,6.8557 ± 0.2528,9.7579 ± 0.3934,-1.1177 ± 0.1139
decision_tree,mutual_info,6.5077 ± 0.5188,9.3078 ± 0.7307,-1.1066 ± 0.2908,6.8052 ± 0.2659,9.7271 ± 0.3878,-1.1058 ± 0.1419
decision_tree,f_regression,6.4973 ± 0.4018,9.1843 ± 0.6547,-1.0603 ± 0.3551,6.8528 ± 0.2649,9.8624 ± 0.4237,-1.1644 ± 0.1432
random_forest,spearman_corr,4.4110 ± 0.3751,6.3897 ± 0.5827,0.0169 ± 0.0532,4.7084 ± 0.1002,6.8002 ± 0.1607,-0.0283 ± 0.0206
random_forest,mutual_info,4.4300 ± 0.3274,6.4280 ± 0.5374,0.0043 ± 0.0428,4.7120 ± 0.1125,6.8102 ± 0.1798,-0.0312 ± 0.0225
random_forest,f_regression,4.4593 ± 0.3398,6.4844 ± 0.5512,-0.0130 ± 0.0454,4.7353 ± 0.0998,6.8526 ± 0.1477,-0.0442 ± 0.0178
gradient_boosting,spearman_corr,4.8397 ± 0.4005,6.9313 ± 0.5536,-0.1621 ± 0.1084,5.1310 ± 0.1534,7.2706 ± 0.2694,-0.1757 ± 0.0596
gradient_boosting,mutual_info,4.9066 ± 0.3479,7.0434 ± 0.5794,-0.1971 ± 0.0816,5.1347 ± 0.1062,7.2894 ± 0.1627,-0.1822 ± 0.0445
gradient_boosting,f_regression,4.8948 ± 0.3631,6.9748 ± 0.5681,-0.1765 ± 0.1110,5.1926 ± 0.1483,7.3745 ± 0.2276,-0.2096 ± 0.0513
ridge,spearman_corr,8.2209 ± 0.4877,10.8124 ± 0.6795,-1.8801 ± 0.6506,8.7656 ± 0.3178,11.6337 ± 0.4124,-2.0133 ± 0.2078
ridge,mutual_info,7.1494 ± 0.4888,9.7480 ± 0.6966,-1.3212 ± 0.3847,7.8262 ± 0.2803,10.5819 ± 0.4219,-1.4924 ± 0.1719
ridge,f_regression,7.4933 ± 0.5426,10.0405 ± 0.8127,-1.4759 ± 0.5536,7.6644 ± 0.3784,10.3109 ± 0.5377,-1.3713 ± 0.2531
lasso,spearman_corr,4.4819 ± 0.3460,6.4755 ± 0.5532,-0.0093 ± 0.0124,4.6744 ± 0.0976,6.7129 ± 0.1344,-0.0020 ± 0.0030
lasso,mutual_info,4.4770 ± 0.3457,6.4673 ± 0.5552,-0.0066 ± 0.0152,4.6711 ± 0.0980,6.7080 ± 0.1330,-0.0006 ± 0.0025
lasso,f_regression,4.4761 ± 0.3466,6.4660 ± 0.5571,-0.0062 ± 0.0149,4.6718 ± 0.0989,6.7109 ± 0.1338,-0.0014 ± 0.0022
svr,spearman_corr,4.3945 ± 0.3710,6.4797 ± 0.5604,-0.0104 ± 0.0153,4.5755 ± 0.0924,6.7040 ± 0.1366,0.0006 ± 0.0056
svr,mutual_info,4.3920 ± 0.3589,6.4735 ± 0.5586,-0.0085 ± 0.0138,4.5720 ± 0.0937,6.7011 ± 0.1377,0.0015 ± 0.0057
svr,f_regression,4.3962 ± 0.3695,6.4773 ± 0.5588,-0.0099 ± 0.0218,4.5923 ± 0.0930,6.7100 ± 0.1374,-0.0012 ± 0.0066
knn,spearman_corr,4.7446 ± 0.3954,6.8638 ± 0.6215,-0.1357 ± 0.0801,4.8577 ± 0.0973,6.9993 ± 0.1425,-0.0898 ± 0.0326
knn,mutual_info,4.7242 ± 0.3993,6.8876 ± 0.6325,-0.1449 ± 0.1034,4.9123 ± 0.1124,7.1171 ± 0.1603,-0.1266 ± 0.0282
knn,f_regression,4.8377 ± 0.3086,6.9849 ± 0.5348,-0.1777 ± 0.0694,4.9396 ± 0.1127,7.0615 ± 0.1333,-0.1094 ± 0.0370
