Model,Feature_Selection,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,spearman_corr,6.5345 ± 0.5453,9.3529 ± 0.7084,-1.1278 ± 0.3092,6.7903 ± 0.2670,9.7671 ± 0.4032,-1.1227 ± 0.1359
decision_tree,mutual_info,6.5037 ± 0.5668,9.1093 ± 0.7694,-1.0164 ± 0.2839,6.6600 ± 0.2055,9.5551 ± 0.3855,-1.0310 ± 0.1184
decision_tree,f_regression,6.7132 ± 0.5230,9.6253 ± 0.6820,-1.2658 ± 0.4053,6.8531 ± 0.2509,9.8610 ± 0.4486,-1.1641 ± 0.1585
random_forest,spearman_corr,4.4823 ± 0.3257,6.4983 ± 0.5493,-0.0180 ± 0.0562,4.7480 ± 0.1219,6.8738 ± 0.1889,-0.0507 ± 0.0305
random_forest,mutual_info,4.4576 ± 0.3018,6.4519 ± 0.5336,-0.0034 ± 0.0480,4.7591 ± 0.1295,6.8731 ± 0.1886,-0.0505 ± 0.0291
random_forest,f_regression,4.5251 ± 0.3247,6.5329 ± 0.5096,-0.0294 ± 0.0489,4.7906 ± 0.1140,6.9423 ± 0.1692,-0.0717 ± 0.0226
gradient_boosting,spearman_corr,4.8713 ± 0.2186,7.0373 ± 0.3820,-0.2058 ± 0.1553,5.1627 ± 0.1115,7.3793 ± 0.1704,-0.2111 ± 0.0325
gradient_boosting,mutual_info,4.8790 ± 0.2884,7.0905 ± 0.4187,-0.2216 ± 0.1413,5.1992 ± 0.0852,7.4514 ± 0.1668,-0.2352 ± 0.0435
gradient_boosting,f_regression,4.9728 ± 0.2601,7.1948 ± 0.4784,-0.2522 ± 0.0919,5.1940 ± 0.1384,7.4847 ± 0.1763,-0.2463 ± 0.0451
ridge,spearman_corr,5.4222 ± 0.3738,7.8508 ± 0.7064,-0.4953 ± 0.2023,5.6426 ± 0.1657,8.1056 ± 0.3244,-0.4621 ± 0.0954
ridge,mutual_info,5.6266 ± 0.3713,8.1408 ± 0.5827,-0.6035 ± 0.1344,5.8938 ± 0.2099,8.4779 ± 0.3676,-0.5991 ± 0.1025
ridge,f_regression,5.4190 ± 0.4603,7.7660 ± 0.7445,-0.4687 ± 0.2562,5.6303 ± 0.2088,8.1011 ± 0.3446,-0.4607 ± 0.1031
lasso,spearman_corr,4.4819 ± 0.3460,6.4755 ± 0.5532,-0.0093 ± 0.0124,4.6744 ± 0.0976,6.7128 ± 0.1346,-0.0020 ± 0.0030
lasso,mutual_info,4.4762 ± 0.3465,6.4659 ± 0.5570,-0.0062 ± 0.0149,4.6703 ± 0.0976,6.7076 ± 0.1314,-0.0005 ± 0.0024
lasso,f_regression,4.4761 ± 0.3466,6.4659 ± 0.5570,-0.0062 ± 0.0149,4.6714 ± 0.0990,6.7101 ± 0.1345,-0.0012 ± 0.0024
svr,spearman_corr,4.3745 ± 0.3514,6.4615 ± 0.5452,-0.0052 ± 0.0193,4.5482 ± 0.0866,6.6860 ± 0.1341,0.0060 ± 0.0065
svr,mutual_info,4.3709 ± 0.3587,6.4659 ± 0.5542,-0.0064 ± 0.0197,4.5487 ± 0.0901,6.6903 ± 0.1355,0.0047 ± 0.0062
svr,f_regression,4.3939 ± 0.3620,6.4941 ± 0.5404,-0.0157 ± 0.0269,4.5614 ± 0.0998,6.7145 ± 0.1421,-0.0025 ± 0.0061
knn,spearman_corr,4.6732 ± 0.3797,6.8256 ± 0.5819,-0.1229 ± 0.0625,4.8500 ± 0.1240,7.0556 ± 0.1849,-0.1071 ± 0.0334
knn,mutual_info,4.7318 ± 0.3821,7.0182 ± 0.5610,-0.1908 ± 0.1025,4.9406 ± 0.1168,7.1597 ± 0.1605,-0.1403 ± 0.0386
knn,f_regression,4.6924 ± 0.2837,6.8598 ± 0.4244,-0.1394 ± 0.0922,4.9406 ± 0.1119,7.1741 ± 0.1411,-0.1449 ± 0.0332
