Model,Feature_Selection,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,spearman_corr,6.9082 ± 0.4356,9.4587 ± 0.5908,-1.1825 ± 0.3314,7.2398 ± 0.2907,9.8916 ± 0.3938,-1.1782 ± 0.1542
decision_tree,mutual_info,7.2302 ± 0.3995,9.9290 ± 0.3759,-1.4321 ± 0.5037,7.1681 ± 0.2109,9.7892 ± 0.1956,-1.1318 ± 0.0676
decision_tree,f_regression,7.1462 ± 0.4187,9.8217 ± 0.6681,-1.3623 ± 0.4331,7.2202 ± 0.1961,9.8574 ± 0.2492,-1.1614 ± 0.0767
random_forest,spearman_corr,4.6659 ± 0.4089,6.6375 ± 0.6061,-0.0607 ± 0.0573,4.8605 ± 0.1073,6.8875 ± 0.1447,-0.0549 ± 0.0149
random_forest,mutual_info,4.6286 ± 0.3949,6.6227 ± 0.5928,-0.0559 ± 0.0493,4.8519 ± 0.1033,6.8713 ± 0.1552,-0.0500 ± 0.0212
random_forest,f_regression,4.7197 ± 0.3932,6.6859 ± 0.5741,-0.0768 ± 0.0477,4.9019 ± 0.1016,6.9344 ± 0.1477,-0.0694 ± 0.0186
gradient_boosting,spearman_corr,5.2116 ± 0.2932,7.1491 ± 0.4862,-0.2378 ± 0.1099,5.3674 ± 0.1842,7.3587 ± 0.2668,-0.2040 ± 0.0482
gradient_boosting,mutual_info,5.2372 ± 0.3866,7.1853 ± 0.5283,-0.2493 ± 0.1150,5.4023 ± 0.1530,7.4071 ± 0.1987,-0.2203 ± 0.0414
gradient_boosting,f_regression,5.2590 ± 0.4065,7.1877 ± 0.5751,-0.2460 ± 0.0642,5.4431 ± 0.1743,7.5081 ± 0.2469,-0.2537 ± 0.0534
ridge,spearman_corr,6.6884 ± 0.4938,8.7795 ± 0.5624,-0.8756 ± 0.2546,7.1457 ± 0.2002,9.3707 ± 0.2951,-0.9539 ± 0.0999
ridge,mutual_info,5.8266 ± 0.4912,7.8447 ± 0.6877,-0.4844 ± 0.1149,6.2120 ± 0.1586,8.3139 ± 0.1743,-0.5385 ± 0.0712
ridge,f_regression,6.2431 ± 0.6182,8.2308 ± 0.7985,-0.6445 ± 0.2522,6.4887 ± 0.1648,8.6373 ± 0.1872,-0.6614 ± 0.0981
lasso,spearman_corr,4.5067 ± 0.3464,6.4922 ± 0.5568,-0.0144 ± 0.0137,4.6904 ± 0.1040,6.7132 ± 0.1323,-0.0021 ± 0.0008
lasso,mutual_info,4.5064 ± 0.3465,6.4918 ± 0.5570,-0.0143 ± 0.0138,4.6903 ± 0.1034,6.7134 ± 0.1326,-0.0022 ± 0.0009
lasso,f_regression,4.5055 ± 0.3460,6.4915 ± 0.5567,-0.0142 ± 0.0138,4.6887 ± 0.1042,6.7136 ± 0.1328,-0.0022 ± 0.0009
svr,spearman_corr,4.4625 ± 0.3915,6.5416 ± 0.5943,-0.0294 ± 0.0313,4.6284 ± 0.1013,6.7450 ± 0.1453,-0.0116 ± 0.0071
svr,mutual_info,4.4509 ± 0.3867,6.5353 ± 0.5920,-0.0274 ± 0.0284,4.6341 ± 0.0986,6.7503 ± 0.1430,-0.0132 ± 0.0066
svr,f_regression,4.4648 ± 0.3869,6.5361 ± 0.5953,-0.0277 ± 0.0320,4.6471 ± 0.0965,6.7495 ± 0.1393,-0.0130 ± 0.0095
knn,spearman_corr,4.8436 ± 0.3850,6.8080 ± 0.6189,-0.1167 ± 0.0741,5.0669 ± 0.0837,7.0760 ± 0.1183,-0.1139 ± 0.0338
knn,mutual_info,4.9156 ± 0.2710,6.9476 ± 0.4541,-0.1669 ± 0.0724,5.1107 ± 0.0954,7.0797 ± 0.1680,-0.1148 ± 0.0324
knn,f_regression,4.8695 ± 0.4003,6.8400 ± 0.6546,-0.1299 ± 0.1121,5.1029 ± 0.1115,7.0750 ± 0.1564,-0.1134 ± 0.0325
