Model,Feature_Selection,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,spearman_corr,14.2225 ± 0.9364,18.9807 ± 1.2130,-0.4857 ± 0.1247,15.0420 ± 0.4449,19.7775 ± 0.4570,-0.5738 ± 0.0707
decision_tree,mutual_info,14.4363 ± 0.7526,19.1755 ± 1.0075,-0.5187 ± 0.1382,14.8898 ± 0.6727,19.6787 ± 0.7632,-0.5591 ± 0.1126
decision_tree,f_regression,14.9077 ± 0.7568,19.7767 ± 0.8773,-0.6168 ± 0.1476,14.6678 ± 0.5576,19.4477 ± 0.6441,-0.5214 ± 0.0790
random_forest,spearman_corr,11.1365 ± 0.4611,13.6739 ± 0.6622,0.2287 ± 0.0531,11.5153 ± 0.1886,14.0297 ± 0.2126,0.2083 ± 0.0202
random_forest,mutual_info,11.0453 ± 0.4352,13.5791 ± 0.6299,0.2398 ± 0.0409,11.5009 ± 0.2159,14.0089 ± 0.2184,0.2106 ± 0.0229
random_forest,f_regression,11.0705 ± 0.4687,13.6313 ± 0.6265,0.2337 ± 0.0456,11.4809 ± 0.1585,14.0116 ± 0.1789,0.2104 ± 0.0175
gradient_boosting,spearman_corr,11.1520 ± 0.5933,14.1989 ± 0.6912,0.1681 ± 0.0599,11.6084 ± 0.3977,14.6438 ± 0.3875,0.1374 ± 0.0381
gradient_boosting,mutual_info,11.1182 ± 0.5586,14.0910 ± 0.7704,0.1803 ± 0.0701,11.6206 ± 0.2021,14.6436 ± 0.2970,0.1375 ± 0.0276
gradient_boosting,f_regression,11.4345 ± 0.6060,14.4216 ± 0.8135,0.1413 ± 0.0788,11.6384 ± 0.2655,14.6156 ± 0.2382,0.1408 ± 0.0232
ridge,spearman_corr,13.2180 ± 0.6528,17.5815 ± 0.9976,-0.2818 ± 0.1799,13.9403 ± 0.3156,18.0247 ± 0.5803,-0.3071 ± 0.0705
ridge,mutual_info,12.1167 ± 0.8296,15.6133 ± 1.0471,-0.0119 ± 0.1548,12.9254 ± 0.3317,16.5090 ± 0.3821,-0.0963 ± 0.0424
ridge,f_regression,13.8492 ± 0.8073,18.1499 ± 0.9354,-0.3679 ± 0.2000,14.4837 ± 0.2700,18.7509 ± 0.4531,-0.4145 ± 0.0611
lasso,spearman_corr,11.0155 ± 0.4111,13.3548 ± 0.6142,0.2650 ± 0.0318,11.2749 ± 0.1432,13.5631 ± 0.1645,0.2602 ± 0.0126
lasso,mutual_info,11.1128 ± 0.3596,13.4193 ± 0.5820,0.2578 ± 0.0315,11.3934 ± 0.1154,13.6588 ± 0.1390,0.2496 ± 0.0154
lasso,f_regression,11.0331 ± 0.3770,13.3509 ± 0.5943,0.2651 ± 0.0365,11.3136 ± 0.1173,13.6018 ± 0.1464,0.2559 ± 0.0140
svr,spearman_corr,12.0333 ± 0.6301,15.4037 ± 1.1002,0.0235 ± 0.0684,12.3619 ± 0.1463,15.7262 ± 0.1283,0.0054 ± 0.0130
svr,mutual_info,11.7414 ± 0.6153,15.0712 ± 1.0941,0.0654 ± 0.0648,12.1411 ± 0.1559,15.4526 ± 0.1199,0.0397 ± 0.0127
svr,f_regression,11.8814 ± 0.6575,15.1924 ± 1.1023,0.0500 ± 0.0704,12.1891 ± 0.1361,15.4918 ± 0.1225,0.0348 ± 0.0108
knn,spearman_corr,12.2092 ± 0.9067,15.9004 ± 1.3955,-0.0414 ± 0.1152,12.4272 ± 0.1477,16.1835 ± 0.2280,-0.0534 ± 0.0233
knn,mutual_info,11.8844 ± 0.9276,15.4530 ± 1.3733,0.0163 ± 0.1111,12.1188 ± 0.3069,15.6575 ± 0.3171,0.0140 ± 0.0305
knn,f_regression,12.2300 ± 0.9157,15.8385 ± 1.2710,-0.0336 ± 0.1038,12.3707 ± 0.2397,16.0612 ± 0.2779,-0.0375 ± 0.0273
