fold,loss,acc,f1_macro,recall_0,recall_1,recall_2
1,0.5882925716313449,0.7727272727272727,0.7578347578347578,1.0,0.5714285714285714,0.7142857142857143
2,0.5554334683851763,0.7727272727272727,0.7745098039215687,0.875,0.7142857142857143,0.7142857142857143
3,0.5625210180878639,0.7727272727272727,0.7653522947640594,0.8571428571428571,0.5,1.0
4,0.32527880506082013,0.8181818181818182,0.8214285714285715,1.0,0.625,0.8571428571428571
5,0.40621535073627124,0.8181818181818182,0.8154761904761904,0.8571428571428571,0.7142857142857143,0.875
6,0.4280111410401084,0.7272727272727273,0.7228438228438229,0.8571428571428571,1.0,0.375
7,0.6027331139360156,0.7619047619047619,0.7420422714540361,0.8571428571428571,0.42857142857142855,1.0
8,0.5709232829865956,0.7142857142857143,0.7211538461538461,0.7142857142857143,0.7142857142857143,0.7142857142857143
9,0.5270369762466067,0.7142857142857143,0.7203907203907204,0.8571428571428571,0.5714285714285714,0.7142857142857143
10,0.3903849238441104,0.9047619047619048,0.9027777777777778,1.0,1.0,0.7142857142857143
