experiment,fold,loss,acc,f1_macro,recall_0,recall_1,recall_2,best_epoch_head,best_val_loss_head,best_epoch_ft,best_val_loss_ft
X_VX_DELTA_V2,1,0.6450373422015797,0.7727272727272727,0.7447811447811447,1.0,0.42857142857142855,0.8571428571428571,40,0.6718867411047725,71,0.5627649921481892
X_VX_DELTA_V2,2,0.6791710582646456,0.6363636363636364,0.6078431372549019,0.875,0.2857142857142857,0.7142857142857143,40,0.6646460587695494,27,0.6094812255794719
X_VX_DELTA_V2,3,0.641309610821984,0.7272727272727273,0.7116402116402116,0.8571428571428571,0.375,1.0,40,0.7256097015687974,73,0.5378470976473921
X_VX_DELTA_V2,4,0.3823587786067616,0.9545454545454546,0.9555555555555556,1.0,0.875,1.0,40,0.6670043064376056,76,0.497859663882498
X_VX_DELTA_V2,5,0.5735167752612721,0.7727272727272727,0.7634615384615385,0.8571428571428571,0.5714285714285714,0.875,40,0.6822640744306273,59,0.5346167360321951
X_VX_DELTA_V2,6,0.4906106645410711,0.6818181818181818,0.6632478632478632,0.8571428571428571,1.0,0.25,37,0.695540628190768,78,0.5297556529610844
X_VX_DELTA_V2,7,0.4838594510441735,0.8095238095238095,0.7856209150326796,1.0,0.42857142857142855,1.0,40,0.6722389702069558,80,0.47662964816820824
X_VX_DELTA_V2,8,0.6257699174540383,0.8095238095238095,0.8056166056166055,1.0,0.7142857142857143,0.7142857142857143,40,0.699660650754379,55,0.5938325110128371
X_VX_DELTA_V2,9,0.5050840718405587,0.7142857142857143,0.7000000000000001,1.0,0.42857142857142855,0.7142857142857143,40,0.7221338011450686,77,0.5463192260871499
X_VX_DELTA_V2,10,0.36607262066432406,0.9047619047619048,0.9027777777777778,1.0,1.0,0.7142857142857143,40,0.7095541974245492,80,0.5376700031555305
