epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,1.5733455589839391,1.4299159049987793,0.14285714285714285,0.09523809523809523,0.08163265306122448,0.16666666666666666,0.5,0.0,0.0
2,1.407488693509783,1.331249475479126,0.42857142857142855,0.35555555555555557,0.30476190476190473,0.5,0.5,1.0,0.0
3,1.233960349219186,1.251131534576416,0.5714285714285714,0.48888888888888893,0.41904761904761906,0.6666666666666666,1.0,1.0,0.0
4,1.240087740761893,1.1828988790512085,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
5,1.3359120539256504,1.1134390830993652,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
6,1.1445860590253558,1.0461417436599731,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
7,1.0332696540015085,0.9843425750732422,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
8,0.9615868295942034,0.9326381683349609,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
9,1.0345852051462445,0.8895851969718933,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
10,0.8703550287655422,0.8514516949653625,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
11,0.8416004010609218,0.8243143558502197,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
12,0.8112212760107858,0.8020703792572021,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
13,0.8260958228792463,0.7855183482170105,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
14,0.6941730959074838,0.7715847492218018,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
15,0.8015501465116228,0.7568719983100891,0.5714285714285714,0.6,0.5714285714285714,0.611111111111111,1.0,0.5,0.3333333333333333
16,0.90923421893801,0.7461005449295044,0.5714285714285714,0.6,0.5714285714285714,0.611111111111111,1.0,0.5,0.3333333333333333
17,0.8015514373779297,0.7370302677154541,0.5714285714285714,0.6,0.5714285714285714,0.611111111111111,1.0,0.5,0.3333333333333333
18,0.7902451915400369,0.7281464338302612,0.7142857142857143,0.7222222222222222,0.7142857142857143,0.7222222222222222,1.0,0.5,0.6666666666666666
19,0.723801213502884,0.7208742499351501,0.5714285714285714,0.6,0.5714285714285714,0.611111111111111,1.0,0.5,0.3333333333333333
20,0.7554976275988987,0.7154576778411865,0.42857142857142855,0.4444444444444444,0.38095238095238093,0.5,1.0,0.5,0.0
21,0.6876830305371966,0.7106711864471436,0.42857142857142855,0.4444444444444444,0.38095238095238093,0.5,1.0,0.5,0.0
22,0.7310198102678571,0.7057055234909058,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
23,0.7701291612216404,0.7002685070037842,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
24,0.6482892121587481,0.6975466012954712,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
25,0.6884132249014718,0.6953932642936707,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
26,0.7155430146626064,0.6934741139411926,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
27,0.7068487099238805,0.6877911686897278,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
28,0.6292886499847684,0.6814540028572083,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
29,0.6459603990827288,0.6761443614959717,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
30,0.7319000312260219,0.6726892590522766,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
31,0.8102090971810477,0.6688858270645142,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
32,0.6681767599923271,0.6629623770713806,0.5714285714285714,0.6,0.5714285714285714,0.611111111111111,1.0,0.5,0.3333333333333333
33,0.7354513440813337,0.6580522656440735,0.7142857142857143,0.7222222222222222,0.7142857142857143,0.7222222222222222,1.0,0.5,0.6666666666666666
34,0.7654541330678123,0.6554077863693237,0.7142857142857143,0.7222222222222222,0.7142857142857143,0.7222222222222222,1.0,0.5,0.6666666666666666
35,0.6430320160729545,0.6544735431671143,0.7142857142857143,0.7222222222222222,0.7142857142857143,0.7222222222222222,1.0,0.5,0.6666666666666666
36,0.7264435120991298,0.6542959213256836,0.7142857142857143,0.7222222222222222,0.6904761904761905,0.7777777777777778,1.0,1.0,0.3333333333333333
37,0.7072500841958183,0.6525596380233765,0.7142857142857143,0.7222222222222222,0.6904761904761905,0.7777777777777778,1.0,1.0,0.3333333333333333
38,0.6943632568631853,0.650884211063385,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
39,0.6502396532467434,0.6508134603500366,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
40,0.6510323865073068,0.651351273059845,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
