epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,0.8122022151947021,0.7778476528499437,0.5652173913043478,0.5535714285714285,0.5324074074074073,0.5410628019323671,1.0,0.375,0.2857142857142857
2,0.8463093191385269,0.7735713176105333,0.6521739130434783,0.6428571428571429,0.6296296296296297,0.6352657004830917,1.0,0.5,0.42857142857142855
3,0.867990292608738,0.7731998977453812,0.6086956521739131,0.6011904761904762,0.5834757834757834,0.5887774061687104,1.0,0.375,0.42857142857142855
4,0.8778998553752899,0.7687286993731623,0.6086956521739131,0.6071428571428571,0.5766381766381766,0.5785209959123002,1.0,0.25,0.5714285714285714
5,0.8686161935329437,0.765165766944056,0.6956521739130435,0.6964285714285715,0.6723646723646723,0.6726124117428466,1.0,0.375,0.7142857142857143
6,0.8316662013530731,0.758372337921806,0.6521739130434783,0.6488095238095238,0.6296296296296297,0.63216011042098,1.0,0.375,0.5714285714285714
7,0.7974661067128181,0.7563737604929053,0.7391304347826086,0.7440476190476191,0.7129629629629629,0.7113526570048309,1.0,0.375,0.8571428571428571
8,0.8097401782870293,0.7525615718053735,0.782608695652174,0.7916666666666666,0.7526242820360466,0.7495414503087138,1.0,0.375,1.0
9,0.8687878027558327,0.7507173393083655,0.782608695652174,0.7916666666666666,0.7526242820360466,0.7495414503087138,1.0,0.375,1.0
10,0.79126837849617,0.7453718340915182,0.782608695652174,0.7916666666666666,0.7526242820360466,0.7495414503087138,1.0,0.375,1.0
11,0.7539437115192413,0.7428022623062134,0.782608695652174,0.7916666666666666,0.7526242820360466,0.7495414503087138,1.0,0.375,1.0
12,0.7605438306927681,0.7396645675534788,0.782608695652174,0.7916666666666666,0.7526242820360466,0.7495414503087138,1.0,0.375,1.0
13,0.7481214329600334,0.7321357960286348,0.782608695652174,0.7857142857142857,0.7680911680911681,0.7667038275733928,1.0,0.5,0.8571428571428571
14,0.7157607972621918,0.7248603675676428,0.782608695652174,0.7857142857142857,0.7680911680911681,0.7667038275733928,1.0,0.5,0.8571428571428571
15,0.6904576495289803,0.7200486452683158,0.782608695652174,0.7857142857142857,0.7680911680911681,0.7667038275733928,1.0,0.5,0.8571428571428571
16,0.6656189784407616,0.7172255386476931,0.782608695652174,0.7857142857142857,0.7680911680911681,0.7667038275733928,1.0,0.5,0.8571428571428571
17,0.7005521282553673,0.7096013271290323,0.782608695652174,0.7857142857142857,0.7680911680911681,0.7667038275733928,1.0,0.5,0.8571428571428571
18,0.6745875328779221,0.7022626296333645,0.8260869565217391,0.8273809523809524,0.8201058201058201,0.8184955141476881,1.0,0.625,0.8571428571428571
19,0.7141237407922745,0.6970667709474978,0.782608695652174,0.7797619047619048,0.7749287749287749,0.7751765143069491,1.0,0.625,0.7142857142857143
20,0.6398708708584309,0.692568522432576,0.782608695652174,0.7797619047619048,0.7749287749287749,0.7751765143069491,1.0,0.625,0.7142857142857143
21,0.6321133486926556,0.6903732807739921,0.782608695652174,0.7797619047619048,0.7749287749287749,0.7751765143069491,1.0,0.625,0.7142857142857143
22,0.6368655189871788,0.6911109711812891,0.8260869565217391,0.8273809523809524,0.8201058201058201,0.8184955141476881,1.0,0.625,0.8571428571428571
