epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,1.212484434247017,0.9361558504726576,0.21739130434782608,0.18560606060606064,0.18577075098814227,0.22023809523809523,0.0,0.375,0.2857142857142857
2,0.9468818306922913,0.905283852763798,0.5652173913043478,0.5666666666666668,0.5695652173913044,0.5654761904761905,0.75,0.375,0.5714285714285714
3,1.0243463143706322,0.8641139787176381,0.5217391304347826,0.5118778280542987,0.5207554593743852,0.5119047619047619,0.875,0.375,0.2857142857142857
4,0.9671783298254013,0.8351721012074015,0.5217391304347826,0.4745494157258863,0.48727686067839526,0.5059523809523809,1.0,0.375,0.14285714285714285
5,0.9574552178382874,0.8019618521565977,0.6086956521739131,0.5458089668615984,0.5598779557589626,0.5892857142857143,1.0,0.625,0.14285714285714285
6,0.9511343687772751,0.7871633949487106,0.6521739130434783,0.5796296296296296,0.5939613526570049,0.6309523809523809,1.0,0.75,0.14285714285714285
7,0.9767211973667145,0.7800014381823333,0.6086956521739131,0.5458089668615984,0.5598779557589626,0.5892857142857143,1.0,0.625,0.14285714285714285
8,0.8798635601997375,0.7756825296775155,0.6086956521739131,0.5743711626064568,0.5835335451703738,0.5952380952380952,1.0,0.5,0.2857142857142857
9,0.8762575313448906,0.7802996324456256,0.6521739130434783,0.6157407407407407,0.6153381642512077,0.6547619047619048,1.0,0.25,0.7142857142857143
10,0.8736340254545212,0.7524195676264556,0.6086956521739131,0.5458089668615984,0.5598779557589626,0.5892857142857143,1.0,0.625,0.14285714285714285
11,0.872861735522747,0.7485602498054504,0.6521739130434783,0.6148148148148148,0.6241545893719807,0.6369047619047619,1.0,0.625,0.2857142857142857
12,0.7758840769529343,0.7476256178772968,0.6956521739130435,0.6741929094870271,0.6797902296623525,0.6845238095238094,1.0,0.625,0.42857142857142855
13,0.8456088006496429,0.7334216496218806,0.6521739130434783,0.5796296296296296,0.5939613526570049,0.6309523809523809,1.0,0.75,0.14285714285714285
14,0.8124810084700584,0.771146852037181,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
15,0.7959943041205406,0.7643348056337108,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
16,0.7043273597955704,0.7577983996142512,0.6956521739130435,0.6159844054580897,0.6107297228578694,0.7083333333333334,1.0,0.125,1.0
17,0.7386749610304832,0.7234620944313381,0.6956521739130435,0.6741929094870271,0.6797902296623525,0.6845238095238094,1.0,0.625,0.42857142857142855
18,0.7637141719460487,0.7253134017405303,0.6956521739130435,0.6792022792022792,0.6819769602378297,0.6904761904761904,1.0,0.5,0.5714285714285714
19,0.738401971757412,0.7373346323552339,0.782608695652174,0.7526242820360466,0.7495414503087138,0.7916666666666666,1.0,0.375,1.0
20,0.7802226692438126,0.7330053215441497,0.782608695652174,0.7526242820360466,0.7495414503087138,0.7916666666666666,1.0,0.375,1.0
21,0.7481689453125,0.7226170379182567,0.782608695652174,0.7526242820360466,0.7495414503087138,0.7916666666666666,1.0,0.375,1.0
22,0.7518124282360077,0.7075192358182825,0.7391304347826086,0.7185185185185184,0.723671497584541,0.7261904761904762,1.0,0.75,0.42857142857142855
23,0.8294978886842728,0.6975951713064442,0.7391304347826086,0.7185185185185184,0.723671497584541,0.7261904761904762,1.0,0.75,0.42857142857142855
24,0.6990950331091881,0.6961712189342665,0.7391304347826086,0.7185185185185184,0.723671497584541,0.7261904761904762,1.0,0.75,0.42857142857142855
25,0.7979023233056068,0.720425722391709,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
26,0.7110668160021305,0.7374358928721884,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
27,0.6984955221414566,0.7200892386229142,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
28,0.6872004196047783,0.7410121819247371,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
29,0.6698572523891926,0.7228536994560905,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
30,0.6526251658797264,0.7165113376534503,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
31,0.6840729042887688,0.6969607627910116,0.782608695652174,0.7680911680911681,0.7667038275733928,0.7857142857142857,1.0,0.5,0.8571428571428571
