epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,1.152834951877594,0.8883953483208366,0.6521739130434783,0.6428571428571429,0.6436335403726708,0.6547619047619048,0.875,0.375,0.7142857142857143
2,0.8534872978925705,0.8342754478039949,0.6521739130434783,0.6296296296296297,0.63216011042098,0.6488095238095238,1.0,0.375,0.5714285714285714
3,0.9104829207062721,0.7794461794521498,0.6086956521739131,0.5458089668615984,0.5598779557589626,0.5892857142857143,1.0,0.625,0.14285714285714285
4,0.8544330894947052,0.7582927734955497,0.6086956521739131,0.5458089668615984,0.5598779557589626,0.5892857142857143,1.0,0.625,0.14285714285714285
5,0.8517026156187057,0.731829998285874,0.6086956521739131,0.48677248677248675,0.5079365079365079,0.5833333333333334,1.0,0.75,0.0
6,0.8366154581308365,0.7317377691683562,0.6956521739130435,0.6549707602339181,0.6641240783117213,0.6785714285714285,1.0,0.75,0.2857142857142857
7,0.8623878359794617,0.7354281803835994,0.6956521739130435,0.6741929094870271,0.6797902296623525,0.6845238095238094,1.0,0.625,0.42857142857142855
8,0.7560248672962189,0.7297583377879598,0.6956521739130435,0.6741929094870271,0.6797902296623525,0.6845238095238094,1.0,0.625,0.42857142857142855
9,0.7548767104744911,0.7380686220915421,0.6956521739130435,0.6159844054580897,0.6107297228578694,0.7083333333333334,1.0,0.125,1.0
10,0.7703554630279541,0.6896202097768369,0.6521739130434783,0.5796296296296296,0.5939613526570049,0.6309523809523809,1.0,0.75,0.14285714285714285
11,0.7658823281526566,0.6980686965196029,0.7391304347826086,0.7185185185185184,0.723671497584541,0.7261904761904762,1.0,0.75,0.42857142857142855
12,0.683804839849472,0.7063896448715873,0.782608695652174,0.7680911680911681,0.7667038275733928,0.7857142857142857,1.0,0.5,0.8571428571428571
13,0.7467186525464058,0.681250213280968,0.6956521739130435,0.6549707602339181,0.6641240783117213,0.6785714285714285,1.0,0.75,0.2857142857142857
14,0.7323943823575974,0.7658166496650033,0.6956521739130435,0.6159844054580897,0.6107297228578694,0.7083333333333334,1.0,0.125,1.0
15,0.6934914886951447,0.7155351794284323,0.7391304347826086,0.6888888888888888,0.6850241545893719,0.75,1.0,0.25,1.0
16,0.5958559587597847,0.6812754092009171,0.782608695652174,0.7824463118580766,0.7791986359761296,0.7857142857142857,0.875,0.625,0.8571428571428571
17,0.6684919372200966,0.6533343364363131,0.6086956521739131,0.5483193277310924,0.5612897332846182,0.5892857142857143,0.875,0.75,0.14285714285714285
18,0.6708774343132973,0.6948472442834274,0.7391304347826086,0.7156862745098039,0.7109974424552429,0.75,0.875,0.375,1.0
19,0.6388068646192551,0.7394479979639468,0.6956521739130435,0.6549811843929491,0.6496422020718695,0.7083333333333334,0.875,0.25,1.0
20,0.683006577193737,0.7024904334026835,0.6956521739130435,0.6549811843929491,0.6496422020718695,0.7083333333333334,0.875,0.25,1.0
21,0.6620694473385811,0.6676768738290538,0.7391304347826086,0.7316526610644258,0.7286810376324443,0.7440476190476191,0.875,0.5,0.8571428571428571
22,0.6588119380176067,0.6605647387711898,0.7391304347826086,0.7316526610644258,0.7286810376324443,0.7440476190476191,0.875,0.5,0.8571428571428571
23,0.7090607285499573,0.6615360819775126,0.7391304347826086,0.7316526610644258,0.7286810376324443,0.7440476190476191,0.875,0.5,0.8571428571428571
24,0.6032016612589359,0.6673472497774207,0.7391304347826086,0.7316526610644258,0.7286810376324443,0.7440476190476191,0.875,0.5,0.8571428571428571
25,0.6655389070510864,0.7179568202599235,0.6956521739130435,0.6549811843929491,0.6496422020718695,0.7083333333333334,0.875,0.25,1.0
26,0.6224021278321743,0.70185735432998,0.6956521739130435,0.6549811843929491,0.6496422020718695,0.7083333333333334,0.875,0.25,1.0
27,0.6127420254051685,0.6577170698539071,0.7391304347826086,0.7316526610644258,0.7286810376324443,0.7440476190476191,0.875,0.5,0.8571428571428571
