epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,1.2128073022050678,0.8730724453926086,0.4,0.4166666666666667,0.4166666666666667,0.4,1.0,0.0,0.25
2,1.0875864028930664,0.9312758445739746,0.5,0.5555555555555555,0.48148148148148145,0.4333333333333333,1.0,0.6666666666666666,0.0
3,1.1761858305841122,0.9587407112121582,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
4,1.07518163717018,0.9609431028366089,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
5,0.9686575408251781,0.8825746774673462,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
6,0.981251817829204,0.7849116325378418,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
7,0.8968432331984898,0.7170295119285583,0.5,0.5,0.48148148148148145,0.47777777777777775,1.0,0.0,0.5
8,0.8473487847818518,0.6912674307823181,0.7,0.6666666666666666,0.5757575757575758,0.5909090909090909,1.0,0.0,1.0
9,0.9469182198902346,0.6807128190994263,0.7,0.6666666666666666,0.5757575757575758,0.5909090909090909,1.0,0.0,1.0
10,0.75828791733058,0.6761675477027893,0.7,0.6666666666666666,0.5757575757575758,0.5909090909090909,1.0,0.0,1.0
11,0.9387993149037631,0.6875683665275574,0.4,0.4166666666666667,0.4166666666666667,0.4,1.0,0.0,0.25
12,0.859761653643734,0.7009217143058777,0.4,0.4166666666666667,0.4166666666666667,0.4,1.0,0.0,0.25
13,0.8479156370432872,0.7070882320404053,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
14,0.8183154160121702,0.724338710308075,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
15,0.7917293478857796,0.701349139213562,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
16,0.7338835833207616,0.7053951621055603,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
17,0.8637966929741625,0.7135346531867981,0.6,0.6388888888888888,0.611111111111111,0.5833333333333333,1.0,0.6666666666666666,0.25
18,1.0063360637088992,0.7385417222976685,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
19,0.7712277252719087,0.7289738059043884,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
20,0.9572000863417139,0.6747283935546875,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
21,0.7012581903979463,0.636921226978302,0.5,0.5,0.48148148148148145,0.47777777777777775,1.0,0.0,0.5
22,0.9863848326341161,0.6210253834724426,0.7,0.6666666666666666,0.5757575757575758,0.5909090909090909,1.0,0.0,1.0
23,0.8618609410411907,0.6381582021713257,0.4,0.4166666666666667,0.4166666666666667,0.4,1.0,0.0,0.25
24,0.8663768858279822,0.6456496715545654,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
25,0.8938499486671304,0.6412825584411621,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
26,0.863883837214056,0.6387998461723328,0.5,0.5277777777777778,0.5238095238095237,0.5,1.0,0.3333333333333333,0.25
27,0.7245755308079269,0.6652788519859314,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
28,0.7259823983570315,0.662918746471405,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
29,0.6477617486467901,0.6285746097564697,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
30,0.7305149222319981,0.618661105632782,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
31,0.8082538078416068,0.6359552145004272,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
32,0.7168032616939185,0.6788387298583984,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
33,0.7319557981671028,0.6893965601921082,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
34,0.8191723553639538,0.629387617111206,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
35,0.8403130387360195,0.6175972819328308,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
36,0.6533901444021261,0.6065025329589844,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
37,0.7090075420883467,0.6151468753814697,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
38,0.6707468190283146,0.6184365153312683,0.7,0.75,0.6888888888888888,0.6599999999999999,1.0,1.0,0.25
39,0.8345870319402443,0.6269307732582092,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
40,0.6798637498099849,0.6484067440032959,0.6,0.6666666666666666,0.5333333333333333,0.48,1.0,1.0,0.0
